Name	chi2Pvalue
999	3.33588208E-3
41	3.69909756E-3
176	4.66796166E-3
878	5.09097513E-3
584	5.50467454E-3
474	6.48694992E-3
603	9.11388078E-3
735	9.68574276E-3
731	1.13326048E-2
946	1.29327365E-2
664	1.36069668E-2
983	1.5489084E-2
965	1.66277516E-2
376	1.71501393E-2
962	1.73293989E-2
552	1.74080296E-2
909	1.94516627E-2
981	1.99897567E-2
826	2.02849355E-2
1008	2.26986301E-2
51	2.39977884E-2
501	2.41162415E-2
335	2.46037946E-2
540	2.51878533E-2
727	2.53990422E-2
497	2.54014247E-2
238	2.59482737E-2
227	2.66152935E-2
340	2.82411905E-2
519	2.89695256E-2
303	2.97732817E-2
980	3.04171241E-2
119	3.10145772E-2
885	3.28091342E-2
1001	3.49128936E-2
707	3.51903216E-2
476	3.63455962E-2
217	3.68983323E-2
390	3.80072685E-2
17	3.86741989E-2
104	3.87150489E-2
591	3.88367713E-2
592	3.9263165E-2
144	4.32261706E-2
996	4.32914096E-2
463	4.38950094E-2
685	4.42686673E-2
459	4.44976284E-2
812	4.53572414E-2
995	4.57454929E-2
177	4.6272098E-2
750	4.68551708E-2
186	4.7409506E-2
30	4.7443299E-2
396	4.9364791E-2
538	5.15836287E-2
409	5.31518244E-2
500	5.39526251E-2
179	5.39940315E-2
418	5.77560773E-2
111	5.80021972E-2
147	5.96319669E-2
882	5.99176696E-2
861	6.15631341E-2
961	6.24790076E-2
808	6.33027268E-2
778	6.40065162E-2
317	6.47841669E-2
879	6.77113171E-2
730	6.84304381E-2
764	6.84899212E-2
260	6.86186176E-2
607	6.93924417E-2
470	6.94211478E-2
728	6.98073319E-2
309	7.0829664E-2
15	7.08862439E-2
259	7.16020259E-2
235	7.34899195E-2
689	7.35079733E-2
799	7.52695688E-2
60	7.52900037E-2
68	7.63838009E-2
677	7.67247797E-2
55	7.80281739E-2
960	7.87077208E-2
847	7.88080222E-2
351	8.16474834E-2
611	8.24067887E-2
676	8.31895256E-2
627	8.39423011E-2
949	8.42182447E-2
296	8.46313682E-2
371	8.63594194E-2
468	8.84621622E-2
527	9.01045273E-2
992	9.10321399E-2
525	9.16306069E-2
285	9.17670592E-2
673	9.18528298E-2
71	9.35910466E-2
705	9.47793049E-2
271	9.51645514E-2
344	9.58098922E-2
699	9.68296023E-2
671	9.71393876E-2
200	1.01301664E-1
755	1.01948213E-1
446	1.02940329E-1
810	1.03112623E-1
522	1.03795939E-1
367	1.04083775E-1
613	1.04772589E-1
726	1.04919849E-1
160	1.05880823E-1
361	1.07504426E-1
113	1.0769269E-1
547	1.07753784E-1
781	1.08299844E-1
843	1.08371833E-1
407	1.09787127E-1
328	1.10219951E-1
908	1.11009495E-1
372	1.11624784E-1
330	1.1188092E-1
158	1.12075739E-1
529	1.14176092E-1
245	1.14669224E-1
687	1.14853778E-1
564	1.15792407E-1
122	1.16868997E-1
242	1.17712291E-1
252	1.17740446E-1
697	1.18843285E-1
823	1.19165259E-1
614	1.20210765E-1
601	1.21943604E-1
460	1.26000969E-1
465	1.26080087E-1
680	1.27053056E-1
216	1.29190328E-1
58	1.31225369E-1
44	1.31506629E-1
455	1.33371599E-1
366	1.33968648E-1
224	1.34697155E-1
873	1.35818569E-1
163	1.36468924E-1
777	1.38442519E-1
114	1.38773459E-1
645	1.40080864E-1
73	1.40453075E-1
871	1.40812774E-1
232	1.4267973E-1
987	1.4481256E-1
569	1.46514011E-1
243	1.46539686E-1
571	1.46770308E-1
802	1.47343835E-1
634	1.48986394E-1
240	1.50379686E-1
541	1.52229611E-1
626	1.53333796E-1
0	1.56418673E-1
431	1.58511094E-1
99	1.59400851E-1
205	1.60097338E-1
788	1.60159173E-1
386	1.61576899E-1
212	1.61621626E-1
78	1.62943074E-1
420	1.63435546E-1
860	1.65451883E-1
416	1.66126957E-1
453	1.6733704E-1
43	1.68941764E-1
80	1.69358921E-1
560	1.69544927E-1
206	1.69889107E-1
734	1.71180827E-1
661	1.7187557E-1
745	1.75539715E-1
856	1.78516132E-1
854	1.78786924E-1
901	1.78977727E-1
439	1.80861885E-1
7	1.81407942E-1
134	1.81842156E-1
42	1.82074797E-1
577	1.82667008E-1
975	1.83675241E-1
551	1.85123903E-1
448	1.86456565E-1
853	1.89756659E-1
288	1.9014514E-1
586	1.90962966E-1
1007	1.9246577E-1
641	1.92729501E-1
513	1.94025264E-1
257	1.94186794E-1
29	1.9615949E-1
40	1.9746461E-1
159	1.98154444E-1
391	1.98215913E-1
415	1.98974925E-1
496	1.99796045E-1
858	2.02799234E-1
161	2.02805321E-1
373	2.03114053E-1
495	2.03269257E-1
341	2.03466787E-1
912	2.03556009E-1
724	2.06948043E-1
39	2.08458957E-1
59	2.10607896E-1
329	2.11250376E-1
711	2.1365643E-1
698	2.13853771E-1
855	2.15966008E-1
562	2.16032371E-1
939	2.16528556E-1
181	2.1681815E-1
208	2.16895701E-1
638	2.19328438E-1
848	2.20350461E-1
143	2.20844788E-1
436	2.23664414E-1
754	2.25314075E-1
92	2.25889559E-1
615	2.26225757E-1
953	2.26343463E-1
832	2.27864749E-1
622	2.34008007E-1
57	2.34233662E-1
864	2.3504581E-1
836	2.35221785E-1
411	2.36819906E-1
952	2.37753427E-1
972	2.38393255E-1
1	2.38654627E-1
262	2.38990329E-1
322	2.39302622E-1
528	2.39717776E-1
117	2.39744991E-1
784	2.40086641E-1
254	2.41410932E-1
782	2.42103584E-1
969	2.42735233E-1
193	2.42937985E-1
467	2.44615197E-1
450	2.45260752E-1
604	2.47096514E-1
706	2.48325515E-1
617	2.48863559E-1
850	2.49334174E-1
332	2.50858376E-1
169	2.51094757E-1
588	2.51516246E-1
935	2.52670444E-1
484	2.53926452E-1
743	2.55474093E-1
490	2.55645429E-1
103	2.55680013E-1
924	2.55775035E-1
12	2.55883293E-1
13	2.56054497E-1
89	2.56232325E-1
291	2.57663951E-1
219	2.58766591E-1
395	2.59302623E-1
940	2.6045224E-1
628	2.60881228E-1
54	2.61428169E-1
587	2.61937849E-1
429	2.6301132E-1
874	2.63620562E-1
494	2.63995153E-1
554	2.64047771E-1
153	2.66048988E-1
198	2.66520186E-1
312	2.67748914E-1
454	2.69889538E-1
667	2.70258363E-1
663	2.70467012E-1
557	2.71542422E-1
192	2.72786115E-1
822	2.72834192E-1
639	2.73408034E-1
300	2.73726077E-1
535	2.74688678E-1
619	2.74803612E-1
1011	2.75921744E-1
438	2.76789613E-1
520	2.77692357E-1
931	2.77838186E-1
348	2.77953715E-1
248	2.81875443E-1
516	2.8463707E-1
558	2.85512535E-1
921	2.86724475E-1
234	2.88489607E-1
916	2.89073323E-1
65	2.89532287E-1
207	2.89890896E-1
526	2.9010147E-1
246	2.9086541E-1
426	2.92363173E-1
493	2.93579659E-1
430	2.96111345E-1
872	2.96650348E-1
31	2.97732943E-1
466	2.99470773E-1
106	3.00137582E-1
780	3.00662514E-1
515	3.01351374E-1
891	3.02344423E-1
139	3.05254239E-1
290	3.05574758E-1
62	3.05638632E-1
600	3.06858235E-1
441	3.06954827E-1
612	3.07378132E-1
266	3.08802398E-1
609	3.09394193E-1
359	3.10617746E-1
725	3.11520561E-1
190	3.11848497E-1
829	3.12326808E-1
35	3.12415398E-1
313	3.13024797E-1
326	3.14376571E-1
642	3.14981549E-1
669	3.17081995E-1
747	3.17603585E-1
308	3.17956436E-1
555	3.19132766E-1
722	3.19653028E-1
440	3.20274915E-1
79	3.20346985E-1
583	3.21145945E-1
757	3.22055955E-1
653	3.22387176E-1
900	3.22693832E-1
776	3.23587096E-1
798	3.24224053E-1
791	3.26202726E-1
414	3.28366479E-1
539	3.28464373E-1
385	3.30435928E-1
56	3.30582593E-1
942	3.30723545E-1
282	3.30956017E-1
631	3.31077268E-1
94	3.32413555E-1
579	3.32500214E-1
510	3.32649317E-1
320	3.32769214E-1
96	3.36642812E-1
449	3.37106076E-1
442	3.39440489E-1
559	3.39761565E-1
852	3.41237698E-1
364	3.42252427E-1
948	3.42646109E-1
333	3.44112661E-1
21	3.4433915E-1
835	3.44750252E-1
304	3.45882933E-1
869	3.4693623E-1
405	3.47453705E-1
504	3.47896857E-1
492	3.48588568E-1
665	3.50376333E-1
272	3.51560372E-1
733	3.53573873E-1
307	3.549628E-1
917	3.55671753E-1
4	3.55782004E-1
84	3.55871297E-1
389	3.5598517E-1
833	3.58202022E-1
49	3.61001753E-1
910	3.61212592E-1
974	3.61864932E-1
20	3.64123191E-1
295	3.65050281E-1
963	3.65076997E-1
292	3.65224793E-1
18	3.66760594E-1
770	3.67749753E-1
573	3.69012497E-1
110	3.69901644E-1
643	3.70766319E-1
325	3.71140306E-1
