Name	chi2Pvalue
390	5.88233469E-7
176	1.66022698E-4
68	3.30067632E-4
309	7.61989953E-4
111	1.34690031E-3
894	5.00078848E-3
296	5.52125253E-3
626	5.67003181E-3
75	6.72075977E-3
856	6.79525295E-3
706	6.9870246E-3
912	8.12896733E-3
40	8.46259665E-3
953	8.50810949E-3
820	1.01109236E-2
330	1.03616357E-2
324	1.05063762E-2
317	1.07565386E-2
468	1.18663615E-2
515	1.21926586E-2
861	1.29360506E-2
917	1.30472251E-2
802	1.39761133E-2
795	1.52339038E-2
377	1.52944781E-2
522	1.59884571E-2
43	1.85681976E-2
339	2.15304749E-2
981	2.18544929E-2
928	2.30181348E-2
959	2.58981026E-2
488	2.69553464E-2
491	2.74566301E-2
946	2.96857746E-2
451	2.98642307E-2
775	3.06352584E-2
839	3.08959512E-2
664	3.14485787E-2
964	3.58654277E-2
416	3.61499205E-2
625	3.73314663E-2
354	3.79615544E-2
306	4.19256731E-2
816	4.30598035E-2
586	4.46295424E-2
41	4.66773889E-2
813	4.96754778E-2
124	5.0562352E-2
304	5.17009431E-2
842	5.29562356E-2
738	5.4902354E-2
740	5.54387808E-2
616	5.56746064E-2
686	5.78892807E-2
423	5.81523994E-2
1008	5.87398198E-2
770	5.91411361E-2
718	5.96103085E-2
499	6.09368644E-2
823	6.15265399E-2
769	6.15475591E-2
844	6.16091611E-2
198	6.24393202E-2
900	6.28993139E-2
714	6.439517E-2
213	6.55391319E-2
777	6.65864089E-2
992	6.81642046E-2
396	6.92289245E-2
613	7.17120915E-2
803	7.18122549E-2
258	7.35024216E-2
876	7.46464373E-2
731	7.48258078E-2
1	7.60582783E-2
569	7.61325283E-2
127	7.72939134E-2
628	8.03953386E-2
89	8.11147526E-2
355	8.26596796E-2
289	8.39704888E-2
239	8.47955273E-2
773	8.70162005E-2
3	8.8633257E-2
617	8.87892426E-2
418	8.94023751E-2
922	9.01079632E-2
750	9.1158076E-2
744	9.15052466E-2
177	9.1564238E-2
12	9.33945411E-2
837	9.40219062E-2
619	9.48940331E-2
847	9.60326013E-2
224	9.61383188E-2
788	9.6766425E-2
140	9.67668858E-2
696	9.68203E-2
622	9.7970652E-2
276	9.94976563E-2
273	1.02443528E-1
249	1.02618961E-1
965	1.0351083E-1
960	1.04227162E-1
302	1.07128379E-1
721	1.07724393E-1
800	1.08235269E-1
374	1.08790403E-1
406	1.09478251E-1
841	1.09876994E-1
229	1.12851702E-1
947	1.13857305E-1
301	1.1422118E-1
220	1.14347764E-1
687	1.15030446E-1
901	1.15646693E-1
464	1.17340986E-1
582	1.1735302E-1
929	1.17541804E-1
807	1.18508E-1
221	1.18734634E-1
778	1.18825248E-1
758	1.19014992E-1
436	1.22713528E-1
349	1.23585936E-1
1006	1.24396092E-1
633	1.26323037E-1
193	1.26866422E-1
703	1.28626318E-1
745	1.33321382E-1
525	1.34232993E-1
492	1.35196047E-1
980	1.35685524E-1
397	1.37206872E-1
320	1.37757879E-1
596	1.38729371E-1
319	1.42172558E-1
684	1.42601724E-1
840	1.44535072E-1
580	1.44979863E-1
152	1.45343752E-1
254	1.45409226E-1
705	1.45976384E-1
734	1.50067097E-1
495	1.51252678E-1
91	1.51456627E-1
238	1.53319123E-1
592	1.53936952E-1
508	1.54204941E-1
103	1.5459226E-1
562	1.54968796E-1
989	1.5755227E-1
36	1.58434163E-1
38	1.59819596E-1
512	1.60905139E-1
634	1.61053648E-1
100	1.62389892E-1
93	1.65629525E-1
308	1.66049747E-1
394	1.66173546E-1
743	1.67081716E-1
122	1.69819957E-1
670	1.7028383E-1
55	1.73048339E-1
990	1.7324395E-1
481	1.73432566E-1
106	1.76019848E-1
747	1.76582139E-1
82	1.76607293E-1
635	1.77392274E-1
677	1.77939982E-1
453	1.79745795E-1
541	1.81571906E-1
243	1.81673846E-1
28	1.81777153E-1
573	1.82744582E-1
358	1.84287018E-1
292	1.85423593E-1
915	1.85875264E-1
530	1.87389924E-1
459	1.87626407E-1
595	1.87671108E-1
832	1.87788799E-1
683	1.88047033E-1
1009	1.8821024E-1
926	1.90897058E-1
299	1.91044459E-1
716	1.92181738E-1
647	1.92366418E-1
10	1.93509567E-1
191	1.93762457E-1
952	1.95565752E-1
478	1.96998064E-1
385	1.98157513E-1
698	1.98400633E-1
21	1.9940014E-1
29	2.00296384E-1
879	2.08182494E-1
1002	2.08212617E-1
607	2.08832061E-1
516	2.09138874E-1
828	2.09359474E-1
373	2.09897508E-1
329	2.10930434E-1
187	2.12181791E-1
958	2.12486881E-1
979	2.12668088E-1
771	2.13004569E-1
391	2.13059787E-1
709	2.13718701E-1
934	2.1793597E-1
756	2.17964306E-1
833	2.21210357E-1
144	2.21713829E-1
455	2.23186371E-1
752	2.2451944E-1
597	2.25355775E-1
767	2.28839092E-1
135	2.29470721E-1
542	2.3053002E-1
334	2.31591595E-1
891	2.32948119E-1
905	2.33065272E-1
746	2.34874536E-1
765	2.35023494E-1
457	2.36447228E-1
829	2.36711539E-1
119	2.37262662E-1
474	2.38320649E-1
564	2.3900902E-1
725	2.39794739E-1
921	2.40619462E-1
591	2.4145664E-1
192	2.41672452E-1
300	2.42660007E-1
388	2.45863014E-1
759	2.46931735E-1
554	2.46985963E-1
766	2.47264942E-1
606	2.47497285E-1
452	2.48210521E-1
113	2.49180262E-1
534	2.49224493E-1
863	2.49444851E-1
954	2.49790483E-1
999	2.51006772E-1
271	2.523909E-1
682	2.53025677E-1
477	2.53999659E-1
150	2.54653832E-1
774	2.55136678E-1
201	2.56290808E-1
26	2.56706126E-1
568	2.56985777E-1
180	2.56998375E-1
262	2.57052102E-1
