Name	chi2Pvalue
309	2.77866775E-4
390	1.03569178E-3
3	1.08174814E-3
894	1.39619919E-3
928	3.4301925E-3
111	4.9019529E-3
706	4.97449038E-3
238	5.19454016E-3
856	5.51110981E-3
813	6.10749667E-3
176	6.35164967E-3
769	6.7902452E-3
296	8.44855713E-3
75	8.69594163E-3
775	1.11149817E-2
40	1.14643352E-2
198	1.23854436E-2
304	1.33168831E-2
914	1.37820936E-2
213	1.51213913E-2
698	1.54835709E-2
802	1.5604978E-2
127	1.57881152E-2
740	1.74519643E-2
68	1.85734953E-2
953	1.91959884E-2
374	2.16146879E-2
339	2.27183161E-2
124	2.29981642E-2
876	2.32660567E-2
499	2.71023836E-2
917	2.76530131E-2
276	2.99416311E-2
495	3.14437202E-2
626	3.42536849E-2
954	3.46298397E-2
33	3.46516924E-2
355	3.49494442E-2
714	3.64902611E-2
616	3.72657946E-2
777	3.7689229E-2
980	3.82908414E-2
646	3.9870673E-2
140	4.15648589E-2
721	4.15751831E-2
396	4.15935617E-2
586	4.20658107E-2
515	4.23461555E-2
43	4.26660499E-2
468	4.35568076E-2
488	4.37880986E-2
330	4.49771504E-2
816	4.50628415E-2
778	4.63815502E-2
349	4.9330209E-2
569	5.1425099E-2
423	5.24531174E-2
807	5.34238023E-2
703	5.3690048E-2
55	5.52404921E-2
867	5.54557685E-2
301	5.54794831E-2
456	5.61493563E-2
649	5.80499788E-2
542	6.09143991E-2
491	6.28636236E-2
946	6.42972993E-2
324	6.55996773E-2
670	6.6128441E-2
937	6.63592353E-2
921	6.68504782E-2
617	6.84279405E-2
397	6.95731027E-2
716	7.16155323E-2
774	7.25647348E-2
820	7.37148849E-2
582	7.56117736E-2
844	7.7913829E-2
981	7.80079365E-2
718	7.90263806E-2
745	8.09471661E-2
418	8.22392993E-2
964	8.41819446E-2
512	8.43192764E-2
377	8.54524507E-2
416	8.87560386E-2
320	9.01018915E-2
879	9.13028369E-2
245	9.23768673E-2
959	9.27424812E-2
900	9.35090285E-2
858	9.52045653E-2
594	9.57520011E-2
271	9.69454149E-2
209	9.8759714E-2
388	9.90668648E-2
773	1.0085311E-1
1008	1.02466866E-1
564	1.02672314E-1
901	1.02973303E-1
87	1.04118955E-1
861	1.04653358E-1
803	1.05730657E-1
794	1.06106965E-1
847	1.0654342E-1
8	1.0692228E-1
260	1.11909291E-1
239	1.13102458E-1
839	1.13417417E-1
29	1.13463687E-1
36	1.13747017E-1
308	1.14704185E-1
389	1.1777746E-1
256	1.17947166E-1
840	1.18275722E-1
91	1.18834112E-1
12	1.20809498E-1
545	1.21184678E-1
837	1.21214318E-1
41	1.21448125E-1
800	1.23312343E-1
467	1.24666517E-1
922	1.25063679E-1
842	1.25088757E-1
562	1.27924445E-1
287	1.30889028E-1
122	1.31045615E-1
609	1.31119618E-1
358	1.32031835E-1
305	1.34152069E-1
289	1.3445661E-1
457	1.35166871E-1
603	1.35172858E-1
1	1.35275992E-1
610	1.36230905E-1
370	1.38262059E-1
652	1.39209133E-1
306	1.40448666E-1
599	1.40639888E-1
82	1.41263538E-1
302	1.41286017E-1
354	1.41374299E-1
725	1.41888566E-1
154	1.42074368E-1
823	1.42455939E-1
770	1.43805087E-1
452	1.44765536E-1
92	1.48270456E-1
573	1.48604106E-1
860	1.4866802E-1
201	1.50195864E-1
57	1.50852302E-1
344	1.51516919E-1
263	1.53054778E-1
436	1.54225546E-1
51	1.55425792E-1
752	1.55611457E-1
795	1.55801252E-1
93	1.55807135E-1
250	1.57031457E-1
744	1.58166927E-1
236	1.59827875E-1
206	1.60047294E-1
60	1.60654187E-1
173	1.618295E-1
929	1.62445851E-1
607	1.62579745E-1
965	1.62858344E-1
758	1.62999408E-1
759	1.63301278E-1
231	1.6395953E-1
622	1.64984044E-1
135	1.6535181E-1
522	1.65521189E-1
613	1.65595609E-1
258	1.65686392E-1
595	1.6768628E-1
530	1.68557582E-1
508	1.68602696E-1
804	1.68828845E-1
975	1.7021694E-1
955	1.70556368E-1
951	1.71484727E-1
385	1.72741461E-1
443	1.74577843E-1
553	1.76816801E-1
841	1.78897002E-1
602	1.79064596E-1
1006	1.79610584E-1
521	1.80013109E-1
791	1.80056644E-1
180	1.83035938E-1
275	1.85431879E-1
992	1.85621312E-1
709	1.85764553E-1
948	1.89790077E-1
686	1.90565743E-1
350	1.96208839E-1
963	1.96212014E-1
828	1.97112781E-1
919	1.98624456E-1
628	1.98702038E-1
831	2.03115515E-1
683	2.03786155E-1
299	2.05392346E-1
291	2.05744599E-1
760	2.06128017E-1
273	2.06370411E-1
731	2.09552692E-1
592	2.09572605E-1
262	2.10898666E-1
664	2.10975038E-1
979	2.11350243E-1
926	2.12829983E-1
546	2.1411814E-1
958	2.15434804E-1
625	2.15604931E-1
451	2.18863105E-1
641	2.19447672E-1
