Name	chi2Pvalue
390	2.64731748E-9
176	7.36391642E-5
309	3.00449842E-4
111	4.55693074E-4
68	7.78875484E-4
664	1.40792675E-3
451	1.56547725E-3
317	1.63814068E-3
626	3.74895862E-3
802	4.02747281E-3
861	4.12395968E-3
912	5.10091598E-3
731	1.19531158E-2
354	1.85365176E-2
220	1.85877265E-2
625	1.9162995E-2
580	1.97764124E-2
43	2.16762156E-2
515	2.5030076E-2
522	2.70611539E-2
831	2.8356033E-2
468	2.95325236E-2
992	2.96152241E-2
373	3.01442955E-2
795	3.10420279E-2
103	3.17384421E-2
330	3.3655188E-2
917	3.39458058E-2
591	3.72357459E-2
363	3.87443034E-2
235	3.90378546E-2
788	4.12569241E-2
999	4.25579653E-2
964	4.2585032E-2
541	4.32307479E-2
634	4.40655321E-2
294	4.52592057E-2
476	4.60077769E-2
339	4.65750976E-2
257	4.73443724E-2
319	4.79755278E-2
697	5.01365895E-2
449	5.13479763E-2
75	5.17509948E-2
324	5.1935766E-2
672	5.28404979E-2
406	5.55814954E-2
619	5.57912446E-2
416	5.62151906E-2
491	5.7791551E-2
254	5.82138692E-2
306	5.92795428E-2
990	5.94639904E-2
710	5.9801014E-2
616	6.10796904E-2
767	6.15431353E-2
734	6.15555448E-2
506	6.24197459E-2
331	6.24441118E-2
751	6.29851736E-2
960	6.44527578E-2
239	6.4460449E-2
310	6.45069926E-2
192	6.48459464E-2
946	6.51347018E-2
787	6.59036751E-2
40	6.75013596E-2
841	6.78209786E-2
651	6.96265261E-2
1008	7.01971213E-2
89	7.11992208E-2
820	7.12616786E-2
300	7.12644669E-2
504	7.17903069E-2
1007	7.54215177E-2
1	7.69335755E-2
663	7.73705314E-2
750	7.73891349E-2
586	7.78752682E-2
799	7.90031241E-2
322	7.93018856E-2
459	7.93301415E-2
238	7.97159387E-2
460	8.0567523E-2
224	8.15165067E-2
833	8.17000184E-2
612	8.51254194E-2
894	8.62997686E-2
947	8.65610391E-2
377	8.65846374E-2
943	8.72675742E-2
953	8.79767435E-2
915	8.89392082E-2
765	8.91103623E-2
135	9.31444955E-2
597	9.31657288E-2
637	9.38954094E-2
959	9.39246574E-2
952	9.43539417E-2
122	9.65571252E-2
415	9.82184226E-2
512	9.94166577E-2
993	1.00421926E-1
883	1.03482466E-1
832	1.03918703E-1
385	1.06633318E-1
770	1.06981411E-1
191	1.07429248E-1
741	1.09324524E-1
478	1.09955922E-1
479	1.12646839E-1
884	1.14739428E-1
633	1.15252091E-1
622	1.15642462E-1
983	1.15702069E-1
488	1.16429888E-1
823	1.16580338E-1
774	1.21037079E-1
568	1.24026094E-1
193	1.24957269E-1
747	1.25035066E-1
212	1.25438468E-1
559	1.2724216E-1
856	1.30307278E-1
740	1.33011579E-1
269	1.33919657E-1
642	1.34626889E-1
10	1.35410555E-1
969	1.35763127E-1
477	1.36078E-1
78	1.36734883E-1
628	1.37620703E-1
696	1.38139914E-1
314	1.38406978E-1
499	1.39022399E-1
981	1.39350266E-1
28	1.42459114E-1
851	1.43421244E-1
320	1.44668927E-1
292	1.46280837E-1
706	1.47924189E-1
66	1.47952893E-1
860	1.50890936E-1
372	1.51843828E-1
481	1.53058983E-1
793	1.5392891E-1
873	1.54576408E-1
207	1.54853873E-1
684	1.57476519E-1
117	1.57902643E-1
205	1.58037975E-1
450	1.58469719E-1
687	1.60384491E-1
732	1.64385075E-1
850	1.65686259E-1
800	1.66016303E-1
764	1.66166877E-1
601	1.66531996E-1
180	1.67400489E-1
816	1.67631507E-1
878	1.68113495E-1
638	1.682494E-1
243	1.69297601E-1
606	1.69844725E-1
746	1.70717164E-1
127	1.71132865E-1
480	1.73565225E-1
718	1.73707405E-1
686	1.73909843E-1
817	1.74287502E-1
296	1.74521819E-1
738	1.76963626E-1
588	1.77166209E-1
519	1.77943451E-1
35	1.7876849E-1
426	1.80141299E-1
487	1.80155468E-1
474	1.80256975E-1
61	1.80801628E-1
41	1.81825361E-1
140	1.82716629E-1
659	1.8584059E-1
455	1.8627116E-1
681	1.86376327E-1
329	1.86551796E-1
763	1.88229665E-1
755	1.89173786E-1
484	1.89188826E-1
929	1.90412581E-1
211	1.91771162E-1
682	1.91950945E-1
308	1.92193805E-1
1006	1.95164694E-1
869	1.96401368E-1
38	1.97828551E-1
984	1.9813537E-1
26	1.99026565E-1
152	1.99648434E-1
705	2.00458127E-1
376	2.00631819E-1
807	2.00809356E-1
249	2.03911002E-1
464	2.03934579E-1
150	2.03979427E-1
578	2.10850519E-1
378	2.11233568E-1
431	2.13032596E-1
198	2.13646936E-1
617	2.14300537E-1
905	2.14935112E-1
196	2.15162094E-1
627	2.15255604E-1
658	2.16122805E-1
200	2.16815322E-1
278	2.17905433E-1
418	2.18311386E-1
690	2.19241911E-1
922	2.1961992E-1
614	2.20221092E-1
803	2.20906388E-1
673	2.23099535E-1
545	2.23560545E-1
394	2.28591447E-1
132	2.28988716E-1
748	2.29052962E-1
934	2.29509814E-1
924	2.32464212E-1
564	2.33254342E-1
116	2.34987674E-1
973	2.35020834E-1
550	2.35177721E-1
839	2.35199506E-1
471	2.35445667E-1
965	2.36072538E-1
789	2.3715328E-1
613	2.38521312E-1
676	2.39661936E-1
444	2.4133721E-1
928	2.42165799E-1
258	2.4287949E-1
726	2.43147933E-1
157	2.45337872E-1
752	2.45401368E-1
577	2.46348084E-1
158	2.4752445E-1
404	2.48424599E-1
1016	2.48620697E-1
975	2.48796219E-1
274	2.49726372E-1
417	2.50213141E-1
853	2.51044035E-1
4	2.51139493E-1
758	2.51292388E-1
847	2.51553058E-1
661	2.52202553E-1
109	2.52360455E-1
447	2.53606744E-1
632	2.54452638E-1
974	2.55043062E-1
872	2.58671266E-1
470	2.5874889E-1
124	2.59382284E-1
968	2.6018949E-1
153	2.60520688E-1
84	2.61573766E-1
58	2.6325911E-1
232	2.64962102E-1
229	2.65208742E-1
762	2.67384951E-1
250	2.69577297E-1
106	2.70163558E-1
73	2.71255761E-1
463	2.72630789E-1
81	2.74225925E-1
865	2.74361745E-1
910	2.7505985E-1
713	2.76480529E-1
