Name	chi2Pvalue
946	9.4786626E-5
396	6.23118423E-4
41	6.6813948E-4
740	9.80166449E-4
75	2.26483794E-3
552	2.69951286E-3
894	4.7728919E-3
55	5.84192338E-3
300	6.79888025E-3
43	6.94914739E-3
922	9.06028772E-3
829	1.0357097E-2
928	1.07627482E-2
698	1.32432636E-2
706	1.3499571E-2
823	1.41309033E-2
924	1.72746624E-2
30	1.78602207E-2
992	2.03050431E-2
610	2.19303996E-2
625	2.32672801E-2
508	2.34850941E-2
778	2.41988118E-2
939	2.4851741E-2
879	2.50316364E-2
637	2.56640841E-2
48	2.6711846E-2
519	2.69893014E-2
317	2.70920677E-2
538	2.72971863E-2
198	2.76257649E-2
224	2.81429483E-2
474	2.81765553E-2
546	2.82795641E-2
104	2.86287255E-2
57	2.89607542E-2
676	2.99311211E-2
413	3.27786302E-2
540	3.55267078E-2
59	3.64368511E-2
238	3.67326087E-2
890	3.68942539E-2
257	3.71764695E-2
958	3.84351251E-2
260	3.90911586E-2
416	3.92541904E-2
186	4.0986545E-2
858	4.31908906E-2
689	4.37225449E-2
533	4.53232269E-2
882	4.74575108E-2
744	4.80672064E-2
764	4.90504229E-2
74	5.03611588E-2
592	5.37115961E-2
87	5.39767669E-2
374	5.45656025E-2
79	5.66431161E-2
616	5.77036877E-2
960	5.84266183E-2
705	6.18255356E-2
807	6.31245316E-2
201	6.32677358E-2
566	6.43554764E-2
29	6.49452266E-2
650	6.50947834E-2
522	6.6563992E-2
718	6.77578677E-2
529	6.9045235E-2
103	6.94732907E-2
170	7.22945853E-2
461	7.31658551E-2
583	7.45110465E-2
876	7.48154852E-2
327	7.48675579E-2
745	7.71933142E-2
17	7.75654156E-2
254	7.77915595E-2
983	7.96439223E-2
861	8.10053551E-2
436	8.22809272E-2
343	8.34632347E-2
735	8.50402961E-2
324	8.66258522E-2
472	8.67159947E-2
459	8.72021034E-2
82	8.74903362E-2
802	8.79113101E-2
777	8.82048825E-2
1001	8.96127575E-2
542	9.06713958E-2
231	9.08868517E-2
411	9.09456643E-2
601	9.24951447E-2
981	9.33948232E-2
418	9.52483487E-2
985	9.62531633E-2
456	9.69772475E-2
12	9.80125767E-2
980	9.81463875E-2
1007	9.87135177E-2
525	1.00062357E-1
452	1.00491384E-1
622	1.00892972E-1
393	1.01449245E-1
512	1.02623852E-1
114	1.03363371E-1
481	1.04596217E-1
314	1.04843179E-1
207	1.06664881E-1
275	1.08313247E-1
245	1.09659551E-1
905	1.09997629E-1
917	1.11328631E-1
467	1.12536853E-1
951	1.12583603E-1
51	1.12662832E-1
499	1.13820236E-1
677	1.16007987E-1
856	1.16457233E-1
7	1.1721561E-1
206	1.17528698E-1
728	1.19869706E-1
173	1.21613265E-1
995	1.22481922E-1
460	1.23432954E-1
246	1.24734217E-1
433	1.25399537E-1
878	1.25826654E-1
270	1.27537617E-1
5	1.29057159E-1
584	1.29246053E-1
914	1.32579476E-1
117	1.32613441E-1
769	1.34836245E-1
193	1.36647183E-1
847	1.39569842E-1
291	1.40005519E-1
301	1.40937579E-1
3	1.4180433E-1
142	1.43099436E-1
399	1.4818553E-1
269	1.49845549E-1
339	1.50421139E-1
377	1.52357051E-1
289	1.54900395E-1
392	1.56456633E-1
782	1.57156333E-1
407	1.58323335E-1
527	1.62982907E-1
159	1.63197566E-1
353	1.63420155E-1
307	1.63649422E-1
530	1.65768171E-1
157	1.6759699E-1
119	1.67634038E-1
760	1.68017109E-1
292	1.68122423E-1
54	1.69133195E-1
1008	1.70274631E-1
56	1.70541942E-1
617	1.70627955E-1
107	1.70972174E-1
954	1.71596011E-1
424	1.73610249E-1
219	1.7509466E-1
787	1.75461509E-1
780	1.75636742E-1
191	1.76085823E-1
719	1.76570043E-1
912	1.82055462E-1
996	1.82436929E-1
495	1.82651646E-1
656	1.82672595E-1
929	1.8274096E-1
212	1.83523531E-1
697	1.84252475E-1
932	1.84520639E-1
560	1.8483403E-1
431	1.85053422E-1
302	1.85244206E-1
380	1.85890236E-1
586	1.86833383E-1
567	1.87190153E-1
510	1.89434577E-1
955	1.91280262E-1
1009	1.91472528E-1
682	1.91852326E-1
473	1.91885486E-1
664	1.94116537E-1
685	1.96688843E-1
775	1.99797057E-1
868	2.00310382E-1
181	2.00401079E-1
812	2.0058294E-1
222	2.00605782E-1
806	2.02497451E-1
516	2.03074552E-1
494	2.03174876E-1
766	2.03678792E-1
638	2.040327E-1
371	2.04780543E-1
730	2.05424372E-1
765	2.05448443E-1
641	2.07017216E-1
907	2.07897826E-1
294	2.10515061E-1
805	2.1101458E-1
860	2.12608103E-1
561	2.13600936E-1
91	2.1368784E-1
553	2.14454829E-1
727	2.16589008E-1
233	2.17013548E-1
20	2.17048171E-1
738	2.1719861E-1
854	2.17872532E-1
833	2.18056584E-1
548	2.18328637E-1
385	2.20735164E-1
45	2.21100964E-1
577	2.21266524E-1
784	2.21488934E-1
49	2.22193445E-1
394	2.25613076E-1
14	2.25722878E-1
935	2.25812725E-1
98	2.26116732E-1
721	2.26667257E-1
347	2.27378333E-1
919	2.2792404E-1
825	2.29052238E-1
451	2.31339255E-1
76	2.32155346E-1
832	2.33289975E-1
340	2.33845974E-1
599	2.37916516E-1
338	2.37976374E-1
613	2.39172016E-1
631	2.39229654E-1
547	2.41225297E-1
165	2.41675436E-1
791	2.41718186E-1
475	2.41829625E-1
8	2.42332832E-1
892	2.44278489E-1
614	2.44845244E-1
225	2.44865516E-1
429	2.45970454E-1
669	2.46261669E-1
582	2.48201305E-1
731	2.48292974E-1
115	2.48654075E-1
295	2.49623457E-1
604	2.51060909E-1
92	2.55968275E-1
166	2.56243707E-1
904	2.56684052E-1
603	2.57110259E-1
147	2.59555974E-1
320	2.60608282E-1
746	2.62249068E-1
239	2.62761384E-1
391	2.62949326E-1
122	2.63487727E-1
296	2.63672498E-1
321	2.65003586E-1
702	2.65961107E-1
811	2.66779747E-1
352	2.68673873E-1
514	2.68698973E-1
695	2.68738538E-1
333	2.7066964E-1
376	2.71003426E-1
836	2.71287581E-1
242	2.72348008E-1
390	2.72719253E-1
619	2.72933074E-1
715	2.7383731E-1
521	2.74570604E-1
457	2.74888587E-1
303	2.75210405E-1
180	2.75452961E-1
925	2.75943626E-1
651	2.76449502E-1
908	2.76912535E-1
725	2.78995023E-1
888	2.8003897E-1
541	2.87283361E-1
255	2.87993387E-1
205	2.88162893E-1
944	2.89572203E-1
845	2.89590753E-1
699	2.89778317E-1
262	2.90103097E-1
271	2.91970735E-1
134	2.9339057E-1
266	2.99040203E-1
796	3.00310921E-1
612	3.00370239E-1
415	3.02877838E-1
21	3.03496708E-1
607	3.04265505E-1
652	3.04495897E-1
772	3.05036982E-1
192	3.05285837E-1
1006	3.06781856E-1
565	3.08616622E-1
278	3.09778359E-1
828	3.10153682E-1
62	3.10729127E-1
940	3.10950194E-1
899	3.11369353E-1
750	3.12404271E-1
89	3.14075917E-1
330	3.14808263E-1
767	3.16591968E-1
177	3.17216476E-1
646	3.20433605E-1
306	3.21164924E-1
69	3.21580661E-1
551	3.2179053E-1
968	3.22976646E-1
389	3.23059598E-1
683	3.23812168E-1
648	3.23917733E-1
401	3.25825775E-1
680	3.2731631E-1
0	3.30290907E-1
400	3.35430519E-1
963	3.36957051E-1
13	3.38988788E-1
44	3.39347807E-1
58	3.40535371E-1
557	3.40874844E-1
432	3.42197177E-1
931	3.43107674E-1
361	3.45392707E-1
628	3.46141537E-1
397	3.468141E-1
402	3.48194012E-1
517	3.49344111E-1
488	3.50001351E-1
716	3.51026993E-1
187	3.5205766E-1
194	3.53528099E-1
204	3.54868874E-1
250	3.55784085E-1
700	3.56758086E-1
545	3.57069697E-1
211	3.58099165E-1
453	3.58933151E-1
28	3.59099178E-1
267	3.59430113E-1
379	3.59999715E-1
221	3.61288576E-1
679	3.62955909E-1
543	3.64283389E-1
273	3.64345616E-1
581	3.68514744E-1
113	3.68805418E-1
686	3.69551751E-1
763	3.71152034E-1
128	3.71904573E-1
518	3.72470457E-1
911	3.73178775E-1
349	3.73218811E-1
568	3.73572273E-1
435	3.74173843E-1
579	3.74304922E-1
658	3.74396257E-1
408	3.74564042E-1
865	3.77937071E-1
781	3.78335975E-1
573	3.78487194E-1
227	3.79844385E-1
875	3.79968507E-1
678	3.80763743E-1
86	3.81716444E-1
671	3.82765759E-1
891	3.82808598E-1
734	3.83189751E-1
759	3.83243833E-1
979	3.84037317E-1
428	3.84251471E-1
959	3.85433429E-1
326	3.85488713E-1
902	3.86309379E-1
962	3.86314817E-1
383	3.86444298E-1
942	3.87709327E-1
953	3.88730365E-1
93	3.90960833E-1
25	3.92206624E-1
712	3.92405842E-1
249	3.92562934E-1
788	3.94802357E-1
756	3.95919033E-1
218	3.95946293E-1
1015	3.96047794E-1
609	3.96276024E-1
895	3.9754684E-1
316	3.98268593E-1
643	3.98741429E-1
196	3.99032961E-1
618	3.99639991E-1
755	4.00725708E-1
874	4.01879393E-1
634	4.03117002E-1
162	4.05630704E-1
966	4.0596977E-1
910	4.06308422E-1
332	4.06331425E-1
27	4.06369062E-1
110	4.07021402E-1
921	4.07249923E-1
870	4.08529797E-1
1017	4.09040067E-1
67	4.09409581E-1
497	4.0946184E-1
373	4.10028019E-1
334	4.11108321E-1
667	4.11213372E-1
783	4.1131947E-1
555	4.15795229E-1
692	4.18174755E-1
297	4.18281708E-1
602	4.19650309E-1
999	4.21686975E-1
414	4.22407152E-1
989	4.236824E-1
817	4.24543107E-1
768	4.25101364E-1
799	4.25161157E-1
360	4.26744386E-1
707	4.31088734E-1
479	4.31361755E-1
189	4.33177656E-1
688	4.34670231E-1
288	4.34750002E-1
329	4.42070571E-1
526	4.42548193E-1
841	4.43630168E-1
964	4.45394186E-1
60	4.45493793E-1
906	4.47156307E-1
887	4.47670766E-1
445	4.4787571E-1
855	4.4869768E-1
304	4.50535825E-1
4	4.50674819E-1
223	4.5198653E-1
994	4.522549E-1
100	4.5255636E-1
901	4.52584394E-1
785	4.5488567E-1
490	4.55055529E-1
627	4.5546398E-1
357	4.55969666E-1
36	4.56301344E-1
571	4.60363984E-1
344	4.63039294E-1
308	4.63586757E-1
539	4.64994025E-1
150	4.66615812E-1
550	4.69799342E-1
826	4.69932622E-1
22	4.70327186E-1
468	4.71095876E-1
544	4.72077751E-1
169	4.74239609E-1
531	4.74748291E-1
820	4.75454569E-1
70	4.75475897E-1
839	4.76054904E-1
794	4.76731266E-1
482	4.76905424E-1
971	4.77507644E-1
151	4.77868886E-1
2	4.78157238E-1
464	4.78867883E-1
284	4.78935746E-1
220	4.78945663E-1
276	4.80229844E-1
633	4.8050329E-1
595	4.81346835E-1
850	4.82230175E-1
53	4.82891496E-1
94	4.83733749E-1
974	4.84878736E-1
184	4.85923323E-1
975	4.87360852E-1
156	4.87806585E-1
293	4.88057391E-1
423	4.8876288E-1
259	4.89454395E-1
463	4.8961184E-1
569	4.91659848E-1
1020	4.92162084E-1
881	4.92192044E-1
937	4.92364595E-1
1012	4.92572275E-1
35	4.93659943E-1
853	4.93955429E-1
558	4.95187208E-1
639	4.95846839E-1
470	4.96979574E-1
748	4.97462672E-1
143	4.97684643E-1
