Name	chi2Pvalue
740	1.50709019E-4
928	7.60892249E-4
894	8.86861553E-4
75	1.61546267E-3
706	2.27592729E-3
238	2.30632212E-3
374	6.61045451E-3
914	7.044095E-3
41	7.32705595E-3
807	9.05888782E-3
43	9.0928142E-3
951	1.00584098E-2
721	1.10768352E-2
456	1.42870695E-2
638	1.52779009E-2
698	1.66273477E-2
664	1.85801313E-2
30	1.85816627E-2
300	1.91778727E-2
418	2.02360373E-2
269	2.03477712E-2
231	2.1987898E-2
992	2.40044257E-2
499	2.48441908E-2
3	2.49700486E-2
198	2.51428015E-2
508	2.5643631E-2
599	2.66901056E-2
206	2.88731301E-2
436	3.00660627E-2
946	3.33339691E-2
769	3.35855029E-2
718	3.36294296E-2
922	3.37221915E-2
847	3.3919919E-2
546	3.5951991E-2
275	3.67194423E-2
542	3.72645482E-2
48	3.78466204E-2
87	3.97321763E-2
173	4.05689416E-2
170	4.05858359E-2
858	4.09804494E-2
82	4.20614301E-2
55	4.6776885E-2
260	4.70518779E-2
305	4.8000448E-2
538	4.81580598E-2
396	4.90969928E-2
289	4.95149592E-2
744	5.25787721E-2
74	5.34439775E-2
879	5.4038956E-2
778	5.50203231E-2
592	5.67703073E-2
314	5.78631886E-2
533	5.88602526E-2
344	6.00377529E-2
516	6.24437529E-2
954	6.34475144E-2
207	6.38042002E-2
522	6.55428837E-2
271	6.58437587E-2
652	6.81071292E-2
257	7.1647225E-2
641	7.17362545E-2
637	7.21306936E-2
775	7.50310093E-2
610	7.5980726E-2
646	7.70494893E-2
512	7.86356475E-2
8	8.12285593E-2
321	8.21512943E-2
148	8.32155858E-2
825	8.51779791E-2
924	8.73782062E-2
327	8.87066491E-2
860	9.446055E-2
291	9.45308584E-2
324	9.47652942E-2
582	9.53358139E-2
494	9.5441E-2
890	9.54503965E-2
888	9.54762773E-2
57	9.60547469E-2
616	9.63276493E-2
553	9.65584884E-2
467	9.67005554E-2
219	9.81547485E-2
981	9.98215746E-2
774	1.01282211E-1
186	1.01620214E-1
147	1.03652082E-1
868	1.03851897E-1
433	1.0421693E-1
424	1.04571952E-1
566	1.05167522E-1
963	1.05308534E-1
459	1.06312892E-1
925	1.07715657E-1
392	1.09512824E-1
402	1.09749721E-1
836	1.10059812E-1
201	1.11973989E-1
960	1.13882612E-1
689	1.15159117E-1
760	1.17964021E-1
349	1.19475295E-1
856	1.19566068E-1
270	1.1977943E-1
829	1.23528328E-1
745	1.2362375E-1
397	1.23637987E-1
787	1.24677842E-1
59	1.25418536E-1
1007	1.26178109E-1
302	1.2659716E-1
389	1.26983053E-1
777	1.27516746E-1
79	1.28257633E-1
221	1.30217925E-1
98	1.30680305E-1
806	1.34483E-1
380	1.35982781E-1
191	1.36187415E-1
650	1.36832245E-1
814	1.37822147E-1
399	1.38013317E-1
805	1.38554913E-1
236	1.38707366E-1
929	1.39055693E-1
802	1.39908561E-1
907	1.40092973E-1
962	1.40336534E-1
413	1.40729702E-1
45	1.40790284E-1
917	1.41231091E-1
655	1.43040637E-1
263	1.43077971E-1
540	1.43913462E-1
189	1.43994601E-1
953	1.44162036E-1
955	1.45281162E-1
728	1.46147128E-1
676	1.4771032E-1
586	1.48324632E-1
423	1.48501834E-1
823	1.4990905E-1
975	1.50666985E-1
370	1.50973856E-1
625	1.51841355E-1
758	1.52465992E-1
17	1.53852203E-1
939	1.55361019E-1
966	1.55368264E-1
882	1.55437082E-1
678	1.57647323E-1
460	1.58115999E-1
33	1.5859527E-1
239	1.59320467E-1
339	1.61140107E-1
617	1.64585812E-1
411	1.64994928E-1
715	1.67596115E-1
472	1.6953844E-1
119	1.69871826E-1
317	1.70814467E-1
51	1.71196764E-1
224	1.72043458E-1
14	1.72161261E-1
5	1.72302905E-1
262	1.7416583E-1
473	1.74490235E-1
767	1.74947446E-1
488	1.76047774E-1
716	1.7794644E-1
583	1.78471548E-1
180	1.79841253E-1
122	1.81113372E-1
958	1.81274087E-1
811	1.81516541E-1
104	1.82201924E-1
454	1.83330622E-1
791	1.87306264E-1
919	1.87519097E-1
209	1.87753664E-1
76	1.89971289E-1
983	1.90365066E-1
91	1.91249793E-1
727	1.91581848E-1
20	1.92296322E-1
495	1.92621975E-1
394	1.92704267E-1
1008	1.96658778E-1
461	1.96794877E-1
254	1.98061095E-1
609	1.98703789E-1
772	1.99043526E-1
287	2.00617962E-1
985	2.01989821E-1
1001	2.02627861E-1
911	2.04291941E-1
379	2.04866125E-1
415	2.05941881E-1
320	2.0654576E-1
245	2.06979281E-1
24	2.07535807E-1
779	2.08870039E-1
159	2.09051277E-1
353	2.13048751E-1
407	2.13913091E-1
29	2.13997094E-1
301	2.15047007E-1
519	2.15768862E-1
528	2.15831099E-1
307	2.16186174E-1
545	2.18309762E-1
796	2.19403163E-1
165	2.21374981E-1
980	2.21456573E-1
565	2.2190931E-1
892	2.22811429E-1
432	2.23033145E-1
142	2.23063371E-1
276	2.23915757E-1
53	2.24696603E-1
837	2.25455841E-1
987	2.25526653E-1
979	2.26888218E-1
826	2.28628516E-1
517	2.29485062E-1
544	2.30377915E-1
39	2.33052866E-1
905	2.33198392E-1
242	2.35876341E-1
876	2.3623194E-1
347	2.3636868E-1
266	2.3681251E-1
548	2.37557767E-1
571	2.38344544E-1
117	2.40048643E-1
220	2.40977062E-1
313	2.4121176E-1
530	2.41519278E-1
303	2.42138714E-1
100	2.44530598E-1
139	2.45214003E-1
539	2.45329472E-1
4	2.45454382E-1
782	2.45497259E-1
902	2.45613384E-1
393	2.46175467E-1
343	2.46469506E-1
377	2.46998875E-1
419	2.47322755E-1
968	2.49684983E-1
649	2.54737477E-1
390	2.55084732E-1
759	2.55140131E-1
618	2.5759029E-1
428	2.58177598E-1
194	2.58614642E-1
794	2.59206108E-1
296	2.59785706E-1
673	2.61462339E-1
784	2.62026919E-1
594	2.62083889E-1
577	2.6238125E-1
225	2.6390672E-1
971	2.6439736E-1
278	2.65907024E-1
562	2.65939854E-1
656	2.67782329E-1
714	2.67798888E-1
34	2.67954238E-1
162	2.67995525E-1
497	2.68240226E-1
812	2.68373093E-1
250	2.69469644E-1
21	2.69734722E-1
56	2.70485932E-1
629	2.70521649E-1
345	2.7187986E-1
49	2.71971218E-1
552	2.72106514E-1
7	2.72192217E-1
183	2.72274889E-1
595	2.73658252E-1
120	2.74438334E-1
154	2.74506208E-1
665	2.75666565E-1
103	2.75847821E-1
709	2.78103573E-1
861	2.78611945E-1
763	2.7939753E-1
69	2.79790574E-1
133	2.80681217E-1
865	2.82406154E-1
603	2.83532755E-1
604	2.88098011E-1
72	2.88327177E-1
901	2.887897E-1
192	2.889734E-1
267	2.89431795E-1
555	2.90103661E-1
308	2.90146484E-1
956	2.90240072E-1
1009	2.90267009E-1
699	2.90681367E-1
412	2.91798544E-1
333	2.91801183E-1
589	2.92792693E-1
212	2.93262918E-1
93	2.94021158E-1
899	2.94646302E-1
764	2.96714131E-1
400	2.96904585E-1
452	3.007498E-1
83	3.01456764E-1
514	3.02799263E-1
995	3.06736045E-1
765	3.07652148E-1
600	3.07908421E-1
581	3.08115535E-1
669	3.08867687E-1
520	3.10608904E-1
560	3.12284648E-1
635	3.12912287E-1
748	3.1291498E-1
58	3.12981731E-1
81	3.13232358E-1
114	3.13653477E-1
319	3.13695492E-1
187	3.14875201E-1
213	3.1626175E-1
284	3.16313381E-1
685	3.16539474E-1
567	3.16568791E-1
910	3.17803614E-1
406	3.17826224E-1
658	3.1796048E-1
867	3.19177158E-1
622	3.20330207E-1
537	3.21538813E-1
13	3.21957168E-1
756	3.22036395E-1
222	3.225045E-1
223	3.22677754E-1
157	3.23045485E-1
288	3.23334537E-1
766	3.23602352E-1
0	3.24968285E-1
547	3.25876142E-1
957	3.27619081E-1
174	3.29061248E-1
190	3.29146381E-1
479	3.30339239E-1
662	3.3347571E-1
989	3.33888091E-1
601	3.3428906E-1
686	3.34498014E-1
639	3.34978065E-1
738	3.36667197E-1
416	3.36805972E-1
936	3.37070004E-1
485	3.37173808E-1
683	3.38176465E-1
903	3.38630693E-1
931	3.40234758E-1
367	3.40778961E-1
563	3.41452342E-1
619	3.41668095E-1
28	3.43011636E-1
84	3.43731561E-1
371	3.45025513E-1
550	3.45859038E-1
306	3.47089596E-1
19	3.48208143E-1
470	3.5233965E-1
205	3.53562856E-1
137	3.56138295E-1
334	3.61617909E-1
813	3.64997739E-1
268	3.65885457E-1
870	3.66939199E-1
253	3.68354039E-1
282	3.69381599E-1
940	3.69917441E-1
942	3.71086377E-1
92	3.71607081E-1
304	3.7299482E-1
286	3.73301199E-1
833	3.77328284E-1
350	3.77775013E-1
680	3.79595127E-1
12	3.79775436E-1
959	3.80953779E-1
101	3.83919913E-1
489	3.84812754E-1
115	3.85425846E-1
241	3.85632367E-1
60	3.861793E-1
697	3.87723784E-1
129	3.89463252E-1
445	3.90046379E-1
293	3.91071729E-1
875	3.91270217E-1
973	3.94250343E-1
37	3.96186843E-1
705	3.96551485E-1
54	3.96999185E-1
361	3.97316109E-1
233	3.99402409E-1
230	3.99473648E-1
996	3.99922706E-1
529	4.00666072E-1
620	4.00692827E-1
852	4.0126606E-1
904	4.01271772E-1
593	4.02123289E-1
518	4.03051528E-1
521	4.04570446E-1
853	4.07867791E-1
554	4.0831517E-1
256	4.08590041E-1
128	4.08601774E-1
633	4.09031621E-1
372	4.1054801E-1
828	4.11512781E-1
746	4.11939496E-1
895	4.13479894E-1
614	4.1511112E-1
156	4.15453349E-1
613	4.15593587E-1
526	4.16506902E-1
730	4.17891103E-1
561	4.18326988E-1
249	4.21381634E-1
742	4.22404259E-1
474	4.22417286E-1
1015	4.24098117E-1
608	4.25533811E-1
735	4.30802752E-1
912	4.32363653E-1
408	4.33297978E-1
340	4.33895763E-1
332	4.37673898E-1
653	4.38501514E-1
527	4.39000101E-1
62	4.41339735E-1
258	4.44756445E-1
297	4.46891947E-1
482	4.47745899E-1
70	4.48360509E-1
964	4.5100709E-1
486	4.51269577E-1
835	4.52756273E-1
330	4.54010947E-1
27	4.54038729E-1
808	4.56861327E-1
575	4.59610387E-1
994	4.59935754E-1
840	4.61069903E-1
569	4.61090672E-1
388	4.6164453E-1
677	4.63321223E-1
285	4.63733248E-1
703	4.67054514E-1
681	4.68446614E-1
446	4.6914091E-1
731	4.69589324E-1
568	4.69972238E-1
481	4.71089545E-1
531	4.72496303E-1
354	4.72700851E-1
385	4.73460035E-1
475	4.73800766E-1
719	4.74200996E-1
184	4.74970482E-1
993	4.78017083E-1
800	4.80796432E-1
36	4.8121096E-1
338	4.82049896E-1
169	4.83882866E-1
358	4.8450287E-1
443	4.85398163E-1
435	4.85609863E-1
831	4.8591136E-1
921	4.87143717E-1
874	4.88334848E-1
792	4.8838053E-1
684	4.88461815E-1
817	4.92178843E-1
421	4.93185877E-1
42	4.93917747E-1
26	4.95693707E-1
781	4.95951614E-1
145	4.96230899E-1
773	4.97154786E-1
729	5.01141789E-1
