Name	chi2Pvalue
946	2.51563773E-4
552	1.57553771E-3
474	1.61153108E-3
983	2.35353048E-3
396	2.61929386E-3
591	4.5023644E-3
257	4.67770632E-3
878	4.9748659E-3
104	6.8065009E-3
584	7.90759122E-3
453	7.95731127E-3
540	8.15006182E-3
41	1.18928054E-2
373	1.22010631E-2
802	1.27485242E-2
86	1.2934037E-2
799	1.53288437E-2
416	1.65285683E-2
57	1.73828346E-2
777	1.847398E-2
939	2.09122998E-2
13	2.19754768E-2
682	2.32194971E-2
705	2.34605626E-2
55	2.40387438E-2
671	2.61371315E-2
429	2.86076713E-2
103	3.03253782E-2
995	3.05134598E-2
260	3.09689463E-2
360	3.22545989E-2
882	3.24030005E-2
114	3.36666631E-2
449	3.4983414E-2
572	3.50255689E-2
538	3.64428344E-2
985	3.72247027E-2
667	3.84622036E-2
812	4.05877836E-2
909	4.23212894E-2
431	4.28217727E-2
56	4.28559735E-2
823	4.33836936E-2
186	4.40912876E-2
335	4.51976422E-2
413	4.64343139E-2
706	4.72057485E-2
246	4.73034352E-2
639	4.95070406E-2
1001	4.98066088E-2
142	5.06867207E-2
519	5.09909451E-2
59	5.22479485E-2
450	5.34621513E-2
603	5.38511843E-2
78	5.48599831E-2
65	5.48992983E-2
676	5.67410619E-2
625	5.84831859E-2
367	5.89908234E-2
1007	5.97204322E-2
255	6.04659931E-2
627	6.29128253E-2
193	6.40910721E-2
697	6.46810536E-2
577	6.53138378E-2
512	6.55244832E-2
960	6.60366086E-2
613	6.64278922E-2
778	6.6788326E-2
107	6.73067564E-2
12	6.73146222E-2
163	6.78773538E-2
741	6.82643787E-2
685	6.91744005E-2
764	7.18695097E-2
735	7.22547245E-2
468	7.31375239E-2
1006	7.46264184E-2
891	7.57051432E-2
376	7.58776278E-2
295	7.60351667E-2
224	7.65674597E-2
586	7.8321482E-2
170	7.93497027E-2
84	7.93584838E-2
890	8.03252253E-2
782	8.10898748E-2
465	8.35857782E-2
331	8.60465954E-2
740	8.63984369E-2
212	8.79434203E-2
391	8.86145912E-2
457	9.09692798E-2
924	9.15108784E-2
473	9.24449366E-2
222	9.4654496E-2
328	9.59500881E-2
598	9.66927285E-2
559	1.01692517E-1
640	1.01787681E-1
542	1.05557202E-1
999	1.05989613E-1
547	1.06003101E-1
895	1.06115217E-1
294	1.06775921E-1
787	1.07811904E-1
254	1.08129859E-1
961	1.08170869E-1
641	1.08181201E-1
172	1.08492371E-1
436	1.0878764E-1
2	1.09715645E-1
317	1.10667154E-1
631	1.11365992E-1
497	1.11385303E-1
980	1.12030982E-1
996	1.12423039E-1
820	1.12529223E-1
300	1.12886958E-1
221	1.151397E-1
181	1.15154883E-1
604	1.15610504E-1
607	1.17025987E-1
699	1.21323916E-1
106	1.24111074E-1
838	1.24769141E-1
319	1.24943681E-1
845	1.25467457E-1
385	1.26237704E-1
117	1.30567803E-1
919	1.30935038E-1
434	1.32244374E-1
508	1.32434964E-1
426	1.37242539E-1
158	1.3739919E-1
43	1.39358405E-1
525	1.4000817E-1
692	1.41061256E-1
974	1.41535203E-1
119	1.42220032E-1
861	1.42785682E-1
153	1.47615632E-1
876	1.47804569E-1
443	1.48740898E-1
610	1.4920114E-1
651	1.50307527E-1
638	1.51255406E-1
35	1.52289269E-1
968	1.5327666E-1
143	1.54507742E-1
645	1.55099311E-1
206	1.55889982E-1
0	1.56142498E-1
849	1.56149363E-1
71	1.58321084E-1
687	1.58676228E-1
668	1.59716265E-1
579	1.61018935E-1
730	1.61102657E-1
622	1.6186828E-1
481	1.64522724E-1
628	1.64620358E-1
879	1.65568515E-1
44	1.71653113E-1
455	1.72596717E-1
121	1.72758636E-1
601	1.75267497E-1
592	1.75606993E-1
233	1.7620495E-1
940	1.76887452E-1
614	1.76999221E-1
232	1.8059442E-1
728	1.80882117E-1
313	1.81037185E-1
533	1.82621935E-1
541	1.82953815E-1
160	1.83235542E-1
809	1.83459481E-1
219	1.83788417E-1
637	1.83908845E-1
912	1.84082796E-1
30	1.85215006E-1
734	1.86261632E-1
17	1.87577962E-1
79	1.88412984E-1
51	1.88608661E-1
749	1.89834247E-1
527	1.90169324E-1
357	1.92318355E-1
338	1.93315139E-1
962	1.93533909E-1
829	1.96109083E-1
689	1.96711104E-1
585	1.9767812E-1
113	1.98992888E-1
883	1.99617151E-1
110	2.00112515E-1
7	2.00361387E-1
291	2.00804952E-1
191	2.00917942E-1
92	2.0162601E-1
377	2.01822428E-1
235	2.0395475E-1
731	2.05196294E-1
11	2.05228949E-1
197	2.05744152E-1
913	2.06383933E-1
755	2.08396551E-1
752	2.11877528E-1
441	2.12116241E-1
642	2.13077596E-1
95	2.15027503E-1
566	2.15903255E-1
656	2.16040503E-1
725	2.16123768E-1
1	2.16151794E-1
378	2.16220807E-1
964	2.1631945E-1
273	2.17482235E-1
54	2.17853739E-1
242	2.2044413E-1
583	2.20478434E-1
972	2.2115704E-1
750	2.219217E-1
445	2.22819388E-1
761	2.23150559E-1
976	2.23334438E-1
207	2.23999096E-1
981	2.26345826E-1
267	2.26382328E-1
439	2.28731578E-1
855	2.28909614E-1
575	2.30544807E-1
5	2.30992414E-1
484	2.3281572E-1
307	2.34959125E-1
529	2.35011499E-1
555	2.36764424E-1
905	2.36994143E-1
240	2.37470068E-1
917	2.3798998E-1
831	2.40477338E-1
832	2.4090937E-1
1017	2.42010956E-1
230	2.45079025E-1
395	2.46347347E-1
543	2.46538005E-1
747	2.47413191E-1
475	2.47500693E-1
134	2.49114707E-1
560	2.52005125E-1
746	2.55363943E-1
248	2.55706704E-1
152	2.55961611E-1
715	2.5712439E-1
334	2.58143694E-1
292	2.59515645E-1
808	2.60283971E-1
259	2.62397555E-1
833	2.63248198E-1
256	2.64006764E-1
992	2.6581859E-1
643	2.66123508E-1
80	2.66170604E-1
461	2.67058301E-1
712	2.67574995E-1
935	2.70788118E-1
887	2.71219259E-1
546	2.73103183E-1
336	2.73658468E-1
67	2.73821728E-1
902	2.75807933E-1
922	2.76408091E-1
208	2.78039028E-1
858	2.7849301E-1
522	2.78667284E-1
151	2.78903528E-1
200	2.80633443E-1
657	2.82071197E-1
739	2.82268084E-1
63	2.82427382E-1
245	2.83023244E-1
677	2.83263818E-1
424	2.83796459E-1
853	2.84880569E-1
340	2.86335919E-1
393	2.88330507E-1
644	2.89276288E-1
521	2.89672834E-1
565	2.90224218E-1
719	2.90432872E-1
339	2.91260118E-1
446	2.91860664E-1
875	2.91962951E-1
435	2.92327497E-1
296	2.92776934E-1
780	2.94161046E-1
647	2.96680604E-1
440	2.9781278E-1
1008	2.98443272E-1
372	2.98684421E-1
471	2.99025522E-1
451	2.99552496E-1
726	3.02123075E-1
355	3.03497679E-1
959	3.0458126E-1
781	3.06113898E-1
495	3.07179238E-1
329	3.09043858E-1
612	3.09251031E-1
994	3.10350415E-1
408	3.10469916E-1
420	3.1058235E-1
827	3.10623406E-1
472	3.10737602E-1
476	3.1085788E-1
127	3.11030182E-1
513	3.1316687E-1
75	3.13711717E-1
177	3.14174586E-1
813	3.14618815E-1
841	3.14859774E-1
658	3.17563186E-1
215	3.20285534E-1
952	3.20419241E-1
648	3.20551759E-1
277	3.21218967E-1
37	3.21255148E-1
872	3.21474256E-1
286	3.23270918E-1
174	3.23906253E-1
663	3.24896893E-1
322	3.25757042E-1
768	3.26088532E-1
931	3.26731149E-1
263	3.27315264E-1
745	3.28735142E-1
14	3.30438037E-1
351	3.31621338E-1
352	3.31868259E-1
499	3.32061617E-1
828	3.32325034E-1
698	3.3266964E-1
10	3.34998376E-1
650	3.36076819E-1
289	3.36578867E-1
218	3.37128521E-1
700	3.37933298E-1
421	3.38030344E-1
1005	3.41835044E-1
405	3.41896127E-1
509	3.42871959E-1
238	3.43402355E-1
192	3.43430334E-1
733	3.43860099E-1
596	3.44295639E-1
261	3.44386247E-1
