Name	chi2Pvalue
740	1.62531382E-5
928	6.7168352E-5
823	4.94630674E-4
894	8.66255914E-4
778	8.97428769E-4
257	2.68857486E-3
802	3.13457375E-3
946	3.49606003E-3
744	3.50178243E-3
317	3.70209379E-3
75	3.71519442E-3
48	4.89457194E-3
706	6.25078155E-3
238	6.84249134E-3
103	1.04899424E-2
858	1.13836307E-2
958	1.70645527E-2
3	1.72398731E-2
55	1.76146651E-2
914	1.84558963E-2
705	1.86411049E-2
610	1.94881444E-2
616	2.07708609E-2
698	2.09439043E-2
650	2.10229521E-2
829	2.22488203E-2
221	2.36168335E-2
960	2.39741445E-2
625	2.50387308E-2
718	2.50530434E-2
951	2.53849461E-2
396	2.55969373E-2
467	2.56903564E-2
879	2.87384108E-2
459	3.32877803E-2
30	3.33665767E-2
327	3.47899734E-2
637	3.50003459E-2
206	3.59328825E-2
833	3.61722006E-2
508	3.66874161E-2
586	3.98293585E-2
43	4.02707735E-2
714	4.10562839E-2
955	4.14953548E-2
769	4.22349288E-2
41	4.24509648E-2
300	4.36720654E-2
499	4.3876976E-2
91	4.38970515E-2
389	4.41157179E-2
777	4.4734771E-2
451	4.50834787E-2
721	4.54174551E-2
104	4.57751348E-2
1008	4.59939103E-2
416	4.69984859E-2
301	4.71692024E-2
122	4.76808439E-2
302	4.77533138E-2
919	4.97747305E-2
917	5.05599601E-2
641	5.07244191E-2
399	5.15486971E-2
980	5.40136192E-2
374	5.42237741E-2
87	5.62492292E-2
249	5.63850278E-2
924	5.70333176E-2
622	5.70727554E-2
198	5.76356989E-2
275	5.81104315E-2
530	5.95269181E-2
377	5.99262979E-2
360	6.50670933E-2
782	6.5706734E-2
12	6.62274912E-2
689	6.73613927E-2
566	6.79584438E-2
189	6.81643235E-2
860	6.87607243E-2
13	6.89599861E-2
922	6.9710418E-2
436	6.98548654E-2
765	7.19870117E-2
343	7.28720817E-2
546	7.56462505E-2
267	7.75242047E-2
433	7.78014168E-2
979	7.8495896E-2
638	8.04869662E-2
219	8.096016E-2
514	8.14847078E-2
1006	8.20347185E-2
403	8.36745454E-2
583	8.58266352E-2
861	8.62878146E-2
533	8.69760169E-2
173	8.76688158E-2
1009	8.87793333E-2
193	8.88394799E-2
59	9.02713284E-2
1017	9.3626586E-2
542	9.382804E-2
117	9.57641612E-2
512	9.63291863E-2
79	9.65350247E-2
488	9.68663918E-2
772	9.94442038E-2
679	9.95842111E-2
225	9.99283425E-2
602	9.99286748E-2
191	1.00020236E-1
324	1.04166228E-1
142	1.06812198E-1
712	1.06981888E-1
905	1.09120749E-1
25	1.09251436E-1
966	1.09879482E-1
295	1.12375272E-1
562	1.12550243E-1
231	1.13850022E-1
703	1.14420882E-1
867	1.1630143E-1
289	1.16657008E-1
270	1.20076216E-1
314	1.21116503E-1
929	1.22202785E-1
147	1.22389459E-1
964	1.22766586E-1
529	1.2370938E-1
354	1.23841792E-1
20	1.24530248E-1
339	1.24974232E-1
305	1.25484435E-1
758	1.26488011E-1
975	1.26824855E-1
239	1.26989386E-1
114	1.28014505E-1
985	1.28433438E-1
702	1.29935212E-1
651	1.30486297E-1
307	1.30680679E-1
468	1.30989939E-1
157	1.31073706E-1
254	1.3199137E-1
738	1.32178819E-1
484	1.32490256E-1
338	1.33485537E-1
699	1.33511961E-1
93	1.35964548E-1
57	1.36517443E-1
269	1.38304431E-1
552	1.38409906E-1
456	1.39290889E-1
731	1.39947834E-1
680	1.40213301E-1
519	1.4273937E-1
415	1.43446022E-1
479	1.45146683E-1
356	1.4579238E-1
981	1.47343469E-1
250	1.47565725E-1
759	1.47990218E-1
457	1.48850037E-1
992	1.50027995E-1
856	1.5162999E-1
745	1.53544913E-1
882	1.57821554E-1
522	1.5987411E-1
868	1.60696168E-1
494	1.62894461E-1
56	1.66373194E-1
766	1.70105808E-1
394	1.70198197E-1
385	1.71598234E-1
397	1.71695829E-1
501	1.72599997E-1
775	1.72878855E-1
380	1.73746499E-1
74	1.74088794E-1
407	1.7414304E-1
431	1.75756902E-1
390	1.75880605E-1
8	1.76352199E-1
45	1.76833492E-1
912	1.77334733E-1
796	1.77999709E-1
227	1.78931837E-1
606	1.81165973E-1
697	1.82129537E-1
510	1.82324223E-1
899	1.8280817E-1
544	1.83129098E-1
935	1.83551656E-1
875	1.83587794E-1
491	1.84037015E-1
205	1.85746123E-1
472	1.86073849E-1
599	1.86898945E-1
921	1.88469851E-1
489	1.88684162E-1
982	1.90602421E-1
682	1.93794984E-1
604	1.94254016E-1
76	1.94289025E-1
876	1.96451957E-1
344	1.97928691E-1
787	2.01209443E-1
292	2.02123357E-1
931	2.02253746E-1
306	2.02786529E-1
832	2.03327605E-1
567	2.0427083E-1
379	2.07018919E-1
902	2.11180207E-1
18	2.13647027E-1
676	2.1765253E-1
516	2.18705644E-1
813	2.19413285E-1
392	2.19946373E-1
878	2.20118645E-1
424	2.20518848E-1
296	2.21422948E-1
400	2.21638485E-1
548	2.23329912E-1
429	2.23331428E-1
481	2.23708419E-1
565	2.23824522E-1
246	2.24321068E-1
427	2.24500609E-1
521	2.26106913E-1
452	2.26473753E-1
54	2.26994979E-1
664	2.2813781E-1
733	2.2913045E-1
828	2.29440898E-1
911	2.29714252E-1
640	2.30396834E-1
807	2.31226613E-1
444	2.31623676E-1
695	2.32438028E-1
811	2.32650137E-1
503	2.35308001E-1
538	2.36349711E-1
837	2.37743124E-1
1001	2.40026461E-1
347	2.40938476E-1
939	2.44254937E-1
5	2.45228476E-1
686	2.45686459E-1
194	2.464429E-1
4	2.46654605E-1
612	2.46941812E-1
233	2.47922736E-1
316	2.48128225E-1
844	2.48245396E-1
715	2.48883318E-1
201	2.49328904E-1
594	2.50678716E-1
130	2.51810216E-1
806	2.55138806E-1
207	2.56236144E-1
601	2.56592863E-1
212	2.57208163E-1
890	2.59910328E-1
38	2.6078968E-1
352	2.63004E-1
613	2.63236552E-1
134	2.64421243E-1
626	2.65039414E-1
603	2.65612348E-1
627	2.65819291E-1
500	2.66827125E-1
925	2.67746743E-1
353	2.68424099E-1
735	2.68638647E-1
805	2.68727218E-1
39	2.68898547E-1
17	2.71539541E-1
92	2.72106238E-1
186	2.74241729E-1
320	2.75224792E-1
423	2.75411423E-1
170	2.75715106E-1
581	2.75842222E-1
866	2.7924651E-1
99	2.80240529E-1
746	2.81052862E-1
709	2.83826838E-1
817	2.83867252E-1
688	2.86112147E-1
791	2.86583728E-1
303	2.8694332E-1
82	2.88172784E-1
865	2.88503213E-1
502	2.89304506E-1
561	2.91720986E-1
259	2.92836399E-1
800	2.95937204E-1
319	2.96359292E-1
284	2.96398353E-1
401	2.99282087E-1
547	2.99685178E-1
262	2.99890316E-1
235	3.00393026E-1
577	3.00971867E-1
847	3.01653097E-1
716	3.02281676E-1
983	3.03075795E-1
649	3.03708688E-1
180	3.05919466E-1
541	3.07220758E-1
825	3.08010412E-1
363	3.08149806E-1
658	3.08189939E-1
653	3.08448217E-1
294	3.08590926E-1
204	3.13836905E-1
582	3.14483119E-1
749	3.15673689E-1
760	3.16951063E-1
756	3.17487106E-1
304	3.18635687E-1
528	3.18678013E-1
932	3.19163413E-1
88	3.1999893E-1
881	3.22550534E-1
310	3.23698301E-1
773	3.24572576E-1
260	3.26184431E-1
838	3.26656732E-1
187	3.27924217E-1
271	3.29435255E-1
895	3.30075745E-1
476	3.30157812E-1
28	3.30741829E-1
413	3.30782441E-1
988	3.31026788E-1
677	3.31117599E-1
73	3.31121037E-1
793	3.31850044E-1
497	3.3198396E-1
358	3.32023519E-1
100	3.32327222E-1
970	3.33158799E-1
864	3.34350185E-1
15	3.34556325E-1
0	3.36576188E-1
411	3.36954669E-1
473	3.38041103E-1
609	3.3924671E-1
112	3.39958862E-1
571	3.41696852E-1
754	3.44509463E-1
643	3.49353132E-1
840	3.50203263E-1
140	3.50236075E-1
14	3.5163394E-1
340	3.53978421E-1
940	3.54903632E-1
545	3.57143755E-1
923	3.57184862E-1
795	3.57989665E-1
355	3.59146161E-1
592	3.6037931E-1
963	3.61751033E-1
767	3.63137618E-1
907	3.63748971E-1
968	3.64299591E-1
953	3.6582063E-1
165	3.68731284E-1
588	3.7062843E-1
647	3.73417728E-1
667	3.73712243E-1
435	3.74705183E-1
255	3.76099001E-1
211	3.79027445E-1
692	3.81076762E-1
944	3.81142264E-1
154	3.82771627E-1
670	3.83298972E-1
595	3.85012799E-1
253	3.86796217E-1
748	3.89837138E-1
124	3.90446663E-1
89	3.90976981E-1
965	3.92882035E-1
971	3.93735069E-1
959	3.93933484E-1
268	3.94655601E-1
518	3.95348058E-1
531	3.96714237E-1
286	3.97568824E-1
1	4.01771246E-1
223	4.01996968E-1
517	4.02546169E-1
181	4.03194579E-1
107	4.04349198E-1
845	4.04660847E-1
10	4.04973465E-1
184	4.05580457E-1
234	4.06430631E-1
934	4.06760306E-1
35	4.07456013E-1
242	4.07662267E-1
700	4.0906485E-1
408	4.12413451E-1
644	4.13566588E-1
278	4.15111874E-1
29	4.15263728E-1
799	4.15846176E-1
426	4.16815302E-1
236	4.17074334E-1
839	4.173169E-1
687	4.18329287E-1
887	4.19297506E-1
892	4.19637699E-1
1015	4.1969687E-1
135	4.20204129E-1
115	4.21443535E-1
830	4.22521612E-1
926	4.22604319E-1
652	4.23711001E-1
86	4.24258116E-1
815	4.2492067E-1
574	4.27078273E-1
22	4.28621732E-1
480	4.29213269E-1
755	4.3137419E-1
64	4.31554573E-1
631	4.31595448E-1
646	4.32117101E-1
1012	4.32892872E-1
1007	4.34050025E-1
129	4.35420019E-1
962	4.37022956E-1
393	4.38348975E-1
768	4.40540078E-1
656	4.41016693E-1
587	4.41832432E-1
527	4.4260798E-1
21	4.43074164E-1
969	4.44487269E-1
276	4.44637166E-1
349	4.47254359E-1
784	4.51281565E-1
553	4.51712297E-1
127	4.51911552E-1
763	4.51938506E-1
725	4.53139334E-1
560	4.53322694E-1
820	4.54684204E-1
578	4.54736972E-1
669	4.5495531E-1
432	4.57087163E-1
696	4.58074198E-1
49	4.58664658E-1
633	4.58901309E-1
376	4.59406103E-1
53	4.59451639E-1
888	4.59950063E-1
707	4.61181402E-1
691	4.61346928E-1
150	4.61564173E-1
730	4.61694301E-1
330	4.62758556E-1
751	4.63691711E-1
961	4.65587324E-1
309	4.67545398E-1
891	4.72552941E-1
120	4.76307033E-1
671	4.76975137E-1
152	4.77597005E-1
44	4.78199091E-1
628	4.79467666E-1
51	4.79614966E-1
713	4.82064153E-1
870	4.84251202E-1
62	4.84385946E-1
280	4.84677626E-1
554	4.85090987E-1
593	4.85909539E-1
213	4.8673145E-1
245	4.88041668E-1
425	4.90168187E-1
475	4.90830245E-1
241	4.90867432E-1
994	4.94680529E-1
996	4.95277277E-1
525	4.95880864E-1
568	4.95989632E-1
794	4.97495432E-1
1014	4.99239386E-1
119	5.04709831E-1
291	5.05365643E-1
116	5.0538372E-1
333	5.05551321E-1
277	5.05562176E-1
418	5.06575807E-1
478	5.06667541E-1
785	5.06779002E-1
159	5.08297608E-1
19	5.09180142E-1
728	5.10206174E-1
954	5.1068137E-1
373	5.12966344E-1
461	5.13220411E-1
371	5.14817323E-1
247	5.18830387E-1
334	5.19242033E-1
952	5.1940604E-1
405	5.20366087E-1
575	5.21486059E-1
464	5.22353789E-1
60	5.22666327E-1
263	5.22833353E-1
789	5.23811435E-1
71	5.23931296E-1
69	5.24344076E-1
635	5.25279007E-1
161	5.26243647E-1
321	5.28369803E-1
470	5.2999303E-1
68	5.30634224E-1
774	5.30903911E-1
619	5.32025063E-1
827	5.33304033E-1
252	5.34129858E-1
337	5.34513325E-1
2	5.35726478E-1
900	5.37428836E-1
210	5.38381536E-1
704	5.41466388E-1
869	5.41922578E-1
190	5.43282564E-1
841	5.43913939E-1
323	5.44197136E-1
632	5.44220875E-1
634	5.4489111E-1
402	5.44892976E-1
222	5.45280331E-1
729	5.45498548E-1
362	5.49146742E-1
753	5.51093406E-1
24	5.511808E-1
496	5.52879002E-1
67	5.53405817E-1
311	5.54627293E-1
974	5.57024023E-1
585	5.57338799E-1
901	5.59260704E-1
809	5.59617154E-1
443	5.59782129E-1
734	5.59830583E-1
146	5.60220321E-1
513	5.62213023E-1
145	5.63080304E-1
764	5.63994994E-1
123	5.64141483E-1
453	5.64271767E-1
224	5.64547526E-1
202	5.64927707E-1
42	5.65277329E-1
428	5.665199E-1
821	5.67279108E-1
842	5.67337985E-1
460	5.70280022E-1
720	5.71057423E-1
558	5.72082334E-1
526	5.72488277E-1
1003	5.73351367E-1
382	5.79232868E-1
495	5.79570758E-1
325	5.79742596E-1
850	5.80582149E-1
128	5.81052638E-1
341	5.8316628E-1
315	5.84504052E-1
345	5.87343693E-1
803	5.89981287E-1
743	5.93965686E-1
910	5.94013038E-1
370	5.94536069E-1
445	5.96626138E-1
308	5.9663864E-1
196	5.96891663E-1
724	5.97052503E-1
162	5.98732741E-1
672	6.01396409E-1
762	6.04610107E-1
406	6.04790271E-1
486	6.07402077E-1
534	6.08146188E-1
216	6.08572409E-1
937	6.09168458E-1
422	6.09949094E-1
90	6.12460276E-1
678	6.12795435E-1
148	6.1505939E-1
618	6.15532627E-1
388	6.17661054E-1
998	6.1796101E-1
290	6.18119021E-1
361	6.18122629E-1
414	6.18435636E-1
579	6.18485603E-1
11	6.20433858E-1
297	6.20577785E-1
1002	6.20960408E-1
322	6.22502298E-1
217	6.22612262E-1
781	6.23375341E-1
492	6.24381522E-1
272	6.25683414E-1
673	6.25763685E-1
463	6.28060184E-1
863	6.3104371E-1
977	6.33716983E-1
52	6.34123005E-1
177	6.34529765E-1
999	6.34941329E-1
906	6.35032181E-1
665	6.37154856E-1
65	6.37644221E-1
550	6.3803307E-1
288	6.38524947E-1
835	6.42557344E-1
143	6.43271757E-1
36	6.43687453E-1
230	6.43847092E-1
412	6.44739949E-1
448	6.46978276E-1
391	6.47875988E-1
636	6.48698327E-1
434	6.49219709E-1
836	6.51735332E-1
110	6.51985181E-1
282	6.52736849E-1
421	6.5292899E-1
723	6.53036514E-1
711	6.54397026E-1
465	6.54606162E-1
873	6.54659291E-1
563	6.58646883E-1
166	6.5953769E-1
770	6.59996839E-1
66	6.60438067E-1
543	6.60726102E-1
621	6.62480879E-1
506	6.62542023E-1
285	6.62588361E-1
72	6.62974923E-1
572	6.66442374E-1
381	6.68642048E-1
589	6.69857873E-1
1005	6.71439358E-1
596	6.71648561E-1
524	6.7231118E-1
614	6.72643939E-1
139	6.72953904E-1
967	6.73743172E-1
747	6.74692224E-1
192	6.78417145E-1
995	6.79262388E-1
450	6.79518088E-1
372	6.8060028E-1
171	6.80659184E-1
9	6.83558289E-1
564	6.85335344E-1
624	6.87475601E-1
814	6.8803576E-1
163	6.89222752E-1
175	6.89463545E-1
226	6.91200916E-1
1000	6.91805123E-1
666	6.93100131E-1
908	6.9327104E-1
218	6.93725475E-1
328	6.93878528E-1
520	6.94084349E-1
757	6.95348606E-1
597	6.96447433E-1
32	6.96628056E-1
854	6.967771E-1
244	6.9775039E-1
6	7.01614312E-1
81	7.03948312E-1
141	7.04162591E-1
279	7.04848885E-1
722	7.0730331E-1
200	7.07780939E-1
326	7.08214677E-1
37	7.0837265E-1
617	7.09009414E-1
357	7.09771632E-1
661	7.10175729E-1
258	7.10930149E-1
329	7.1283491E-1
