Name	chi2Pvalue
740	8.64804713E-6
928	6.53264845E-5
238	4.4372859E-4
894	4.98255654E-4
75	1.65615111E-3
914	1.97068291E-3
206	3.96524637E-3
698	4.35781256E-3
778	4.41365446E-3
3	4.49216247E-3
951	5.38803828E-3
374	5.58497848E-3
706	7.14252622E-3
721	8.82294466E-3
858	1.00969584E-2
269	1.01390664E-2
638	1.39168887E-2
257	1.43155627E-2
744	1.61079567E-2
599	1.66613717E-2
43	1.83108987E-2
641	1.95289164E-2
305	2.01713473E-2
456	2.14787388E-2
87	2.26682283E-2
802	2.47143588E-2
436	2.48090402E-2
499	2.59863723E-2
389	2.61017923E-2
718	2.71204297E-2
769	2.84460873E-2
758	2.90186516E-2
122	3.05730694E-2
302	3.08926536E-2
867	3.09423286E-2
714	3.3313136E-2
231	3.38289923E-2
775	3.57027634E-2
221	4.05406711E-2
467	4.26545598E-2
609	4.423397E-2
530	4.55045222E-2
91	4.55652659E-2
189	4.70528997E-2
542	4.72442404E-2
147	4.86499688E-2
103	5.07830959E-2
610	5.12725227E-2
664	5.1936028E-2
562	5.30313416E-2
263	5.32093738E-2
219	5.42347019E-2
975	5.77469252E-2
955	5.8050603E-2
370	5.85673817E-2
317	5.90071601E-2
954	5.92669227E-2
807	6.02154357E-2
980	6.12178282E-2
55	6.22357278E-2
777	6.38374385E-2
981	6.54063339E-2
847	6.59753414E-2
45	6.62754512E-2
586	6.8520126E-2
966	6.85973706E-2
1008	6.88560016E-2
879	6.8968566E-2
397	6.89953274E-2
270	7.1561259E-2
508	7.2306195E-2
301	7.33662352E-2
327	7.41655106E-2
275	7.43177895E-2
860	7.53570552E-2
546	7.54814605E-2
689	7.63377539E-2
289	7.6444319E-2
616	7.65444266E-2
823	7.78085131E-2
173	8.00429274E-2
48	8.18959473E-2
30	8.28408317E-2
433	8.4883952E-2
198	8.79725246E-2
703	8.87142968E-2
953	8.88820622E-2
239	9.45718728E-2
488	1.00019704E-1
124	1.00331986E-1
512	1.01032837E-1
888	1.02497202E-1
594	1.06093277E-1
699	1.07650898E-1
925	1.10045934E-1
595	1.10599253E-1
716	1.10883435E-1
41	1.12716731E-1
287	1.12751049E-1
379	1.13093244E-1
8	1.13713008E-1
571	1.14274924E-1
625	1.14368474E-1
566	1.14506032E-1
459	1.14635029E-1
650	1.15114228E-1
399	1.17148173E-1
423	1.18953706E-1
715	1.2063808E-1
917	1.2096901E-1
444	1.21190781E-1
922	1.21791648E-1
960	1.2189664E-1
356	1.22711178E-1
582	1.23405643E-1
544	1.24495258E-1
418	1.24908566E-1
878	1.25136171E-1
33	1.25367692E-1
82	1.25567312E-1
377	1.26086542E-1
344	1.26265735E-1
267	1.27967333E-1
501	1.29397621E-1
250	1.29607418E-1
307	1.29801201E-1
392	1.30301101E-1
992	1.32278853E-1
759	1.32702383E-1
868	1.34327759E-1
