Name	chi2Pvalue
257	9.25599326E-5
823	2.4586765E-4
802	3.50452457E-4
778	9.51679899E-4
946	1.61457853E-3
705	2.26882613E-3
403	3.69656175E-3
740	5.09657958E-3
591	5.26903162E-3
317	6.68943175E-3
360	1.06108507E-2
103	1.09133893E-2
416	1.17640957E-2
104	1.26459144E-2
56	1.35726822E-2
48	1.39779833E-2
396	1.4258254E-2
706	1.49778194E-2
295	1.76680724E-2
431	1.77197044E-2
782	1.81755862E-2
13	1.81796085E-2
919	2.00715289E-2
449	2.08851843E-2
682	2.30715349E-2
637	2.33544172E-2
958	2.40145281E-2
373	2.71281735E-2
985	2.74081347E-2
746	2.77357115E-2
429	2.81572204E-2
331	2.84348265E-2
319	2.9990142E-2
377	3.14679021E-2
481	3.16449478E-2
484	3.27885165E-2
606	3.29754299E-2
667	3.30300021E-2
254	3.32516905E-2
625	3.33773702E-2
833	3.33813324E-2
363	3.49099098E-2
741	3.64447649E-2
157	3.76212434E-2
426	3.86052566E-2
212	3.92631281E-2
799	4.0907789E-2
572	4.09231878E-2
1006	4.14038055E-2
1017	4.16322327E-2
55	4.17478906E-2
451	4.19469025E-2
905	4.33781784E-2
777	4.35052583E-2
153	4.40330101E-2
651	4.58432561E-2
300	4.70023186E-2
294	4.78699797E-2
86	4.87286974E-2
54	5.21252087E-2
457	5.25658822E-2
219	5.32785289E-2
831	5.33166159E-2
1001	5.44656791E-2
640	5.47879458E-2
974	5.52106716E-2
467	5.61948278E-2
712	5.77306665E-2
117	5.77879606E-2
112	5.97770879E-2
434	6.02910689E-2
928	6.2069293E-2
71	6.29475034E-2
385	6.40413598E-2
917	6.43991613E-2
114	6.47094614E-2
75	6.57800604E-2
697	6.67524267E-2
35	6.71020123E-2
800	6.75022442E-2
882	6.90928072E-2
939	6.91243129E-2
479	7.03051779E-2
552	7.14215697E-2
497	7.23617837E-2
577	7.27854879E-2
749	7.28405521E-2
338	7.37029328E-2
41	7.58008525E-2
30	7.80130188E-2
765	7.82210883E-2
809	7.83127833E-2
399	7.85161869E-2
443	7.95520294E-2
92	7.97578969E-2
43	8.04405313E-2
838	8.08950498E-2
960	8.15662264E-2
367	8.18737715E-2
12	8.23215095E-2
616	8.28169135E-2
193	8.63913022E-2
339	8.74035956E-2
172	9.02174922E-2
628	9.02873661E-2
787	9.06988037E-2
489	9.44909091E-2
547	9.55244569E-2
246	9.57038355E-2
983	9.63243713E-2
878	9.65997351E-2
969	9.80399068E-2
160	9.85644309E-2
3	9.8700721E-2
316	1.02477291E-1
566	1.04840348E-1
622	1.05052066E-1
478	1.05670792E-1
650	1.05778089E-1
284	1.09257998E-1
837	1.10515688E-1
301	1.10563088E-1
686	1.10611147E-1
980	1.11232786E-1
829	1.11753994E-1
538	1.12434195E-1
221	1.12753257E-1
638	1.14523035E-1
471	1.14551158E-1
292	1.17587826E-1
875	1.17738801E-1
134	1.20100101E-1
343	1.20311486E-1
894	1.21116847E-1
352	1.22534366E-1
542	1.22972672E-1
929	1.27307131E-1
597	1.27602177E-1
222	1.27704162E-1
250	1.28806898E-1
610	1.28933024E-1
191	1.29459431E-1
142	1.29507938E-1
643	1.29605194E-1
979	1.30528164E-1
67	1.30654881E-1
267	1.30924253E-1
868	1.32574727E-1
322	1.33079433E-1
407	1.34672826E-1
500	1.35554886E-1
474	1.36622477E-1
734	1.37545091E-1
248	1.38186167E-1
895	1.40555867E-1
59	1.40774022E-1
477	1.43622776E-1
902	1.43643794E-1
121	1.44564857E-1
310	1.44652136E-1
473	1.46212477E-1
344	1.46576266E-1
335	1.48157086E-1
841	1.48362643E-1
968	1.48848803E-1
715	1.49630854E-1
79	1.50708382E-1
755	1.51509309E-1
249	1.51925409E-1
767	1.52894179E-1
526	1.53419098E-1
613	1.53627793E-1
830	1.55609667E-1
586	1.5630638E-1
230	1.56938914E-1
65	1.56946965E-1
514	1.57558092E-1
639	1.5801537E-1
820	1.58208383E-1
992	1.59240106E-1
402	1.59328262E-1
508	1.59935169E-1
444	1.61210614E-1
658	1.62785006E-1
512	1.63200444E-1
627	1.64098843E-1
32	1.67474353E-1
744	1.70014609E-1
583	1.70033111E-1
924	1.70805105E-1
853	1.71378897E-1
433	1.72681294E-1
793	1.73120419E-1
453	1.74441741E-1
4	1.75811807E-1
438	1.76067491E-1
78	1.80190825E-1
588	1.81110813E-1
761	1.81731621E-1
701	1.84676737E-1
255	1.85646531E-1
845	1.86301854E-1
106	1.86592075E-1
865	1.86959838E-1
226	1.87444809E-1
404	1.88000907E-1
692	1.88972025E-1
772	1.89712202E-1
459	1.90805643E-1
73	1.9250197E-1
510	1.93685228E-1
38	1.94548023E-1
576	1.94609599E-1
206	1.94673026E-1
452	1.95899916E-1
218	1.97457353E-1
503	1.99540159E-1
380	2.00867583E-1
499	2.04457903E-1
277	2.05149715E-1
506	2.05686895E-1
228	2.05795476E-1
10	2.06695275E-1
235	2.08037948E-1
912	2.08777979E-1
439	2.10203859E-1
247	2.11895003E-1
502	2.12063988E-1
861	2.16361264E-1
524	2.18943474E-1
427	2.19291759E-1
152	2.1957319E-1
570	2.21341728E-1
84	2.23567461E-1
533	2.25309595E-1
752	2.27206615E-1
964	2.28914074E-1
80	2.29990516E-1
0	2.31442787E-1
604	2.32659703E-1
450	2.33484806E-1
39	2.33771373E-1
644	2.34157866E-1
813	2.35808456E-1
688	2.36490669E-1
233	2.36533575E-1
1007	2.36896523E-1
72	2.38643687E-1
211	2.39598128E-1
679	2.4149727E-1
584	2.42441761E-1
198	2.434573E-1
1008	2.44621325E-1
327	2.45028069E-1
52	2.45587751E-1
733	2.46700866E-1
263	2.47792094E-1
714	2.48810445E-1
435	2.51493426E-1
378	2.52939233E-1
520	2.53279601E-1
313	2.53651707E-1
111	2.57158477E-1
984	2.58952856E-1
408	2.59217644E-1
996	2.59650826E-1
641	2.60376054E-1
163	2.60384328E-1
716	2.60899403E-1
923	2.60921564E-1
76	2.61572696E-1
521	2.62087856E-1
1021	2.62434023E-1
671	2.63844707E-1
325	2.64245903E-1
44	2.66252208E-1
464	2.66361276E-1
881	2.72061374E-1
647	2.72077158E-1
560	2.73388474E-1
268	2.75121193E-1
390	2.75450504E-1
603	2.76555882E-1
585	2.76699109E-1
687	2.77577534E-1
565	2.77775715E-1
239	2.78911351E-1
57	2.79033729E-1
468	2.82169307E-1
133	2.85511192E-1
668	2.86798787E-1
860	2.88770823E-1
405	2.89389866E-1
876	2.93470492E-1
848	2.94795265E-1
376	2.95364971E-1
864	2.9545306E-1
672	2.96569244E-1
309	2.97189057E-1
891	2.98192487E-1
558	2.99828965E-1
11	3.00519572E-1
982	3.03598007E-1
424	3.06757325E-1
646	3.07905873E-1
1009	3.08264366E-1
181	3.08713174E-1
676	3.10992521E-1
95	3.12780774E-1
832	3.12854459E-1
935	3.13036162E-1
186	3.15054052E-1
612	3.19478694E-1
341	3.19819168E-1
768	3.2013179E-1
519	3.21368925E-1
374	3.24030229E-1
562	3.26916971E-1
209	3.29576719E-1
2	3.32621531E-1
695	3.33000263E-1
624	3.33308396E-1
445	3.34425739E-1
952	3.34942961E-1
731	3.36298578E-1
932	3.37612153E-1
18	3.37703769E-1
840	3.38163823E-1
398	3.38373964E-1
581	3.40028647E-1
158	3.40628011E-1
147	3.42636E-1
726	3.44141091E-1
962	3.45432726E-1
926	3.46668934E-1
419	3.47670415E-1
334	3.48047902E-1
680	3.48680002E-1
849	3.49589955E-1
812	3.50122233E-1
541	3.52959052E-1
995	3.53596465E-1
645	3.54562953E-1
215	3.55291938E-1
175	3.57772993E-1
232	3.58520775E-1
224	3.58886262E-1
509	3.5917049E-1
781	3.59185027E-1
20	3.59477429E-1
210	3.60526554E-1
626	3.60686492E-1
89	3.61105259E-1
598	3.62769697E-1
82	3.6465473E-1
663	3.64874997E-1
866	3.66039885E-1
602	3.67505735E-1
656	3.67730834E-1
1005	3.68067146E-1
685	3.6831919E-1
867	3.69348903E-1
362	3.69913103E-1
382	3.71411564E-1
458	3.71773533E-1
789	3.7205481E-1
1004	3.73493573E-1
678	3.75010114E-1
436	3.75308746E-1
683	3.7623777E-1
955	3.78081627E-1
391	3.78567571E-1
28	3.79002962E-1
42	3.81771411E-1
96	3.82023886E-1
931	3.82703178E-1
50	3.83093024E-1
87	3.86303866E-1
297	3.86626423E-1
530	3.88048603E-1
607	3.90022067E-1
540	3.90176381E-1
289	3.91078462E-1
691	3.91693901E-1
220	3.92471393E-1
529	3.94079899E-1
420	3.9508241E-1
413	3.9751804E-1
401	4.01856137E-1
93	4.04213706E-1
62	4.05562118E-1
282	4.06940135E-1
879	4.08885736E-1
472	4.09394108E-1
74	4.09597443E-1
631	4.10044176E-1
354	4.10088938E-1
940	4.10296082E-1
794	4.1276611E-1
921	4.13329728E-1
994	4.1379654E-1
634	4.15213002E-1
758	4.16315181E-1
311	4.16368933E-1
165	4.17554176E-1
568	4.18556126E-1
621	4.18569039E-1
276	4.22107675E-1
665	4.22581779E-1
890	4.24067908E-1
234	4.24850776E-1
485	4.25110462E-1
543	4.26571762E-1
517	4.29260058E-1
677	4.29506041E-1
886	4.31573422E-1
559	4.31663492E-1
913	4.33022828E-1
178	4.33994341E-1
815	4.34610896E-1
609	4.35602154E-1
476	4.38101818E-1
887	4.38785198E-1
835	4.39273699E-1
184	4.44516357E-1
494	4.45000816E-1
652	4.46902807E-1
414	4.47278405E-1
653	4.49848626E-1
328	4.50723385E-1
545	4.53408441E-1
337	4.55004664E-1
615	4.55117622E-1
109	4.56017232E-1
648	4.56098862E-1
321	4.57124936E-1
356	4.58089859E-1
238	4.58155737E-1
393	4.58547737E-1
314	4.58866454E-1
659	4.5909689E-1
421	4.60324169E-1
91	4.60625466E-1
819	4.61373328E-1
260	4.61640081E-1
803	4.62146702E-1
241	4.63832176E-1
592	4.65010218E-1
567	4.65791018E-1
839	4.66223135E-1
180	4.68187496E-1
465	4.6892211E-1
279	4.69478579E-1
769	4.70403458E-1
844	4.7053111E-1
194	4.71986345E-1
900	4.721283E-1
869	4.7230172E-1
907	4.72307709E-1
797	4.72859008E-1
60	4.73248743E-1
537	4.73313673E-1
129	4.73907248E-1
999	4.75827847E-1
961	4.77327513E-1
256	4.78842891E-1
594	4.80578377E-1
785	4.88570395E-1
204	4.88607726E-1
127	4.88827696E-1
664	4.91339415E-1
161	4.91811072E-1
197	4.95588537E-1
730	4.96118692E-1
724	4.96463817E-1
978	4.96598027E-1
579	4.97949279E-1
303	4.9856932E-1
748	4.9952153E-1
513	5.00087847E-1
49	5.01372705E-1
336	5.02440515E-1
372	5.03910034E-1
417	5.0448081E-1
101	5.05305094E-1
329	5.05884293E-1
400	5.06008708E-1
614	5.0601328E-1
275	5.06097647E-1
889	5.06132718E-1
6	5.07458816E-1
487	5.07792088E-1
261	5.07888629E-1
130	5.08828511E-1
751	5.09038371E-1
412	5.09740711E-1
850	5.09800259E-1
