Name	chi2Pvalue
584	2.34564397E-4
878	9.39455337E-4
552	2.25046968E-3
562	2.34936826E-3
41	2.49478334E-3
396	2.87774389E-3
882	3.38641846E-3
410	5.57602507E-3
54	5.98439286E-3
474	6.10266125E-3
540	9.51679427E-3
245	1.13449187E-2
981	1.14207153E-2
852	1.16344768E-2
983	1.29227117E-2
897	1.37205376E-2
731	1.57955362E-2
951	1.58992892E-2
962	1.69795719E-2
953	1.78662906E-2
676	1.96980791E-2
999	2.03487345E-2
144	2.2158829E-2
60	2.27159822E-2
74	2.47836366E-2
361	2.49173121E-2
238	2.59878695E-2
43	2.64776214E-2
460	2.73530984E-2
332	2.88505264E-2
974	2.88811596E-2
525	3.12651938E-2
735	3.18220246E-2
995	3.18546934E-2
591	3.22140247E-2
465	3.24017608E-2
992	3.25932768E-2
94	3.27755749E-2
671	3.59556499E-2
476	3.59706774E-2
407	3.68528795E-2
186	3.70995382E-2
221	3.9089777E-2
83	3.9667322E-2
946	4.10591561E-2
592	4.12073976E-2
467	4.15902575E-2
787	4.18028833E-2
146	4.29819992E-2
413	4.40335809E-2
747	4.40916721E-2
976	4.47520672E-2
677	4.51785494E-2
520	4.53895946E-2
855	4.76180629E-2
698	5.07803929E-2
44	5.08311152E-2
29	5.13959445E-2
847	5.40009949E-2
20	5.41142636E-2
954	5.48301349E-2
764	5.48319667E-2
891	5.61909964E-2
894	5.87684545E-2
119	5.98686005E-2
488	6.07223723E-2
260	6.15263984E-2
73	6.16082176E-2
13	6.1828092E-2
308	6.47735804E-2
237	6.48083016E-2
727	6.49879464E-2
530	6.74356687E-2
380	6.78107989E-2
371	6.82386903E-2
1000	6.83423661E-2
839	6.86965959E-2
314	6.97994643E-2
680	7.04749017E-2
529	7.06277285E-2
415	7.14133924E-2
642	7.14781657E-2
51	7.14861432E-2
605	7.32229555E-2
923	7.39313639E-2
791	7.39778857E-2
782	7.50342165E-2
339	7.70950225E-2
513	7.85375995E-2
247	7.87673325E-2
55	8.05093457E-2
567	8.24250154E-2
45	8.25822413E-2
433	8.27177604E-2
259	8.30737279E-2
274	8.41855253E-2
750	8.56818414E-2
925	8.63632533E-2
960	8.69341799E-2
389	8.75549111E-2
300	8.88944709E-2
190	8.90455377E-2
826	9.02180964E-2
57	9.07526744E-2
269	9.09853604E-2
4	9.1309948E-2
783	9.16802575E-2
751	9.25145175E-2
463	9.25485828E-2
638	9.35769246E-2
203	9.39844695E-2
778	9.43838152E-2
296	9.66641218E-2
522	9.87893198E-2
496	9.96424959E-2
104	1.01973001E-1
538	1.02222156E-1
150	1.0258869E-1
219	1.03957619E-1
184	1.04900026E-1
949	1.06004458E-1
729	1.06334372E-1
479	1.0640781E-1
909	1.06573612E-1
856	1.08019731E-1
971	1.08681618E-1
945	1.09800712E-1
922	1.11144425E-1
917	1.1227371E-1
252	1.14104655E-1
461	1.14818701E-1
224	1.15470011E-1
823	1.17716005E-1
776	1.18149683E-1
114	1.18917748E-1
205	1.21643342E-1
728	1.21724005E-1
745	1.22069892E-1
911	1.2273122E-1
604	1.2401691E-1
780	1.24079642E-1
227	1.24281434E-1
243	1.26329874E-1
166	1.26627848E-1
181	1.27518172E-1
383	1.27868989E-1
348	1.28110399E-1
594	1.28154179E-1
719	1.28588774E-1
890	1.28600439E-1
744	1.28913499E-1
651	1.29899893E-1
1004	1.31459082E-1
996	1.31885815E-1
832	1.32670815E-1
318	1.36111184E-1
812	1.36339262E-1
91	1.36392199E-1
526	1.38317452E-1
372	1.39025693E-1
558	1.39287131E-1
814	1.4016472E-1
115	1.4201068E-1
312	1.42775702E-1
802	1.43138314E-1
147	1.43319082E-1
196	1.44173175E-1
270	1.44190902E-1
586	1.45251321E-1
667	1.46747462E-1
939	1.47244764E-1
726	1.48121221E-1
575	1.48367917E-1
541	1.49267228E-1
22	1.49789988E-1
15	1.51652473E-1
240	1.51668994E-1
343	1.51800344E-1
67	1.52101018E-1
71	1.5257148E-1
798	1.54213828E-1
672	1.54274593E-1
1011	1.55015408E-1
501	1.55584637E-1
519	1.55643352E-1
1013	1.60029123E-1
368	1.61109219E-1
424	1.62472442E-1
381	1.62945804E-1
466	1.63184939E-1
805	1.63586679E-1
1001	1.63649227E-1
229	1.67397381E-1
75	1.69825261E-1
354	1.70578055E-1
989	1.70843264E-1
808	1.70863919E-1
112	1.71810386E-1
583	1.73674323E-1
103	1.73754018E-1
212	1.73970715E-1
916	1.74489057E-1
887	1.75694892E-1
888	1.7573446E-1
311	1.77148051E-1
414	1.77270404E-1
310	1.78129172E-1
169	1.78321458E-1
295	1.78978592E-1
235	1.7921946E-1
740	1.79350213E-1
850	1.79460755E-1
220	1.80643825E-1
902	1.81405E-1
327	1.82222905E-1
551	1.82648989E-1
301	1.84592404E-1
443	1.8515311E-1
