Name	chi2Pvalue
296	3.52928152E-4
878	7.81416675E-4
584	1.6591995E-3
476	2.10382926E-3
735	2.71103678E-3
764	2.91491145E-3
762	4.16626353E-3
983	4.50028026E-3
674	4.6399763E-3
41	6.34818211E-3
91	7.38884938E-3
402	8.86034458E-3
245	9.94314762E-3
751	1.05054942E-2
754	1.27272789E-2
203	1.28515066E-2
30	1.28727903E-2
813	1.37786792E-2
996	1.47609702E-2
474	1.55972577E-2
744	1.62894759E-2
540	1.70343349E-2
112	1.91517681E-2
562	1.95634324E-2
114	2.17700299E-2
882	2.2929858E-2
869	2.29751504E-2
946	2.37381851E-2
874	2.46529209E-2
575	2.53187494E-2
995	2.58255646E-2
525	2.59614055E-2
22	2.59881801E-2
557	2.62932467E-2
676	2.76475557E-2
94	3.14227616E-2
1000	3.19686531E-2
922	3.2140985E-2
308	3.21864956E-2
520	3.24473993E-2
605	3.33663904E-2
832	3.34454634E-2
192	3.45367979E-2
729	3.78677743E-2
144	4.03709834E-2
698	4.15611134E-2
455	4.17137481E-2
160	4.20452551E-2
461	4.2275698E-2
791	4.27022359E-2
892	4.50807002E-2
962	4.52905815E-2
552	4.66750625E-2
98	4.73230623E-2
80	4.8012686E-2
340	4.81160791E-2
712	4.8364643E-2
618	4.89913728E-2
360	4.9901857E-2
134	5.02018657E-2
140	5.03070043E-2
150	5.40326458E-2
346	5.47557091E-2
500	5.48825641E-2
488	5.52058645E-2
699	5.74503931E-2
166	5.78994991E-2
496	5.98102994E-2
777	6.01774501E-2
305	6.07036382E-2
86	6.20615913E-2
303	6.22781865E-2
855	6.2310489E-2
200	6.37509101E-2
7	6.43530064E-2
685	6.45226113E-2
466	6.47910559E-2
852	6.5005819E-2
43	6.63594696E-2
591	6.91374707E-2
529	7.01674721E-2
141	7.25397672E-2
361	7.30249347E-2
146	7.33861673E-2
794	7.4474168E-2
494	7.46228055E-2
427	7.85651103E-2
560	7.9044291E-2
726	8.20004378E-2
800	8.21685813E-2
247	8.24012473E-2
29	8.25500401E-2
612	8.36470907E-2
897	9.05981353E-2
836	9.20528276E-2
125	9.30608177E-2
152	9.46500172E-2
405	9.64957514E-2
57	9.71395881E-2
194	9.73124449E-2
714	9.92920179E-2
885	9.98938963E-2
431	1.01045169E-1
826	1.01956465E-1
307	1.02415938E-1
513	1.0300533E-1
371	1.0337206E-1
625	1.03858332E-1
697	1.04003066E-1
684	1.0434226E-1
50	1.04560648E-1
721	1.04852744E-1
980	1.05568556E-1
626	1.06542056E-1
992	1.08566269E-1
556	1.09177903E-1
823	1.09522727E-1
780	1.11391316E-1
366	1.12005663E-1
205	1.12310684E-1
271	1.12462814E-1
73	1.14153477E-1
465	1.15986851E-1
327	1.17325067E-1
727	1.17414908E-1
224	1.18706035E-1
788	1.20041743E-1
1013	1.22633521E-1
856	1.22854716E-1
908	1.23020075E-1
538	1.25631817E-1
221	1.27679178E-1
890	1.27874854E-1
932	1.28355917E-1
619	1.2849597E-1
527	1.29365502E-1
760	1.31995543E-1
587	1.32409835E-1
696	1.32909177E-1
15	1.33537099E-1
847	1.33560091E-1
1004	1.34332127E-1
317	1.34367438E-1
104	1.34440983E-1
507	1.35314568E-1
119	1.3886748E-1
934	1.39038163E-1
238	1.39798963E-1
887	1.40128351E-1
284	1.43010433E-1
731	1.43327393E-1
979	1.46083719E-1
787	1.46509616E-1
611	1.47812667E-1
212	1.48730202E-1
592	1.49436962E-1
593	1.50517541E-1
107	1.51801609E-1
261	1.53565987E-1
435	1.56135715E-1
440	1.56721283E-1
35	1.56902886E-1
14	1.57317122E-1
260	1.58309781E-1
243	1.59730821E-1
623	1.60296514E-1
1	1.60583389E-1
730	1.62827173E-1
554	1.6328927E-1
976	1.642146E-1
484	1.65209858E-1
551	1.66173194E-1
49	1.67721478E-1
167	1.6778272E-1
161	1.67869845E-1
673	1.69243272E-1
227	1.69835906E-1
519	1.70340987E-1
888	1.70689738E-1
1011	1.70834613E-1
621	1.72410943E-1
812	1.73346791E-1
75	1.76206633E-1
339	1.79238588E-1
397	1.79329002E-1
149	1.80374021E-1
677	1.80642341E-1
1012	1.82068546E-1
761	1.84052491E-1
810	1.85343606E-1
184	1.85558334E-1
566	1.85876431E-1
279	1.8591191E-1
196	1.85967883E-1
981	1.86286958E-1
999	1.86384311E-1
955	1.87835834E-1
396	1.88413063E-1
607	1.90763064E-1
82	1.92369142E-1
127	1.92522057E-1
26	1.92550351E-1
266	1.93179981E-1
631	1.93843969E-1
414	1.94694071E-1
403	1.9785708E-1
148	1.98461924E-1
12	2.00096332E-1
839	2.00989522E-1
416	2.01003143E-1
155	2.01684044E-1
452	2.02881433E-1
87	2.05060307E-1
705	2.05257462E-1
311	2.05467973E-1
165	2.05696194E-1
911	2.10362925E-1
463	2.10423997E-1
873	2.10610097E-1
383	2.11820298E-1
113	2.13407803E-1
894	2.13693457E-1
953	2.13758366E-1
418	2.14897298E-1
432	2.16513548E-1
534	2.16823511E-1
64	2.17187332E-1
786	2.19175117E-1
234	2.19390068E-1
0	2.20297066E-1
55	2.2108331E-1
298	2.21640169E-1
603	2.24282796E-1
956	2.27153858E-1
783	2.28277591E-1
565	2.30326349E-1
842	2.30826024E-1
645	2.31185454E-1
640	2.32131612E-1
135	2.33683165E-1
326	2.33790564E-1
199	2.35700048E-1
425	2.35972457E-1
163	2.38740467E-1
263	2.40987591E-1
965	2.43074742E-1
19	2.44248017E-1
267	2.45101433E-1
495	2.46000904E-1
209	2.46032865E-1
253	2.47408438E-1
248	2.4864637E-1
395	2.48752259E-1
682	2.49641228E-1
717	2.4964888E-1
659	2.5061411E-1
737	2.51691855E-1
138	2.52108341E-1
477	2.53714893E-1
867	2.53783637E-1
96	2.53932025E-1
186	2.57964781E-1
459	2.58584795E-1
501	2.58779525E-1
470	2.59788051E-1
778	2.60031175E-1
412	2.60964943E-1
