Name	chi2Pvalue
992	2.61845855E-4
390	2.88456398E-4
705	1.31124259E-3
176	1.48129569E-3
820	1.98296563E-3
317	2.747763E-3
306	3.1755945E-3
273	4.45353215E-3
813	5.82542891E-3
740	6.16298845E-3
878	6.36342073E-3
848	6.939236E-3
664	6.97594556E-3
778	7.08087493E-3
698	7.29530435E-3
626	7.61509173E-3
309	8.73526891E-3
876	8.93575379E-3
984	1.00802249E-2
844	1.57150692E-2
946	1.62259993E-2
731	1.75009369E-2
891	1.82063102E-2
861	1.8647448E-2
671	1.88280086E-2
676	1.9125534E-2
68	2.02095475E-2
752	2.2455364E-2
808	2.33375814E-2
296	2.37345074E-2
238	2.51586927E-2
319	2.63579538E-2
522	2.68577726E-2
111	3.00761369E-2
450	3.34362236E-2
785	3.4238013E-2
114	3.43192733E-2
515	3.43528365E-2
856	3.55874179E-2
954	3.7087617E-2
478	3.85051979E-2
491	3.88246374E-2
245	3.98096883E-2
863	4.02019144E-2
902	4.02565835E-2
622	4.08867064E-2
530	4.25552049E-2
562	4.32110129E-2
728	4.39479376E-2
350	4.41503589E-2
457	4.48960172E-2
993	4.53199904E-2
675	4.6444151E-2
501	4.78924093E-2
316	4.79607955E-2
467	5.05022721E-2
773	5.11773205E-2
864	5.28337697E-2
235	5.31241506E-2
708	5.52904819E-2
745	5.57375327E-2
55	5.61239797E-2
144	5.6316378E-2
198	5.6494542E-2
859	5.69441343E-2
575	5.84595793E-2
967	5.91248962E-2
892	6.05592244E-2
643	6.15886208E-2
663	6.17914413E-2
135	6.24997946E-2
751	6.45799285E-2
382	6.48166288E-2
54	6.4963402E-2
687	6.58996665E-2
965	6.95124872E-2
782	7.07574578E-2
38	7.08073999E-2
113	7.20778081E-2
617	7.22791589E-2
449	7.43237568E-2
362	7.76345965E-2
905	7.80536574E-2
1	7.92870323E-2
999	8.22395015E-2
651	8.33600662E-2
770	8.41226173E-2
488	8.49764842E-2
592	8.51290263E-2
239	8.55997038E-2
1023	8.61028154E-2
792	8.67423289E-2
480	8.71477806E-2
585	8.75624069E-2
803	8.82956361E-2
525	9.11119233E-2
571	9.56169862E-2
102	9.57662431E-2
173	9.59138223E-2
60	9.79761669E-2
1001	9.91173981E-2
110	9.99491774E-2
36	1.00230032E-1
253	1.0038361E-1
512	1.00554274E-1
119	1.01580944E-1
310	1.03294336E-1
124	1.0376042E-1
788	1.04581576E-1
839	1.05612583E-1
633	1.05842544E-1
193	1.07194162E-1
882	1.0815728E-1
738	1.08332813E-1
213	1.09263477E-1
314	1.11010689E-1
391	1.11685551E-1
857	1.12633027E-1
39	1.1311887E-1
1008	1.13617178E-1
939	1.13622048E-1
352	1.16365701E-1
641	1.1674222E-1
327	1.21529261E-1
646	1.22039974E-1
1004	1.22546143E-1
749	1.23317333E-1
88	1.23788285E-1
117	1.24121695E-1
484	1.24714781E-1
82	1.25113367E-1
744	1.34660499E-1
508	1.35014217E-1
360	1.3625166E-1
354	1.36310142E-1
206	1.3707723E-1
71	1.37337616E-1
191	1.37971366E-1
894	1.38796558E-1
304	1.39689586E-1
597	1.41122292E-1
468	1.41457651E-1
5	1.4287134E-1
624	1.42921435E-1
45	1.43759048E-1
883	1.45070599E-1
276	1.45307615E-1
539	1.46426456E-1
443	1.47307145E-1
107	1.47457541E-1
211	1.49124768E-1
2	1.5118986E-1
499	1.5267972E-1
896	1.52687463E-1
725	1.53228274E-1
20	1.54834776E-1
481	1.55738183E-1
647	1.56257835E-1
989	1.56438643E-1
775	1.56577217E-1
586	1.5783881E-1
524	1.57863371E-1
26	1.57897155E-1
268	1.58539381E-1
579	1.60252588E-1
673	1.63686268E-1
580	1.63876678E-1
578	1.64179758E-1
885	1.64279661E-1
949	1.64656765E-1
84	1.64820396E-1
606	1.64867037E-1
634	1.67759961E-1
446	1.68827725E-1
594	1.69591312E-1
326	1.71875901E-1
884	1.7292183E-1
333	1.74808848E-1
964	1.74853897E-1
190	1.75664604E-1
212	1.75692622E-1
612	1.75752972E-1
266	1.76450577E-1
279	1.77627277E-1
12	1.77965156E-1
435	1.78554531E-1
568	1.78620508E-1
974	1.79563939E-1
628	1.80071876E-1
388	1.80213332E-1
685	1.80500308E-1
847	1.81306875E-1
980	1.81333148E-1
636	1.81565115E-1
13	1.8235227E-1
556	1.8522618E-1
1000	1.85304007E-1
921	1.86258417E-1
850	1.86704219E-1
682	1.87551788E-1
553	1.87829582E-1
429	1.90446499E-1
27	1.90965168E-1
150	1.93581327E-1
21	1.95322356E-1
800	1.98382227E-1
564	2.00372747E-1
888	2.01130089E-1
403	2.0129414E-1
696	2.02575395E-1
660	2.02773893E-1
93	2.03001866E-1
431	2.04087556E-1
1007	2.04585231E-1
497	2.05888005E-1
777	2.05928018E-1
983	2.0598577E-1
271	2.06507065E-1
889	2.07145628E-1
243	2.07959538E-1
818	2.08961368E-1
