Name	chi2Pvalue
13	1.60816721E-3
3	3.18997328E-3
724	4.94761995E-3
802	6.23888923E-3
514	7.80922858E-3
142	8.12251405E-3
955	9.79815469E-3
50	1.09669165E-2
625	1.26806703E-2
879	1.48386664E-2
75	1.64752891E-2
399	1.7921875E-2
860	1.98768803E-2
964	2.08924323E-2
603	2.17971283E-2
115	2.35369641E-2
330	2.6399312E-2
106	2.74865185E-2
604	2.78912756E-2
572	2.82604322E-2
772	2.94334444E-2
599	3.02493189E-2
622	3.28259696E-2
670	3.38678177E-2
912	3.38913282E-2
160	3.40681328E-2
958	3.48434189E-2
740	3.67606883E-2
778	3.8027135E-2
489	3.81191411E-2
867	3.88925024E-2
612	3.8912331E-2
919	4.19934169E-2
526	4.25829133E-2
66	4.26856896E-2
613	4.40172587E-2
736	4.43126161E-2
894	4.5232848E-2
687	4.57570623E-2
798	4.58056885E-2
847	4.61513768E-2
782	4.62452181E-2
36	4.67501998E-2
224	4.71426253E-2
250	4.72970212E-2
17	4.83716267E-2
518	4.87273634E-2
689	4.92575492E-2
112	4.99792849E-2
720	5.0564353E-2
413	5.09504853E-2
370	5.18074009E-2
209	5.25426016E-2
637	5.40278451E-2
38	5.41676297E-2
546	5.5872056E-2
94	5.59328352E-2
338	5.67332157E-2
221	5.70252779E-2
837	5.71402984E-2
988	5.82408071E-2
393	5.86570717E-2
516	5.90715745E-2
564	6.26214629E-2
538	6.3778752E-2
232	6.43063033E-2
60	6.46823097E-2
257	6.81939612E-2
301	7.29661493E-2
665	7.43125741E-2
975	8.00882407E-2
726	8.11774313E-2
43	8.17226096E-2
695	8.30419576E-2
82	8.3746753E-2
700	8.53184021E-2
573	8.59102651E-2
323	8.72029622E-2
189	8.73213034E-2
951	8.74733889E-2
774	8.89397304E-2
507	8.91520451E-2
8	9.26622154E-2
320	9.30163688E-2
91	9.59029534E-2
295	9.67983709E-2
147	9.68412694E-2
117	9.69672405E-2
317	1.00893604E-1
568	1.02696238E-1
744	1.03916786E-1
887	1.04387489E-1
400	1.07369771E-1
379	1.07497413E-1
508	1.08452437E-1
705	1.08600111E-1
119	1.10544474E-1
467	1.1142915E-1
962	1.1205614E-1
187	1.12682923E-1
131	1.13389321E-1
