Name	chi2Pvalue
390	5.53390544E-6
813	6.11003127E-5
176	8.84474533E-4
820	1.03944721E-3
946	1.22804099E-3
309	2.14140815E-3
68	2.55440206E-3
778	3.24136115E-3
705	3.67081343E-3
626	3.80754586E-3
664	4.9559122E-3
770	5.46060332E-3
848	5.83070078E-3
1002	6.79374269E-3
992	7.22002536E-3
876	7.93248739E-3
839	8.70426324E-3
451	9.60483797E-3
111	1.09446188E-2
450	1.09760216E-2
671	1.15789462E-2
891	1.28216536E-2
327	1.35949188E-2
317	1.38430458E-2
731	1.67035072E-2
808	1.80252932E-2
239	1.82388122E-2
856	1.93567271E-2
515	1.97349932E-2
522	2.10963024E-2
751	2.20489028E-2
296	2.28656775E-2
271	2.29024124E-2
501	2.37667892E-2
55	2.541241E-2
575	2.58212808E-2
792	3.10865407E-2
306	3.17378647E-2
788	3.35195607E-2
803	3.38807184E-2
878	3.43063842E-2
480	3.56122407E-2
675	3.72036235E-2
745	3.77792456E-2
844	3.78682987E-2
479	3.88573566E-2
562	3.98903407E-2
676	4.04442335E-2
984	4.19610797E-2
823	4.32783772E-2
905	4.35752417E-2
60	4.60045502E-2
491	4.61988534E-2
319	4.7265811E-2
611	4.73249047E-2
140	4.77730927E-2
144	4.81375635E-2
429	4.87150555E-2
922	4.92872252E-2
235	4.93998417E-2
963	5.02660483E-2
672	5.06571216E-2
497	5.07986201E-2
273	5.27845043E-2
740	5.32035914E-2
468	5.33821446E-2
982	5.47409009E-2
42	5.8937583E-2
206	5.90462907E-2
892	6.0295066E-2
651	6.21856946E-2
787	6.26928515E-2
633	6.35351924E-2
467	6.62523351E-2
896	6.62729508E-2
864	6.69091235E-2
592	6.83177274E-2
83	6.96229573E-2
76	7.16619127E-2
330	7.17759203E-2
744	7.23905895E-2
606	7.57582443E-2
696	7.7233993E-2
352	7.86560308E-2
524	7.94914803E-2
20	8.00328328E-2
302	8.13300333E-2
238	8.18942602E-2
388	8.20626404E-2
93	8.30131591E-2
964	8.33854712E-2
795	8.38258012E-2
38	8.45863875E-2
160	8.50583369E-2
595	8.61549524E-2
853	8.69421407E-2
663	8.73129734E-2
622	8.73562935E-2
488	8.74104478E-2
806	8.99425197E-2
444	9.2571332E-2
45	9.31354664E-2
193	9.31479988E-2
894	9.60989797E-2
634	9.6465216E-2
791	9.7605438E-2
628	9.79863023E-2
499	9.84744995E-2
1008	9.90377198E-2
658	1.01849875E-1
370	1.02688666E-1
752	1.03287466E-1
624	1.04385041E-1
861	1.0610174E-1
564	1.06287328E-1
243	1.07871158E-1
191	1.08249183E-1
553	1.09507845E-1
750	1.12064133E-1
71	1.12217409E-1
579	1.13313809E-1
1	1.13694982E-1
660	1.16252784E-1
415	1.16655583E-1
580	1.17475691E-1
196	1.18334982E-1
728	1.1884059E-1
530	1.18897459E-1
585	1.19578787E-1
993	1.24421352E-1
88	1.26231058E-1
110	1.28044679E-1
350	1.28733343E-1
233	1.2978686E-1
995	1.30731829E-1
205	1.31176622E-1
1007	1.31290575E-1
1000	1.31586668E-1
837	1.32196331E-1
840	1.32545116E-1
635	1.32546905E-1
422	1.33287811E-1
571	1.33473851E-1
24	1.33583962E-1
785	1.37222908E-1
965	1.38268881E-1
846	1.40728989E-1
506	1.40961099E-1
782	1.42780267E-1
923	1.43684651E-1
504	1.443595E-1
54	1.44381526E-1
615	1.44408694E-1
212	1.4469784E-1
915	1.45407753E-1
863	1.4573457E-1
92	1.46040616E-1
597	1.46422871E-1
802	1.47127162E-1
1001	1.47622989E-1
556	1.48541474E-1
777	1.48679305E-1
687	1.50687854E-1
734	1.51148598E-1
677	1.51218011E-1
276	1.55326094E-1
514	1.55401341E-1
828	1.55986941E-1
512	1.56815988E-1
860	1.57533239E-1
67	1.58407427E-1
387	1.60267297E-1
500	1.60366719E-1
124	1.6072199E-1
902	1.62336021E-1
173	1.63411651E-1
609	1.63494689E-1
150	1.64231708E-1
689	1.64501934E-1
636	1.64603297E-1
223	1.65819676E-1
919	1.66700343E-1
726	1.67767167E-1
738	1.68326563E-1
245	1.69465173E-1
954	1.69501808E-1
883	1.69529676E-1
26	1.72227448E-1
310	1.7317164E-1
525	1.75049883E-1
456	1.75194168E-1
959	1.75395058E-1
289	1.76061719E-1
503	1.76138355E-1
641	1.76949552E-1
517	1.77890544E-1
547	1.82196394E-1
643	1.82920077E-1
299	1.83088624E-1
710	1.84018615E-1
646	1.84380513E-1
408	1.8624698E-1
247	1.87878419E-1
478	1.8816084E-1
182	1.8823913E-1
86	1.89513825E-1
407	1.89760149E-1
318	1.92597469E-1
769	1.94835939E-1
326	1.9547839E-1
999	1.95655425E-1
484	1.95908365E-1
591	1.98521542E-1
719	1.98933372E-1
1003	1.99581732E-1
882	2.00214342E-1
702	2.01930252E-1
269	2.03420227E-1
324	2.04411556E-1
481	2.05005853E-1
406	2.05985464E-1
949	2.05987551E-1
135	2.06853487E-1
732	2.07168634E-1
164	2.10776923E-1
910	2.11700507E-1
685	2.12782292E-1
666	2.13657547E-1
945	2.17182448E-1
928	2.17724706E-1
354	2.17791623E-1
858	2.18472094E-1
981	2.1857164E-1
131	2.18774583E-1
446	2.18813162E-1
775	2.20480996E-1
91	2.21411605E-1
773	2.2308906E-1
833	2.23803674E-1
708	2.25228447E-1
27	2.26040874E-1
360	2.28048767E-1
818	2.28990584E-1
908	2.32584381E-1
385	2.3604244E-1
123	2.38125274E-1
403	2.38931485E-1
900	2.39432191E-1
780	2.40202396E-1
368	2.40611809E-1
380	2.42111661E-1
32	2.42871914E-1
211	2.44462423E-1
596	2.44816416E-1
279	2.45616193E-1
272	2.4583085E-1
161	2.46685319E-1
213	2.49716613E-1
73	2.50097494E-1
800	2.52190196E-1
332	2.53701638E-1
680	2.55039987E-1
783	2.56539319E-1
980	2.57222805E-1
344	2.57844407E-1
30	2.59426781E-1
386	2.59812157E-1
725	2.60560174E-1
758	2.60573486E-1
465	2.6090836E-1
333	2.64344928E-1
159	2.67705088E-1
224	2.71202309E-1
136	2.74947305E-1
600	2.75722E-1
869	2.75723931E-1
94	2.75870753E-1
652	2.77044059E-1
698	2.78709712E-1
673	2.80769104E-1
101	2.81207353E-1
533	2.83287242E-1
443	2.85014575E-1
729	2.85289027E-1
152	2.85448124E-1
897	2.85961011E-1
292	2.87092286E-1
749	2.87733895E-1
99	2.88909053E-1
43	2.91024535E-1
40	2.92686047E-1
989	2.93030016E-1
990	2.9331092E-1
774	2.94581463E-1
103	2.97642238E-1
532	2.9975393E-1
10	3.0546496E-1
393	3.05774663E-1
971	3.05812295E-1
33	3.06286343E-1
603	3.06590431E-1
655	3.0780988E-1
834	3.09588991E-1
588	3.10280286E-1
661	3.12598873E-1
764	3.12945275E-1
190	3.16315475E-1
81	3.17455694E-1
35	3.1870676E-1
457	3.1944614E-1
625	3.1996828E-1
578	3.20031387E-1
6	3.2023059E-1
722	3.2079242E-1
449	3.23221655E-1
229	3.2409041E-1
487	3.24868844E-1
220	3.2665338E-1
912	3.27737782E-1
119	3.29065017E-1
951	3.2928146E-1
258	3.30460459E-1
316	3.30984713E-1
1004	3.31056656E-1
102	3.31828354E-1
114	3.32439172E-1
331	3.33096884E-1
947	3.33514772E-1
742	3.33770883E-1
117	3.34094659E-1
225	3.34740201E-1
298	3.37173009E-1
539	3.372869E-1
881	3.40085759E-1
377	3.41105502E-1
832	3.41326895E-1
659	3.43198134E-1
87	3.45709272E-1
1011	3.48239582E-1
613	3.48555317E-1
885	3.48943969E-1
772	3.49845755E-1
382	3.50204286E-1
391	3.5169135E-1
192	3.52253547E-1
594	3.52278127E-1
558	3.52743159E-1
862	3.53409683E-1
939	3.53638317E-1
329	3.53720823E-1
699	3.5449873E-1
572	3.5477996E-1
974	3.55037666E-1
9	3.55985172E-1
998	3.5665893E-1
207	3.57946328E-1
293	3.63554681E-1
362	3.67043345E-1
28	3.71110124E-1
559	3.71843878E-1
793	3.72138275E-1
361	3.72536067E-1
495	3.73141085E-1
607	3.76484238E-1
253	3.7756659E-1
198	3.77642063E-1
82	3.77742811E-1
807	3.77796669E-1
847	3.78547748E-1
325	3.80576793E-1
554	3.80718873E-1
809	3.83038082E-1
291	3.84446593E-1
994	3.86916168E-1
53	3.87041019E-1
617	3.88132267E-1
113	3.89992757E-1
445	3.91474957E-1
924	3.93906182E-1
669	3.9414888E-1
586	3.95740391E-1
953	3.98347756E-1
274	3.98634758E-1
859	3.99683226E-1
841	4.00503755E-1
508	4.00988347E-1
418	4.01321547E-1
718	4.01496278E-1
743	4.02429127E-1
470	4.03227675E-1
410	4.03806052E-1
339	4.06473289E-1
838	4.08494089E-1
568	4.1075585E-1
960	4.11281472E-1
879	4.12265966E-1
573	4.12715773E-1
768	4.12964514E-1
724	4.14288628E-1
409	4.15026036E-1
148	4.1641415E-1
8	4.17267406E-1
277	4.17885585E-1
137	4.20414592E-1
428	4.21324692E-1
376	4.22528249E-1
767	4.22855495E-1
681	4.23798304E-1
275	4.27711925E-1
545	4.27987501E-1
125	4.28455011E-1
288	4.29506276E-1
355	4.29969382E-1
433	4.30282799E-1
75	4.32841884E-1
107	4.33219842E-1
122	4.33620861E-1
203	4.3695144E-1
129	4.37963404E-1
684	4.38983222E-1
363	4.39331185E-1
836	4.42182415E-1
1015	4.42548256E-1
756	4.42886442E-1
794	4.43761958E-1
667	4.44015727E-1
217	4.44998491E-1
12	4.46328182E-1
397	4.48468136E-1
163	4.49318655E-1
921	4.49427824E-1
866	4.50578331E-1
39	4.50739753E-1
884	4.51856409E-1
850	4.52627914E-1
264	4.53375723E-1
988	4.53380802E-1
432	4.54493454E-1
842	4.54787228E-1
538	4.55112406E-1
786	4.55418057E-1
736	4.56681423E-1
474	4.56721992E-1
542	4.57280769E-1
66	4.61086572E-1
972	4.62909786E-1
320	4.63510352E-1
305	4.66520796E-1
145	4.66715E-1
460	4.67000591E-1
4	4.67050774E-1
242	4.67728922E-1
200	4.67898507E-1
913	4.69254989E-1
544	4.71667194E-1
528	4.72757063E-1
709	4.74848469E-1
697	4.7544612E-1
436	4.76448828E-1
104	4.7677397E-1
304	4.79745697E-1
541	4.79756553E-1
157	4.79817614E-1
966	4.79908236E-1
771	4.8102574E-1
979	4.81268477E-1
0	4.81523503E-1
686	4.82545802E-1
665	4.82590713E-1
857	4.84561708E-1
260	4.85653425E-1
197	4.87448728E-1
257	4.88110123E-1
898	4.8821251E-1
187	4.90324901E-1
721	4.90384001E-1
84	4.90430882E-1
593	4.9227756E-1
904	4.92984713E-1
263	4.93953209E-1
987	4.94076597E-1
962	4.95092214E-1
969	4.95496249E-1
1021	4.97806904E-1
90	4.97940598E-1
2	4.99449032E-1
112	5.02272393E-1
957	5.04786044E-1
855	5.0793362E-1
394	5.09272473E-1
398	5.11035254E-1
165	5.11316091E-1
854	5.11752385E-1
314	5.11960411E-1
48	5.13198623E-1
341	5.13338153E-1
228	5.14274323E-1
526	5.14288345E-1
454	5.158256E-1
1016	5.16699331E-1
473	5.16903813E-1
21	5.17566023E-1
340	5.17586665E-1
944	5.1859328E-1
357	5.18801216E-1
447	5.19306996E-1
819	5.20079547E-1
74	5.21244828E-1
760	5.24166471E-1
218	5.24291074E-1
268	5.24393158E-1
453	5.24815616E-1
458	5.2654842E-1
334	5.27260406E-1
427	5.2736433E-1
442	5.28044829E-1
186	5.28386258E-1
950	5.29040579E-1
527	5.30503792E-1
1023	5.30505351E-1
569	5.3143126E-1
682	5.31679951E-1
338	5.33409425E-1
282	5.35225667E-1
65	5.35994142E-1
185	5.37816527E-1
249	5.37843431E-1
730	5.37965948E-1
679	5.42348793E-1
351	5.4321089E-1
424	5.45276024E-1
737	5.45412845E-1
557	5.45899729E-1
509	5.49022089E-1
374	5.49440685E-1
222	5.49993131E-1
1005	5.52850037E-1
177	5.55169242E-1
476	5.55737495E-1
829	5.56531197E-1
875	5.56581423E-1
614	5.56892207E-1
