Name	chi2Pvalue
390	1.32539823E-4
839	1.42172754E-3
891	1.74898098E-3
176	1.97438559E-3
946	2.34758503E-3
664	3.09481019E-3
467	3.16473609E-3
68	3.2503428E-3
319	4.32060426E-3
820	4.75681008E-3
239	5.01477336E-3
803	5.28805897E-3
676	6.45662888E-3
671	6.92783131E-3
751	7.87803177E-3
20	9.25329186E-3
480	9.89459941E-3
327	1.05618873E-2
992	1.14273845E-2
813	1.23860115E-2
626	1.2862181E-2
731	1.3575745E-2
1002	1.36761036E-2
1008	1.52403642E-2
745	1.73995367E-2
235	1.74036673E-2
501	1.92727284E-2
792	1.93351685E-2
848	2.05109218E-2
55	2.06982103E-2
144	2.16690675E-2
193	2.19865812E-2
522	2.44681342E-2
651	2.55097336E-2
750	2.75908559E-2
42	2.81835161E-2
330	2.84735878E-2
370	2.88825531E-2
778	2.95067793E-2
740	3.09802796E-2
407	3.12609112E-2
999	3.26155754E-2
450	3.32421048E-2
306	3.34863208E-2
385	3.35208194E-2
451	3.40123458E-2
892	3.44539941E-2
314	3.53204478E-2
93	4.22394093E-2
429	4.43236654E-2
309	4.43834049E-2
478	4.57031493E-2
705	4.69578701E-2
993	4.73627692E-2
40	4.75386712E-2
213	4.77321726E-2
663	4.8305547E-2
876	4.85692785E-2
124	4.90947662E-2
575	4.93009906E-2
959	5.05768723E-2
922	5.1176473E-2
791	5.18248479E-2
296	5.20270555E-2
556	5.32658568E-2
317	5.42658028E-2
491	5.4852951E-2
243	5.78164546E-2
350	5.79518949E-2
333	5.97174679E-2
965	6.0823914E-2
606	6.18239894E-2
905	6.43360454E-2
696	6.69298228E-2
808	6.71776474E-2
443	6.77226985E-2
444	6.78223052E-2
896	6.81101938E-2
672	6.93471265E-2
658	7.01609192E-2
856	7.02535887E-2
752	7.24620666E-2
980	7.40340442E-2
744	7.55694422E-2
117	7.55924809E-2
571	7.59031207E-2
354	7.62049651E-2
785	7.6337624E-2
111	7.66283086E-2
238	7.69481841E-2
964	7.75589298E-2
864	7.89060529E-2
191	8.00504254E-2
479	8.09603282E-2
592	8.26714137E-2
837	8.28741399E-2
352	8.34935784E-2
628	8.50574065E-2
787	8.51221887E-2
788	8.68550027E-2
838	8.87087709E-2
641	9.15784136E-2
110	9.16388488E-2
60	9.35785053E-2
782	9.37624578E-2
954	9.40599492E-2
963	9.42919328E-2
298	9.45661823E-2
504	9.5376213E-2
777	9.5632623E-2
677	9.69667806E-2
316	9.73591501E-2
271	9.7399152E-2
10	9.74632006E-2
982	9.77253977E-2
844	9.78325344E-2
580	9.95481341E-2
470	9.97580134E-2
579	1.01862203E-1
634	1.0239261E-1
689	1.0327893E-1
675	1.04213241E-1
289	1.05823829E-1
160	1.0985167E-1
947	1.10259133E-1
86	1.10292096E-1
591	1.10758616E-1
802	1.11188781E-1
647	1.11252374E-1
140	1.12096019E-1
530	1.12285816E-1
269	1.1510217E-1
562	1.16069847E-1
622	1.18859133E-1
611	1.19129158E-1
403	1.19763811E-1
878	1.20314037E-1
114	1.23893309E-1
597	1.24772891E-1
329	1.27135067E-1
488	1.27849338E-1
517	1.29688029E-1
150	1.31467439E-1
212	1.35394571E-1
894	1.35565298E-1
636	1.35756695E-1
770	1.35832775E-1
38	1.3609384E-1
734	1.37038712E-1
499	1.37113949E-1
103	1.37150737E-1
823	1.37304281E-1
539	1.38134494E-1
83	1.38521745E-1
738	1.39083177E-1
553	1.3983624E-1
984	1.41573534E-1
569	1.4709122E-1
547	1.47732147E-1
686	1.48774971E-1
273	1.49199387E-1
783	1.5209868E-1
302	1.5294031E-1
960	1.53367701E-1
229	1.54005326E-1
846	1.54267373E-1
376	1.55241958E-1
866	1.5944338E-1
607	1.59736831E-1
446	1.59815367E-1
1007	1.60023079E-1
624	1.60051096E-1
87	1.60092563E-1
92	1.61480193E-1
506	1.62813797E-1
660	1.63160948E-1
386	1.64548377E-1
515	1.65201076E-1
595	1.66284158E-1
131	1.68525001E-1
680	1.68597144E-1
377	1.68711753E-1
990	1.69259849E-1
206	1.70492474E-1
497	1.7079281E-1
324	1.7193351E-1
465	1.73102876E-1
514	1.73533926E-1
767	1.73627927E-1
818	1.74048487E-1
8	1.74147162E-1
861	1.74861762E-1
772	1.75862342E-1
45	1.76103341E-1
76	1.76889253E-1
732	1.7920828E-1
806	1.79433999E-1
719	1.79487302E-1
710	1.80104535E-1
564	1.80938247E-1
525	1.81467543E-1
910	1.81523738E-1
915	1.82481946E-1
253	1.8251745E-1
833	1.82704288E-1
173	1.82818657E-1
643	1.83751695E-1
769	1.8519118E-1
30	1.86108911E-1
726	1.87822843E-1
495	1.89217913E-1
291	1.89839416E-1
773	1.90250895E-1
702	1.93997918E-1
299	1.94816393E-1
728	1.95509998E-1
192	1.95719022E-1
331	1.95839567E-1
456	1.97876217E-1
853	1.98296404E-1
260	2.0115845E-1
1011	2.01268877E-1
673	2.02162185E-1
786	2.03706574E-1
573	2.04670673E-1
1005	2.10835963E-1
988	2.11635273E-1
135	2.12040472E-1
71	2.14799293E-1
503	2.15383418E-1
596	2.15591192E-1
840	2.15743078E-1
257	2.18026772E-1
635	2.18628859E-1
860	2.18678258E-1
983	2.1903345E-1
863	2.19066833E-1
310	2.20303046E-1
646	2.20957878E-1
274	2.21187986E-1
145	2.21879018E-1
939	2.22990062E-1
613	2.23730234E-1
800	2.23992234E-1
698	2.24633625E-1
484	2.27043382E-1
245	2.27841871E-1
924	2.28066118E-1
99	2.28471442E-1
541	2.28536754E-1
708	2.29271021E-1
468	2.29309819E-1
879	2.30149944E-1
578	2.30595957E-1
609	2.31994907E-1
459	2.34549356E-1
775	2.35724148E-1
388	2.36398373E-1
81	2.36407136E-1
585	2.3773742E-1
211	2.38856197E-1
24	2.41902292E-1
223	2.4296647E-1
387	2.4387244E-1
268	2.45660439E-1
129	2.48698522E-1
725	2.48728851E-1
73	2.4884047E-1
932	2.50594931E-1
594	2.51125348E-1
1001	2.52583926E-1
481	2.52870373E-1
164	2.54225609E-1
756	2.54405112E-1
362	2.55350561E-1
67	2.56880662E-1
247	2.58205474E-1
500	2.5879711E-1
225	2.59139858E-1
487	2.60359348E-1
979	2.6089992E-1
406	2.63256268E-1
884	2.6590258E-1
391	2.67050132E-1
94	2.67200371E-1
949	2.67791646E-1
981	2.69233501E-1
293	2.69398089E-1
224	2.70391916E-1
436	2.70927051E-1
272	2.71845767E-1
652	2.72053772E-1
912	2.72148269E-1
928	2.72654146E-1
361	2.73541223E-1
687	2.77639418E-1
919	2.8435578E-1
205	2.84733775E-1
217	2.84759398E-1
850	2.87383005E-1
91	2.88498053E-1
368	2.88701158E-1
706	2.89558367E-1
276	2.91195345E-1
934	2.92975778E-1
119	2.93480474E-1
258	2.94210876E-1
974	2.94523799E-1
53	2.96042351E-1
758	2.96824924E-1
685	2.97110625E-1
737	2.97692679E-1
304	2.98834791E-1
159	3.00117558E-1
532	3.00364152E-1
33	3.02782496E-1
449	3.02938677E-1
152	3.02964344E-1
559	3.0419333E-1
883	3.06580894E-1
971	3.06716992E-1
177	3.08747591E-1
900	3.10491157E-1
718	3.11720468E-1
371	3.15278547E-1
84	3.16217794E-1
780	3.1710478E-1
457	3.17375637E-1
987	3.19409253E-1
994	3.20728693E-1
1015	3.24508082E-1
524	3.25368687E-1
26	3.26583546E-1
531	3.28704372E-1
542	3.28839034E-1
203	3.29159608E-1
196	3.29234872E-1
3	3.2991066E-1
56	3.31295084E-1
381	3.32977242E-1
54	3.33111405E-1
881	3.33748885E-1
908	3.33779542E-1
363	3.36546142E-1
476	3.39000305E-1
774	3.39867795E-1
320	3.40770691E-1
1003	3.41541595E-1
923	3.44034312E-1
716	3.44281362E-1
364	3.44432924E-1
859	3.44607294E-1
170	3.46794673E-1
418	3.47016099E-1
659	3.47055714E-1
661	3.49998129E-1
944	3.5090299E-1
27	3.51948497E-1
877	3.52201801E-1
588	3.52486145E-1
339	3.55897911E-1
248	3.56712223E-1
146	3.59432821E-1
668	3.62770599E-1
667	3.63519349E-1
82	3.64342146E-1
950	3.6524767E-1
141	3.68616807E-1
847	3.69367058E-1
292	3.70869994E-1
897	3.70887157E-1
998	3.72580952E-1
913	3.7338865E-1
427	3.77777719E-1
32	3.77986641E-1
242	3.78598972E-1
807	3.79084814E-1
760	3.79372587E-1
857	3.799749E-1
809	3.80366151E-1
1000	3.8038835E-1
161	3.8047455E-1
422	3.80579213E-1
492	3.81126807E-1
568	3.81376108E-1
729	3.81647189E-1
681	3.83268155E-1
603	3.84464371E-1
510	3.85902474E-1
101	3.86998435E-1
953	3.87069887E-1
380	3.87293156E-1
749	3.87669982E-1
482	3.89946743E-1
520	3.90895E-1
558	3.93102078E-1
107	3.93549775E-1
