Name	chi2Pvalue
878	1.29240597E-3
584	4.28435929E-3
999	5.02206533E-3
826	5.11564306E-3
716	5.48106176E-3
552	5.94723146E-3
94	7.25401029E-3
791	8.78288753E-3
856	1.06346354E-2
874	1.10571985E-2
41	1.1245461E-2
474	1.14992673E-2
676	1.28269736E-2
525	1.28926158E-2
562	1.32288897E-2
98	1.39732454E-2
186	1.61474432E-2
481	1.74273252E-2
203	1.76466003E-2
245	1.83553729E-2
638	2.01814543E-2
433	2.01987905E-2
296	2.02287427E-2
992	2.09590052E-2
823	2.09903839E-2
812	2.1856098E-2
461	2.27564975E-2
152	2.28348017E-2
247	2.39063128E-2
26	2.39697729E-2
460	2.44188809E-2
224	2.79229194E-2
780	2.93507073E-2
540	2.94882593E-2
685	3.14312432E-2
892	3.19033674E-2
144	3.26075828E-2
744	3.34794565E-2
234	3.5962137E-2
238	3.62255223E-2
15	3.9232011E-2
677	4.31676491E-2
869	4.33653259E-2
811	4.37244224E-2
112	4.42481801E-2
829	4.56871224E-2
903	4.73017709E-2
530	4.7617941E-2
501	4.93862255E-2
640	4.98144737E-2
731	5.12077892E-2
286	5.24580394E-2
735	5.28937052E-2
1011	5.29302756E-2
996	5.40728607E-2
981	5.43424702E-2
84	5.62069471E-2
751	5.66235418E-2
983	5.72153546E-2
955	5.73715108E-2
762	5.74846106E-2
991	5.75534212E-2
855	5.90095075E-2
337	5.93743204E-2
661	6.16314214E-2
946	6.30366357E-2
612	6.34640367E-2
60	6.56163332E-2
270	6.5750171E-2
671	6.60637249E-2
204	6.73336644E-2
196	6.90845795E-2
445	6.94573377E-2
160	7.09140323E-2
476	7.16581307E-2
740	7.20804052E-2
340	7.20865841E-2
302	7.24455241E-2
276	7.24654866E-2
836	7.36593114E-2
201	7.40284042E-2
1000	7.43874132E-2
139	7.69016711E-2
205	7.88223992E-2
721	7.92576973E-2
271	7.97807126E-2
29	7.98683985E-2
746	8.18485312E-2
831	8.26702859E-2
58	8.36035334E-2
820	8.42662928E-2
154	8.68816816E-2
882	8.82789272E-2
425	8.89191966E-2
418	8.90786789E-2
593	8.98905268E-2
435	9.09089265E-2
363	9.35398583E-2
764	9.36105763E-2
490	9.4772619E-2
22	9.51398153E-2
667	9.69156033E-2
478	9.81173426E-2
513	1.06328659E-1
551	1.07294336E-1
43	1.09062408E-1
557	1.09667185E-1
891	1.09671039E-1
417	1.10078653E-1
307	1.10809211E-1
538	1.11391778E-1
908	1.17088529E-1
252	1.17674769E-1
281	1.178972E-1
560	1.19682072E-1
605	1.21709625E-1
215	1.22111899E-1
863	1.22418453E-1
255	1.23968071E-1
73	1.2416622E-1
165	1.2496598E-1
995	1.26474132E-1
466	1.27092105E-1
453	1.28887235E-1
805	1.30260956E-1
227	1.31100212E-1
21	1.32013818E-1
592	1.32621981E-1
625	1.33166507E-1
454	1.3363793E-1
416	1.34472986E-1
382	1.34506878E-1
167	1.37061327E-1
310	1.37754662E-1
115	1.38016699E-1
295	1.3896917E-1
890	1.39446819E-1
750	1.39639072E-1
49	1.39672436E-1
465	1.40211508E-1
89	1.42314153E-1
397	1.43340494E-1
1001	1.44304496E-1
843	1.44358311E-1
926	1.44660827E-1
470	1.44736207E-1
781	1.44994557E-1
800	1.45871842E-1
575	1.46320381E-1
934	1.46394022E-1
378	1.47930524E-1
291	1.49048273E-1
325	1.49282398E-1
784	1.49810224E-1
31	1.51570361E-1
787	1.51794965E-1
456	1.52026842E-1
40	1.5261948E-1
80	1.52873437E-1
104	1.52983525E-1
586	1.5324361E-1
673	1.53346631E-1
77	1.53589439E-1
707	1.54161741E-1
951	1.54675322E-1
758	1.54690908E-1
555	1.56335273E-1
231	1.57280609E-1
847	1.57340221E-1
66	1.57549602E-1
469	1.58903829E-1
91	1.59268161E-1
300	1.60509562E-1
956	1.60977211E-1
932	1.61270515E-1
619	1.61924336E-1
698	1.62445571E-1
897	1.62496727E-1
626	1.63851585E-1
109	1.64820712E-1
459	1.65269379E-1
508	1.65722747E-1
225	1.68200564E-1
646	1.69425593E-1
484	1.70125352E-1
558	1.71294788E-1
123	1.72212344E-1
839	1.72847309E-1
42	1.7315314E-1
522	1.73400897E-1
54	1.77049308E-1
842	1.77655234E-1
114	1.77811081E-1
253	1.7835231E-1
933	1.78891543E-1
262	1.80625105E-1
911	1.82420852E-1
458	1.83382224E-1
119	1.84753646E-1
832	1.85096013E-1
219	1.8621083E-1
602	1.86773744E-1
429	1.86830749E-1
407	1.87112218E-1
292	1.8712835E-1
526	1.87603554E-1
962	1.87970335E-1
794	1.88536781E-1
948	1.8861578E-1
57	1.89225422E-1
870	1.89697112E-1
100	1.91090372E-1
71	1.91460578E-1
161	1.94655426E-1
867	1.94666618E-1
387	1.95228046E-1
81	1.95429978E-1
284	1.95497308E-1
776	1.95691371E-1
448	1.96028122E-1
583	1.96588679E-1
541	1.97534032E-1
414	1.9842559E-1
240	1.9917638E-1
960	2.00888774E-1
770	2.01377781E-1
680	2.01427664E-1
13	2.01503497E-1
391	2.01722324E-1
288	2.01816024E-1
372	2.02603429E-1
852	2.04478568E-1
674	2.05198986E-1
648	2.07221124E-1
360	2.07651403E-1
909	2.08645709E-1
332	2.12372619E-1
260	2.14510112E-1
380	2.15916252E-1
706	2.17267191E-1
396	2.18036902E-1
514	2.19559378E-1
346	2.19918214E-1
659	2.20240585E-1
788	2.23339099E-1
974	2.251574E-1
183	2.26223315E-1
124	2.28463781E-1
528	2.28610174E-1
859	2.29600844E-1
783	2.30931727E-1
199	2.32559993E-1
14	2.34070349E-1
216	2.34097962E-1
