Name	chi2Pvalue
41	7.12504296E-4
474	2.42053754E-3
584	3.36244593E-3
562	3.39952791E-3
983	4.18983045E-3
540	4.69311048E-3
144	5.60783651E-3
396	6.65700063E-3
519	8.38314835E-3
677	8.66750517E-3
94	1.01005104E-2
245	1.11328556E-2
759	1.15952597E-2
520	1.42729107E-2
878	1.60174403E-2
300	1.80567067E-2
552	1.80973704E-2
946	1.96320063E-2
407	2.06174258E-2
84	2.18135302E-2
530	2.60598813E-2
671	2.66140222E-2
812	2.79062915E-2
839	2.79808218E-2
891	2.92216276E-2
433	2.93013122E-2
431	2.99920688E-2
57	3.10358037E-2
726	3.22830831E-2
954	3.31168296E-2
55	3.42574366E-2
995	3.55167795E-2
855	3.63492808E-2
930	3.79165065E-2
676	3.8759923E-2
43	3.88732778E-2
146	4.052605E-2
391	4.13328893E-2
271	4.15191151E-2
735	4.20544236E-2
976	4.21977709E-2
371	4.31038518E-2
716	4.32303699E-2
666	4.55669507E-2
466	4.59389745E-2
971	4.64177221E-2
186	4.64477452E-2
882	4.71332962E-2
314	4.77097967E-2
917	4.95114359E-2
764	4.95967097E-2
992	4.97529889E-2
45	5.25368483E-2
495	5.29397292E-2
13	5.31974724E-2
953	5.499833E-2
112	5.60305734E-2
522	5.64632583E-2
823	5.76977303E-2
996	5.7712899E-2
965	5.89934045E-2
744	5.96928228E-2
104	6.51903114E-2
225	6.58419742E-2
381	6.82380247E-2
698	6.86256059E-2
939	6.92076581E-2
556	6.93586746E-2
461	7.00401043E-2
890	7.13971256E-2
51	7.1514662E-2
923	7.33353028E-2
837	7.39842015E-2
152	7.63277523E-2
270	7.65322941E-2
852	7.67139257E-2
769	7.70058127E-2
238	7.73619859E-2
119	7.82702599E-2
526	7.91445022E-2
999	7.94340063E-2
592	8.06770634E-2
528	8.28069979E-2
380	8.39529635E-2
791	8.43516382E-2
558	8.67508868E-2
413	8.68579603E-2
29	8.80091975E-2
115	8.82049352E-2
781	8.94355225E-2
203	9.0661485E-2
981	9.13500557E-2
856	9.1763289E-2
340	9.23260422E-2
814	9.30993035E-2
612	9.49202454E-2
166	9.49642185E-2
375	9.90339063E-2
826	1.00611708E-1
850	1.00674931E-1
830	1.01225093E-1
551	1.01505269E-1
465	1.01505863E-1
646	1.02118636E-1
49	1.03973784E-1
750	1.04740408E-1
196	1.0482656E-1
615	1.05705035E-1
445	1.05991578E-1
98	1.06664894E-1
547	1.07129322E-1
853	1.07728918E-1
70	1.11007405E-1
788	1.11690156E-1
296	1.11920669E-1
332	1.12510235E-1
1013	1.13197105E-1
418	1.14421696E-1
572	1.14676478E-1
192	1.14704717E-1
424	1.15997975E-1
989	1.16456823E-1
960	1.16522043E-1
292	1.17517911E-1
525	1.18962628E-1
331	1.20631845E-1
60	1.20718858E-1
555	1.20752419E-1
945	1.20855656E-1
339	1.23949435E-1
669	1.24150333E-1
754	1.24191698E-1
328	1.26202299E-1
608	1.27202625E-1
803	1.28363825E-1
410	1.28418224E-1
140	1.28942874E-1
467	1.29202275E-1
476	1.30006638E-1
85	1.30025601E-1
232	1.30248335E-1
510	1.30248765E-1
605	1.31114637E-1
22	1.32175016E-1
567	1.3456139E-1
460	1.34980464E-1
776	1.3537272E-1
548	1.38225303E-1
83	1.39512302E-1
783	1.40510113E-1
188	1.4139609E-1
260	1.41608111E-1
527	1.41790077E-1
155	1.44219619E-1
262	1.44336084E-1
560	1.45053757E-1
329	1.45237585E-1
523	1.45781026E-1
58	1.46101285E-1
728	1.47123262E-1
229	1.47756111E-1
680	1.4890507E-1
951	1.49931821E-1
181	1.49965398E-1
732	1.50047929E-1
308	1.5136824E-1
417	1.51408854E-1
153	1.51472989E-1
255	1.52003317E-1
183	1.52130628E-1
227	1.52316679E-1
514	1.52920925E-1
719	1.54555519E-1
513	1.55742484E-1
718	1.57400172E-1
150	1.5840835E-1
935	1.6073691E-1
805	1.61247734E-1
137	1.616324E-1
538	1.62058232E-1
44	1.6213075E-1
840	1.62910924E-1
986	1.64600579E-1
478	1.64863835E-1
42	1.65372918E-1
21	1.65829436E-1
641	1.69286993E-1
705	1.69296932E-1
30	1.70708079E-1
134	1.71183241E-1
233	1.72843193E-1
107	1.73237719E-1
760	1.7361546E-1
205	1.74138275E-1
961	1.76337014E-1
909	1.7836346E-1
731	1.78890475E-1
870	1.7982629E-1
215	1.80554564E-1
800	1.81461867E-1
738	1.8657752E-1
77	1.87090357E-1
231	1.87214893E-1
159	1.8816609E-1
553	1.90649826E-1
190	1.92635024E-1
208	1.94452117E-1
383	1.95772137E-1
586	1.96880453E-1
482	1.97196427E-1
967	1.9752232E-1
859	2.00163633E-1
673	2.01091904E-1
126	2.0307812E-1
807	2.03188368E-1
372	2.03874176E-1
778	2.04469359E-1
361	2.05606643E-1
348	2.07650476E-1
773	2.07811721E-1
415	2.08637548E-1
851	2.1063151E-1
373	2.10908812E-1
645	2.11068713E-1
313	2.12879192E-1
165	2.14793759E-1
147	2.14818108E-1
524	2.15402881E-1
802	2.16147609E-1
114	2.17411119E-1
894	2.18512557E-1
869	2.19806483E-1
20	2.20589824E-1
813	2.22070991E-1
221	2.23666886E-1
905	2.25791893E-1
247	2.26360848E-1
377	2.2644642E-1
865	2.26900841E-1
652	2.28934507E-1
416	2.30937688E-1
493	2.31577296E-1
411	2.32284142E-1
89	2.32743313E-1
583	2.34727994E-1
414	2.35378378E-1
847	2.36396981E-1
521	2.3657612E-1
54	2.39947786E-1
368	2.46356216E-1
601	2.46368407E-1
430	2.47339549E-1
751	2.47462643E-1
297	2.48639813E-1
918	2.49275146E-1
248	2.49908448E-1
1000	2.51083069E-1
541	2.51580024E-1
453	2.51921507E-1
598	2.52806633E-1
38	2.52812266E-1
130	2.53061035E-1
246	2.53642226E-1
829	2.54244339E-1
189	2.54906949E-1
990	2.57060506E-1
389	2.57570269E-1
777	2.59006733E-1
212	2.59708056E-1
480	2.60444166E-1
795	2.61440144E-1
304	2.61729781E-1
74	2.61828533E-1
