Name	chi2Pvalue
41	1.74186108E-4
584	1.81911301E-4
962	1.931581E-3
552	2.35371394E-3
396	3.48244156E-3
897	3.93829395E-3
245	4.78607905E-3
878	7.46466476E-3
735	8.50370437E-3
529	9.92521551E-3
882	1.0423278E-2
361	1.06788004E-2
778	1.13761409E-2
995	1.59338019E-2
465	1.59965829E-2
699	1.71396847E-2
530	1.73120086E-2
513	1.89342679E-2
18	2.0077891E-2
728	2.04854725E-2
51	2.16464451E-2
695	2.41508556E-2
983	2.62348176E-2
731	2.67719764E-2
562	2.89506008E-2
442	2.94893967E-2
431	2.96457891E-2
540	2.96663979E-2
946	2.98852792E-2
147	3.04342213E-2
891	3.22279379E-2
60	3.32798693E-2
166	3.58797929E-2
954	3.65201117E-2
974	3.65705676E-2
39	3.70033634E-2
71	3.7166943E-2
677	3.75277858E-2
992	4.04481242E-2
234	4.50507274E-2
916	4.67932621E-2
74	4.69384179E-2
676	4.80278746E-2
335	4.88016488E-2
894	4.91466488E-2
186	4.92821567E-2
476	5.05700465E-2
221	5.0976522E-2
474	5.21565412E-2
433	5.29758828E-2
243	5.50679877E-2
15	5.61326636E-2
949	5.65683763E-2
332	5.72979863E-2
924	5.77009905E-2
413	5.82230365E-2
671	5.8901584E-2
591	6.15035258E-2
44	6.19324596E-2
429	6.2028856E-2
777	6.38422908E-2
727	6.41385049E-2
522	6.52602889E-2
764	6.57244894E-2
460	6.59397965E-2
240	6.62379359E-2
745	6.65658893E-2
190	6.70972063E-2
410	6.72500644E-2
184	6.79078171E-2
953	6.97281736E-2
965	7.01095922E-2
227	7.10306159E-2
489	7.17792044E-2
348	7.18744464E-2
488	7.20018569E-2
420	7.25361412E-2
479	7.52333517E-2
372	7.63187338E-2
83	7.68035575E-2
13	7.74477636E-2
380	7.7928449E-2
467	7.9804506E-2
996	8.0163142E-2
631	8.02174503E-2
541	8.3221379E-2
960	8.32476455E-2
910	8.42088435E-2
604	8.71524221E-2
744	8.83234352E-2
667	8.93308186E-2
854	8.94629487E-2
925	9.11267417E-2
961	9.23204765E-2
357	9.58834706E-2
690	9.79237579E-2
430	9.96808653E-2
751	1.0007399E-1
238	1.00614058E-1
354	1.02930024E-1
30	1.03344386E-1
989	1.03640267E-1
638	1.06015139E-1
578	1.06468115E-1
45	1.07159499E-1
57	1.07362515E-1
855	1.0772126E-1
247	1.08825539E-1
981	1.10950473E-1
823	1.12013797E-1
798	1.12434969E-1
837	1.12723732E-1
617	1.12744076E-1
646	1.13917847E-1
146	1.15358717E-1
976	1.16254343E-1
1013	1.18926608E-1
468	1.21125743E-1
579	1.21285871E-1
587	1.21535146E-1
259	1.22164771E-1
917	1.22446106E-1
750	1.22786856E-1
250	1.23203167E-1
144	1.24551626E-1
163	1.24720072E-1
807	1.27578797E-1
1011	1.27726206E-1
847	1.2789286E-1
769	1.27968592E-1
91	1.28144589E-1
181	1.28162703E-1
673	1.28855126E-1
821	1.29928014E-1
312	1.29969025E-1
909	1.30705567E-1
466	1.3102078E-1
390	1.33714002E-1
852	1.34775698E-1
100	1.34908602E-1
415	1.35288563E-1
637	1.35655172E-1
119	1.36809579E-1
409	1.38347102E-1
923	1.43327026E-1
814	1.43494842E-1
642	1.43698084E-1
651	1.45737621E-1
1001	1.47295769E-1
328	1.47516888E-1
610	1.48146146E-1
113	1.49854547E-1
405	1.50634766E-1
951	1.50713616E-1
237	1.5291086E-1
711	1.54093826E-1
933	1.57399248E-1
160	1.59350781E-1
463	1.59471574E-1
168	1.60097148E-1
987	1.61216015E-1
373	1.61362153E-1
29	1.62443958E-1
308	1.64126487E-1
270	1.64455195E-1
496	1.64637284E-1
719	1.64648912E-1
212	1.66970481E-1
366	1.67845238E-1
580	1.67857087E-1
139	1.68714745E-1
389	1.69133079E-1
839	1.73346038E-1
505	1.73542946E-1
162	1.75319685E-1
674	1.76231931E-1
440	1.78127013E-1
97	1.78455401E-1
620	1.78637024E-1
414	1.79019185E-1
627	1.79700607E-1
545	1.80741083E-1
698	1.81079405E-1
65	1.81398219E-1
20	1.81458138E-1
443	1.83905892E-1
526	1.85082343E-1
883	1.85170558E-1
