Name	chi2Pvalue
245	1.48893325E-3
878	1.7917476E-3
94	1.92287764E-3
396	3.41112454E-3
882	4.07769371E-3
114	4.15960586E-3
407	4.916668E-3
41	5.6185012E-3
584	6.46192754E-3
562	6.52663724E-3
525	7.08561028E-3
552	7.11823021E-3
520	7.56245292E-3
54	8.87897004E-3
612	8.9036135E-3
983	9.1670755E-3
676	9.84457386E-3
852	1.13217892E-2
43	1.18442265E-2
146	1.20251559E-2
999	1.31069101E-2
869	1.36437762E-2
911	1.36711808E-2
144	1.3959407E-2
474	1.61118318E-2
887	1.77375319E-2
73	1.95718102E-2
410	2.20552502E-2
540	2.50105336E-2
465	2.51512731E-2
371	2.52576455E-2
238	2.53734213E-2
747	2.60571147E-2
995	2.6918149E-2
953	2.70874696E-2
698	2.77426991E-2
855	2.8307341E-2
389	2.95552471E-2
946	3.00701943E-2
461	3.04987704E-2
787	3.0906044E-2
260	3.13668902E-2
60	3.24700426E-2
413	3.35427102E-2
764	3.44673196E-2
20	3.55044052E-2
365	3.55258659E-2
343	3.92453082E-2
446	4.01997861E-2
152	4.23962903E-2
29	4.40760807E-2
300	4.61363901E-2
145	4.64100942E-2
1004	4.84648944E-2
780	5.00025949E-2
115	5.21718974E-2
782	5.27540626E-2
951	5.31178254E-2
680	5.36379359E-2
22	5.62552265E-2
760	5.65962862E-2
296	5.8763421E-2
996	5.88581323E-2
592	6.01475847E-2
215	6.03485721E-2
847	6.11228572E-2
45	6.27711588E-2
707	6.30233039E-2
605	6.30276402E-2
467	6.42348657E-2
383	6.48051419E-2
203	6.53681052E-2
791	6.61567489E-2
981	6.70336646E-2
892	6.75126848E-2
783	6.84926782E-2
314	6.86664605E-2
1000	6.87131259E-2
330	6.87278843E-2
308	6.93345821E-2
57	6.97110891E-2
812	7.02703178E-2
921	7.127034E-2
186	7.14329532E-2
939	7.52894398E-2
823	7.56562133E-2
488	7.85886799E-2
716	7.86878228E-2
140	8.14607691E-2
1001	8.18043439E-2
651	8.25371706E-2
672	8.25492649E-2
55	8.36974148E-2
745	8.39011436E-2
669	8.51484793E-2
464	8.95218255E-2
493	8.9643897E-2
923	9.02655888E-2
274	9.04750945E-2
922	9.35601248E-2
731	9.41169421E-2
262	9.4772503E-2
442	9.48937612E-2
252	9.53062747E-2
925	9.55520764E-2
992	9.61487279E-2
89	9.68247831E-2
479	9.69147266E-2
839	9.72590266E-2
426	9.79342418E-2
393	1.00036381E-1
551	1.00446844E-1
387	1.01976629E-1
279	1.02945422E-1
159	1.03067908E-1
127	1.03405896E-1
167	1.04176953E-1
538	1.05985103E-1
890	1.06117382E-1
579	1.0662384E-1
4	1.06671382E-1
403	1.06776181E-1
560	1.06884636E-1
856	1.07132536E-1
311	1.08000762E-1
66	1.09117545E-1
556	1.11226534E-1
212	1.13722282E-1
624	1.14842571E-1
832	1.15387723E-1
912	1.15868519E-1
247	1.16982229E-1
470	1.17403475E-1
67	1.18065523E-1
496	1.18488013E-1
802	1.19056989E-1
513	1.23037177E-1
454	1.24760847E-1
625	1.24996653E-1
312	1.27811306E-1
104	1.29334712E-1
363	1.29627823E-1
150	1.30090844E-1
826	1.32517711E-1
573	1.32795777E-1
591	1.33846184E-1
304	1.34175484E-1
476	1.3613751E-1
44	1.37275936E-1
48	1.37309181E-1
719	1.37524891E-1
463	1.38504657E-1
894	1.38506302E-1
120	1.39642225E-1
918	1.39672575E-1
521	1.40355206E-1
976	1.41695412E-1
332	1.42829049E-1
466	1.43230276E-1
727	1.49761235E-1
269	1.50024009E-1
891	1.50270275E-1
86	1.51375294E-1
109	1.51602896E-1
788	1.52454065E-1
726	1.5254331E-1
205	1.53638857E-1
351	1.55232765E-1
259	1.57462944E-1
272	1.58124331E-1
235	1.58365589E-1
762	1.58746681E-1
526	1.5920051E-1
954	1.59755064E-1
327	1.61476898E-1
237	1.61739082E-1
243	1.6202665E-1
49	1.63177122E-1
767	1.6578755E-1
845	1.65837488E-1
735	1.66551745E-1
42	1.66586411E-1
740	1.67224242E-1
575	1.67296533E-1
917	1.68464005E-1
301	1.68748902E-1
957	1.69133425E-1
