Name	chi2Pvalue
390	8.19142082E-5
813	5.47338492E-4
705	1.0238189E-3
451	1.14903878E-3
946	1.44907604E-3
176	1.65849707E-3
820	2.54248734E-3
992	2.55494631E-3
876	2.65857502E-3
626	2.75747966E-3
309	3.40839687E-3
848	5.54354351E-3
327	8.98479258E-3
664	9.29301751E-3
317	9.34504361E-3
595	1.0513492E-2
770	1.16055741E-2
512	1.20391121E-2
731	1.26659809E-2
68	1.35936802E-2
1000	1.36782947E-2
778	1.41187007E-2
858	1.4360594E-2
111	1.93561976E-2
360	2.04572678E-2
271	2.22280418E-2
751	2.229655E-2
273	2.44644562E-2
20	2.68070596E-2
984	2.70890664E-2
67	2.88940429E-2
235	2.91224022E-2
808	3.0185353E-2
676	3.03857571E-2
193	3.06886936E-2
55	3.13136386E-2
965	3.13431471E-2
239	3.30539791E-2
450	3.31067692E-2
276	3.31136188E-2
206	3.35030017E-2
479	3.35790543E-2
444	3.37532368E-2
1007	3.38527261E-2
622	3.43458964E-2
611	3.6569597E-2
671	3.66768144E-2
787	3.73380349E-2
791	3.74751204E-2
564	3.7870409E-2
641	3.93355524E-2
823	4.01205394E-2
1	4.10504883E-2
491	4.28082431E-2
902	4.40833591E-2
915	4.55774705E-2
740	4.63451518E-2
896	4.67871165E-2
467	4.67873681E-2
1001	4.79193378E-2
575	4.85042244E-2
522	4.87920548E-2
530	5.05323468E-2
233	5.05722382E-2
499	5.17226707E-2
497	5.21780334E-2
1002	5.25848583E-2
839	5.34921104E-2
844	5.36644187E-2
982	5.50162288E-2
628	5.55385097E-2
296	5.62460401E-2
515	5.81722953E-2
673	5.8543399E-2
71	5.88505464E-2
785	5.92199788E-2
388	5.99584451E-2
775	6.03828873E-2
750	6.11736605E-2
861	6.16346106E-2
878	6.30509127E-2
488	6.31050985E-2
150	6.32527514E-2
774	6.43241357E-2
144	6.53260274E-2
860	6.53794993E-2
38	6.73261726E-2
585	6.73692712E-2
140	6.74776873E-2
377	6.87825188E-2
110	6.943012E-2
745	7.06127206E-2
864	7.12536405E-2
995	7.25366613E-2
42	7.26330861E-2
660	7.29268975E-2
856	7.5478241E-2
592	7.68986268E-2
332	7.7407893E-2
891	7.90011554E-2
853	7.92770785E-2
696	8.13941106E-2
238	8.2221344E-2
524	8.35239319E-2
306	8.58757172E-2
905	8.66766985E-2
597	8.68516613E-2
609	8.70901484E-2
83	8.711177E-2
910	8.81569715E-2
993	8.85346037E-2
663	8.88669232E-2
658	9.05362205E-2
495	9.10009355E-2
606	9.13140661E-2
675	9.14878282E-2
247	9.21687646E-2
767	9.30329805E-2
922	9.35708353E-2
125	9.4609884E-2
480	9.52632336E-2
728	9.8401814E-2
792	9.89501129E-2
634	9.92090995E-2
504	1.02143777E-1
636	1.03002427E-1
173	1.03169667E-1
352	1.05003488E-1
894	1.06906314E-1
45	1.07524248E-1
333	1.07727847E-1
