Name	chi2Pvalue
813	1.00675249E-4
820	4.0627266E-4
390	6.78059505E-4
309	1.17089642E-3
705	1.62877114E-3
176	2.24680826E-3
778	3.14544762E-3
68	5.54869657E-3
515	5.75921564E-3
891	5.90003033E-3
664	6.20417391E-3
671	6.30048745E-3
992	6.83899764E-3
626	7.10051013E-3
306	8.02839934E-3
60	8.98701546E-3
501	9.54393682E-3
856	9.68101275E-3
140	1.19324786E-2
111	1.23692639E-2
946	1.25444619E-2
296	1.26995766E-2
839	1.45177347E-2
840	1.57150539E-2
745	1.62506952E-2
675	1.63706835E-2
223	1.63896667E-2
876	1.80258154E-2
480	1.86310601E-2
848	1.96562628E-2
1002	2.26842414E-2
450	2.27540983E-2
429	2.28545862E-2
55	2.32172194E-2
319	2.3700661E-2
562	2.49183447E-2
808	2.70004015E-2
788	2.76278308E-2
317	2.88856059E-2
878	3.21878634E-2
196	3.2515779E-2
770	3.38544203E-2
734	3.50907388E-2
273	3.64970283E-2
892	3.69871786E-2
76	3.8131352E-2
628	3.82711251E-2
731	3.85388086E-2
984	3.87527789E-2
330	3.88617462E-2
651	4.06014617E-2
803	4.0621959E-2
844	4.36195732E-2
88	4.52525228E-2
239	4.71999308E-2
271	4.89308106E-2
553	5.14517215E-2
415	5.21749411E-2
206	5.4293482E-2
624	5.45644714E-2
633	5.70995876E-2
905	5.74835557E-2
751	5.75504104E-2
83	5.88982028E-2
144	5.96200652E-2
327	6.09657229E-2
647	6.23237207E-2
468	6.30191429E-2
792	6.37042849E-2
445	6.40849984E-2
497	6.41664733E-2
846	6.7084429E-2
135	6.77438597E-2
689	6.83258092E-2
676	7.03287729E-2
861	7.30738498E-2
525	7.39407986E-2
922	7.41975143E-2
769	7.45645347E-2
1008	7.46884359E-2
27	7.46993447E-2
806	7.67323231E-2
451	7.70473183E-2
94	7.80383365E-2
777	7.83862374E-2
575	8.09190949E-2
235	8.20331276E-2
238	8.28605168E-2
524	8.3349198E-2
370	8.48349988E-2
191	8.49353785E-2
403	8.57510876E-2
352	8.6631708E-2
643	8.71808177E-2
92	8.78187975E-2
708	8.84297597E-2
243	9.0008856E-2
93	9.12803925E-2
556	9.27932272E-2
864	9.30039247E-2
491	9.43327171E-2
193	9.4378943E-2
579	9.82617033E-2
923	9.88966477E-2
324	9.91226045E-2
479	1.01930593E-1
457	1.03132376E-1
387	1.03578226E-1
160	1.04074901E-1
467	1.04961211E-1
591	1.05612813E-1
224	1.06236787E-1
658	1.08533249E-1
503	1.09064046E-1
456	1.09447605E-1
883	1.09452415E-1
592	1.09760717E-1
26	1.10941004E-1
982	1.1167985E-1
752	1.13203722E-1
302	1.14067096E-1
20	1.14814815E-1
318	1.1493132E-1
30	1.1551952E-1
580	1.16211222E-1
963	1.17427846E-1
305	1.18237492E-1
388	1.18623603E-1
742	1.21030882E-1
685	1.22578934E-1
331	1.22780027E-1
1	1.23656721E-1
291	1.25245094E-1
672	1.25703952E-1
213	1.26107985E-1
954	1.26694077E-1
33	1.26867493E-1
380	1.27276805E-1
71	1.28915583E-1
634	1.29180196E-1
488	1.2936199E-1
738	1.29397132E-1
465	1.30448264E-1
744	1.32414993E-1
807	1.32733461E-1
499	1.34498039E-1
902	1.35493915E-1
894	1.35520398E-1
245	1.36569553E-1
350	1.38362009E-1
896	1.39674436E-1
800	1.40574236E-1
45	1.41115394E-1
422	1.41403011E-1
38	1.42524816E-1
99	1.42614376E-1
571	1.4368832E-1
123	1.45174345E-1
980	1.46163832E-1
600	1.46705351E-1
86	1.46899834E-1
823	1.47131081E-1
101	1.4728E-1
344	1.48831707E-1
212	1.4907791E-1
859	1.50274038E-1
677	1.51260185E-1
159	1.52695436E-1
514	1.54499152E-1
360	1.54909763E-1
615	1.55388837E-1
795	1.5629328E-1
512	1.58411751E-1
782	1.61930127E-1
636	1.62420211E-1
828	1.62749587E-1
82	1.63282963E-1
1001	1.64128801E-1
325	1.65312392E-1
558	1.67634179E-1
1023	1.68103771E-1
680	1.69702524E-1
54	1.70479585E-1
928	1.72238386E-1
698	1.72441015E-1
728	1.72476551E-1
205	1.74224708E-1
110	1.74825446E-1
773	1.7597559E-1
24	1.76225064E-1
606	1.77667579E-1
939	1.77780818E-1
198	1.78773923E-1
919	1.80172464E-1
1000	1.81338409E-1
152	1.81785662E-1
964	1.84435765E-1
818	1.88103293E-1
117	1.89264512E-1
722	1.91608457E-1
484	1.92097433E-1
386	1.93137414E-1
310	1.95203392E-1
211	1.95605889E-1
424	1.97667401E-1
136	2.00872896E-1
900	2.01056462E-1
292	2.01622128E-1
696	2.03388377E-1
509	2.0726401E-1
446	2.08964242E-1
981	2.0942415E-1
617	2.10758137E-1
478	2.11163578E-1
217	2.11479847E-1
611	2.11698399E-1
594	2.11989702E-1
622	2.12617543E-1
949	2.12853333E-1
726	2.14054843E-1
164	2.14177825E-1
758	2.15036888E-1
882	2.1803146E-1
991	2.18478639E-1
635	2.18772304E-1
998	2.1899498E-1
320	2.19318372E-1
289	2.20174832E-1
740	2.20182245E-1
299	2.23121347E-1
915	2.25093225E-1
444	2.2532691E-1
682	2.25361511E-1
993	2.25480605E-1
69	2.27573485E-1
764	2.29240479E-1
596	2.303323E-1
74	2.30767954E-1
1004	2.31136043E-1
391	2.31347027E-1
706	2.31958921E-1
131	2.33872514E-1
517	2.36792022E-1
362	2.37942359E-1
863	2.40306602E-1
836	2.40781393E-1
500	2.40824594E-1
613	2.40976754E-1
879	2.4100396E-1
783	2.41228334E-1
481	2.41909878E-1
42	2.42153069E-1
702	2.42834352E-1
410	2.43627251E-1
182	2.44102527E-1
732	2.44910549E-1
530	2.47494934E-1
793	2.47787559E-1
609	2.48072388E-1
203	2.4827989E-1
532	2.49084933E-1
945	2.49594248E-1
881	2.50233313E-1
506	2.51080258E-1
962	2.51238819E-1
802	2.52866363E-1
382	2.54201008E-1
106	2.56902847E-1
768	2.58228245E-1
854	2.60683257E-1
787	2.62288978E-1
12	2.62369112E-1
754	2.62597328E-1
853	2.62635405E-1
585	2.62990601E-1
687	2.6339385E-1
91	2.64802991E-1
837	2.65100503E-1
794	2.65376341E-1
697	2.66096686E-1
666	2.66351157E-1
1018	2.68327776E-1
547	2.69319952E-1
341	2.7017735E-1
989	2.70348752E-1
765	2.70587806E-1
316	2.71618286E-1
660	2.7174057E-1
539	2.71854771E-1
9	2.75344362E-1
264	2.7724199E-1
288	2.77527186E-1
2	2.78774758E-1
304	2.7987391E-1
326	2.80246651E-1
819	2.80570283E-1
983	2.80959656E-1
114	2.82276175E-1
406	2.86413855E-1
229	2.87179345E-1
965	2.89466699E-1
885	2.90346789E-1
32	2.90806472E-1
791	2.9134353E-1
1003	2.92937504E-1
192	2.938069E-1
504	2.94494357E-1
21	3.00398604E-1
453	3.00656201E-1
659	3.03927663E-1
971	3.04789024E-1
725	3.06126783E-1
927	3.06189918E-1
280	3.07877596E-1
670	3.13307022E-1
103	3.14121354E-1
597	3.1516165E-1
822	3.15241598E-1
334	3.16545115E-1
759	3.219168E-1
951	3.22181349E-1
357	3.24080431E-1
522	3.25824105E-1
14	3.27420976E-1
648	3.27563653E-1
409	3.27635579E-1
528	3.29085615E-1
218	3.29910082E-1
408	3.30899563E-1
119	3.30993636E-1
786	3.38122892E-1
109	3.38342755E-1
329	3.3955694E-1
277	3.40881359E-1
35	3.43289727E-1
974	3.43303357E-1
966	3.43316123E-1
168	3.44724914E-1
652	3.44725205E-1
760	3.45266305E-1
161	3.46732446E-1
893	3.4684557E-1
686	3.47497612E-1
129	3.47890463E-1
663	3.47960148E-1
925	3.48021445E-1
73	3.48023889E-1
298	3.49313751E-1
959	3.55178427E-1
122	3.55395183E-1
342	3.55504546E-1
173	3.55604678E-1
355	3.55634019E-1
781	3.55845334E-1
1015	3.57785362E-1
661	3.57851486E-1
427	3.58076914E-1
826	3.59808014E-1
750	3.64829838E-1
8	3.65321697E-1
1011	3.66538806E-1
407	3.6768772E-1
860	3.68232672E-1
749	3.69053447E-1
988	3.70313416E-1
276	3.71950274E-1
521	3.72194938E-1
877	3.74267879E-1
772	3.7616076E-1
978	3.78126791E-1
646	3.82108557E-1
433	3.83745618E-1
904	3.84502296E-1
374	3.84980523E-1
667	3.8532415E-1
36	3.86250241E-1
107	3.86833974E-1
855	3.87245309E-1
960	3.8942765E-1
204	3.89905025E-1
385	3.91485117E-1
537	3.93057853E-1
67	3.94428126E-1
1006	3.97783032E-1
426	3.9937043E-1
150	4.00346838E-1
363	4.02505489E-1
729	4.02567718E-1
393	4.02645501E-1
412	4.02763724E-1
53	4.0374811E-1
527	4.04721788E-1
486	4.04804104E-1
544	4.05012365E-1
785	4.06155228E-1
603	4.07125595E-1
809	4.08039696E-1
311	4.08902973E-1
259	4.10726596E-1
873	4.10981924E-1
627	4.1459568E-1
349	4.14969281E-1
354	4.15690059E-1
414	4.16094298E-1
81	4.16127094E-1
124	4.18926939E-1
10	4.190915E-1
551	4.19230959E-1
586	4.19639198E-1
614	4.19858633E-1
842	4.20463256E-1
1007	4.20808016E-1
398	4.20895578E-1
718	4.24024503E-1
913	4.25387976E-1
274	4.27689164E-1
207	4.28184416E-1
736	4.28214965E-1
665	4.28223939E-1
470	4.28445157E-1
197	4.29929143E-1
642	4.31471062E-1
898	4.31872157E-1
564	4.32022102E-1
641	4.34612098E-1
307	4.34685552E-1
351	4.35514537E-1
908	4.36441919E-1
644	4.37956707E-1
711	4.38726142E-1
389	4.39869717E-1
607	4.40065602E-1
926	4.40758636E-1
290	4.42383396E-1
710	4.42562052E-1
87	4.43199187E-1
649	4.46613186E-1
397	4.46751359E-1
953	4.46944592E-1
219	4.48915066E-1
170	4.50498743E-1
502	4.51911336E-1
458	4.54957126E-1
994	4.55099382E-1
1021	4.55402363E-1
560	4.56192307E-1
911	4.56331493E-1
125	4.56947169E-1
990	4.57574194E-1
333	4.57728391E-1
838	4.59757756E-1
356	4.61376991E-1
814	4.62239849E-1
220	4.62776174E-1
956	4.63625057E-1
186	4.67260393E-1
555	4.67342518E-1
987	4.67939338E-1
0	4.70876339E-1
448	4.72148551E-1
713	4.72325576E-1
869	4.7325897E-1
340	4.7348803E-1
719	4.7383537E-1
957	4.74555139E-1
884	4.75237241E-1
699	4.76424839E-1
260	4.76441266E-1
995	4.80026413E-1
631	4.80937862E-1
833	4.83667743E-1
573	4.84242342E-1
163	4.85275366E-1
753	4.87182286E-1
225	4.8781614E-1
361	4.88245346E-1
505	4.88673119E-1
279	4.89640041E-1
1017	4.89822953E-1
929	4.91631781E-1
200	4.91845758E-1
272	4.94907159E-1
49	4.9661694E-1
825	4.96841966E-1
743	4.96907956E-1
578	4.97814676E-1
459	4.99304427E-1
595	5.00080886E-1
717	5.00553093E-1
62	5.0350091E-1
941	5.03538548E-1
841	5.03936974E-1
999	5.05024277E-1
865	5.07744876E-1
538	5.08178245E-1
149	5.09806429E-1
275	5.10335576E-1
437	5.10832341E-1
313	5.1111969E-1
482	5.11164443E-1
147	5.12638339E-1
947	5.13127491E-1
534	5.16093902E-1
483	5.16872642E-1
554	5.17660792E-1
487	5.1808677E-1
780	5.18502786E-1
113	5.2190239E-1
944	5.22709383E-1
376	5.2303533E-1
172	5.23467578E-1
377	5.2575238E-1
233	5.2634211E-1
559	5.26785091E-1
681	5.27179348E-1
6	5.27678649E-1
268	5.28597192E-1
462	5.29351943E-1
322	5.30923817E-1
447	5.31011121E-1
924	5.3224119E-1
13	5.33260033E-1
43	5.34169396E-1
134	5.34406605E-1
498	5.34722884E-1
353	5.34875631E-1
599	5.36264128E-1
730	5.37511479E-1
542	5.38504478E-1
258	5.39682848E-1
394	5.41670561E-1
418	5.43143235E-1
684	5.44495564E-1
669	5.44990722E-1
145	5.4528076E-1
912	5.46766449E-1
693	5.47986182E-1
921	5.4886752E-1
835	5.49290486E-1
368	5.49606166E-1
972	5.50148549E-1
862	5.50806181E-1
242	5.50969638E-1
80	5.5135217E-1
645	5.54218002E-1
423	5.54253412E-1
821	5.55640158E-1
328	5.56139495E-1
190	5.58074593E-1
851	5.58849513E-1
371	5.59187391E-1
255	5.5997602E-1
434	5.61967765E-1
774	5.64637119E-1
1020	5.66057898E-1
775	5.67399342E-1
572	5.67450965E-1
910	5.6850287E-1
471	5.69039152E-1
703	5.70633138E-1
187	5.71357944E-1
574	5.71977741E-1
492	5.72229589E-1
625	5.73205958E-1
432	5.73503518E-1
449	5.74144283E-1
601	5.7479511E-1
616	5.75103686E-1
683	5.75395206E-1
247	5.75590218E-1
127	5.7679555E-1
443	5.77056547E-1
474	5.78732392E-1
533	5.79500058E-1
436	5.79660712E-1
15	5.80108457E-1
400	5.82676313E-1
1014	5.8341376E-1
996	5.86098979E-1
712	5.8719935E-1
332	5.87443297E-1
257	5.87534903E-1
442	5.90145774E-1
1005	5.90909664E-1
673	5.91710624E-1
282	5.9345019E-1
463	5.9415861E-1
226	5.94359601E-1
440	5.95800494E-1
568	5.96267766E-1
1016	5.97085756E-1
367	5.99624644E-1
228	6.00007971E-1
155	6.00120807E-1
338	6.0296892E-1
253	6.03018446E-1
858	6.03283936E-1
29	6.04413925E-1
250	6.05156694E-1
222	6.0636278E-1
312	6.07560939E-1
581	6.0760275E-1
979	6.08193665E-1
19	6.09015904E-1
210	6.092026E-1
1019	6.10576516E-1
588	6.13566815E-1
438	6.14395565E-1
541	6.14631511E-1
847	6.15434592E-1
28	6.17400257E-1
66	6.18198014E-1
285	6.19931109E-1
570	6.20773736E-1
557	6.21078967E-1
707	6.22487452E-1
133	6.22903081E-1
40	6.23017926E-1
714	6.24290123E-1
469	6.24613883E-1
584	6.25017979E-1
784	6.25527428E-1
866	6.26017549E-1
790	6.26954439E-1
455	6.29050926E-1
293	6.31175059E-1
827	6.31722013E-1
724	6.33865996E-1
897	6.35329892E-1
679	6.35443484E-1
466	6.35468966E-1
169	6.35493844E-1
889	6.35544534E-1
231	6.36161451E-1
57	6.37068767E-1
1022	6.39117299E-1
381	6.3974212E-1
64	6.39763215E-1
18	6.41350328E-1
830	6.43466705E-1
545	6.43491302E-1
364	6.44021951E-1
435	6.46699921E-1
405	6.46774705E-1
143	6.47780535E-1
104	6.50903075E-1
766	6.52370797E-1
366	6.53036801E-1
958	6.53087484E-1
314	6.53629136E-1
950	6.54410421E-1
536	6.5524472E-1
605	6.5693277E-1
48	6.5693925E-1
577	6.58594418E-1
227	6.58697686E-1
295	6.59385974E-1
969	6.59608928E-1
850	6.59904959E-1
834	6.62882356E-1
888	6.63401475E-1
933	6.63809898E-1
39	6.63867677E-1
132	6.66152992E-1
126	6.68641237E-1
44	6.68924304E-1
546	6.69574674E-1
688	6.70968304E-1
115	6.71061717E-1
907	6.72028985E-1
269	6.72092208E-1
373	6.73620327E-1
90	6.73900804E-1
620	6.74290586E-1
540	6.75965307E-1
535	6.76601993E-1
167	6.76653936E-1
767	6.7675931E-1
65	6.78397835E-1
252	6.79063285E-1
918	6.7935333E-1
365	6.79599974E-1
655	6.80382605E-1
37	6.80935548E-1
420	6.82236563E-1
452	6.825534E-1
46	6.82650144E-1
208	6.84276688E-1
148	6.85988547E-1
183	6.87000759E-1
308	6.87114424E-1
11	6.87498894E-1
1010	6.88841178E-1
857	6.89923656E-1
347	6.95079681E-1
56	6.96287045E-1
215	6.97325509E-1
513	6.97593573E-1
867	7.01176695E-1
739	7.02059967E-1
771	7.02812045E-1
4	7.02965328E-1
102	7.04260328E-1
637	7.0464106E-1
895	7.08648412E-1
523	7.08904882E-1
262	7.09760728E-1
520	7.10683892E-1
985	7.11196373E-1
569	7.13192151E-1
716	7.14091943E-1
177	7.14779618E-1
139	7.15461781E-1
489	7.15973023E-1
816	7.1769837E-1
116	7.2070053E-1
22	7.21565438E-1
976	7.21954954E-1
79	7.23512566E-1
460	7.25172124E-1
936	7.25850979E-1
141	7.28957327E-1
234	7.29762442E-1
832	7.31482037E-1
454	7.32226395E-1
901	7.32478087E-1
619	7.32602453E-1
741	7.35508202E-1
485	7.35575591E-1
425	7.35877538E-1
935	7.36125906E-1
518	7.3626778E-1
337	7.36329372E-1
757	7.38306783E-1
531	7.38461572E-1
63	7.38672916E-1
756	7.38806233E-1
723	7.40272268E-1
691	7.41074988E-1
653	7.43813303E-1
174	7.43822913E-1
270	7.44031504E-1
700	7.44043235E-1
439	7.4420448E-1
201	7.45531203E-1
202	7.49899868E-1
294	7.50617227E-1
315	7.5142794E-1
593	7.51772467E-1
561	7.52024588E-1
3	7.52586249E-1
473	7.55115657E-1
321	7.55151606E-1
284	7.55649696E-1
510	7.55760077E-1
612	7.57115297E-1
395	7.57621134E-1
587	7.58302878E-1
85	7.58378605E-1
84	7.59765094E-1
157	7.60916845E-1
762	7.62032424E-1
256	7.66301586E-1
748	7.66517467E-1
254	7.66830089E-1
701	7.67647992E-1
797	7.67661597E-1
610	7.69897119E-1
138	7.74890633E-1
849	7.78549298E-1
232	7.80488531E-1
906	7.80740457E-1
72	7.81312153E-1
875	7.81767784E-1
105	7.82836146E-1
516	7.83472363E-1
519	7.83524728E-1
829	7.91641464E-1
75	7.92747483E-1
576	7.92759421E-1
428	7.94678806E-1
890	7.94899745E-1
156	7.95160524E-1
47	7.96766199E-1
721	7.97472611E-1
216	7.98364452E-1
249	7.98897599E-1
51	7.99795365E-1
171	7.99828524E-1
323	7.99830938E-1
961	8.00934761E-1
940	8.0200358E-1
476	8.02246176E-1
914	8.02895373E-1
798	8.04646732E-1
630	8.04691569E-1
903	8.05017291E-1
715	8.05774083E-1
477	8.06169927E-1
120	8.06746947E-1
932	8.07291363E-1
977	8.08195303E-1
529	8.13329544E-1
508	8.13931277E-1
583	8.14087932E-1
526	8.14660316E-1
654	8.17839783E-1
789	8.20773299E-1
372	8.23055396E-1
383	8.23165356E-1
638	8.23417129E-1
690	8.23900639E-1
886	8.25092718E-1
931	8.26978559E-1
942	8.2963004E-1
662	8.30121537E-1
909	8.31235356E-1
495	8.32047644E-1
396	8.32360639E-1
236	8.32689277E-1
153	8.32754156E-1
657	8.33304724E-1
548	8.33861599E-1
934	8.34626891E-1
248	8.36680418E-1
278	8.37452217E-1
799	8.3938133E-1
566	8.39400411E-1
31	8.42148033E-1
810	8.42196556E-1
137	8.43741448E-1
952	8.4412462E-1
301	8.44304619E-1
17	8.44526179E-1
640	8.44585583E-1
303	8.45812721E-1
5	8.46348223E-1
100	8.48351109E-1
181	8.50544602E-1
180	8.5073118E-1
404	8.50851163E-1
16	8.51349368E-1
378	8.51659643E-1
602	8.54287715E-1
550	8.5629258E-1
737	8.56886821E-1
938	8.57594014E-1
779	8.58154996E-1
472	8.59023852E-1
286	8.61051273E-1
240	8.61381352E-1
720	8.61898873E-1
874	8.63198982E-1
549	8.64544999E-1
419	8.65599677E-1
221	8.69215419E-1
494	8.69316795E-1
650	8.70098743E-1
880	8.70214055E-1
872	8.70595556E-1
604	8.70891304E-1
917	8.71175156E-1
166	8.7270734E-1
128	8.75620945E-1
151	8.76523046E-1
61	8.76793514E-1
632	8.76803371E-1
815	8.76876247E-1
678	8.79156003E-1
345	8.80888434E-1
175	8.82435879E-1
184	8.82629544E-1
955	8.82714688E-1
986	8.85481397E-1
735	8.85911506E-1
1012	8.860078E-1
379	8.86903901E-1
214	8.88939205E-1
975	8.89075596E-1
142	8.90293129E-1
162	8.90369876E-1
195	8.90492465E-1
817	8.90706502E-1
589	8.90973738E-1
970	8.92080269E-1
493	8.94002304E-1
563	8.94200893E-1
709	8.95079232E-1
776	8.95745134E-1
733	8.97195073E-1
348	8.97493248E-1
158	8.97578179E-1
287	8.97893191E-1
916	8.98081274E-1
871	8.98131211E-1
899	9.01997724E-1
7	9.02600538E-1
763	9.02975664E-1
496	9.02979378E-1
112	9.04875924E-1
565	9.05010296E-1
97	9.05376732E-1
241	9.05525227E-1
668	9.05685222E-1
339	9.05743686E-1
431	9.06332178E-1
692	9.09403589E-1
246	9.10187477E-1
852	9.10274422E-1
266	9.12702058E-1
511	9.13681033E-1
704	9.13765021E-1
674	9.14786919E-1
1009	9.15265933E-1
843	9.15325216E-1
185	9.16475318E-1
358	9.17094795E-1
417	9.17817475E-1
413	9.18281874E-1
868	9.19839483E-1
130	9.20001931E-1
118	9.20902175E-1
887	9.20986699E-1
464	9.22170702E-1
543	9.22719192E-1
695	9.25343851E-1
968	9.25843265E-1
267	9.27192499E-1
165	9.27396875E-1
618	9.28138512E-1
146	9.28858648E-1
639	9.29042779E-1
50	9.33687688E-1
845	9.35446728E-1
34	9.35675511E-1
384	9.36625257E-1
336	9.36974111E-1
552	9.37948631E-1
694	9.38879536E-1
251	9.39011768E-1
582	9.39797037E-1
598	9.40263348E-1
244	9.40947842E-1
656	9.43045627E-1
59	9.43653874E-1
805	9.44048773E-1
402	9.4452302E-1
824	9.44608558E-1
401	9.45040154E-1
121	9.47672332E-1
58	9.48122449E-1
870	9.49398024E-1
209	9.50665821E-1
297	9.50929622E-1
997	9.51020532E-1
831	9.51385107E-1
475	9.52242256E-1
78	9.52430126E-1
608	9.53208664E-1
811	9.55370706E-1
194	9.55455533E-1
178	9.55773841E-1
263	9.55863969E-1
567	9.56165048E-1
441	9.57468612E-1
461	9.60706832E-1
943	9.61406516E-1
343	9.62484056E-1
179	9.62625845E-1
507	9.62680236E-1
930	9.63160245E-1
746	9.63298701E-1
948	9.63737269E-1
346	9.63905372E-1
96	9.64069185E-1
801	9.64203219E-1
154	9.64462169E-1
727	9.66199967E-1
623	9.66541336E-1
70	9.67090531E-1
89	9.67356026E-1
411	9.68102396E-1
189	9.68695772E-1
421	9.69247687E-1
812	9.70530843E-1
335	9.72379634E-1
392	9.7340971E-1
747	9.75073258E-1
416	9.76258487E-1
629	9.81753559E-1
490	9.82550726E-1
430	9.84101287E-1
973	9.84179052E-1
761	9.84507798E-1
281	9.85125787E-1
755	9.85416252E-1
265	9.86375959E-1
98	9.86496206E-1
237	9.86510173E-1
399	9.86635357E-1
25	9.86739549E-1
621	9.86824158E-1
261	9.87036288E-1
188	9.87429084E-1
23	9.87656911E-1
300	9.88737925E-1
52	9.89148772E-1
108	9.91321552E-1
230	9.92298227E-1
796	9.92432193E-1
804	9.93898223E-1
77	9.94229194E-1
1013	9.94871673E-1
359	9.9667047E-1
41	9.96761351E-1
937	9.99056915E-1
199	9.99161395E-1
375	9.99732316E-1
95	9.99741697E-1
967	9.99931058E-1
