Name	chi2Pvalue
147	8.66325144E-4
396	9.10719285E-4
474	1.71841142E-3
808	1.88875405E-3
42	4.78552778E-3
552	5.56368728E-3
962	5.66150554E-3
781	7.60967107E-3
245	7.70232297E-3
30	7.73591696E-3
179	7.86152679E-3
257	8.73440245E-3
80	1.01213186E-2
364	1.27786777E-2
627	1.30657998E-2
431	1.31081292E-2
735	1.39551414E-2
39	1.49589626E-2
500	1.75930385E-2
44	1.80063485E-2
373	2.0180548E-2
995	2.04209515E-2
554	2.18046721E-2
664	2.2209421E-2
169	2.25275803E-2
111	2.28254968E-2
822	2.34816196E-2
946	2.81641643E-2
541	2.8294358E-2
887	2.83686398E-2
583	2.85622268E-2
705	2.86541074E-2
160	2.94265695E-2
953	2.94950464E-2
448	2.99344546E-2
970	3.30433251E-2
103	3.70300779E-2
376	3.70729288E-2
591	3.72392943E-2
227	3.89509669E-2
18	3.95637118E-2
996	4.04097425E-2
83	4.32804581E-2
135	4.45023756E-2
728	4.57642627E-2
276	4.5932567E-2
380	4.62091946E-2
71	4.65920456E-2
553	4.75423806E-2
319	4.9188239E-2
312	4.92467364E-2
468	4.97447921E-2
965	4.98562587E-2
51	5.22215752E-2
974	5.26873385E-2
620	5.47209263E-2
57	5.55230962E-2
843	5.71119123E-2
161	5.76408556E-2
690	5.80348927E-2
434	5.80545626E-2
489	5.92297661E-2
317	6.03304416E-2
774	6.06693065E-2
788	6.12956076E-2
750	6.37798253E-2
432	6.38444269E-2
665	6.72626538E-2
290	6.99585769E-2
833	7.1488421E-2
984	7.17183904E-2
457	7.24619341E-2
975	7.32032196E-2
325	7.32987357E-2
107	7.33007594E-2
525	7.41670258E-2
885	7.45328505E-2
413	7.50846435E-2
414	7.54999153E-2
262	7.55356384E-2
823	7.66073913E-2
912	7.92588457E-2
183	7.98073343E-2
742	8.22374346E-2
267	8.2534648E-2
520	8.33641495E-2
20	8.50527869E-2
727	8.72419447E-2
97	8.84768392E-2
769	8.90317568E-2
874	8.95068742E-2
139	9.0366315E-2
35	9.09780206E-2
446	9.25240768E-2
343	9.27815903E-2
623	9.3653681E-2
235	9.50269744E-2
594	9.60845316E-2
569	9.71375207E-2
848	9.71415721E-2
134	9.82288952E-2
354	9.83109273E-2
778	9.88802537E-2
981	9.94008671E-2
764	1.00373733E-1
439	1.02043344E-1
798	1.03489165E-1
745	1.03590426E-1
352	1.03729766E-1
465	1.04708227E-1
303	1.05419885E-1
902	1.05438501E-1
467	1.05864931E-1
313	1.07665369E-1
882	1.08579805E-1
141	1.09871794E-1
243	1.10508478E-1
41	1.10668265E-1
430	1.11907511E-1
73	1.13713313E-1
16	1.1428911E-1
196	1.1542783E-1
652	1.17339914E-1
992	1.1939729E-1
878	1.19984817E-1
687	1.2079542E-1
78	1.21827895E-1
860	1.2267861E-1
570	1.22741086E-1
731	1.23216315E-1
335	1.24484373E-1
1017	1.27161926E-1
496	1.28198192E-1
835	1.30647836E-1
248	1.30943982E-1
540	1.30973075E-1
707	1.31297976E-1
859	1.32337322E-1
601	1.32652859E-1
443	1.34707931E-1
708	1.36827618E-1
568	1.36958177E-1
476	1.37159142E-1
689	1.37353308E-1
529	1.38558037E-1
403	1.39817971E-1
960	1.40648333E-1
34	1.40813695E-1
60	1.40851655E-1
226	1.41766604E-1
361	1.42360488E-1
420	1.43774477E-1
182	1.45564125E-1
275	1.45564494E-1
916	1.45683675E-1
332	1.46576033E-1
909	1.47450148E-1
122	1.47821676E-1
748	1.48248589E-1
351	1.48358757E-1
416	1.51360449E-1
606	1.51500371E-1
724	1.53654339E-1
166	1.5548933E-1
791	1.56929069E-1
740	1.60041095E-1
676	1.60812484E-1
514	1.60893954E-1
827	1.63638891E-1
92	1.63972971E-1
185	1.64144599E-1
189	1.65263161E-1
928	1.66158786E-1
363	1.66160613E-1
309	1.6740631E-1
853	1.67539659E-1
631	1.68030767E-1
526	1.69220785E-1
340	1.70681086E-1
930	1.71264056E-1
388	1.71420607E-1
190	1.72168267E-1
799	1.72584335E-1
87	1.73143643E-1
870	1.73559964E-1
217	1.74688644E-1
409	1.74757996E-1
646	1.7509147E-1
400	1.76691041E-1
259	1.77800758E-1
662	1.79118612E-1
339	1.79903785E-1
1	1.80141635E-1
365	1.80804156E-1
366	1.8193155E-1
611	1.83211474E-1
609	1.86159706E-1
451	1.86589215E-1
112	1.86710886E-1
733	1.88599848E-1
247	1.88941102E-1
314	1.89396022E-1
826	1.89965755E-1
923	1.90388262E-1
566	1.90979495E-1
93	1.91434572E-1
987	1.93114483E-1
58	1.93207327E-1
460	1.94232812E-1
27	1.94245223E-1
604	1.94921302E-1
81	1.95622836E-1
979	1.96371787E-1
618	1.97636935E-1
907	1.99705625E-1
538	1.999091E-1
2	2.00526637E-1
418	2.0096204E-1
865	2.01903945E-1
881	2.05411829E-1
153	2.06512091E-1
765	2.07400424E-1
404	2.07872734E-1
793	2.08563153E-1
688	2.0977685E-1
301	2.10572914E-1
680	2.12607857E-1
322	2.14105265E-1
673	2.14413663E-1
1008	2.18829257E-1
894	2.19465061E-1
699	2.19507351E-1
19	2.21137798E-1
755	2.24107198E-1
746	2.2474598E-1
501	2.25688448E-1
628	2.27772217E-1
219	2.27816384E-1
15	2.2798142E-1
284	2.29089345E-1
980	2.32146489E-1
125	2.33898426E-1
324	2.37704111E-1
671	2.37707934E-1
261	2.38587182E-1
491	2.39483742E-1
108	2.41017108E-1
240	2.41963623E-1
651	2.42706646E-1
459	2.4286591E-1
911	2.4320559E-1
864	2.44644935E-1
433	2.46409205E-1
571	2.47897272E-1
622	2.49741968E-1
722	2.52119774E-1
846	2.56650238E-1
532	2.58183107E-1
344	2.58453246E-1
527	2.59557595E-1
178	2.60253091E-1
17	2.6035786E-1
163	2.6162281E-1
119	2.61835947E-1
392	2.62730139E-1
202	2.63460554E-1
211	2.65137645E-1
393	2.6601201E-1
971	2.66262258E-1
142	2.6663383E-1
55	2.66752168E-1
265	2.67680818E-1
888	2.68471359E-1
586	2.69871401E-1
294	2.70673143E-1
356	2.7130723E-1
495	2.72045752E-1
730	2.72937571E-1
98	2.73363505E-1
288	2.7377233E-1
982	2.75016585E-1
584	2.75972026E-1
950	2.77120619E-1
90	2.78088152E-1
429	2.80640909E-1
99	2.80890517E-1
836	2.84550122E-1
738	2.85132172E-1
891	2.85504283E-1
176	2.87454285E-1
91	2.88421035E-1
109	2.88796967E-1
4	2.90509606E-1
315	2.93878708E-1
40	2.94821222E-1
983	2.95513554E-1
453	2.96467732E-1
512	2.97806346E-1
685	2.98019743E-1
613	2.98146924E-1
751	2.99982255E-1
1011	3.00833486E-1
286	3.0129579E-1
515	3.01797748E-1
296	3.03020065E-1
800	3.03129879E-1
567	3.03794273E-1
256	3.05092922E-1
192	3.06453726E-1
10	3.09577414E-1
121	3.10987847E-1
155	3.11616547E-1
82	3.11936493E-1
488	3.12814622E-1
436	3.14093307E-1
1007	3.16098397E-1
952	3.17849551E-1
311	3.17890937E-1
48	3.18375955E-1
131	3.18730724E-1
1001	3.19310227E-1
253	3.21219177E-1
999	3.22712188E-1
695	3.23475916E-1
341	3.2424718E-1
677	3.2632213E-1
629	3.27400892E-1
440	3.28200909E-1
577	3.30747449E-1
348	3.32023519E-1
955	3.33278163E-1
875	3.33480592E-1
655	3.33614238E-1
318	3.33634199E-1
79	3.37474697E-1
802	3.3805042E-1
545	3.38502617E-1
395	3.3882406E-1
572	3.40504656E-1
624	3.41808036E-1
390	3.42312856E-1
658	3.43186083E-1
346	3.4318966E-1
316	3.43236035E-1
472	3.43950362E-1
54	3.44696877E-1
143	3.4661353E-1
679	3.47440177E-1
410	3.47641033E-1
411	3.48573711E-1
218	3.49416021E-1
502	3.49507148E-1
252	3.50364855E-1
932	3.54601139E-1
326	3.55183556E-1
564	3.55253998E-1
242	3.56594017E-1
104	3.57876594E-1
782	3.580932E-1
208	3.58965272E-1
639	3.59425823E-1
612	3.59536868E-1
650	3.59558491E-1
129	3.6025484E-1
250	3.60687665E-1
832	3.60787451E-1
75	3.61348976E-1
150	3.61469365E-1
716	3.6225612E-1
963	3.63314822E-1
519	3.63450918E-1
973	3.63648928E-1
466	3.6450039E-1
77	3.64585289E-1
421	3.65455341E-1
929	3.65698118E-1
479	3.66207118E-1
415	3.66599537E-1
360	3.66871832E-1
780	3.67896226E-1
12	3.70527958E-1
855	3.71200855E-1
892	3.7179448E-1
801	3.71887978E-1
575	3.71920668E-1
543	3.73148465E-1
667	3.74314141E-1
913	3.74371628E-1
32	3.74382434E-1
497	3.76148993E-1
456	3.76562653E-1
435	3.76814065E-1
551	3.77689858E-1
656	3.78515448E-1
349	3.79097142E-1
562	3.79341092E-1
958	3.80351153E-1
576	3.81623278E-1
603	3.81771E-1
481	3.83970131E-1
884	3.85278366E-1
850	3.85473708E-1
757	3.85695123E-1
770	3.8745429E-1
209	3.88602239E-1
1015	3.89454626E-1
889	3.89584473E-1
756	3.89935471E-1
503	3.90338205E-1
327	3.90499091E-1
726	3.91992588E-1
918	3.92797193E-1
8	3.94901026E-1
1006	3.95285156E-1
200	3.957533E-1
492	3.96187759E-1
556	3.96507513E-1
38	3.97360803E-1
307	3.98877481E-1
871	3.99647976E-1
49	4.01586346E-1
810	4.02307443E-1
144	4.02723857E-1
274	4.05302294E-1
442	4.07479542E-1
282	4.07644115E-1
645	4.07837383E-1
795	4.09652929E-1
560	4.12035345E-1
159	4.13512582E-1
861	4.14360794E-1
23	4.14838379E-1
866	4.15252585E-1
281	4.16125434E-1
883	4.17507326E-1
718	4.18904901E-1
681	4.18909617E-1
353	4.20607778E-1
389	4.20998168E-1
157	4.22489134E-1
237	4.23046494E-1
734	4.23793178E-1
990	4.24470001E-1
6	4.25972486E-1
824	4.26841881E-1
580	4.30022794E-1
610	4.31835307E-1
384	4.33365124E-1
653	4.35141696E-1
216	4.36698956E-1
530	4.36964271E-1
181	4.37090658E-1
427	4.42015851E-1
486	4.42270873E-1
692	4.42516614E-1
1010	4.42754186E-1
117	4.43226998E-1
563	4.45625952E-1
779	4.4614451E-1
840	4.46196774E-1
784	4.46355493E-1
444	4.47022378E-1
193	4.47868248E-1
647	4.48221122E-1
323	4.48887395E-1
449	4.49998684E-1
919	4.50212114E-1
557	4.50488477E-1
574	4.52002999E-1
666	4.52386718E-1
607	4.54296257E-1
659	4.54957709E-1
269	4.56568424E-1
330	4.5712425E-1
173	4.57212582E-1
897	4.57427398E-1
948	4.59907742E-1
177	4.60436374E-1
199	4.60610646E-1
239	4.62588492E-1
616	4.63326448E-1
660	4.63401585E-1
821	4.63756962E-1
124	4.63798954E-1
517	4.65049551E-1
994	4.6609906E-1
559	4.68004819E-1
776	4.69183526E-1
72	4.69440301E-1
33	4.72468258E-1
203	4.74132947E-1
450	4.75086185E-1
754	4.75904326E-1
454	4.76113045E-1
807	4.81163534E-1
381	4.82840661E-1
273	4.8316063E-1
961	4.83355746E-1
84	4.83445054E-1
165	4.85863621E-1
588	4.86355582E-1
115	4.86575631E-1
116	4.86775582E-1
877	4.8680282E-1
641	4.87372498E-1
221	4.87534287E-1
206	4.88054374E-1
138	4.88455467E-1
398	4.89041628E-1
331	4.89247608E-1
114	4.92104075E-1
52	4.92562913E-1
931	4.9357927E-1
945	4.94853864E-1
949	4.96124114E-1
711	4.96618066E-1
644	4.96725267E-1
220	4.97039773E-1
127	4.98667575E-1
231	4.99398621E-1
285	4.99768102E-1
214	5.00145138E-1
426	5.00561753E-1
300	5.00795512E-1
374	5.03377201E-1
43	5.04441737E-1
342	5.05021417E-1
858	5.05840401E-1
308	5.0627398E-1
935	5.06575446E-1
986	5.06858508E-1
720	5.09503809E-1
271	5.09606673E-1
937	5.10122926E-1
385	5.12668112E-1
118	5.13487677E-1
940	5.14789253E-1
62	5.1479099E-1
938	5.14861425E-1
293	5.16155708E-1
156	5.16592687E-1
729	5.1862617E-1
602	5.19069209E-1
550	5.19494187E-1
617	5.20778367E-1
1000	5.21509359E-1
926	5.21602284E-1
1014	5.22785246E-1
513	5.24174516E-1
867	5.25221203E-1
638	5.26580135E-1
22	5.26661272E-1
744	5.27217514E-1
506	5.28169768E-1
484	5.28340838E-1
672	5.30370981E-1
710	5.31896629E-1
508	5.3372983E-1
585	5.3413481E-1
164	5.36071076E-1
417	5.36216446E-1
490	5.38151149E-1
753	5.3842998E-1
857	5.39078792E-1
402	5.40914688E-1
635	5.42840135E-1
194	5.42946345E-1
890	5.43071206E-1
445	5.44755523E-1
819	5.45212307E-1
238	5.4554157E-1
438	5.46193047E-1
993	5.46324797E-1
599	5.47456475E-1
811	5.48260929E-1
643	5.48530321E-1
592	5.48867088E-1
272	5.49307431E-1
507	5.51286309E-1
772	5.52308313E-1
649	5.54008177E-1
66	5.54394322E-1
989	5.54823608E-1
825	5.55806727E-1
792	5.56238973E-1
279	5.56707469E-1
743	5.56796772E-1
437	5.57858156E-1
213	5.59085551E-1
371	5.62247025E-1
683	5.62707315E-1
691	5.6295348E-1
463	5.64386069E-1
518	5.65323447E-1
328	5.65753962E-1
544	5.66098713E-1
804	5.66243397E-1
830	5.67807627E-1
630	5.68095125E-1
47	5.68128838E-1
509	5.69301038E-1
120	5.69436393E-1
95	5.69502533E-1
493	5.71006833E-1
407	5.72571975E-1
123	5.73355527E-1
45	5.73395042E-1
278	5.74235412E-1
943	5.75014455E-1
31	5.75055951E-1
648	5.75875523E-1
873	5.77673742E-1
162	5.78073196E-1
787	5.78205461E-1
287	5.8027985E-1
480	5.80355713E-1
717	5.80754381E-1
367	5.82338349E-1
1012	5.8455332E-1
207	5.84937929E-1
225	5.85354355E-1
5	5.85375719E-1
841	5.8609128E-1
714	5.8678377E-1
578	5.87130636E-1
128	5.87687083E-1
670	5.87914138E-1
924	5.88211852E-1
906	5.88752344E-1
976	5.8876271E-1
697	5.92065286E-1
713	5.92379421E-1
854	5.9352227E-1
555	5.9397422E-1
528	5.95195748E-1
852	5.95609766E-1
535	5.96176097E-1
397	5.96409048E-1
815	6.00646283E-1
223	6.0334438E-1
229	6.03804715E-1
76	6.04192798E-1
587	6.06144447E-1
966	6.07251144E-1
900	6.07539402E-1
634	6.0822456E-1
663	6.08503322E-1
386	6.09183832E-1
36	6.09327169E-1
295	6.10152288E-1
633	6.10331475E-1
573	6.10558494E-1
