Name	chi2Pvalue
983	1.91552039E-4
407	6.93141938E-4
255	1.48926416E-3
327	2.05165312E-3
847	2.37039019E-3
540	2.61374925E-3
415	2.69819953E-3
946	2.87383908E-3
196	4.39470784E-3
474	5.19071285E-3
878	5.24621372E-3
426	6.2513625E-3
735	7.22908986E-3
461	7.67250106E-3
698	8.64967002E-3
702	9.81511409E-3
676	1.06015884E-2
564	1.08632551E-2
584	1.15026453E-2
745	1.16341196E-2
912	1.48535024E-2
229	1.49910128E-2
518	1.5109813E-2
467	1.53727403E-2
956	1.62471785E-2
176	1.65674108E-2
991	1.74492171E-2
566	1.76547903E-2
782	1.94951555E-2
223	2.14896355E-2
612	2.15768655E-2
218	2.35106547E-2
21	2.3611002E-2
618	2.38940533E-2
495	2.65478288E-2
887	2.66282994E-2
525	2.71379987E-2
238	2.76596837E-2
254	2.95128604E-2
730	3.10014254E-2
882	3.13432308E-2
751	3.32434321E-2
431	3.43536571E-2
833	3.44717586E-2
111	3.5396527E-2
465	3.60150021E-2
513	3.63852482E-2
94	3.64268337E-2
245	3.68515748E-2
203	3.70625201E-2
42	3.99776835E-2
493	4.00891926E-2
19	4.05800233E-2
747	4.12072701E-2
114	4.30853252E-2
526	4.35880237E-2
780	4.60355036E-2
73	4.77946616E-2
855	5.00771144E-2
484	5.0224686E-2
825	5.39041426E-2
680	5.42875057E-2
776	5.47960303E-2
828	5.68420422E-2
68	5.70359987E-2
146	5.91526719E-2
532	6.01046248E-2
658	6.01496317E-2
679	6.11995091E-2
330	6.14224987E-2
22	6.27602839E-2
20	6.3145853E-2
517	6.43427831E-2
91	6.4920638E-2
112	6.60139338E-2
777	6.82650309E-2
501	6.94436911E-2
410	6.94805811E-2
446	6.9914472E-2
652	7.03053839E-2
869	7.05666226E-2
889	7.09435937E-2
189	7.33014374E-2
767	7.69586099E-2
624	7.72345075E-2
592	7.77283963E-2
48	7.91574932E-2
818	7.92374499E-2
726	8.0027515E-2
951	8.12444894E-2
948	8.1741852E-2
515	8.2264755E-2
33	8.29263272E-2
812	8.42048884E-2
425	8.71702871E-2
667	8.72107937E-2
224	8.96653247E-2
925	9.06255746E-2
457	9.11293514E-2
159	9.36228887E-2
575	9.5449181E-2
586	9.82631383E-2
917	9.94072722E-2
829	1.01491895E-1
800	1.01934593E-1
764	1.05465727E-1
259	1.06239228E-1
444	1.07844914E-1
546	1.1063384E-1
856	1.11525021E-1
852	1.12050205E-1
892	1.14605289E-1
418	1.16134378E-1
802	1.17195304E-1
604	1.19667097E-1
405	1.20194671E-1
995	1.20206385E-1
530	1.2119E-1
469	1.21994618E-1
226	1.23206232E-1
844	1.2334878E-1
500	1.27387877E-1
538	1.30964763E-1
504	1.32057371E-1
380	1.3256668E-1
239	1.34360779E-1
157	1.34686117E-1
15	1.35424685E-1
413	1.36053688E-1
437	1.3634087E-1
775	1.36766932E-1
432	1.36886836E-1
84	1.37141971E-1
56	1.39256696E-1
899	1.39680184E-1
787	1.41170015E-1
57	1.41734559E-1
54	1.41942595E-1
785	1.42229282E-1
235	1.43097419E-1
953	1.44854583E-1
877	1.45390931E-1
360	1.45497074E-1
289	1.49350097E-1
314	1.52087021E-1
338	1.52113988E-1
971	1.52946089E-1
625	1.5358535E-1
106	1.5372256E-1
957	1.55521649E-1
60	1.55633393E-1
205	1.56378757E-1
712	1.56521764E-1
391	1.57005977E-1
705	1.57902646E-1
186	1.60882906E-1
307	1.63576202E-1
981	1.63973276E-1
894	1.65487081E-1
55	1.65892907E-1
783	1.66526219E-1
603	1.68193676E-1
808	1.68557328E-1
792	1.69433786E-1
449	1.70048147E-1
482	1.70964636E-1
545	1.7284247E-1
132	1.74035023E-1
242	1.75913756E-1
253	1.76125916E-1
520	1.78121642E-1
788	1.78518437E-1
365	1.78684722E-1
615	1.78887848E-1
837	1.79552306E-1
813	1.79629405E-1
510	1.79812859E-1
230	1.79858135E-1
694	1.80915672E-1
655	1.81650354E-1
512	1.82789802E-1
215	1.8464073E-1
308	1.85092066E-1
739	1.85456438E-1
404	1.86933702E-1
562	1.90151039E-1
427	1.90330657E-1
923	1.90397446E-1
219	1.91031535E-1
692	1.92474703E-1
433	1.93007094E-1
998	1.94856588E-1
317	1.95058387E-1
204	1.95734616E-1
806	1.96995863E-1
295	1.9795117E-1
721	1.99158927E-1
13	1.99707986E-1
271	2.00015479E-1
534	2.00250074E-1
207	2.01014395E-1
1013	2.0123427E-1
850	2.0138852E-1
879	2.01579895E-1
993	2.02557211E-1
820	2.03874636E-1
390	2.04078325E-1
396	2.04250978E-1
664	2.04637035E-1
960	2.05028538E-1
933	2.05407704E-1
733	2.0561567E-1
430	2.06368224E-1
243	2.07086982E-1
931	2.07392577E-1
996	2.0843506E-1
999	2.09680958E-1
963	2.10911089E-1
310	2.11401373E-1
755	2.11793563E-1
635	2.11876585E-1
88	2.12962154E-1
874	2.13358347E-1
876	2.13964923E-1
979	2.14123736E-1
374	2.14550754E-1
109	2.15511892E-1
75	2.15517189E-1
130	2.15625292E-1
144	2.18576983E-1
672	2.20538482E-1
760	2.21022875E-1
217	2.21050536E-1
914	2.22569767E-1
381	2.25180736E-1
729	2.26638816E-1
170	2.29096997E-1
53	2.29315502E-1
375	2.30199157E-1
372	2.30282216E-1
922	2.30858022E-1
498	2.30954981E-1
298	2.32559838E-1
150	2.32966799E-1
580	2.347663E-1
357	2.34950995E-1
607	2.35337672E-1
673	2.36201258E-1
12	2.37129875E-1
911	2.39829205E-1
49	2.40079798E-1
492	2.42657354E-1
563	2.43382618E-1
45	2.44974581E-1
849	2.45349008E-1
731	2.47592183E-1
720	2.48085331E-1
149	2.49040929E-1
200	2.49866765E-1
807	2.49949529E-1
247	2.50472052E-1
929	2.50485802E-1
1011	2.51043351E-1
516	2.51405842E-1
860	2.52219107E-1
406	2.53289139E-1
551	2.53690725E-1
1017	2.55203181E-1
815	2.5619325E-1
491	2.56964395E-1
711	2.57236109E-1
988	2.57316664E-1
846	2.5902111E-1
202	2.64309652E-1
494	2.65441303E-1
456	2.65708394E-1
66	2.66909484E-1
262	2.66945026E-1
341	2.67586923E-1
768	2.68993502E-1
43	2.69778248E-1
748	2.70004303E-1
387	2.70795979E-1
488	2.72396372E-1
928	2.73023217E-1
840	2.73790561E-1
669	2.74331198E-1
537	2.75135089E-1
966	2.75205562E-1
677	2.76160496E-1
597	2.80465017E-1
650	2.82864014E-1
389	2.86854894E-1
483	2.87232891E-1
171	2.88188598E-1
797	2.88320075E-1
565	2.90249644E-1
685	2.91021553E-1
313	2.91161817E-1
627	2.92612463E-1
160	2.92907317E-1
873	2.93155885E-1
466	2.94020013E-1
686	2.94084545E-1
759	2.95480388E-1
276	2.95996851E-1
89	2.96683831E-1
980	2.98161693E-1
600	2.98228872E-1
918	2.98454442E-1
902	2.98930447E-1
628	2.99874239E-1
865	3.0200893E-1
903	3.02732132E-1
637	3.02965517E-1
80	3.03021104E-1
904	3.03200722E-1
919	3.0348827E-1
273	3.03926003E-1
100	3.04307327E-1
329	3.06604689E-1
823	3.06727902E-1
181	3.06790762E-1
1012	3.08030625E-1
260	3.08151437E-1
240	3.08353324E-1
893	3.08922541E-1
608	3.10797475E-1
321	3.12959976E-1
103	3.12968937E-1
489	3.13079957E-1
754	3.14515626E-1
741	3.15021719E-1
6	3.15064169E-1
978	3.1894844E-1
252	3.19656859E-1
299	3.20023331E-1
117	3.20770055E-1
93	3.20853917E-1
41	3.20878579E-1
209	3.21768363E-1
567	3.22560389E-1
212	3.22773029E-1
445	3.2321788E-1
992	3.2484584E-1
778	3.26427677E-1
1002	3.26934195E-1
805	3.26945937E-1
725	3.27305439E-1
481	3.28700981E-1
554	3.28941255E-1
147	3.29433134E-1
320	3.31497746E-1
674	3.32160884E-1
34	3.32917347E-1
32	3.34397845E-1
671	3.34614877E-1
989	3.35352057E-1
4	3.37025797E-1
382	3.37409773E-1
125	3.37524845E-1
296	3.3776998E-1
906	3.41631402E-1
315	3.43547691E-1
569	3.43867745E-1
303	3.44486625E-1
864	3.44704353E-1
386	3.45220135E-1
974	3.4770415E-1
195	3.48869235E-1
740	3.50502866E-1
704	3.51082399E-1
577	3.52880344E-1
738	3.53770339E-1
305	3.53813481E-1
388	3.55279487E-1
539	3.57189944E-1
350	3.5779018E-1
791	3.58513175E-1
348	3.58921802E-1
496	3.59102289E-1
471	3.60184989E-1
140	3.61651051E-1
343	3.62563065E-1
72	3.64150319E-1
351	3.64318645E-1
816	3.64466605E-1
78	3.65905374E-1
26	3.67086444E-1
975	3.68740322E-1
486	3.69124996E-1
689	3.69149553E-1
606	3.69175716E-1
508	3.7037225E-1
302	3.70541042E-1
63	3.71851858E-1
602	3.72239199E-1
480	3.72431764E-1
87	3.78939405E-1
868	3.79556265E-1
632	3.79803937E-1
312	3.80579588E-1
107	3.80885735E-1
225	3.82454909E-1
675	3.8286046E-1
799	3.82967875E-1
318	3.83786399E-1
272	3.84003431E-1
691	3.84676368E-1
845	3.85592749E-1
361	3.8581231E-1
932	3.86976239E-1
558	3.87263178E-1
129	3.87639388E-1
190	3.87687318E-1
552	3.87745338E-1
648	3.8903821E-1
594	3.8918712E-1
555	3.89599726E-1
1010	3.89735663E-1
403	3.90469243E-1
659	3.91111987E-1
570	3.92144522E-1
161	3.9238266E-1
700	3.92396173E-1
506	3.93045955E-1
663	3.93885294E-1
968	3.95619206E-1
256	3.97627261E-1
279	3.99217663E-1
857	4.00649743E-1
811	4.00687086E-1
309	4.03304324E-1
174	4.04383251E-1
930	4.05986345E-1
169	4.06211496E-1
490	4.06328307E-1
228	4.06603311E-1
108	4.07942433E-1
82	4.09479929E-1
743	4.11636981E-1
891	4.12257643E-1
560	4.13627171E-1
544	4.13749198E-1
529	4.1499417E-1
339	4.15479174E-1
443	4.17384028E-1
36	4.17649258E-1
187	4.17717047E-1
559	4.18088936E-1
133	4.20408308E-1
81	4.20594519E-1
373	4.21523559E-1
838	4.23977894E-1
349	4.24225804E-1
684	4.24815778E-1
881	4.24929947E-1
98	4.25218589E-1
291	4.26470211E-1
332	4.26909999E-1
898	4.27140118E-1
826	4.28614241E-1
610	4.28651265E-1
421	4.29037361E-1
742	4.29391469E-1
769	4.30515245E-1
611	4.32965416E-1
127	4.35217253E-1
476	4.36962772E-1
984	4.38646882E-1
222	4.3960829E-1
385	4.41046336E-1
269	4.41331816E-1
96	4.44177807E-1
528	4.44431917E-1
765	4.45345642E-1
319	4.47374086E-1
642	4.49436422E-1
281	4.49726503E-1
353	4.50079819E-1
795	4.50180076E-1
623	4.52203348E-1
668	4.54761306E-1
541	4.5550894E-1
972	4.55511712E-1
732	4.55903451E-1
325	4.55944707E-1
220	4.58191841E-1
934	4.606466E-1
363	4.62156521E-1
841	4.63946854E-1
477	4.63981547E-1
383	4.67444405E-1
285	4.6808866E-1
265	4.69166569E-1
139	4.69644643E-1
294	4.69672726E-1
138	4.7162973E-1
1009	4.72283729E-1
1004	4.74907858E-1
86	4.74937463E-1
617	4.75857232E-1
629	4.7594402E-1
713	4.76121387E-1
867	4.78637632E-1
210	4.79761882E-1
798	4.8100094E-1
661	4.83327748E-1
301	4.8379418E-1
945	4.83822804E-1
23	4.83907954E-1
376	4.83912227E-1
69	4.85414285E-1
352	4.87235996E-1
135	4.87690406E-1
429	4.90306243E-1
9	4.90520428E-1
916	4.92110614E-1
907	4.92600693E-1
605	4.92794865E-1
436	4.92829772E-1
834	4.936579E-1
14	4.93674169E-1
442	4.93749194E-1
497	4.95547684E-1
649	4.95985707E-1
976	4.96047731E-1
395	5.00569613E-1
832	5.01305879E-1
274	5.01325802E-1
193	5.03045895E-1
64	5.03277391E-1
848	5.04553242E-1
970	5.05561039E-1
715	5.07262425E-1
643	5.10000244E-1
752	5.12836979E-1
790	5.14349868E-1
25	5.14884259E-1
354	5.15684247E-1
277	5.172113E-1
573	5.17449332E-1
821	5.19245669E-1
641	5.21840911E-1
1016	5.21901059E-1
377	5.22090531E-1
145	5.22606916E-1
27	5.23007792E-1
478	5.23343948E-1
3	5.23757009E-1
97	5.27428598E-1
572	5.27557745E-1
460	5.27926248E-1
634	5.28353755E-1
31	5.29109811E-1
750	5.29179754E-1
246	5.2940298E-1
774	5.30657969E-1
609	5.31347997E-1
939	5.32507158E-1
206	5.33174447E-1
236	5.36322495E-1
1000	5.36862315E-1
859	5.39928826E-1
213	5.41314275E-1
883	5.41732158E-1
487	5.46629038E-1
479	5.47791517E-1
921	5.47942283E-1
621	5.49437049E-1
422	5.5001358E-1
227	5.50511133E-1
885	5.50761761E-1
40	5.51442414E-1
935	5.53507665E-1
424	5.5360298E-1
128	5.5583883E-1
393	5.57136644E-1
83	5.61478264E-1
182	5.61555327E-1
866	5.62028914E-1
416	5.62581613E-1
822	5.62598595E-1
601	5.65201829E-1
533	5.67970518E-1
62	5.6869231E-1
556	5.72546817E-1
177	5.74867822E-1
827	5.75473966E-1
905	5.75615928E-1
969	5.7830921E-1
809	5.78641593E-1
17	5.79266667E-1
646	5.79895439E-1
587	5.80234679E-1
65	5.83542952E-1
464	5.83769384E-1
619	5.83897987E-1
662	5.8556386E-1
630	5.87986621E-1
412	5.88384751E-1
706	5.89056185E-1
897	5.89699832E-1
221	5.90105045E-1
233	5.90105416E-1
439	5.90197558E-1
165	5.91939797E-1
331	5.94454892E-1
300	5.9468528E-1
994	5.95266852E-1
583	5.95392145E-1
142	5.95489593E-1
368	5.95756799E-1
29	5.99432117E-1
18	6.01521078E-1
455	6.01876479E-1
148	6.02112035E-1
28	6.04426929E-1
358	6.06847656E-1
794	6.08955601E-1
719	6.09087488E-1
949	6.09761024E-1
666	6.10515385E-1
761	6.10743784E-1
614	6.10817647E-1
631	6.11213835E-1
913	6.11990876E-1
38	6.13846606E-1
696	6.14591129E-1
280	6.14913001E-1
198	6.15031994E-1
263	6.15126403E-1
134	6.16377108E-1
959	6.16491305E-1
156	6.16634339E-1
681	6.17184917E-1
762	6.17337871E-1
766	6.19710274E-1
266	6.20074095E-1
311	6.20232878E-1
910	6.24778022E-1
258	6.30658885E-1
851	6.31339666E-1
509	6.33263667E-1
872	6.3429673E-1
323	6.35128914E-1
1001	6.35135375E-1
568	6.35641188E-1
1008	6.37399169E-1
197	6.38796598E-1
