Name	chi2Pvalue
111	5.71846429E-4
176	9.29741513E-4
705	2.17462838E-3
309	3.88055174E-3
664	3.90195089E-3
49	4.12582385E-3
740	4.56477261E-3
443	4.95226452E-3
235	5.48348482E-3
390	5.67639148E-3
83	6.07542035E-3
317	6.29931152E-3
457	7.4765309E-3
432	7.68059604E-3
808	8.53307336E-3
559	8.67127479E-3
500	1.00449715E-2
690	1.11451088E-2
68	1.54408498E-2
512	1.57899496E-2
984	2.0107863E-2
196	2.06007187E-2
776	2.09273415E-2
575	2.11515823E-2
982	2.17605474E-2
276	2.18766303E-2
150	2.50016833E-2
545	2.56664421E-2
67	2.66121724E-2
202	2.68104007E-2
1	2.73565988E-2
681	2.76549399E-2
331	2.9375657E-2
731	3.04749105E-2
994	3.05914682E-2
275	3.32123613E-2
651	3.34462361E-2
774	3.38374757E-2
363	3.5835915E-2
990	3.72983068E-2
114	4.23024879E-2
205	4.31421324E-2
831	4.38234248E-2
262	4.58982033E-2
728	4.62661022E-2
609	4.62912835E-2
946	4.71150812E-2
71	4.79229451E-2
388	5.15437878E-2
286	5.51692733E-2
325	5.54545739E-2
606	5.64081489E-2
206	5.6616215E-2
687	5.67134655E-2
860	5.84758514E-2
161	5.92342507E-2
893	5.96365372E-2
965	6.11590987E-2
655	6.67544668E-2
451	6.72154649E-2
579	6.77196789E-2
223	6.78242398E-2
488	6.78399605E-2
39	7.00269357E-2
764	7.00799764E-2
160	7.02326243E-2
58	7.02360002E-2
327	7.11052845E-2
166	7.2340019E-2
996	7.25191459E-2
102	7.32002939E-2
902	7.44412781E-2
2	7.44818189E-2
341	7.5135058E-2
591	7.71769194E-2
792	7.79289778E-2
603	7.81189969E-2
750	7.82318952E-2
324	8.0108207E-2
32	8.0592147E-2
861	8.13982418E-2
86	8.21401625E-2
469	8.3497087E-2
992	8.57778229E-2
362	8.66906788E-2
360	8.74235746E-2
837	8.7645741E-2
962	8.79878484E-2
226	8.86751005E-2
97	8.96214434E-2
642	9.11585374E-2
541	9.16519668E-2
189	9.57800455E-2
672	9.90297873E-2
5	9.92817001E-2
269	1.00697142E-1
351	1.00789529E-1
833	1.01724154E-1
467	1.02501991E-1
515	1.0266082E-1
887	1.04916815E-1
719	1.05769408E-1
782	1.06540797E-1
48	1.08241907E-1
622	1.09315111E-1
883	1.09488272E-1
292	1.10500169E-1
588	1.10780812E-1
865	1.11511923E-1
472	1.12168218E-1
449	1.12574149E-1
742	1.13546801E-1
393	1.13953303E-1
