Name	chi2Pvalue
309	7.85947879E-4
223	8.5330557E-4
176	1.03432784E-3
196	1.07032125E-3
88	1.07164934E-3
317	1.44961762E-3
813	1.88947772E-3
327	2.05995008E-3
851	2.4217702E-3
664	2.44647887E-3
562	2.51468124E-3
820	3.83840634E-3
705	4.39509337E-3
111	5.50238316E-3
390	7.09124775E-3
730	8.14918767E-3
33	8.17483515E-3
388	9.03269582E-3
515	1.09844134E-2
68	1.15342712E-2
902	1.30850967E-2
751	1.58772842E-2
844	1.81240311E-2
238	1.81273489E-2
993	2.05308127E-2
991	2.18409428E-2
479	2.29691844E-2
21	2.29857329E-2
778	2.32943027E-2
436	2.36255101E-2
702	2.49789524E-2
885	2.51260511E-2
127	2.51652908E-2
787	2.54962362E-2
946	2.6472349E-2
211	2.74973132E-2
230	2.85592573E-2
849	2.96104337E-2
429	3.01047408E-2
706	3.2033902E-2
983	3.24610724E-2
415	3.27927319E-2
302	3.2904831E-2
624	3.30093611E-2
140	3.30546192E-2
876	3.30859129E-2
990	3.33593203E-2
32	3.65224744E-2
467	3.73140405E-2
533	3.74230644E-2
506	3.84897661E-2
953	3.87762823E-2
233	3.91216942E-2
56	3.96754669E-2
800	4.08233405E-2
147	4.56621056E-2
339	4.77679998E-2
928	4.95275816E-2
745	4.95742746E-2
74	4.96021579E-2
26	5.06207624E-2
537	5.10234261E-2
984	5.17221271E-2
736	5.22682201E-2
795	5.67160386E-2
253	5.73782002E-2
634	5.96252356E-2
34	6.09689704E-2
42	6.64019394E-2
591	6.69476705E-2
806	6.93254344E-2
869	7.21297609E-2
816	7.27447765E-2
457	7.3429432E-2
198	7.44816586E-2
133	7.45737675E-2
935	7.4916286E-2
904	7.50901621E-2
428	7.69713992E-2
426	7.75853689E-2
676	7.77826393E-2
1011	7.78484189E-2
903	7.79105164E-2
680	7.82448025E-2
675	7.8586442E-2
460	8.03595337E-2
374	8.32262776E-2
94	8.50072569E-2
683	8.50889676E-2
553	8.53106935E-2
930	8.56621724E-2
626	8.64529473E-2
396	8.64794007E-2
91	8.65325233E-2
73	8.65871616E-2
1023	8.65892981E-2
500	8.87671436E-2
83	9.08187795E-2
966	9.08369526E-2
829	9.17976594E-2
685	9.23571613E-2
