Name	chi2Pvalue
584	4.10669889E-4
995	5.94491641E-4
465	2.0472174E-3
474	4.04146467E-3
41	5.78689619E-3
882	7.45723555E-3
529	8.24399648E-3
983	8.2569431E-3
179	8.34425212E-3
878	9.25135896E-3
541	9.73348724E-3
361	1.07583666E-2
335	1.16594133E-2
147	1.3586988E-2
348	1.39383006E-2
396	1.59014922E-2
699	1.93668505E-2
909	2.08230147E-2
1007	2.17597384E-2
390	2.19584876E-2
981	2.42262575E-2
735	2.46661254E-2
992	2.51913168E-2
200	2.524887E-2
181	2.56463289E-2
103	2.75304809E-2
724	2.93208182E-2
39	2.97947069E-2
169	3.17426063E-2
615	3.20741309E-2
731	3.2933695E-2
71	3.37878239E-2
730	3.64004403E-2
728	3.69036433E-2
144	3.70621884E-2
631	3.71947144E-2
163	3.90774976E-2
568	4.01507788E-2
750	4.52578424E-2
44	4.68319733E-2
553	4.68977193E-2
591	4.79038539E-2
571	5.01453274E-2
17	5.01485627E-2
975	5.11374163E-2
974	5.12315399E-2
501	5.13269225E-2
634	5.17779933E-2
245	5.5323285E-2
416	5.69743228E-2
949	5.93783634E-2
843	5.99247284E-2
496	6.04094495E-2
677	6.25199722E-2
51	6.26680452E-2
965	6.32082794E-2
932	6.34142123E-2
122	6.39802619E-2
497	6.46108476E-2
824	6.66250966E-2
224	6.67117195E-2
733	6.72528308E-2
770	6.73798424E-2
604	6.76606243E-2
303	6.76931074E-2
727	6.95215099E-2
328	7.03020782E-2
139	7.06418185E-2
817	7.18960011E-2
567	7.23478205E-2
235	7.28417556E-2
781	7.29008775E-2
689	7.32458872E-2
1008	7.37281687E-2
317	7.39852595E-2
376	7.47427956E-2
755	7.78151096E-2
259	7.83178214E-2
924	7.83382865E-2
788	7.86289698E-2
543	7.90024423E-2
296	7.94353199E-2
476	7.96160776E-2
876	7.96384978E-2
1001	8.00308918E-2
453	8.26994468E-2
525	8.37063484E-2
331	8.66558409E-2
367	8.68024165E-2
430	8.76874326E-2
808	9.06055847E-2
961	9.19594956E-2
996	9.64421212E-2
242	9.84424736E-2
97	9.85732203E-2
414	9.88929124E-2
798	9.96477808E-2
190	1.00467905E-1
540	1.00999576E-1
987	1.02170738E-1
260	1.03099222E-1
962	1.03528749E-1
80	1.05660093E-1
946	1.06067241E-1
60	1.06593634E-1
999	1.07289318E-1
248	1.07395019E-1
413	1.07647647E-1
931	1.07757402E-1
685	1.08097224E-1
897	1.09405954E-1
667	1.09647144E-1
210	1.10378521E-1
438	1.11765229E-1
610	1.12486396E-1
460	1.12712807E-1
552	1.13886196E-1
589	1.14299319E-1
113	1.14320741E-1
538	1.15033628E-1
950	1.15756479E-1
802	1.1657529E-1
316	1.16587588E-1
351	1.16614585E-1
823	1.17238051E-1
431	1.17766469E-1
238	1.17928276E-1
339	1.18304766E-1
439	1.2028382E-1
177	1.20883637E-1
507	1.21597594E-1
912	1.22017342E-1
158	1.22438475E-1
184	1.23262882E-1
663	1.23274099E-1
854	1.23744689E-1
617	1.24409012E-1
73	1.24734424E-1
186	1.25910667E-1
332	1.26619628E-1
930	1.2763667E-1
769	1.28024273E-1
119	1.28294799E-1
612	1.2932151E-1
925	1.32714884E-1
782	1.33166709E-1
429	1.33478405E-1
110	1.3425858E-1
92	1.34338893E-1
176	1.34596169E-1
879	1.36167654E-1
676	1.3746286E-1
111	1.37835501E-1
853	1.38663191E-1
848	1.38689107E-1
638	1.38816774E-1
440	1.3936187E-1
74	1.39989941E-1
395	1.40338344E-1
13	1.45286328E-1
312	1.45418407E-1
27	1.47180996E-1
300	1.47850835E-1
307	1.49255201E-1
378	1.51178161E-1
751	1.52370033E-1
532	1.52631969E-1
833	1.53791627E-1
90	1.53934617E-1
451	1.55606538E-1
30	1.57067175E-1
