Name	chi2Pvalue
983	8.35353051E-4
407	3.31320994E-3
245	4.93245194E-3
461	5.30279456E-3
777	6.22905083E-3
540	8.02428074E-3
56	8.29621604E-3
956	8.31801658E-3
882	1.09218966E-2
584	1.16057919E-2
594	1.24373569E-2
953	1.27230978E-2
474	1.37037311E-2
495	1.40592482E-2
8	1.50636512E-2
676	1.5534726E-2
649	1.59644976E-2
552	1.966688E-2
869	2.19522398E-2
946	2.21736982E-2
922	2.25223563E-2
776	2.48033862E-2
727	2.63127426E-2
847	2.75442853E-2
826	2.82539975E-2
560	3.06113454E-2
418	3.11276316E-2
520	3.1860822E-2
747	3.20172669E-2
229	3.20479802E-2
612	3.28574363E-2
29	3.42285234E-2
957	3.45090766E-2
6	3.53982245E-2
94	3.68630276E-2
33	3.7504942E-2
44	3.87728139E-2
313	3.91555348E-2
878	3.97862407E-2
968	4.00790978E-2
515	4.15042923E-2
174	4.32301045E-2
618	4.32899833E-2
14	4.37785565E-2
525	4.41442632E-2
672	4.42630161E-2
680	4.42901603E-2
860	4.44271587E-2
68	4.49393139E-2
894	4.52836799E-2
224	4.55295348E-2
410	4.65756832E-2
527	4.75895546E-2
396	5.12239057E-2
12	5.2274331E-2
917	5.23338711E-2
89	5.37448282E-2
176	5.42346241E-2
449	5.79485677E-2
187	5.79893733E-2
212	5.85549648E-2
665	5.98600008E-2
48	6.0757368E-2
145	6.17096628E-2
300	6.30315013E-2
4	6.41243711E-2
613	6.49025921E-2
813	6.54639725E-2
892	6.57090474E-2
186	6.58205254E-2
745	6.62830167E-2
170	6.98157676E-2
735	7.08836625E-2
976	7.34951878E-2
586	7.43450618E-2
852	7.43594046E-2
837	7.44637232E-2
330	7.51627124E-2
49	7.71069213E-2
391	7.93780342E-2
664	7.9528578E-2
252	8.05614203E-2
157	8.06785141E-2
469	8.09145967E-2
764	8.32698062E-2
607	8.35729852E-2
963	8.62361986E-2
255	8.70001784E-2
812	8.80313187E-2
518	8.90520885E-2
774	8.95253776E-2
993	8.96933789E-2
538	9.10330995E-2
222	9.20239649E-2
519	9.22739584E-2
288	9.30243377E-2
114	9.42838E-2
667	9.4300599E-2
619	9.50172317E-2
413	9.57024974E-2
151	9.64901581E-2
465	9.71877874E-2
879	9.87871081E-2
783	9.94392053E-2
795	1.01652877E-1
309	1.03345234E-1
791	1.04969391E-1
55	1.06136012E-1
706	1.06201884E-1
646	1.06714723E-1
992	1.07162947E-1
