Name	chi2Pvalue
390	2.7520376E-9
451	6.42092957E-5
309	7.69076964E-4
363	2.57160487E-3
316	3.70421476E-3
626	4.48121337E-3
176	5.05941997E-3
731	5.34467406E-3
111	6.79900302E-3
964	7.59219371E-3
861	8.5333051E-3
460	1.03193785E-2
580	1.12282393E-2
512	1.14798507E-2
952	1.2571825E-2
756	1.2633743E-2
249	1.29550791E-2
12	1.32707438E-2
947	1.36658431E-2
740	1.39833592E-2
474	1.83902215E-2
788	1.91529261E-2
672	2.08985924E-2
883	2.09502487E-2
339	2.32446039E-2
515	2.351181E-2
66	2.40621701E-2
169	2.41794642E-2
878	2.60150959E-2
327	2.62598714E-2
903	2.80031731E-2
799	2.89797684E-2
664	3.09452134E-2
476	3.10094977E-2
522	3.26167326E-2
211	3.306118E-2
642	3.36169891E-2
894	3.4414827E-2
38	3.74127859E-2
373	3.79575636E-2
191	3.81011863E-2
625	3.99305652E-2
287	4.00433524E-2
68	4.0834485E-2
322	4.14977743E-2
1007	4.41318922E-2
354	4.4191658E-2
367	4.69478667E-2
702	4.71897612E-2
499	4.73346508E-2
831	4.94586415E-2
444	4.94782809E-2
750	5.11042433E-2
853	5.23390662E-2
929	5.34373338E-2
586	5.36940345E-2
506	5.40454958E-2
1004	5.57829569E-2
765	5.72575965E-2
793	5.80816358E-2
922	6.16028102E-2
992	6.20426687E-2
501	6.3274276E-2
705	6.3584316E-2
330	6.38513622E-2
770	6.40596285E-2
310	6.53030459E-2
632	6.62992737E-2
357	6.65145185E-2
269	6.78155373E-2
473	6.78462976E-2
76	6.78873838E-2
687	6.96923592E-2
763	6.97950283E-2
743	7.0250435E-2
103	7.07388529E-2
795	7.2092852E-2
588	7.33889258E-2
387	7.45976921E-2
606	7.46374129E-2
718	7.47748243E-2
491	7.48280849E-2
1006	7.73405935E-2
145	7.89024871E-2
102	8.01980407E-2
1009	8.25053118E-2
7	8.33333333E-2
471	8.56147714E-2
481	8.6572329E-2
138	8.67093123E-2
748	8.86798328E-2
1002	9.27227868E-2
824	9.32562767E-2
609	9.40621346E-2
673	9.66989135E-2
562	9.6832664E-2
817	1.00273463E-1
385	1.01094033E-1
82	1.02012601E-1
488	1.02401692E-1
781	1.02624238E-1
932	1.03638794E-1
392	1.03945573E-1
234	1.03946209E-1
212	1.05164661E-1
917	1.0558021E-1
583	1.06774615E-1
426	1.07183349E-1
172	1.07984046E-1
291	1.09487003E-1
915	1.10073261E-1
106	1.10523724E-1
802	1.11067756E-1
833	1.1179349E-1
319	1.13208007E-1
638	1.16750759E-1
924	1.17587948E-1
792	1.18818259E-1
662	1.20449678E-1
856	1.20628613E-1
912	1.2089557E-1
114	1.21037874E-1
232	1.2222306E-1
30	1.22717502E-1
648	1.24240824E-1
577	1.25787272E-1
940	1.26483345E-1
791	1.26852916E-1
220	1.28169135E-1
739	1.28724107E-1
634	1.29672362E-1
582	1.30941019E-1
806	1.31163305E-1
206	1.31938354E-1
841	1.33134996E-1
995	1.36337278E-1
467	1.38085296E-1
391	1.39002641E-1
663	1.40073283E-1
317	1.40339282E-1
595	1.40924063E-1
238	1.42107848E-1
107	1.42293316E-1
257	1.43555185E-1
416	1.47088617E-1
329	1.47658427E-1
697	1.47998884E-1
818	1.50304179E-1
487	1.50711669E-1
633	1.52223189E-1
377	1.52237774E-1
754	1.52611402E-1
900	1.5292012E-1
34	1.57071656E-1
412	1.57273376E-1
193	1.59225018E-1
774	1.59791828E-1
777	1.5983324E-1
597	1.60580791E-1
692	1.61763262E-1
79	1.63669266E-1
85	1.63743055E-1
393	1.65040011E-1
591	1.66086626E-1
863	1.67529958E-1
480	1.68288831E-1
639	1.6848552E-1
9	1.69445419E-1
559	1.70608591E-1
198	1.71227134E-1
983	1.73333808E-1
231	1.73468301E-1
73	1.74061791E-1
764	1.75235207E-1
213	1.75796104E-1
866	1.76046149E-1
798	1.76320441E-1
84	1.77474575E-1
575	1.79667585E-1
908	1.80595749E-1
122	1.81878989E-1
144	1.82828365E-1
465	1.83104582E-1
163	1.83643668E-1
223	1.83995147E-1
75	1.85212804E-1
26	1.8778874E-1
568	1.88481451E-1
997	1.88833933E-1
541	1.89316475E-1
881	1.90687297E-1
520	1.92585054E-1
132	1.94626288E-1
372	1.95806086E-1
394	1.96420917E-1
25	1.98671434E-1
896	2.02884834E-1
560	2.03106626E-1
953	2.03157815E-1
627	2.03460901E-1
331	2.04216483E-1
1008	2.04321095E-1
503	2.04460588E-1
696	2.05835298E-1
430	2.05843072E-1
432	2.06524357E-1
1	2.06820956E-1
528	2.07420735E-1
110	2.08088727E-1
829	2.08745228E-1
713	2.09103405E-1
284	2.10178267E-1
710	2.11065543E-1
517	2.12857997E-1
704	2.14380368E-1
438	2.17486803E-1
179	2.17709124E-1
384	2.17759224E-1
334	2.1778267E-1
272	2.1879207E-1
428	2.18793314E-1
787	2.19297544E-1
851	2.19532662E-1
741	2.20650555E-1
654	2.2270869E-1
308	2.25154693E-1
153	2.25912509E-1
285	2.26163871E-1
617	2.27260221E-1
539	2.27486917E-1
504	2.27922463E-1
388	2.29418786E-1
957	2.29999404E-1
871	2.30299131E-1
447	2.30523844E-1
972	2.31519364E-1
576	2.3183461E-1
706	2.32624285E-1
253	2.32971129E-1
121	2.33117317E-1
469	2.33573776E-1
767	2.33638899E-1
855	2.341963E-1
884	2.34667397E-1
202	2.34959618E-1
375	2.35496418E-1
187	2.37903883E-1
602	2.40219708E-1
675	2.4117832E-1
771	2.41216941E-1
578	2.42187589E-1
990	2.42656452E-1
235	2.43128068E-1
306	2.43683409E-1
199	2.44028559E-1
847	2.45654773E-1
975	2.46424265E-1
207	2.47459289E-1
422	2.49153054E-1
398	2.49333339E-1
839	2.50864091E-1
925	2.52617119E-1
643	2.54478013E-1
189	2.54965549E-1
436	2.55173141E-1
999	2.55233913E-1
205	2.56186046E-1
100	2.57978528E-1
921	2.59313158E-1
571	2.59505251E-1
837	2.60456926E-1
732	2.60570153E-1
90	2.60711337E-1
984	2.6267829E-1
362	2.62855311E-1
935	2.63042868E-1
786	2.64094503E-1
943	2.64102246E-1
39	2.66212777E-1
296	2.68164414E-1
510	2.68749383E-1
160	2.69237494E-1
631	2.70251364E-1
993	2.71153017E-1
685	2.72064512E-1
1005	2.73506407E-1
136	2.73980239E-1
930	2.73995805E-1
429	2.74345098E-1
53	2.74988126E-1
652	2.76105862E-1
167	2.77989877E-1
440	2.78013889E-1
376	2.79394957E-1
729	2.79709983E-1
892	2.8000653E-1
949	2.80425912E-1
658	2.81666496E-1
965	2.84960434E-1
43	2.85623043E-1
820	2.86385428E-1
543	2.87031236E-1
374	2.87976762E-1
909	2.91142491E-1
616	2.91348979E-1
969	2.91680598E-1
217	2.91697454E-1
689	2.92131439E-1
243	2.92300001E-1
137	2.92760339E-1
497	2.92762386E-1
463	2.94065154E-1
251	2.96392304E-1
484	2.9760041E-1
157	2.97611654E-1
178	2.98682954E-1
612	2.99712236E-1
615	3.00029559E-1
123	3.0013142E-1
486	3.02022781E-1
320	3.0215825E-1
16	3.02277344E-1
214	3.02452803E-1
816	3.02588845E-1
312	3.04207165E-1
963	3.06505422E-1
449	3.07991541E-1
951	3.08425184E-1
446	3.08428896E-1
278	3.09037628E-1
603	3.09598669E-1
773	3.09869621E-1
899	3.10256984E-1
70	3.10391325E-1
186	3.11010766E-1
669	3.11670638E-1
751	3.122126E-1
584	3.13907652E-1
383	3.15965676E-1
315	3.16842062E-1
221	3.18119194E-1
1001	3.20435327E-1
479	3.2203933E-1
333	3.22828249E-1
614	3.24485424E-1
