Name	chi2Pvalue
309	3.39528577E-4
816	1.08958543E-3
858	1.17977885E-3
894	1.46927671E-3
813	2.86159087E-3
856	2.89580442E-3
93	3.83821948E-3
263	4.50443557E-3
3	4.69550095E-3
515	5.059227E-3
238	6.60294776E-3
718	1.03893192E-2
622	1.13853564E-2
320	1.16046759E-2
928	1.39464695E-2
402	1.45426679E-2
635	1.57115319E-2
8	1.78834311E-2
137	1.8686565E-2
542	1.87698164E-2
55	2.02201659E-2
92	2.08516671E-2
33	2.15359486E-2
706	2.18746057E-2
29	2.33954017E-2
301	2.35382604E-2
879	2.39120316E-2
21	2.42065726E-2
745	2.45832255E-2
270	2.48934611E-2
423	2.59892458E-2
377	2.79072154E-2
488	3.2022232E-2
355	3.2241843E-2
775	3.27743045E-2
1006	3.31934544E-2
777	3.52579455E-2
616	3.57275559E-2
334	3.65633534E-2
953	3.72520996E-2
639	3.74811609E-2
198	3.79067063E-2
833	3.81671387E-2
705	3.90058556E-2
769	4.00782248E-2
594	4.1266488E-2
514	4.13692184E-2
273	4.29188219E-2
125	4.38727324E-2
444	4.49471124E-2
127	4.52238139E-2
292	4.66381363E-2
461	4.66927368E-2
1001	4.81266643E-2
75	4.96388801E-2
456	5.08762468E-2
963	5.0949931E-2
468	5.1505121E-2
495	5.28371106E-2
324	5.71850176E-2
922	5.77015139E-2
51	5.78232714E-2
795	5.85143698E-2
344	6.25964433E-2
676	6.26527925E-2
12	6.36179447E-2
206	6.38686676E-2
586	6.40343078E-2
649	6.43473921E-2
900	6.49635947E-2
820	6.53267408E-2
690	6.5474377E-2
989	6.59301363E-2
553	6.68797872E-2
646	6.72845661E-2
721	6.87180932E-2
123	7.06299078E-2
527	7.69745709E-2
26	7.75908559E-2
349	7.96724769E-2
981	7.98002293E-2
149	8.01571435E-2
992	8.34885892E-2
567	8.39790581E-2
285	8.66169128E-2
512	8.85609024E-2
914	8.95147153E-2
57	9.11938627E-2
4	9.184651E-2
947	9.29838653E-2
142	9.31499898E-2
374	9.41097202E-2
768	9.43354607E-2
693	9.44639809E-2
946	9.46395937E-2
773	9.52295711E-2
245	9.55693399E-2
223	9.5762525E-2
968	9.61736399E-2
491	9.66615227E-2
330	9.81860974E-2
785	1.00199428E-1
106	1.01191703E-1
250	1.03034689E-1
948	1.03087931E-1
702	1.03130491E-1
699	1.03622051E-1
60	1.04051238E-1
11	1.04110502E-1
130	1.04928445E-1
413	1.06680392E-1
499	1.08319902E-1
176	1.08435441E-1
610	1.09231118E-1
803	1.10638374E-1
497	1.11511919E-1
184	1.12813511E-1
633	1.15298108E-1
667	1.15908784E-1
783	1.17398594E-1
748	1.17937015E-1
956	1.18806234E-1
258	1.20992795E-1
140	1.2099483E-1
54	1.21468399E-1
434	1.21698798E-1
814	1.21794742E-1
306	1.22496266E-1
276	1.24800694E-1
522	1.25809477E-1
945	1.28961869E-1
117	1.30734715E-1
305	1.30965171E-1
317	1.32129633E-1
802	1.32268162E-1
286	1.33161385E-1
435	1.33871505E-1
46	1.33884277E-1
494	1.36112759E-1
762	1.38241441E-1
440	1.39617739E-1
552	1.40141428E-1
599	1.40447062E-1
71	1.40517274E-1
938	1.40520994E-1
581	1.42992445E-1
36	1.43126806E-1
919	1.44476533E-1
591	1.46479671E-1
997	1.47867907E-1
791	1.4889058E-1
293	1.51712868E-1
888	1.5230938E-1
40	1.52390022E-1
619	1.52691104E-1
439	1.53356233E-1
859	1.54557323E-1
83	1.54604634E-1
625	1.54995302E-1
262	1.55024705E-1
394	1.55238682E-1
299	1.57651171E-1
867	1.57984651E-1
209	1.58688948E-1
965	1.58934517E-1
134	1.59221546E-1
80	1.60905425E-1
778	1.61775927E-1
416	1.65409742E-1
876	1.65478273E-1
860	1.67707165E-1
227	1.68146815E-1
1008	1.69319433E-1
239	1.69658228E-1
554	1.70360177E-1
452	1.71837523E-1
45	1.75358197E-1
841	1.75596567E-1
411	1.76669587E-1
41	1.76769519E-1
752	1.81131426E-1
774	1.82637856E-1
271	1.82941579E-1
221	1.84274595E-1
157	1.84937089E-1
463	1.8584372E-1
634	1.86042335E-1
366	1.88226392E-1
840	1.88391275E-1
433	1.91069501E-1
870	1.92270203E-1
566	1.92292395E-1
738	1.93151912E-1
925	1.93573338E-1
626	1.93988694E-1
975	1.94036477E-1
104	1.94884875E-1
17	1.96210427E-1
89	1.96478719E-1
686	1.97913857E-1
955	1.98412168E-1
694	1.98700197E-1
540	1.9964588E-1
715	1.99707121E-1
742	2.00398388E-1
750	2.01775652E-1
794	2.02517759E-1
188	2.02536072E-1
994	2.03314935E-1
443	2.03346287E-1
849	2.04839565E-1
68	2.08213486E-1
30	2.0822024E-1
236	2.09473862E-1
485	2.10356136E-1
1002	2.1118063E-1
42	2.15456592E-1
131	2.16053065E-1
781	2.16479123E-1
525	2.16941189E-1
805	2.17424104E-1
564	2.18232546E-1
212	2.18675709E-1
659	2.2072111E-1
717	2.23292799E-1
28	2.23976134E-1
660	2.24772113E-1
538	2.26578545E-1
479	2.26741671E-1
980	2.28117843E-1
193	2.28183464E-1
617	2.28591931E-1
1	2.29281461E-1
732	2.2935716E-1
653	2.29630566E-1
481	2.30423581E-1
282	2.30481176E-1
872	2.32348391E-1
1007	2.32468615E-1
229	2.34772759E-1
725	2.35905312E-1
613	2.37784134E-1
288	2.38413765E-1
749	2.40692647E-1
388	2.41138096E-1
682	2.42164334E-1
516	2.42795719E-1
873	2.42885158E-1
474	2.45108626E-1
467	2.46085875E-1
38	2.47408749E-1
43	2.47421337E-1
807	2.47965525E-1
695	2.48032518E-1
839	2.48431406E-1
217	2.48700323E-1
823	2.49864742E-1
96	2.54874673E-1
691	2.55198072E-1
641	2.55714234E-1
959	2.56650288E-1
665	2.57175903E-1
247	2.57630564E-1
284	2.59302974E-1
609	2.59620122E-1
596	2.59912874E-1
976	2.60287324E-1
764	2.60521465E-1
385	2.60560734E-1
545	2.61256343E-1
520	2.62563586E-1
289	2.64576914E-1
958	2.66111085E-1
861	2.68457661E-1
843	2.69273586E-1
316	2.69665516E-1
1012	2.70836195E-1
917	2.75096803E-1
391	2.75387765E-1
987	2.75735382E-1
508	2.7973864E-1
389	2.80060912E-1
999	2.80357316E-1
370	2.80581531E-1
844	2.80788477E-1
296	2.8219508E-1
595	2.86014163E-1
804	2.8958031E-1
535	2.90568618E-1
969	2.93068609E-1
832	2.93471387E-1
100	2.93988633E-1
550	2.9425005E-1
475	2.94435353E-1
82	2.94551233E-1
254	2.95416395E-1
652	2.96895116E-1
477	2.98661199E-1
220	2.99830824E-1
119	3.01448381E-1
960	3.01835556E-1
49	3.04317415E-1
1010	3.04473868E-1
897	3.04718774E-1
703	3.06282285E-1
180	3.0680605E-1
670	3.06882341E-1
469	3.09228349E-1
53	3.09680471E-1
213	3.11709234E-1
147	3.11991928E-1
935	3.13757384E-1
32	3.14155615E-1
905	3.1667648E-1
688	3.16801324E-1
179	3.17404496E-1
543	3.1968802E-1
329	3.1993021E-1
397	3.20021526E-1
274	3.20263384E-1
358	3.22071171E-1
647	3.23749182E-1
412	3.25221161E-1
424	3.25547996E-1
605	3.26040735E-1
378	3.26665064E-1
465	3.27431122E-1
451	3.29141653E-1
403	3.2917431E-1
165	3.29535403E-1
620	3.29991256E-1
756	3.30252588E-1
122	3.30607244E-1
396	3.30920707E-1
382	3.3247311E-1
881	3.32956348E-1
211	3.33590278E-1
800	3.34348005E-1
313	3.34542856E-1
325	3.35666506E-1
111	3.36111426E-1
425	3.36329119E-1
48	3.37301416E-1
696	3.37986272E-1
226	3.38404518E-1
6	3.40977177E-1
910	3.41068126E-1
864	3.42475211E-1
13	3.44591212E-1
799	3.44597876E-1
7	3.44623025E-1
294	3.46007471E-1
837	3.47383432E-1
757	3.47913279E-1
406	3.47961187E-1
569	3.4806719E-1
233	3.48439367E-1
174	3.48758301E-1
912	3.51891898E-1
506	3.52629329E-1
290	3.52861265E-1
707	3.5599774E-1
817	3.58405694E-1
828	3.58524888E-1
865	3.59193257E-1
234	3.60925093E-1
561	3.65339152E-1
297	3.6687327E-1
237	3.68861177E-1
790	3.70285142E-1
207	3.72032213E-1
714	3.73069194E-1
407	3.74330898E-1
246	3.74367364E-1
940	3.75065458E-1
812	3.75563933E-1
414	3.76189589E-1
740	3.78238307E-1
160	3.79410358E-1
244	3.79820265E-1
578	3.79886313E-1
348	3.80581594E-1
518	3.82846991E-1
944	3.84621402E-1
746	3.84735524E-1
1000	3.84868195E-1
187	3.85031355E-1
459	3.86455399E-1
431	3.87030618E-1
593	3.87245597E-1
200	3.88860193E-1
584	3.8999383E-1
708	3.9209642E-1
291	3.92984686E-1
108	3.93671712E-1
954	3.93804888E-1
720	3.94361232E-1
138	3.95596396E-1
911	3.9589334E-1
91	3.96497656E-1
996	3.97093867E-1
9	3.97311799E-1
144	3.98670079E-1
120	4.01604282E-1
400	4.03216228E-1
882	4.05215232E-1
243	4.06508656E-1
455	4.07956147E-1
604	4.08273338E-1
642	4.10576431E-1
511	4.1061825E-1
418	4.10800863E-1
753	4.10813266E-1
562	4.1286973E-1
267	4.14023718E-1
457	4.16270413E-1
260	4.16888364E-1
612	4.17098606E-1
231	4.17392728E-1
159	4.17482421E-1
637	4.19695193E-1
681	4.19843138E-1
533	4.20819203E-1
88	4.21969862E-1
899	4.22398022E-1
342	4.22530322E-1
173	4.22785176E-1
311	4.23431766E-1
56	4.23862808E-1
14	4.26390821E-1
379	4.26682986E-1
850	4.28092676E-1
556	4.28504412E-1
787	4.28993101E-1
230	4.29716864E-1
951	4.33025561E-1
135	4.33261727E-1
74	4.33817232E-1
136	4.34103858E-1
932	4.3452062E-1
892	4.3456673E-1
27	4.34907487E-1
384	4.35455381E-1
907	4.36522518E-1
631	4.37499394E-1
124	4.39268306E-1
303	4.39616434E-1
115	4.40575854E-1
628	4.40950041E-1
524	4.42434218E-1
449	4.42615379E-1
679	4.43373218E-1
568	4.44012685E-1
878	4.44098931E-1
1014	4.45401903E-1
988	4.45792339E-1
287	4.46466287E-1
767	4.46525342E-1
875	4.50190872E-1
513	4.51800444E-1
692	4.52888834E-1
923	4.53702951E-1
526	4.55302084E-1
519	4.56020476E-1
218	4.56352537E-1
575	4.56442442E-1
372	4.58183934E-1
408	4.58703485E-1
197	4.59198521E-1
214	4.61783184E-1
821	4.64118491E-1
744	4.64153525E-1
758	4.65114231E-1
175	4.65141357E-1
673	4.65697097E-1
822	4.65715944E-1
974	4.67055008E-1
410	4.68957093E-1
654	4.69361971E-1
735	4.708405E-1
747	4.71229891E-1
66	4.73601335E-1
242	4.78936487E-1
551	4.80855617E-1
186	4.82950949E-1
929	4.84375445E-1
194	4.84485665E-1
982	4.88422843E-1
420	4.90851465E-1
680	4.91464293E-1
185	4.92381323E-1
662	4.94842996E-1
215	4.96268478E-1
993	4.96608477E-1
87	4.96645159E-1
235	4.97512451E-1
655	4.98179809E-1
615	5.00667395E-1
224	5.0098506E-1
298	5.01112329E-1
851	5.02362015E-1
731	5.05207636E-1
638	5.05406356E-1
698	5.05743033E-1
447	5.064304E-1
582	5.09371055E-1
838	5.09696933E-1
986	5.10001446E-1
727	5.10061227E-1
380	5.10433389E-1
643	5.12356861E-1
94	5.13070377E-1
228	5.13258875E-1
354	5.13373776E-1
853	5.13412705E-1
573	5.13558831E-1
422	5.14593127E-1
318	5.14764585E-1
728	5.14849397E-1
931	5.14989427E-1
868	5.17235257E-1
809	5.18278614E-1
390	5.1853829E-1
266	5.2201963E-1
726	5.2240338E-1
210	5.24636928E-1
438	5.24960304E-1
346	5.25462955E-1
90	5.27376677E-1
743	5.30016408E-1
521	5.32319538E-1
464	5.32405447E-1
153	5.32846205E-1
572	5.34378823E-1
275	5.34927612E-1
531	5.354062E-1
110	5.36447239E-1
906	5.36876708E-1
784	5.38421106E-1
539	5.3876634E-1
399	5.39710634E-1
268	5.40208777E-1
842	5.40343728E-1
952	5.40507456E-1
656	5.41380878E-1
961	5.41991699E-1
367	5.42941062E-1
685	5.42976492E-1
995	5.43014483E-1
458	5.43232746E-1
502	5.43768099E-1
797	5.44691285E-1
600	5.4515412E-1
1015	5.45998517E-1
949	5.46521822E-1
579	5.46928201E-1
530	5.47579046E-1
902	5.48064287E-1
362	5.48273889E-1
723	5.49132617E-1
901	5.50189896E-1
155	5.5281712E-1
121	5.53665182E-1
826	5.54048583E-1
846	5.55247215E-1
909	5.55760487E-1
128	5.56084618E-1
304	5.57214506E-1
574	5.57454923E-1
191	5.58002634E-1
486	5.59323092E-1
202	5.60137851E-1
500	5.61223668E-1
855	5.6175647E-1
979	5.61856508E-1
675	5.63959748E-1
97	5.64166611E-1
589	5.64901423E-1
350	5.67646839E-1
154	5.69844531E-1
496	5.70960688E-1
478	5.71200736E-1
580	5.75540445E-1
34	5.76772935E-1
216	5.77817554E-1
86	5.78325545E-1
716	5.80021008E-1
770	5.80604726E-1
192	5.81207838E-1
915	5.82733802E-1
606	5.83191174E-1
939	5.87578214E-1
544	5.89745296E-1
126	5.90398371E-1
759	5.91290113E-1
684	5.91854369E-1
933	5.92388233E-1
836	5.92493009E-1
20	5.92539038E-1
429	5.9415887E-1
47	5.94678018E-1
183	5.94783113E-1
927	5.95180504E-1
67	5.96565851E-1
195	5.97118724E-1
607	5.97410149E-1
436	5.97803172E-1
571	5.98277185E-1
602	5.99130835E-1
1005	5.99159824E-1
918	5.99869458E-1
44	6.0154148E-1
338	6.0181326E-1
983	6.02865339E-1
133	6.05019536E-1
252	6.05036713E-1
448	6.06940916E-1
419	6.07546796E-1
39	6.10268422E-1
101	6.1060772E-1
664	6.12537303E-1
557	6.12721508E-1
393	6.12978416E-1
950	6.15610844E-1
277	6.15618775E-1
701	6.1578388E-1
771	6.16089221E-1
222	6.17298643E-1
611	6.18049957E-1
560	6.23881388E-1
831	6.24623788E-1
854	6.2547118E-1
256	6.26217056E-1
658	6.26585399E-1
510	6.26776686E-1
163	6.2911458E-1
492	6.29307134E-1
782	6.29493124E-1
339	6.30419628E-1
971	6.30790591E-1
942	6.3157132E-1
852	6.32723725E-1
387	6.32955173E-1
251	6.33048399E-1
345	6.3462654E-1
432	6.36757422E-1
650	6.37762445E-1
248	6.37953145E-1
913	6.3797044E-1
190	6.38288129E-1
889	6.38435837E-1
978	6.39652702E-1
450	6.3979613E-1
331	6.40720047E-1
921	6.41001182E-1
926	6.41577849E-1
896	6.42320993E-1
661	6.43867857E-1
669	6.45296539E-1
779	6.45649765E-1
629	6.46241765E-1
563	6.46799635E-1
151	6.46963316E-1
336	6.47698713E-1
733	6.48941075E-1
31	6.51275981E-1
132	6.53737343E-1
1011	6.54084917E-1
1023	6.54289745E-1
829	6.54492832E-1
677	6.57973628E-1
532	6.58920985E-1
259	6.59244451E-1
347	6.60168878E-1
204	6.60481871E-1
1009	6.62039037E-1
977	6.62106125E-1
908	6.62237745E-1
583	6.62276638E-1
482	6.6230801E-1
168	6.62755858E-1
281	6.63512095E-1
77	6.63689606E-1
170	6.64520289E-1
72	6.64661563E-1
308	6.65027782E-1
490	6.65825797E-1
264	6.65945749E-1
415	6.65997303E-1
810	6.6605354E-1
145	6.66203866E-1
498	6.66412392E-1
225	6.68687416E-1
315	6.68850183E-1
548	6.6978954E-1
763	6.71398075E-1
302	6.73101339E-1
