Name	chi2Pvalue
778	6.04131963E-4
995	1.46885068E-3
41	1.5056754E-3
731	2.6449998E-3
512	3.72760516E-3
467	4.22210457E-3
745	6.87680706E-3
705	6.9501972E-3
552	6.95984713E-3
584	8.71297053E-3
390	9.53561792E-3
992	9.5410291E-3
962	1.15811246E-2
622	1.23745871E-2
848	1.24467147E-2
832	1.33940947E-2
20	1.62038718E-2
327	1.79542909E-2
39	1.99706323E-2
474	2.11021277E-2
245	2.24471321E-2
361	2.24996814E-2
727	2.2925248E-2
676	2.34774463E-2
243	2.41756611E-2
71	2.42506191E-2
960	2.4425111E-2
673	2.60021317E-2
429	2.6287476E-2
529	2.68834008E-2
677	2.73273637E-2
882	2.77043049E-2
272	2.85228218E-2
885	2.92964802E-2
946	2.96056666E-2
664	2.98265233E-2
451	3.01891459E-2
981	3.15284062E-2
953	3.17779611E-2
239	3.31756103E-2
147	3.46084583E-2
117	3.46477469E-2
60	3.47367664E-2
604	3.49803615E-2
500	3.53275275E-2
833	3.62255433E-2
479	3.66939511E-2
179	3.68225072E-2
227	3.78256133E-2
878	3.89366742E-2
217	3.90172709E-2
782	3.98248352E-2
751	4.1164656E-2
699	4.14596031E-2
999	4.30318345E-2
396	4.47703479E-2
247	4.51531626E-2
615	4.57880153E-2
785	4.64204523E-2
611	4.93014337E-2
750	5.16484461E-2
823	5.16969885E-2
509	5.19704305E-2
186	5.4482308E-2
79	5.51304082E-2
894	5.53358169E-2
238	5.61084881E-2
996	5.70760859E-2
442	5.76382959E-2
431	6.03630954E-2
820	6.13621359E-2
864	6.1888302E-2
949	6.41215666E-2
83	6.53872322E-2
707	6.56027816E-2
92	6.71813491E-2
591	6.85275339E-2
902	6.85420083E-2
190	7.04960008E-2
808	7.07219927E-2
733	7.1169359E-2
916	7.14311684E-2
413	7.17969516E-2
530	7.27512607E-2
235	7.42200364E-2
860	7.46086036E-2
497	7.47245967E-2
501	7.66794105E-2
160	7.78677314E-2
876	7.81921793E-2
314	7.97352775E-2
499	7.97949179E-2
74	7.99513258E-2
989	8.02711603E-2
631	8.07543267E-2
672	8.08541551E-2
348	8.16071712E-2
73	8.18066245E-2
912	8.21134154E-2
111	8.24639654E-2
788	8.25203668E-2
339	8.36270638E-2
974	8.43704937E-2
15	8.50231347E-2
728	8.68311617E-2
45	8.70467438E-2
658	8.76282292E-2
366	9.2221185E-2
858	9.23136654E-2
517	9.38468025E-2
176	9.39393762E-2
562	9.74854978E-2
740	9.76328771E-2
173	9.8199186E-2
515	9.87832855E-2
470	9.89366299E-2
18	9.928715E-2
107	1.00211339E-1
1008	1.01381456E-1
417	1.02087719E-1
166	1.05242352E-1
607	1.06264759E-1
730	1.06718423E-1
103	1.07547793E-1
