Name	chi2Pvalue
946	8.72762754E-4
407	2.13661065E-3
676	3.52711795E-3
94	4.04668464E-3
882	4.5490917E-3
327	5.2901822E-3
176	5.91787566E-3
467	6.28279894E-3
41	7.64998905E-3
235	8.30416221E-3
782	8.31281732E-3
852	8.90052192E-3
68	1.00387188E-2
878	1.06808203E-2
624	1.08946391E-2
245	1.17050954E-2
745	1.19363759E-2
55	1.19871767E-2
953	1.33831175E-2
520	1.33956354E-2
983	1.59881317E-2
146	1.62296469E-2
869	1.69333509E-2
396	1.77482964E-2
103	1.8735237E-2
474	1.91081115E-2
788	2.06998871E-2
111	2.08963374E-2
705	2.28726179E-2
29	2.48156246E-2
314	2.63799512E-2
912	2.72828545E-2
612	2.79015971E-2
887	2.94658844E-2
802	2.98996281E-2
54	3.08125859E-2
813	3.09918848E-2
73	3.27781509E-2
584	3.32053204E-2
515	3.33232154E-2
540	3.35191916E-2
552	3.46049249E-2
783	3.46086552E-2
999	3.47294424E-2
731	3.53769578E-2
992	3.587828E-2
664	3.67462008E-2
389	3.75095245E-2
981	3.80083467E-2
525	3.87896089E-2
125	4.09148364E-2
203	4.1365824E-2
911	4.24548271E-2
239	4.34684011E-2
945	4.49848445E-2
680	4.50905681E-2
856	4.53304472E-2
538	4.70569932E-2
651	4.77013888E-2
847	4.83672302E-2
442	4.86147051E-2
592	4.893213E-2
365	4.98698404E-2
917	5.02228882E-2
493	5.18896462E-2
562	5.31754546E-2
579	5.33269672E-2
464	5.49211286E-2
808	5.52385289E-2
778	5.53586196E-2
892	5.54809935E-2
215	5.56618113E-2
288	5.65981458E-2
360	5.99042382E-2
672	6.08912992E-2
839	6.11366083E-2
583	6.12495246E-2
996	6.19189524E-2
949	6.3113362E-2
20	6.31516721E-2
57	6.60599386E-2
780	7.07346984E-2
114	7.13258571E-2
823	7.27737374E-2
217	7.33995327E-2
238	7.56325415E-2
43	7.66429699E-2
727	7.75016704E-2
104	7.86571074E-2
218	7.9115421E-2
726	8.02019435E-2
747	8.08365885E-2
526	8.11193343E-2
902	8.15007343E-2
764	8.1587164E-2
24	8.2068462E-2
667	8.3230995E-2
254	8.33375734E-2
410	8.49997084E-2
276	8.64145686E-2
426	8.68372755E-2
845	8.97298799E-2
510	8.98091592E-2
777	9.20389514E-2
309	9.5775217E-2
332	9.58254427E-2
501	9.75000034E-2
229	9.76162365E-2
740	9.84656866E-2
890	9.85436584E-2
752	9.95000449E-2
391	9.97771967E-2
312	9.97855917E-2
787	1.00305278E-1
496	1.00442117E-1
677	1.01325065E-1
343	1.01912987E-1
951	1.05919813E-1
497	1.0598279E-1
479	1.0741435E-1
625	1.08292091E-1
465	1.10457352E-1
1001	1.10470069E-1
186	1.11540898E-1
205	1.11736573E-1
512	1.11887862E-1
963	1.12114319E-1
818	1.14662132E-1
259	1.14711154E-1
456	1.15526721E-1
517	1.15554071E-1
446	1.16807605E-1
976	1.17085411E-1
863	1.17364548E-1
363	1.19280121E-1
594	1.20027089E-1
115	1.20266108E-1
476	1.23661205E-1
803	1.24173466E-1
971	1.2694341E-1
223	1.28162246E-1
716	1.28206782E-1
551	1.31096264E-1
161	1.31575768E-1
993	1.35330522E-1
995	1.35729407E-1
922	1.36011925E-1
894	1.36461148E-1
403	1.38040057E-1
432	1.38588856E-1
893	1.39557084E-1
901	1.40645339E-1
762	1.40731527E-1
749	1.41350036E-1
252	1.41430455E-1
825	1.43798556E-1
980	1.45251586E-1
106	1.46160078E-1
4	1.47440875E-1
289	1.48166072E-1
812	1.48290594E-1
88	1.4936367E-1
776	1.52640918E-1
572	1.53341472E-1
482	1.54722761E-1
371	1.57123304E-1
800	1.59690313E-1
696	1.61269573E-1
919	1.61541262E-1
224	1.62318635E-1
300	1.64012262E-1
658	1.71638285E-1
649	1.7187077E-1
461	1.72705176E-1
219	1.74640739E-1
791	1.74750738E-1
319	1.75334394E-1
532	1.7661719E-1
117	1.76643269E-1
145	1.76892338E-1
698	1.7825888E-1
149	1.80506187E-1
889	1.80601841E-1
1000	1.81167667E-1
60	1.81272205E-1
400	1.8379157E-1
353	1.84860379E-1
832	1.86123444E-1
272	1.87025129E-1
939	1.87624381E-1
805	1.90690417E-1
960	1.93526959E-1
648	1.94409054E-1
91	1.94822642E-1
558	1.94911055E-1
984	1.94999918E-1
325	1.97474603E-1
575	1.97499646E-1
470	1.9817178E-1
351	1.98757861E-1
150	1.99283672E-1
988	2.00037864E-1
330	2.00264675E-1
21	2.025784E-1
279	2.030858E-1
711	2.04591405E-1
948	2.04915302E-1
876	2.05439057E-1
382	2.06855609E-1
19	2.07394959E-1
131	2.08527069E-1
190	2.08541784E-1
905	2.10033831E-1
459	2.10659637E-1
530	2.15368243E-1
416	2.15916532E-1
44	2.17170234E-1
918	2.19454566E-1
484	2.19545248E-1
615	2.19985782E-1
855	2.21371176E-1
361	2.21841143E-1
734	2.22445167E-1
836	2.2289773E-1
260	2.23838515E-1
48	2.24760132E-1
879	2.2488817E-1
198	2.25094616E-1
851	2.26062647E-1
196	2.26739748E-1
471	2.2742504E-1
141	2.2857882E-1
923	2.28858109E-1
45	2.29722392E-1
611	2.30104875E-1
339	2.30378128E-1
760	2.33408028E-1
600	2.33467138E-1
1002	2.33583404E-1
560	2.35254774E-1
957	2.37516878E-1
604	2.38011111E-1
144	2.38028578E-1
167	2.38309729E-1
413	2.39168162E-1
478	2.39784818E-1
684	2.4051692E-1
603	2.40884796E-1
173	2.41050371E-1
433	2.41244531E-1
666	2.41574109E-1
14	2.43656318E-1
534	2.4529742E-1
444	2.45336465E-1
735	2.46885912E-1
119	2.47338782E-1
991	2.49435312E-1
193	2.50427771E-1
93	2.50936453E-1
262	2.5268173E-1
556	2.53213657E-1
728	2.55862476E-1
928	2.56925049E-1
66	2.57566552E-1
979	2.58415704E-1
243	2.58509722E-1
729	2.5876633E-1
182	2.5893528E-1
751	2.62523518E-1
458	2.62638743E-1
317	2.63480538E-1
304	2.64452775E-1
546	2.6482426E-1
308	2.64968463E-1
820	2.66088672E-1
130	2.6724864E-1
158	2.67351199E-1
42	2.67639177E-1
864	2.69001773E-1
644	2.69819385E-1
271	2.7022708E-1
415	2.71777281E-1
909	2.72431579E-1
754	2.7410803E-1
174	2.75831204E-1
613	2.76339673E-1
591	2.77028805E-1
989	2.77231975E-1
405	2.79841357E-1
342	2.8209485E-1
765	2.83950995E-1
32	2.87025284E-1
274	2.8776752E-1
311	2.89011954E-1
1004	2.89027097E-1
513	2.89561101E-1
457	2.90047495E-1
40	2.91241882E-1
127	2.91339507E-1
548	2.92007589E-1
840	2.92675307E-1
381	2.93892126E-1
231	2.94031592E-1
98	2.96591028E-1
387	2.97270133E-1
712	2.99086679E-1
74	2.99180209E-1
318	3.00203761E-1
296	3.00203862E-1
671	3.0204244E-1
277	3.02772246E-1
786	3.03189111E-1
974	3.05680232E-1
964	3.05783257E-1
75	3.06036815E-1
1011	3.06215766E-1
15	3.07767451E-1
719	3.08672655E-1
498	3.09693049E-1
348	3.11739026E-1
122	3.12093643E-1
383	3.13711671E-1
427	3.1540801E-1
192	3.15417778E-1
89	3.17633978E-1
891	3.17678004E-1
49	3.20097868E-1
169	3.23471686E-1
691	3.25019663E-1
199	3.25355569E-1
209	3.25771463E-1
756	3.27142445E-1
516	3.27598474E-1
490	3.28997898E-1
208	3.29343055E-1
1008	3.29757617E-1
798	3.30374477E-1
932	3.31034674E-1
665	3.33277572E-1
454	3.34075194E-1
38	3.35084863E-1
618	3.3611908E-1
109	3.36895078E-1
811	3.37706671E-1
850	3.3806267E-1
212	3.39715058E-1
333	3.40290479E-1
393	3.40453119E-1
329	3.42377084E-1
634	3.42546384E-1
404	3.43053433E-1
673	3.43681659E-1
799	3.44302068E-1
107	3.44385942E-1
270	3.45067223E-1
706	3.45564397E-1
730	3.45626261E-1
90	3.46964057E-1
