Name	chi2Pvalue
474	1.35561741E-3
584	2.38449726E-3
103	2.59263631E-3
983	4.66647683E-3
122	5.64650682E-3
396	8.25230597E-3
465	8.32732379E-3
110	9.24111755E-3
591	9.97309616E-3
780	1.04414512E-2
572	1.04497773E-2
435	1.17381093E-2
777	1.24363575E-2
431	1.35133838E-2
568	1.40434366E-2
995	1.41896041E-2
113	1.48844266E-2
954	1.52501717E-2
642	1.55000045E-2
682	1.74372085E-2
699	1.84493619E-2
391	2.03137616E-2
639	2.08925337E-2
1004	2.23512557E-2
335	2.41590745E-2
750	2.4243382E-2
543	2.5623511E-2
487	2.67437642E-2
278	2.76240311E-2
876	2.85273119E-2
331	2.92640763E-2
453	2.96009804E-2
610	3.48980678E-2
142	3.51518383E-2
114	3.57217955E-2
444	3.62057455E-2
451	3.67679982E-2
731	3.69708977E-2
924	3.69926029E-2
542	3.8479966E-2
200	4.01435276E-2
106	4.04550059E-2
367	4.20409163E-2
627	4.48261162E-2
206	4.53789599E-2
163	4.55742013E-2
158	4.80289426E-2
181	5.00517063E-2
939	5.03264617E-2
879	5.08948977E-2
715	5.25778815E-2
903	5.34376144E-2
443	5.44099997E-2
705	5.79645141E-2
92	5.9054145E-2
255	5.93894506E-2
702	5.95227109E-2
84	6.00976957E-2
909	6.20542704E-2
501	6.30631052E-2
567	6.45278064E-2
343	6.50112112E-2
882	6.50529533E-2
651	6.54763548E-2
242	6.59376062E-2
552	6.66108808E-2
219	6.77006743E-2
529	7.04009939E-2
416	7.1570641E-2
520	7.29642195E-2
787	7.41550913E-2
348	7.5767428E-2
257	7.69584528E-2
545	7.71238026E-2
1007	7.93965327E-2
671	7.99231875E-2
41	8.09289078E-2
263	8.2513672E-2
931	8.75294245E-2
2	8.83865411E-2
328	8.88771718E-2
989	9.01973824E-2
685	9.23917199E-2
434	9.24223083E-2
373	9.50000454E-2
541	9.51372573E-2
549	9.51432397E-2
648	9.55030454E-2
522	9.79395783E-2
1001	9.79770999E-2
1006	9.80670404E-2
992	9.80926373E-2
413	9.97313753E-2
215	9.97563083E-2
799	1.00509517E-1
838	1.02258778E-1
300	1.02353569E-1
802	1.02707269E-1
592	1.03973941E-1
689	1.06073085E-1
78	1.06425434E-1
54	1.08129304E-1
853	1.08231464E-1
950	1.1208215E-1
538	1.135611E-1
497	1.15583705E-1
44	1.15942606E-1
883	1.17863099E-1
297	1.18225362E-1
86	1.18437319E-1
184	1.22136381E-1
378	1.22660727E-1
946	1.23531588E-1
210	1.23672204E-1
481	1.24029543E-1
678	1.24062464E-1
932	1.24876957E-1
746	1.25819372E-1
521	1.27155994E-1
667	1.27609109E-1
90	1.278411E-1
881	1.27875309E-1
261	1.29013491E-1
72	1.29145252E-1
66	1.29263687E-1
823	1.2988537E-1
7	1.30449779E-1
677	1.31802838E-1
104	1.32574974E-1
68	1.33899988E-1
388	1.34044593E-1
789	1.34621664E-1
697	1.35104453E-1
153	1.3591377E-1
637	1.37103448E-1
537	1.37388289E-1
249	1.37572176E-1
527	1.39124711E-1
71	1.3990652E-1
614	1.41118889E-1
317	1.42615381E-1
846	1.42698715E-1
441	1.44337009E-1
891	1.46155742E-1
208	1.46611181E-1
214	1.47825145E-1
482	1.49187749E-1
65	1.50443697E-1
370	1.50481987E-1
426	1.50650862E-1
19	1.5212535E-1
111	1.52758032E-1
102	1.54091232E-1
961	1.55320217E-1
724	1.57866526E-1
603	1.59825542E-1
579	1.60610972E-1
890	1.60798755E-1
887	1.61247355E-1
381	1.64630801E-1
856	1.6497038E-1
976	1.66117235E-1
782	1.66404107E-1
156	1.66521142E-1
338	1.66672487E-1
361	1.67354341E-1
706	1.67730499E-1
634	1.68786496E-1
632	1.68944157E-1
756	1.69538875E-1
728	1.69656923E-1
654	1.70299823E-1
812	1.70473111E-1
735	1.70946256E-1
395	1.73475984E-1
291	1.76169745E-1
176	1.77256074E-1
640	1.80527843E-1
725	1.83449755E-1
224	1.83858949E-1
985	1.84871065E-1
512	1.85450554E-1
638	1.85982696E-1
824	1.88605116E-1
934	1.88929101E-1
817	1.89304454E-1
650	1.90879431E-1
372	1.91131155E-1
436	1.92730323E-1
231	1.94454955E-1
952	1.97346947E-1
589	1.97574801E-1
596	1.98191644E-1
919	1.98337226E-1
119	2.01541912E-1
894	2.01770893E-1
550	2.02539593E-1
260	2.03376807E-1
733	2.04250214E-1
376	2.04866434E-1
460	2.06696113E-1
318	2.07668744E-1
379	2.0779236E-1
631	2.08453139E-1
960	2.10718908E-1
186	2.11627897E-1
5	2.11849422E-1
334	2.13587219E-1
51	2.14209268E-1
82	2.15164822E-1
834	2.15971427E-1
626	2.16063426E-1
382	2.174605E-1
450	2.18682698E-1
519	2.18711736E-1
586	2.2101794E-1
560	2.2214857E-1
875	2.2247842E-1
899	2.23254794E-1
143	2.24865833E-1
12	2.25017137E-1
120	2.25250387E-1
617	2.25636341E-1
710	2.26236654E-1
144	2.27235523E-1
832	2.27744723E-1
827	2.28100044E-1
785	2.28603142E-1
458	2.28708306E-1
975	2.29335232E-1
337	2.29502077E-1
752	2.33525497E-1
598	2.34936388E-1
530	2.37057454E-1
940	2.38513242E-1
91	2.39615893E-1
449	2.46282291E-1
700	2.49699209E-1
546	2.50027311E-1
547	2.51873876E-1
1009	2.52097203E-1
241	2.54711468E-1
256	2.5546833E-1
418	2.56121996E-1
419	2.57261829E-1
676	2.58147128E-1
833	2.58807086E-1
675	2.59017489E-1
254	2.59153824E-1
507	2.59239528E-1
197	2.59819595E-1
412	2.59932888E-1
763	2.60654081E-1
150	2.62120719E-1
160	2.62489478E-1
429	2.64603102E-1
190	2.68055948E-1
820	2.6819761E-1
199	2.68464009E-1
172	2.68518959E-1
239	2.69700506E-1
38	2.71505526E-1
329	2.71707508E-1
344	2.72629737E-1
147	2.73202959E-1
536	2.73783635E-1
818	2.74514423E-1
561	2.75732059E-1
307	2.75800687E-1
604	2.76965024E-1
809	2.7893924E-1
173	2.79380418E-1
446	2.79464759E-1
424	2.7952731E-1
440	2.79889278E-1
341	2.80523667E-1
375	2.83550373E-1
310	2.83845673E-1
821	2.84569857E-1
357	2.85381219E-1
457	2.8687652E-1
316	2.87162576E-1
766	2.87234123E-1
754	2.87424246E-1
438	2.88286883E-1
679	2.90961714E-1
499	2.91989065E-1
730	2.9360364E-1
734	2.93829666E-1
843	2.94200901E-1
1008	2.94354657E-1
9	2.95012153E-1
692	2.9528832E-1
663	2.95932372E-1
641	2.97470385E-1
518	2.98161356E-1
233	2.98920143E-1
628	2.99733141E-1
791	3.00491847E-1
588	3.02777577E-1
339	3.03010033E-1
744	3.03097952E-1
79	3.03505962E-1
933	3.03584121E-1
878	3.03981612E-1
829	3.05459774E-1
503	3.06407543E-1
564	3.06470265E-1
971	3.06725759E-1
467	3.07675097E-1
385	3.0868615E-1
427	3.10646362E-1
174	3.11885507E-1
55	3.13172084E-1
264	3.1369493E-1
485	3.14861096E-1
690	3.1611458E-1
455	3.1674758E-1
363	3.17847479E-1
271	3.18360837E-1
406	3.2032094E-1
136	3.20447431E-1
892	3.21464872E-1
1005	3.21759649E-1
411	3.25623302E-1
496	3.26904345E-1
107	3.27103432E-1
13	3.2774857E-1
383	3.2789781E-1
576	3.29543638E-1
279	3.30101386E-1
201	3.30554052E-1
908	3.32105043E-1
999	3.3333265E-1
764	3.34189713E-1
325	3.34708379E-1
925	3.35507235E-1
59	3.36092975E-1
223	3.36762171E-1
211	3.37982032E-1
558	3.38272602E-1
468	3.39226368E-1
323	3.3952315E-1
525	3.42597312E-1
508	3.43262373E-1
352	3.43741815E-1
74	3.45114771E-1
736	3.45505664E-1
516	3.4586582E-1
351	3.46834285E-1
510	3.47913352E-1
849	3.48173056E-1
47	3.48370214E-1
555	3.48586424E-1
105	3.50264181E-1
657	3.50424868E-1
974	3.51302736E-1
167	3.53559501E-1
907	3.56431277E-1
673	3.56628429E-1
340	3.56934506E-1
67	3.57157007E-1
77	3.57250213E-1
661	3.58159735E-1
139	3.58894356E-1
566	3.59077355E-1
405	3.59982668E-1
123	3.61068668E-1
11	3.61374741E-1
506	3.61559809E-1
421	3.61986605E-1
585	3.62882747E-1
813	3.63311432E-1
221	3.63954269E-1
17	3.64881003E-1
404	3.64892411E-1
420	3.66180346E-1
712	3.6809925E-1
270	3.68465585E-1
778	3.69284496E-1
69	3.71058785E-1
633	3.71229865E-1
430	3.73245253E-1
613	3.74409468E-1
85	3.74776374E-1
238	3.76097229E-1
873	3.79064847E-1
442	3.79210767E-1
1	3.79251536E-1
726	3.79445386E-1
808	3.80044709E-1
770	3.80577667E-1
127	3.82477567E-1
179	3.83421833E-1
695	3.83526222E-1
761	3.83593349E-1
612	3.84692976E-1
872	3.8512297E-1
488	3.8620817E-1
308	3.87164985E-1
502	3.88415497E-1
915	3.91352312E-1
959	3.91870253E-1
98	3.91918894E-1
157	3.93921957E-1
865	3.94038727E-1
575	3.97452319E-1
377	3.99237321E-1
559	4.01026809E-1
600	4.01521244E-1
390	4.03770688E-1
60	4.03866887E-1
57	4.04605907E-1
259	4.05308514E-1
788	4.05830018E-1
132	4.05861957E-1
526	4.07720287E-1
930	4.0825459E-1
645	4.09333623E-1
851	4.09695617E-1
250	4.10858701E-1
80	4.10931441E-1
155	4.11422625E-1
170	4.12192883E-1
656	4.12723383E-1
319	4.14367478E-1
246	4.14648386E-1
165	4.15454052E-1
31	4.16810073E-1
794	4.177614E-1
683	4.18348114E-1
709	4.20663208E-1
540	4.22575776E-1
862	4.2607572E-1
423	4.26404688E-1
828	4.2720326E-1
582	4.2810401E-1
988	4.29704962E-1
937	4.31292871E-1
998	4.31708631E-1
303	4.32050719E-1
1000	4.32481927E-1
801	4.33785156E-1
422	4.35302082E-1
652	4.36775E-1
266	4.3891374E-1
243	4.41409924E-1
296	4.43126977E-1
237	4.43608415E-1
177	4.43629804E-1
741	4.4709068E-1
133	4.47262248E-1
306	4.47970741E-1
793	4.48299934E-1
982	4.52198971E-1
927	4.5257569E-1
108	4.54083724E-1
121	4.55050446E-1
926	4.56323182E-1
454	4.57115309E-1
495	4.59380403E-1
844	4.59892579E-1
273	4.6033994E-1
276	4.60752052E-1
125	4.60991264E-1
154	4.63681551E-1
461	4.64423161E-1
986	4.65133137E-1
492	4.65142374E-1
56	4.71426394E-1
1013	4.71692956E-1
723	4.73449316E-1
235	4.73653165E-1
354	4.7390555E-1
765	4.75052184E-1
281	4.76036928E-1
1017	4.76939807E-1
711	4.7807753E-1
608	4.78665425E-1
218	4.78898318E-1
52	4.7958509E-1
356	4.79600562E-1
476	4.80722275E-1
27	4.80812857E-1
135	4.82019788E-1
228	4.83959654E-1
779	4.83966951E-1
669	4.84833805E-1
304	4.85168933E-1
554	4.8646742E-1
955	4.86490719E-1
494	4.8888505E-1
20	4.89033082E-1
152	4.90674562E-1
194	4.91078663E-1
130	4.91920654E-1
124	4.94692313E-1
810	4.96174255E-1
313	5.00267115E-1
100	5.01763448E-1
473	5.02207138E-1
75	5.03514253E-1
58	5.04020417E-1
81	5.0441641E-1
609	5.05021917E-1
852	5.05809413E-1
205	5.06426228E-1
836	5.073656E-1
583	5.08280368E-1
964	5.08321765E-1
837	5.08367798E-1
330	5.08638351E-1
248	5.09372095E-1
857	5.09902579E-1
198	5.10758884E-1
362	5.11860195E-1
230	5.1315708E-1
670	5.13433492E-1
889	5.13853374E-1
70	5.15400043E-1
187	5.15754545E-1
393	5.16128066E-1
523	5.16944847E-1
