Name	chi2Pvalue
928	8.00620603E-4
8	1.98232024E-3
45	4.14329708E-3
894	5.11336778E-3
888	6.48252504E-3
374	6.8644186E-3
30	7.03454188E-3
198	8.74660573E-3
433	9.4027403E-3
992	1.1406286E-2
263	1.16151921E-2
238	1.22314145E-2
740	1.30586862E-2
706	1.33189482E-2
922	1.35017937E-2
858	1.36775154E-2
74	1.58418759E-2
775	1.70025555E-2
665	1.81747761E-2
429	1.902264E-2
774	2.29549364E-2
334	2.38186158E-2
236	2.72360437E-2
860	2.81772533E-2
495	2.83424974E-2
963	2.83800589E-2
320	2.84835512E-2
778	2.87830053E-2
119	2.9957322E-2
664	3.11875373E-2
402	3.30400866E-2
777	3.34694266E-2
250	3.3892051E-2
456	3.39601899E-2
542	3.4059282E-2
285	3.45098876E-2
649	3.45210278E-2
436	3.54297313E-2
266	3.66576872E-2
57	3.81461693E-2
519	3.85630146E-2
75	3.89820567E-2
380	3.90680855E-2
270	3.99133037E-2
603	4.00049322E-2
186	4.14390497E-2
479	4.29542325E-2
925	4.3053224E-2
817	4.49760816E-2
783	4.54049415E-2
688	4.95548533E-2
37	4.99391236E-2
12	5.19367335E-2
377	5.32877659E-2
829	5.51347083E-2
527	5.63548456E-2
300	5.81315499E-2
173	5.84107991E-2
595	5.88644799E-2
879	6.02889144E-2
349	6.14985253E-2
92	6.19403931E-2
82	6.309804E-2
814	6.37912328E-2
29	6.43580505E-2
582	6.4898182E-2
292	6.50863797E-2
794	6.5449353E-2
187	6.69426503E-2
676	6.72411783E-2
727	6.77481306E-2
460	6.86734546E-2
231	6.95476428E-2
791	7.16931016E-2
807	7.18526505E-2
400	7.40157262E-2
3	7.63218635E-2
981	7.72626253E-2
14	8.25747244E-2
316	8.28638606E-2
55	8.31088672E-2
252	8.43416997E-2
120	8.62247597E-2
785	8.68039592E-2
744	8.70068143E-2
467	8.75100675E-2
418	8.79572456E-2
83	8.82675072E-2
781	8.86760912E-2
147	8.92315763E-2
625	8.9717142E-2
461	9.14239142E-2
698	9.21273036E-2
303	9.26532847E-2
1	9.26906569E-2
43	9.3053326E-2
646	9.32883428E-2
352	9.35418135E-2
415	9.45987871E-2
769	9.5329811E-2
690	9.62041201E-2
305	9.81109317E-2
596	9.88981734E-2
718	9.95789279E-2
552	1.01114857E-1
656	1.01184965E-1
641	1.02799207E-1
53	1.03018613E-1
902	1.04782287E-1
652	1.06879756E-1
762	1.07041395E-1
759	1.08820101E-1
508	1.09561204E-1
243	1.10476814E-1
282	1.11481804E-1
385	1.14132414E-1
301	1.14383072E-1
206	1.15838659E-1
538	1.18639715E-1
953	1.18733503E-1
148	1.19873036E-1
6	1.22391022E-1
246	1.22949998E-1
313	1.23572815E-1
306	1.24328506E-1
344	1.24772294E-1
348	1.25078944E-1
607	1.2601636E-1
766	1.26528674E-1
970	1.27289379E-1
940	1.27846839E-1
562	1.29093637E-1
808	1.3205114E-1
48	1.32606045E-1
938	1.32618039E-1
4	1.33587347E-1
823	1.36225551E-1
142	1.36485417E-1
683	1.3783706E-1
104	1.3932166E-1
968	1.39344139E-1
686	1.40122641E-1
1001	1.40362343E-1
637	1.43300462E-1
704	1.43520597E-1
227	1.44606133E-1
21	1.47407058E-1
522	1.47909641E-1
514	1.50181685E-1
1006	1.50549437E-1
548	1.52110513E-1
861	1.52259143E-1
742	1.53842101E-1
499	1.54806353E-1
919	1.55038327E-1
703	1.55217276E-1
917	1.56365654E-1
389	1.56511081E-1
56	1.57584832E-1
91	1.57622125E-1
93	1.58657377E-1
622	1.60577067E-1
17	1.61304253E-1
428	1.61517672E-1
212	1.61868645E-1
812	1.63234008E-1
