Name	chi2Pvalue
206	1.40387387E-3
451	2.80851405E-3
591	4.03834218E-3
823	4.08803226E-3
705	4.86709503E-3
103	5.08369146E-3
363	5.60869211E-3
295	6.83562917E-3
1006	6.96691242E-3
435	8.26348923E-3
1004	1.03704938E-2
316	1.04185268E-2
160	1.24936524E-2
142	1.31681237E-2
106	1.40178016E-2
777	1.50737449E-2
257	1.51020088E-2
343	1.63561983E-2
84	1.68375897E-2
572	1.81818621E-2
894	1.94667143E-2
444	2.05202822E-2
426	2.1013668E-2
865	2.51665823E-2
481	2.52285108E-2
300	2.54328946E-2
919	2.54381312E-2
38	2.66916841E-2
583	2.7558292E-2
778	2.76191985E-2
122	2.84772421E-2
497	2.96255178E-2
391	2.96358271E-2
853	3.01348517E-2
431	3.60784898E-2
449	3.62811096E-2
521	3.67598793E-2
510	3.75934314E-2
110	3.78980251E-2
568	4.02055752E-2
542	4.29809845E-2
763	4.33694523E-2
642	4.40222047E-2
765	4.49839305E-2
487	4.67207731E-2
114	4.81688019E-2
373	4.84537002E-2
412	4.90615858E-2
105	4.96326988E-2
715	5.04983947E-2
12	5.09134941E-2
467	5.09140631E-2
627	5.16950727E-2
250	5.32906136E-2
706	5.43154711E-2
640	5.49208651E-2
344	5.83208819E-2
955	5.96871228E-2
545	6.1334617E-2
153	6.193191E-2
419	6.2764065E-2
799	6.55086564E-2
838	6.68962782E-2
979	6.94482704E-2
983	6.98050424E-2
924	7.22078696E-2
985	7.4288831E-2
54	7.49512073E-2
457	7.53402038E-2
76	7.5607667E-2
802	7.58932574E-2
610	7.60170307E-2
928	7.60829329E-2
626	7.7628404E-2
637	7.8137931E-2
1005	8.00175812E-2
881	8.04545217E-2
278	8.08320239E-2
219	8.10220249E-2
791	8.15272773E-2
750	8.29799004E-2
552	8.3332168E-2
793	8.3488962E-2
586	8.52367261E-2
163	8.57811708E-2
172	8.6058095E-2
319	8.80539376E-2
503	8.86969899E-2
780	9.02367418E-2
367	9.08241337E-2
648	9.18499081E-2
82	9.24514614E-2
111	9.30505363E-2
746	9.53033599E-2
158	9.58142698E-2
243	9.60589669E-2
249	9.74606516E-2
489	9.76629415E-2
952	9.85427736E-2
201	9.89859403E-2
360	9.99464114E-2
954	1.00072607E-1
468	1.00307602E-1
520	1.00801159E-1
731	1.01716457E-1
71	1.02220412E-1
958	1.032156E-1
733	1.0583104E-1
284	1.07334399E-1
268	1.08817553E-1
434	1.09428446E-1
584	1.10084388E-1
390	1.10147719E-1
500	1.11124629E-1
817	1.12039347E-1
72	1.12798846E-1
638	1.13458221E-1
734	1.1414061E-1
112	1.15252324E-1
90	1.15820163E-1
606	1.16229901E-1
547	1.16886868E-1
883	1.17277999E-1
833	1.17340076E-1
331	1.18676814E-1
506	1.18701639E-1
465	1.19605925E-1
782	1.20877399E-1
233	1.2426672E-1
3	1.25131732E-1
1002	1.27599456E-1
443	1.27794134E-1
543	1.2896799E-1
697	1.30290955E-1
992	1.31408662E-1
325	1.34050327E-1
471	1.3831957E-1
214	1.39202899E-1
263	1.39320398E-1
231	1.41040929E-1
824	1.45021117E-1
382	1.45048862E-1
270	1.45160779E-1
420	1.45214561E-1
384	1.45445063E-1
692	1.4605362E-1
939	1.47673067E-1
256	1.49715828E-1
102	1.5023912E-1
403	1.50268351E-1
52	1.5146002E-1
335	1.51854595E-1
829	1.55293507E-1
143	1.56592474E-1
679	1.57189685E-1
396	1.57579937E-1
895	1.59234308E-1
682	1.59489733E-1
473	1.60169585E-1
613	1.62504311E-1
960	1.66327234E-1
239	1.67021908E-1
427	1.6826909E-1
376	1.71147042E-1
533	1.73192268E-1
651	1.73239536E-1
837	1.74048949E-1
329	1.76827581E-1
2	1.78973186E-1
92	1.79106801E-1
197	1.79189046E-1
639	1.79353915E-1
66	1.79756819E-1
352	1.81252943E-1
1017	1.81534377E-1
907	1.8243191E-1
279	1.82830061E-1
1009	1.83207422E-1
377	1.83214339E-1
641	1.85040087E-1
416	1.86565905E-1
670	1.87027825E-1
657	1.87030724E-1
527	1.87682646E-1
375	1.88509113E-1
851	1.89141576E-1
501	1.89387139E-1
187	1.89388044E-1
876	1.91947966E-1
899	1.93930061E-1
729	1.94057872E-1
576	1.94848653E-1
875	1.95658827E-1
271	1.9597611E-1
678	1.97192423E-1
167	2.00474698E-1
254	2.02929026E-1
474	2.02983374E-1
215	2.03858652E-1
286	2.0455297E-1
413	2.05032186E-1
338	2.05607326E-1
751	2.06800476E-1
199	2.0704082E-1
1007	2.11921771E-1
317	2.13975842E-1
362	2.1529823E-1
310	2.15710227E-1
79	2.15996725E-1
165	2.17352977E-1
625	2.18886334E-1
690	2.18937728E-1
353	2.21184252E-1
761	2.24130334E-1
522	2.24670433E-1
255	2.24762029E-1
211	2.25504327E-1
78	2.2659643E-1
477	2.2897394E-1
546	2.30640992E-1
766	2.31486602E-1
702	2.32180532E-1
41	2.32734608E-1
104	2.33023096E-1
323	2.33472013E-1
740	2.34246951E-1
549	2.34355591E-1
277	2.35115537E-1
275	2.36134818E-1
654	2.36342427E-1
623	2.37467755E-1
710	2.37712768E-1
931	2.41079556E-1
969	2.41846987E-1
191	2.43617625E-1
241	2.44859516E-1
502	2.4546988E-1
887	2.45516978E-1
430	2.46746573E-1
878	2.48139239E-1
404	2.48859236E-1
318	2.49850505E-1
905	2.50478695E-1
441	2.50676253E-1
754	2.51394085E-1
370	2.52577652E-1
91	2.52772278E-1
813	2.5280304E-1
42	2.5306766E-1
820	2.53701556E-1
446	2.54932159E-1
307	2.55310409E-1
276	2.56737692E-1
436	2.57072379E-1
903	2.59518639E-1
48	2.59636509E-1
752	2.60100922E-1
322	2.63261755E-1
77	2.63912154E-1
429	2.64640895E-1
956	2.66114516E-1
297	2.66177848E-1
925	2.66353959E-1
194	2.66502803E-1
932	2.70021666E-1
135	2.71023008E-1
494	2.71972925E-1
889	2.72419408E-1
388	2.73389211E-1
856	2.73652012E-1
19	2.7453717E-1
86	2.77231428E-1
646	2.77943656E-1
554	2.7813014E-1
962	2.78839587E-1
184	2.79317177E-1
526	2.79733839E-1
902	2.81641295E-1
923	2.82438106E-1
186	2.84134398E-1
946	2.85036119E-1
131	2.85236631E-1
458	2.86954752E-1
650	2.88116944E-1
604	2.88248852E-1
608	2.88666954E-1
35	2.90767214E-1
9	2.92411389E-1
789	2.92416047E-1
120	2.94792609E-1
632	2.95067422E-1
