Name	chi2Pvalue
928	1.06084643E-4
740	7.27738428E-4
894	1.64687397E-3
75	2.73953298E-3
8	3.62799473E-3
238	4.92213722E-3
858	5.02772957E-3
374	5.17982966E-3
888	5.95733237E-3
45	5.99712251E-3
778	6.50226373E-3
456	7.87261539E-3
320	8.08775121E-3
250	9.07848817E-3
263	9.90529608E-3
433	1.00732591E-2
30	1.27207027E-2
775	1.28728325E-2
270	1.33313514E-2
3	1.77724943E-2
198	1.8358028E-2
879	1.87987257E-2
785	1.95619871E-2
377	1.98824374E-2
706	2.02081995E-2
334	2.05625446E-2
402	2.33629388E-2
542	2.51387215E-2
514	2.57377973E-2
57	2.5784037E-2
963	2.58163827E-2
1006	2.59358895E-2
829	2.972959E-2
467	2.97491332E-2
43	3.1867448E-2
305	3.29701154E-2
625	3.3792094E-2
429	3.64117293E-2
436	3.78650801E-2
698	3.88598189E-2
914	4.03797877E-2
147	4.05126462E-2
316	4.07759232E-2
227	4.21748772E-2
992	4.42585231E-2
206	4.50966615E-2
769	4.55424602E-2
285	4.60847142E-2
694	4.62782558E-2
979	4.72162706E-2
817	4.87716875E-2
902	5.01355856E-2
935	5.03520883E-2
802	5.20791994E-2
664	5.41575465E-2
688	5.44918029E-2
566	5.60650686E-2
55	5.62261412E-2
4	6.08039713E-2
814	6.08295136E-2
53	6.10411823E-2
759	6.20665123E-2
545	6.27314715E-2
718	6.30538233E-2
92	6.33182774E-2
641	6.33437588E-2
596	6.34378455E-2
703	6.35926104E-2
269	6.37733749E-2
12	6.42458571E-2
603	6.44521787E-2
676	6.53168895E-2
236	6.85459642E-2
774	6.87408952E-2
142	6.87986015E-2
87	7.02015119E-2
595	7.04449756E-2
74	7.1007158E-2
582	7.10799225E-2
399	7.1819052E-2
808	7.25419432E-2
791	7.29613325E-2
654	7.52953483E-2
777	7.53541847E-2
185	7.53811251E-2
243	7.66412571E-2
635	7.75141894E-2
922	7.81901086E-2
400	7.96604886E-2
665	8.67520493E-2
303	8.67591953E-2
714	9.09560354E-2
415	9.10366052E-2
91	9.16734973E-2
42	9.18191941E-2
828	9.18230442E-2
173	9.24444575E-2
981	9.32913099E-2
301	9.5386585E-2
119	9.58503835E-2
807	9.60097463E-2
130	9.70894442E-2
940	9.71397056E-2
878	9.74220826E-2
317	9.95922457E-2
970	1.00080595E-1
925	1.00143071E-1
766	1.01795905E-1
302	1.02225019E-1
444	1.03189626E-1
609	1.03483312E-1
652	1.06922014E-1
389	1.0791914E-1
738	1.08744564E-1
622	1.12077369E-1
610	1.14500202E-1
552	1.15529942E-1
149	1.16763305E-1
127	1.17135775E-1
348	1.17823479E-1
938	1.18516575E-1
484	1.19828136E-1
632	1.20801112E-1
794	1.21825518E-1
721	1.24397807E-1
564	1.24948315E-1
82	1.28832481E-1
266	1.29278239E-1
37	1.29565592E-1
353	1.30839733E-1
495	1.31261566E-1
953	1.33805331E-1
541	1.34329679E-1
699	1.34507882E-1
744	1.35446808E-1
715	1.40450382E-1
519	1.40691925E-1
784	1.40728193E-1
186	1.4147948E-1
254	1.41972731E-1
728	1.44034994E-1
567	1.44573418E-1
488	1.45244198E-1
522	1.45825733E-1
411	1.46244445E-1
823	1.46813753E-1
751	1.4722245E-1
125	1.49364792E-1
345	1.49579943E-1
21	1.52288914E-1
349	1.54620218E-1
385	1.55253227E-1
244	1.55323526E-1
860	1.55332094E-1
1	1.57143505E-1
344	1.58003546E-1
231	1.58517306E-1
781	1.6266066E-1
27	1.6315731E-1
93	1.63171695E-1
787	1.63354802E-1
380	1.63390248E-1
993	1.63409216E-1
1001	1.64761891E-1
221	1.64920483E-1
695	1.65462738E-1
646	1.66611295E-1
649	1.69780489E-1
919	1.7003794E-1
41	1.76387817E-1
379	1.76906849E-1
366	1.77666463E-1
134	1.79228378E-1
83	1.79949879E-1
394	1.80102752E-1
282	1.80463807E-1
479	1.81265818E-1
634	1.8911204E-1
505	1.89118679E-1
324	1.89541727E-1
388	1.91224324E-1
275	1.91376801E-1
1017	1.91970796E-1
762	1.92027469E-1
768	1.93215015E-1
727	1.9423073E-1
570	1.95506945E-1
856	1.96662698E-1
951	1.96691971E-1
51	1.99361432E-1
315	2.00948589E-1
656	2.01066312E-1
289	2.03937305E-1
745	2.03938098E-1
783	2.05734452E-1
868	2.06913322E-1
423	2.07362471E-1
123	2.07444767E-1
440	2.09467227E-1
516	2.11155778E-1
861	2.1154414E-1
136	2.12124917E-1
562	2.13574258E-1
292	2.14392543E-1
204	2.14706886E-1
553	2.16909745E-1
674	2.17737365E-1
544	2.18286718E-1
193	2.18614656E-1
499	2.20542742E-1
114	2.21970663E-1
627	2.22012595E-1
494	2.25466399E-1
29	2.25892221E-1
1000	2.26642552E-1
