Name	chi2Pvalue
928	3.25411828E-4
894	4.54672975E-4
802	9.23029524E-4
778	9.50042332E-4
740	1.17495899E-3
75	2.19022436E-3
467	4.90163396E-3
30	5.64211147E-3
1006	6.61551797E-3
270	7.06721924E-3
142	7.08030201E-3
858	8.91823886E-3
829	9.81330099E-3
377	1.22123052E-2
514	1.23429691E-2
919	1.36245221E-2
823	1.47336632E-2
12	1.50773236E-2
433	1.62277497E-2
777	1.73222337E-2
610	2.0163274E-2
250	2.15074966E-2
8	2.20060821E-2
545	2.28283737E-2
935	2.44368187E-2
103	2.53731581E-2
238	2.56194215E-2
206	2.75912524E-2
227	2.80768709E-2
4	2.91677644E-2
637	2.92405765E-2
688	2.94826182E-2
435	3.07045963E-2
705	3.19115618E-2
706	3.34932552E-2
426	3.46800052E-2
316	3.75820068E-2
791	3.77435691E-2
881	3.80903525E-2
444	3.84401944E-2
552	3.91812841E-2
317	4.23971174E-2
766	4.24756364E-2
510	4.56932398E-2
865	4.80508978E-2
353	4.8149963E-2
586	4.9665447E-2
963	4.97269687E-2
457	5.10260399E-2
917	5.11487517E-2
946	5.13536708E-2
542	5.16224869E-2
695	5.24132145E-2
295	5.33468836E-2
519	5.43023385E-2
769	5.47872203E-2
41	5.57725713E-2
43	5.62955611E-2
979	5.77341995E-2
343	5.91937369E-2
3	6.07274535E-2
123	6.10594198E-2
131	6.27094296E-2
686	6.31196229E-2
54	6.36973937E-2
833	6.37551239E-2
879	6.41955063E-2
307	6.47445362E-2
198	6.73615352E-2
221	6.81383851E-2
765	6.972298E-2
604	7.02663225E-2
902	7.58447518E-2
567	7.71736258E-2
338	7.82755732E-2
924	7.93285251E-2
79	7.99999287E-2
759	8.13704302E-2
300	8.1426843E-2
420	8.23808647E-2
676	8.32388244E-2
785	8.37276501E-2
276	8.41814497E-2
45	8.43580698E-2
275	8.68525821E-2
508	8.81547367E-2
257	8.92346259E-2
231	8.98143063E-2
320	9.02904681E-2
481	9.18293221E-2
870	9.22727709E-2
499	9.30303308E-2
347	9.44276346E-2
914	9.51958605E-2
277	9.53081772E-2
572	9.54093721E-2
399	9.5746563E-2
543	9.67630138E-2
731	9.73208896E-2
87	9.83752139E-2
57	9.84550139E-2
698	9.86832921E-2
729	1.0002078E-1
249	1.01232348E-1
129	1.01292409E-1
964	1.01482774E-1
352	1.01722591E-1
679	1.018827E-1
456	1.02106747E-1
932	1.02918764E-1
268	1.04033883E-1
