Name	chi2Pvalue
260	2.09939341E-7
760	1.38841542E-4
105	1.45753189E-3
238	1.68074913E-3
743	2.4822273E-3
107	3.09174183E-3
142	3.74712706E-3
823	4.43260426E-3
501	4.76980569E-3
953	6.81311568E-3
793	7.77502068E-3
849	8.88506238E-3
114	9.29393401E-3
538	9.91492971E-3
48	1.15525461E-2
415	1.15980055E-2
277	1.32399021E-2
575	1.32450385E-2
865	1.48349877E-2
144	1.52979314E-2
753	1.54873358E-2
516	1.63060331E-2
403	1.69024422E-2
571	1.73805764E-2
344	1.76262826E-2
51	1.95158944E-2
815	1.95684636E-2
262	1.97102638E-2
686	2.77904403E-2
459	2.83237675E-2
946	2.92427334E-2
691	2.96155339E-2
584	2.96782298E-2
123	3.20856027E-2
173	3.34475514E-2
377	3.44601328E-2
381	3.51833596E-2
818	3.65282327E-2
569	3.73597071E-2
587	3.76372667E-2
987	3.8733961E-2
763	3.88312557E-2
212	3.96239048E-2
69	4.02599314E-2
271	4.18813071E-2
637	4.21148436E-2
603	4.39390057E-2
617	4.43124757E-2
938	4.56853606E-2
245	4.63589107E-2
100	4.68615884E-2
792	4.72005053E-2
233	4.80883273E-2
705	4.83830949E-2
392	4.84044182E-2
912	4.8405783E-2
673	4.91348255E-2
517	4.94292664E-2
28	5.00358444E-2
802	5.16893016E-2
176	5.46376197E-2
725	5.60057772E-2
745	5.9191144E-2
964	5.99465989E-2
900	6.34965259E-2
256	6.52303191E-2
622	6.65023827E-2
879	6.67440841E-2
405	6.73306625E-2
319	6.79590909E-2
878	6.9046517E-2
284	6.92146314E-2
17	7.02690911E-2
604	7.07792427E-2
873	7.12740299E-2
183	7.63780822E-2
638	7.85561031E-2
881	8.01093897E-2
889	8.22117863E-2
738	8.24179721E-2
101	8.31620479E-2
618	8.65877116E-2
286	8.71343163E-2
122	8.7592432E-2
647	8.91949762E-2
490	8.97822855E-2
248	9.04962193E-2
400	9.27962948E-2
529	9.37009071E-2
971	9.38969334E-2
395	9.42346832E-2
735	9.44678933E-2
839	9.54804989E-2
452	9.8918355E-2
581	1.0219109E-1
1020	1.0297591E-1
97	1.0309177E-1
182	1.03388563E-1
650	1.03938851E-1
420	1.05476449E-1
658	1.06373818E-1
491	1.06469526E-1
833	1.07849533E-1
83	1.08431775E-1
213	1.08467088E-1
24	1.08866703E-1
389	1.12073074E-1
471	1.12303505E-1
1008	1.13321203E-1
376	1.1447663E-1
465	1.15339522E-1
317	1.16923298E-1
909	1.18199273E-1
244	1.20101295E-1
554	1.20424976E-1
196	1.20607302E-1
110	1.21277698E-1
145	1.23209714E-1
