Name	chi2Pvalue
760	2.36041004E-6
260	1.90697189E-4
392	2.69503444E-4
768	1.43048884E-3
844	1.95421001E-3
959	1.97945321E-3
753	3.55297694E-3
170	3.76143011E-3
884	5.94036607E-3
938	6.03337645E-3
142	6.39480109E-3
327	6.95194489E-3
114	8.16365907E-3
754	9.38426867E-3
381	1.12281504E-2
105	1.14655983E-2
604	1.1683574E-2
223	1.26783097E-2
553	1.42862398E-2
740	1.57456757E-2
784	1.60958061E-2
976	1.81097621E-2
256	2.03264737E-2
875	2.16823126E-2
705	2.19189413E-2
207	2.22639378E-2
370	2.42755806E-2
503	3.04093385E-2
809	3.08565631E-2
743	3.16576448E-2
802	3.17509267E-2
629	3.18098135E-2
728	3.31686074E-2
404	3.41718596E-2
415	3.62501831E-2
182	3.65592852E-2
816	3.69623603E-2
928	4.06829406E-2
881	4.2684232E-2
939	4.4651523E-2
756	4.73170242E-2
831	4.7720094E-2
611	4.88591164E-2
311	4.99092977E-2
443	5.06722218E-2
301	5.22631526E-2
177	5.36459274E-2
588	5.40362248E-2
953	5.59772848E-2
909	5.69858252E-2
982	5.73406441E-2
748	5.76065697E-2
987	5.77299427E-2
835	5.79416128E-2
676	6.03496282E-2
34	6.82613979E-2
64	7.00578991E-2
692	7.00718563E-2
264	7.11669296E-2
194	7.13637795E-2
747	7.18657556E-2
869	7.42874677E-2
797	7.43858465E-2
823	7.46473625E-2
265	7.51614116E-2
926	7.53856418E-2
641	7.81664097E-2
276	7.88515465E-2
46	7.96346999E-2
399	7.96486801E-2
518	8.07189226E-2
491	8.37026894E-2
891	8.39885497E-2
206	8.40682398E-2
723	8.51796323E-2
81	8.8337469E-2
876	8.93394963E-2
634	9.26981563E-2
238	9.33355186E-2
339	9.61185051E-2
458	9.61952026E-2
675	9.64504515E-2
252	9.68630233E-2
562	9.9384852E-2
836	1.00602963E-1
635	1.01396021E-1
622	1.0218255E-1
350	1.05287461E-1
20	1.05768745E-1
28	1.06165131E-1
911	1.0880088E-1
48	1.11987215E-1
0	1.12363644E-1
570	1.13925352E-1
77	1.15730943E-1
609	1.16513949E-1
625	1.16888992E-1
341	1.18422142E-1
349	1.20985777E-1
277	1.21299092E-1
758	1.22965478E-1
204	1.24388788E-1
727	1.24649326E-1
450	1.25615232E-1
191	1.26184537E-1
699	1.30313664E-1
255	1.30750196E-1
413	1.3155431E-1
72	1.31953496E-1
967	1.32103565E-1
189	1.3332622E-1
599	1.33541077E-1
712	1.33803129E-1
330	1.36393714E-1
273	1.36875531E-1
380	1.38125389E-1
385	1.38459307E-1
667	1.39621021E-1
451	1.39902171E-1
730	1.41479685E-1
575	1.4194277E-1
556	1.42851318E-1
931	1.43727897E-1
157	1.4374516E-1
746	1.43772361E-1
176	1.43908906E-1
16	1.449521E-1
436	1.46075033E-1
979	1.47275562E-1
583	1.47593771E-1
453	1.47719921E-1
371	1.48522532E-1
854	1.52387174E-1
210	1.53000757E-1
111	1.54903651E-1
196	1.5608469E-1
246	1.57676813E-1
269	1.58407856E-1
479	1.58752998E-1
826	1.59505887E-1
849	1.60628895E-1
140	1.61626674E-1
101	1.61777337E-1
133	1.63968193E-1
731	1.65106695E-1
917	1.6575942E-1
661	1.65914125E-1
684	1.66256696E-1
540	1.67218602E-1
3	1.67986576E-1
678	1.68070006E-1
180	1.68198257E-1
218	1.69398612E-1
828	1.69643239E-1
566	1.70108159E-1
520	1.70705571E-1
627	1.70818093E-1
360	1.73738669E-1
1010	1.73921275E-1
84	1.75989675E-1
1008	1.76177088E-1
481	1.77907839E-1
418	1.78116257E-1
79	1.78490124E-1
581	1.785202E-1
578	1.78691416E-1
469	1.80578988E-1
707	1.81908578E-1
299	1.82464954E-1
87	1.83014816E-1
135	1.84577823E-1
582	1.85415067E-1
696	1.86476726E-1
213	1.86715903E-1
485	1.86753162E-1
963	1.86988307E-1
286	1.87433973E-1
595	1.88023965E-1
793	1.89097527E-1
473	1.89907821E-1
100	1.9322259E-1
52	1.93760121E-1
775	1.94855362E-1
416	1.95980233E-1
347	1.96031588E-1
106	1.98263027E-1
221	1.98639723E-1
587	2.00552816E-1
993	2.00622227E-1
431	2.01683821E-1
685	2.02896122E-1
94	2.03318342E-1
713	2.04716701E-1
975	2.05313208E-1
808	2.09249383E-1
798	2.09432986E-1
253	2.09681263E-1
477	2.10066979E-1
63	2.10165431E-1
501	2.12001008E-1
136	2.12253586E-1
996	2.133809E-1
695	2.13453254E-1
103	2.18362564E-1
900	2.18673771E-1
885	2.18689819E-1
697	2.21746188E-1
430	2.22196558E-1
456	2.29186344E-1
284	2.29242866E-1
403	2.30698403E-1
406	2.30723588E-1
923	2.31500702E-1
1000	2.32498646E-1
40	2.34135466E-1
5	2.35309222E-1
232	2.38452434E-1
361	2.39558458E-1
735	2.39913008E-1
30	2.40773918E-1
968	2.41523258E-1
374	2.42378964E-1
531	2.42723619E-1
825	2.43113413E-1
962	2.44353329E-1
642	2.45127247E-1
558	2.46916278E-1
919	2.47417313E-1
183	2.48228605E-1
499	2.49018842E-1
862	2.49938282E-1
36	2.50643042E-1
580	2.50813611E-1
788	2.52215671E-1
859	2.52894276E-1
750	2.53276237E-1
1012	2.54971228E-1
471	2.56014318E-1
83	2.56046233E-1
864	2.56631247E-1
652	2.58478008E-1
579	2.58895856E-1
861	2.60349692E-1
1013	2.61114156E-1
467	2.6209518E-1
214	2.62505424E-1
184	2.62689127E-1
837	2.62713555E-1
227	2.63241997E-1
951	2.63434734E-1
729	2.63771712E-1
856	2.65216974E-1
719	2.67493797E-1
981	2.68748953E-1
368	2.69696496E-1
310	2.69784011E-1
776	2.71009332E-1
242	2.71644277E-1
672	2.71848323E-1
