Name	chi2Pvalue
760	4.09173576E-6
260	5.09821539E-6
105	1.48938254E-4
768	4.59567007E-4
881	9.75198189E-4
392	1.02337082E-3
381	1.02452783E-3
728	2.054376E-3
844	2.07594089E-3
743	3.2672435E-3
959	3.70813043E-3
327	4.94306078E-3
170	7.59634149E-3
696	9.27588651E-3
370	9.31645283E-3
953	9.45387751E-3
900	9.48637697E-3
938	9.86146603E-3
753	1.06356083E-2
884	1.2997227E-2
415	1.47875678E-2
443	1.51556303E-2
256	1.93501213E-2
142	2.07400879E-2
784	2.14226203E-2
754	2.17643894E-2
301	2.18020037E-2
553	2.23541831E-2
273	2.62567523E-2
218	2.63978435E-2
28	2.84909495E-2
634	2.95110915E-2
503	2.97016281E-2
802	3.05273242E-2
262	3.35306083E-2
705	3.36474868E-2
823	3.36997814E-2
622	3.43645733E-2
194	3.46595176E-2
311	3.5331558E-2
740	3.71706572E-2
140	3.76781631E-2
676	4.02130381E-2
84	4.07586881E-2
182	4.49102411E-2
284	4.51125652E-2
350	4.80545627E-2
405	4.96172462E-2
277	4.99621435E-2
227	5.14832336E-2
699	5.15578181E-2
212	5.16343081E-2
835	5.1646476E-2
815	5.16827118E-2
928	5.27112633E-2
735	5.41292876E-2
93	5.45606676E-2
876	5.61225311E-2
385	5.6331026E-2
456	5.88382679E-2
723	6.14278561E-2
114	6.14718769E-2
869	6.16541154E-2
64	6.27480159E-2
625	6.36688118E-2
223	6.37322994E-2
491	6.45457829E-2
963	6.48317558E-2
854	6.73055158E-2
692	6.81741817E-2
878	6.83412049E-2
347	6.87921668E-2
926	7.19683255E-2
276	7.31571922E-2
987	7.31921407E-2
831	7.55525773E-2
238	7.56016519E-2
265	7.57324958E-2
399	7.59301928E-2
818	7.6990091E-2
946	7.79978568E-2
520	7.9382396E-2
919	7.96016849E-2
816	8.21370955E-2
651	8.23909294E-2
782	8.3321803E-2
798	8.36385308E-2
46	8.3664094E-2
875	8.58834733E-2
79	8.67625797E-2
189	8.90358555E-2
826	8.9730576E-2
588	9.04944942E-2
976	9.14722529E-2
34	9.20478104E-2
497	9.23915541E-2
436	9.27957066E-2
849	9.33973898E-2
253	9.5324186E-2
101	9.66922026E-2
909	9.72274835E-2
570	9.93345321E-2
161	9.97265748E-2
635	1.01024136E-1
837	1.02529318E-1
413	1.02796465E-1
836	1.03960179E-1
252	1.04216991E-1
349	1.07128645E-1
235	1.07508602E-1
629	1.08321561E-1
939	1.10216985E-1
715	1.10366615E-1
246	1.10907128E-1
641	1.13140064E-1
660	1.13746251E-1
467	1.14300591E-1
430	1.18627152E-1
136	1.20642116E-1
643	1.21581989E-1
684	1.22655482E-1
587	1.22937739E-1
20	1.23245387E-1
404	1.24565241E-1
157	1.24613567E-1
891	1.29745407E-1
787	1.29898577E-1
24	1.315572E-1
107	1.33478001E-1
675	1.33673637E-1
135	1.3768887E-1
864	1.37812133E-1
894	1.38308413E-1
221	1.38942627E-1
838	1.39705714E-1
995	1.40209651E-1
3	1.42110855E-1
685	1.42314608E-1
518	1.42322031E-1
344	1.42659226E-1
479	1.42774375E-1
756	1.46037474E-1
865	1.47806999E-1
562	1.48140901E-1
979	1.49276253E-1
87	1.51752218E-1
669	1.52965908E-1
583	1.53977095E-1
982	1.54423665E-1
779	1.54657664E-1
453	1.54735589E-1
667	1.54965181E-1
269	1.56869706E-1
990	1.57664877E-1
299	1.58315924E-1
695	1.58555028E-1
353	1.59581753E-1
255	1.59770448E-1
468	1.60210791E-1
274	1.61542693E-1
540	1.61989935E-1
954	1.62873327E-1
712	1.62991566E-1
103	1.63773116E-1
556	1.6462188E-1
431	1.70552152E-1
731	1.70910782E-1
748	1.73839E-1
177	1.74682559E-1
517	1.74965566E-1
912	1.75383591E-1
88	1.7583229E-1
458	1.75843254E-1
642	1.76852201E-1
627	1.77200925E-1
176	1.77263502E-1
207	1.78308361E-1
961	1.78429359E-1
828	1.80839117E-1
558	1.81351328E-1
208	1.83263562E-1
526	1.84976171E-1
239	1.85342682E-1
637	1.85427177E-1
672	1.85902303E-1
352	1.86853107E-1
913	1.88078704E-1
554	1.89081041E-1
433	1.90262132E-1
210	1.90643244E-1
133	1.91276237E-1
790	1.91324192E-1
501	1.92612536E-1
734	1.94988124E-1
389	2.01194233E-1
0	2.01519665E-1
730	2.02418779E-1
571	2.02533227E-1
119	2.03171118E-1
429	2.05040271E-1
578	2.05817391E-1
264	2.05983381E-1
870	2.09138152E-1
