Name	chi2Pvalue
260	1.45028895E-6
881	8.93195257E-5
760	3.01351153E-4
142	2.55731929E-3
953	4.64980812E-3
706	5.54249102E-3
696	6.32615844E-3
743	9.34182967E-3
381	9.58379238E-3
131	1.01314269E-2
629	1.20509003E-2
695	1.20734291E-2
135	1.27986406E-2
418	1.44688485E-2
768	1.51489944E-2
802	1.61215376E-2
964	1.76986476E-2
270	1.93403713E-2
238	2.00343793E-2
353	2.03262206E-2
105	2.10725061E-2
938	2.19652431E-2
962	2.3022726E-2
581	2.36731805E-2
256	2.36938719E-2
103	2.40287587E-2
48	2.4184211E-2
407	2.45890399E-2
114	2.64728808E-2
849	2.80349538E-2
501	2.9551033E-2
176	3.04184395E-2
642	3.07795454E-2
854	3.13135943E-2
663	3.14913297E-2
286	3.32984547E-2
826	3.41757096E-2
603	3.6094943E-2
928	3.62853921E-2
83	3.88974053E-2
392	3.94069076E-2
117	4.17945182E-2
116	4.51208714E-2
584	4.53012036E-2
753	4.58564224E-2
747	4.59288301E-2
213	4.59967418E-2
517	4.65333045E-2
728	4.6850923E-2
5	4.76307248E-2
87	4.92865485E-2
676	5.12295343E-2
604	5.55574138E-2
658	5.67278074E-2
533	5.70475361E-2
740	5.77236905E-2
160	5.81364635E-2
647	5.84624173E-2
765	5.97138368E-2
618	6.02055605E-2
420	6.08191792E-2
651	6.12572873E-2
571	6.18374384E-2
883	6.19145116E-2
664	6.33187468E-2
684	6.41134831E-2
96	6.47060725E-2
553	6.52461331E-2
745	6.58253355E-2
575	6.62488614E-2
459	6.75683604E-2
128	6.88826745E-2
763	6.92974733E-2
538	7.00837167E-2
111	7.05558547E-2
436	7.17379603E-2
973	7.18600634E-2
931	7.27381999E-2
218	7.51450732E-2
816	7.58550197E-2
42	7.91836642E-2
467	7.9741713E-2
987	8.16253143E-2
227	8.40643046E-2
431	8.41785755E-2
996	8.52465199E-2
699	8.55366714E-2
437	8.58519433E-2
235	8.60112331E-2
587	8.65569293E-2
744	8.67729848E-2
247	8.68765159E-2
232	8.94901886E-2
946	8.99054258E-2
981	9.15708951E-2
625	9.56319873E-2
84	9.89151771E-2
782	9.90223187E-2
145	1.00388812E-1
170	1.0215528E-1
107	1.02966765E-1
352	1.03097928E-1
101	1.03209955E-1
685	1.03255646E-1
68	1.03322094E-1
313	1.03853931E-1
144	1.03856955E-1
609	1.03882936E-1
186	1.0415538E-1
814	1.05000539E-1
3	1.05081058E-1
377	1.0712006E-1
387	1.0976405E-1
552	1.10092948E-1
490	1.10219871E-1
690	1.11294924E-1
165	1.1154154E-1
1011	1.11770609E-1
985	1.12840776E-1
864	1.14529285E-1
569	1.1580041E-1
20	1.17694684E-1
707	1.19768709E-1
220	1.22948183E-1
299	1.24321236E-1
577	1.25162117E-1
986	1.26141985E-1
30	1.26967309E-1
67	1.28939334E-1
206	1.31764506E-1
429	1.34093077E-1
118	1.35427812E-1
