Name	chi2Pvalue
760	7.58427779E-6
260	1.68494527E-5
105	3.45536851E-4
238	8.08768349E-4
743	2.07015066E-3
953	2.9087016E-3
881	4.16808681E-3
501	4.38873904E-3
114	5.17783674E-3
753	5.49672107E-3
912	5.65060275E-3
889	8.33022435E-3
823	9.04815919E-3
262	1.00087629E-2
938	1.11397731E-2
818	1.24711975E-2
686	1.3313504E-2
176	1.34534344E-2
865	1.38202692E-2
673	1.40026061E-2
695	1.67389606E-2
849	1.73792842E-2
873	2.18028733E-2
719	2.46174533E-2
396	2.50993354E-2
833	2.52684686E-2
793	2.89415759E-2
815	2.91918837E-2
526	2.94654089E-2
900	3.0560716E-2
802	3.12994692E-2
971	3.13347981E-2
239	3.41050353E-2
48	3.54994112E-2
878	3.56852791E-2
106	3.62002537E-2
525	4.00821218E-2
516	4.03708294E-2
111	4.09465719E-2
897	4.1763039E-2
401	4.20067578E-2
455	4.22690015E-2
643	4.41346316E-2
538	4.44011836E-2
326	4.52871934E-2
778	4.62773534E-2
144	4.71191414E-2
722	4.75035444E-2
461	4.97565462E-2
386	5.07905314E-2
392	5.1448771E-2
211	5.25924005E-2
584	5.46907569E-2
459	5.48923865E-2
415	5.49744194E-2
491	5.55433096E-2
311	5.57557689E-2
567	5.58832524E-2
962	5.70000439E-2
957	5.7510446E-2
850	5.82296509E-2
135	6.11683033E-2
1023	6.19496151E-2
242	6.22918182E-2
344	6.37522843E-2
140	6.3988721E-2
433	6.40447674E-2
183	6.44592783E-2
276	6.50224948E-2
104	6.53016049E-2
562	6.54188797E-2
84	6.61209553E-2
154	6.72294518E-2
669	6.72386723E-2
79	6.73738893E-2
763	6.88826609E-2
100	6.9531593E-2
618	7.13731849E-2
182	7.16961258E-2
728	7.56212979E-2
637	7.63960972E-2
913	7.69619153E-2
377	7.91031867E-2
212	7.98482587E-2
456	8.01487708E-2
1020	8.09548009E-2
221	8.24274716E-2
841	8.32465309E-2
28	8.47875387E-2
638	8.48621202E-2
787	8.75552524E-2
604	8.8964743E-2
314	9.00163889E-2
813	9.29480118E-2
600	9.30486136E-2
425	9.33238274E-2
899	9.34209554E-2
954	9.37900327E-2
705	9.40741862E-2
981	9.41231261E-2
97	9.43153837E-2
55	9.58988242E-2
407	9.78033477E-2
472	9.79524073E-2
277	9.82398559E-2
929	9.86665573E-2
792	1.00075018E-1
382	1.00908862E-1
614	1.02235465E-1
271	1.02589702E-1
506	1.03828842E-1
914	1.04392012E-1
263	1.06343054E-1
68	1.06382206E-1
539	1.07328661E-1
664	1.07391457E-1
964	1.07398996E-1
812	1.08309824E-1
429	1.08890726E-1
946	1.10921712E-1
142	1.1126218E-1
