Name	chi2Pvalue
760	6.23976517E-7
260	7.3277805E-4
238	2.04625833E-3
392	2.56075749E-3
370	2.57721875E-3
223	4.28633304E-3
938	4.43964139E-3
768	6.06808669E-3
170	6.55836862E-3
753	9.28367373E-3
217	9.98283001E-3
784	1.14412051E-2
192	1.2177817E-2
928	1.33002403E-2
503	1.40556762E-2
0	1.4335001E-2
327	1.65216E-2
754	1.6788065E-2
286	1.72031451E-2
256	1.84539322E-2
831	1.90616523E-2
456	1.96601193E-2
785	2.07651519E-2
114	2.08388979E-2
301	2.28029023E-2
157	2.30268046E-2
802	2.33713398E-2
105	2.3548996E-2
564	2.43870448E-2
429	2.44063435E-2
84	2.48454976E-2
740	2.50759595E-2
403	2.53471719E-2
994	2.57386968E-2
884	2.61517965E-2
881	2.95086908E-2
735	3.01945023E-2
101	3.21861291E-2
206	3.27926546E-2
311	3.34184418E-2
385	3.36965507E-2
253	3.41017994E-2
265	3.4284808E-2
405	3.57365369E-2
499	3.60959476E-2
813	3.64032947E-2
421	3.68173503E-2
570	3.71758956E-2
103	3.85354275E-2
471	3.85607652E-2
658	4.00995188E-2
876	4.02350605E-2
634	4.27560459E-2
250	4.33860316E-2
350	4.35418331E-2
835	4.51308784E-2
1012	4.57153168E-2
528	4.61262904E-2
788	4.7249257E-2
806	4.76234872E-2
676	4.87201748E-2
553	4.93379202E-2
117	5.12690045E-2
975	5.19783651E-2
239	5.20118461E-2
20	5.31116846E-2
581	5.33800501E-2
161	5.36459718E-2
324	5.36821211E-2
62	5.648222E-2
491	5.82170436E-2
743	5.86972446E-2
107	6.11182102E-2
224	6.11857116E-2
367	6.25146323E-2
413	6.31862155E-2
111	6.54941041E-2
959	6.64112671E-2
672	6.91100825E-2
692	6.93270411E-2
182	7.03624396E-2
599	7.26560078E-2
637	7.44636678E-2
467	7.46688533E-2
917	7.4783736E-2
642	7.65906593E-2
954	7.73324491E-2
778	7.84052182E-2
381	7.97398161E-2
264	7.99882452E-2
951	8.08212778E-2
844	8.21282809E-2
685	8.43490999E-2
879	8.45281498E-2
177	8.51359705E-2
728	8.55376349E-2
284	8.70076928E-2
196	8.80195624E-2
29	8.937788E-2
436	9.00026538E-2
380	9.01287415E-2
176	9.07685202E-2
408	9.11484553E-2
629	9.22203061E-2
443	9.3416431E-2
689	9.42219705E-2
706	9.42535444E-2
641	9.44428244E-2
953	9.71963822E-2
578	9.77270424E-2
651	9.98995113E-2
759	1.00122484E-1
145	1.00337815E-1
875	1.00807363E-1
823	1.01065737E-1
612	1.02893672E-1
423	1.06745071E-1
