Name	chi2Pvalue
760	7.73255339E-8
105	2.28340855E-4
260	6.97615868E-4
881	7.63847868E-4
768	1.78564345E-3
938	3.2457455E-3
256	3.32310025E-3
503	4.49244622E-3
743	6.14563399E-3
994	8.20212466E-3
784	8.2113922E-3
802	9.39349928E-3
658	9.8380312E-3
238	1.0987008E-2
327	1.27031483E-2
392	1.2927348E-2
84	1.33341732E-2
370	1.3712354E-2
103	1.38796301E-2
170	1.45446789E-2
753	1.64530549E-2
217	1.68983835E-2
622	1.99291559E-2
405	2.06305633E-2
239	2.07725009E-2
157	2.10269472E-2
953	2.22107488E-2
785	2.2393407E-2
634	2.26482126E-2
928	2.28307417E-2
831	2.32075539E-2
735	2.3420897E-2
192	2.47638961E-2
262	2.52223074E-2
689	3.0584255E-2
223	3.06243608E-2
813	3.07556149E-2
403	3.07874952E-2
909	3.09775358E-2
467	3.23580812E-2
114	3.51549699E-2
835	3.66975933E-2
161	3.76744183E-2
553	4.14560408E-2
876	4.20063031E-2
491	4.32639698E-2
182	4.46277571E-2
311	4.57852187E-2
754	4.62973493E-2
520	4.7297144E-2
651	4.82700602E-2
884	4.89161954E-2
253	4.92650599E-2
637	5.28683136E-2
381	5.31616902E-2
969	5.4486978E-2
284	5.52549447E-2
218	5.56982182E-2
117	5.70724124E-2
385	5.74507659E-2
706	5.87548816E-2
875	5.89966762E-2
823	5.96568389E-2
699	6.0372765E-2
719	6.09508366E-2
818	6.12080062E-2
177	6.15288612E-2
951	6.1686427E-2
235	6.31907935E-2
471	6.34006477E-2
107	6.8447681E-2
864	6.87527121E-2
456	7.04328788E-2
429	7.14351435E-2
564	7.29332814E-2
963	7.53174262E-2
273	7.58658081E-2
250	7.65512919E-2
350	7.79435852E-2
176	7.86679143E-2
0	8.01728538E-2
20	8.03705067E-2
642	8.1219269E-2
676	8.22981808E-2
705	8.2523813E-2
788	8.30103404E-2
415	8.41668119E-2
301	8.48431055E-2
265	8.5243931E-2
692	8.52589804E-2
140	8.60309324E-2
227	8.66371791E-2
565	8.67781898E-2
844	9.02911946E-2
913	9.36157988E-2
586	9.40641587E-2
871	9.41745013E-2
517	9.4896698E-2
806	9.63312246E-2
599	9.80084477E-2
641	9.815711E-2
516	9.87007286E-2
782	9.92296571E-2
264	9.93620961E-2
728	1.0015139E-1
919	1.03152516E-1
131	1.0346108E-1
499	1.06186028E-1
286	1.06881605E-1
849	1.09009944E-1
949	1.10664805E-1
206	1.11409779E-1
683	1.1142465E-1
740	1.12532973E-1
571	1.12541725E-1
889	1.13335013E-1
408	1.13560737E-1
959	1.137685E-1
734	1.15516647E-1
101	1.15999236E-1
888	1.1635042E-1
555	1.17877411E-1
413	1.1796874E-1
614	1.19867367E-1
349	1.21398798E-1
990	1.21720354E-1
612	1.22324215E-1
583	1.24669969E-1
815	1.25682761E-1
643	1.27278931E-1
111	1.27681709E-1
347	1.30004867E-1
3	1.30508493E-1
501	1.30713867E-1
663	1.3571934E-1
129	1.35895983E-1
28	1.3829441E-1
436	1.38578693E-1
939	1.40980178E-1
576	1.41308449E-1
421	1.41908673E-1
838	1.42157722E-1
722	1.43156669E-1
62	1.4536291E-1
507	1.45815313E-1
354	1.4602933E-1
826	1.46841811E-1
5	1.47024393E-1
625	1.49062984E-1
961	1.50361837E-1
367	1.51832899E-1
917	1.53108413E-1
526	1.54592117E-1
399	1.58624289E-1
538	1.6076897E-1
570	1.6125222E-1
900	1.61720857E-1
245	1.62630728E-1
759	1.6303723E-1
731	1.6418671E-1
326	1.64322311E-1
580	1.64671501E-1
344	1.64906894E-1
189	1.65495379E-1
246	1.65504839E-1
680	1.65628333E-1
34	1.68473274E-1
617	1.68899212E-1
457	1.72646176E-1
528	1.75151215E-1
866	1.75628645E-1
672	1.76333547E-1
443	1.77779288E-1
581	1.78905762E-1
664	1.79274154E-1
578	1.79677393E-1
777	1.80464774E-1
733	1.81374532E-1
608	1.82504662E-1
55	1.82808924E-1
865	1.84519255E-1
49	1.85756334E-1
798	1.88693763E-1
540	1.89877111E-1
324	1.91894532E-1
816	1.93170184E-1
975	1.94027152E-1
208	1.94143688E-1
980	1.99470771E-1
778	2.0013065E-1
212	2.00502503E-1
836	2.01425036E-1
597	2.0390452E-1
914	2.05414285E-1
389	2.05740315E-1
567	2.072513E-1
380	2.08262025E-1
39	2.10381294E-1
729	2.10985058E-1
352	2.11063216E-1
141	2.12579831E-1
684	2.13212128E-1
113	2.14385739E-1
236	2.16765074E-1
135	2.17198277E-1
310	2.1730252E-1
432	2.19454548E-1
288	2.19456212E-1
789	2.19902408E-1
841	2.20931273E-1
88	2.22389966E-1
142	2.22434083E-1
461	2.24089533E-1
274	2.24161336E-1
145	2.26201623E-1
554	2.28256187E-1
546	2.3060804E-1
431	2.32326666E-1
1012	2.32345711E-1
