Name	chi2Pvalue
760	1.49176852E-5
260	5.86170581E-5
881	6.58142993E-5
938	1.90359012E-3
501	2.93833842E-3
802	7.01785812E-3
467	7.31104416E-3
706	7.55370753E-3
256	7.92593102E-3
638	8.11171786E-3
928	8.20572642E-3
618	8.82331725E-3
105	9.33383006E-3
823	9.71847244E-3
849	1.17621549E-2
238	1.24842694E-2
629	1.30122947E-2
142	1.33957993E-2
612	1.50087263E-2
103	1.50110644E-2
768	1.60974087E-2
353	1.62564603E-2
114	1.73586047E-2
84	1.82216219E-2
459	1.86252451E-2
744	2.25490642E-2
699	2.43270019E-2
245	2.62138169E-2
664	2.93606215E-2
912	3.05390312E-2
135	3.26095091E-2
663	3.26942267E-2
403	3.32990749E-2
962	3.38548754E-2
743	3.38631298E-2
953	3.41900757E-2
939	3.45242216E-2
87	3.66104444E-2
1011	3.711361E-2
637	3.97231834E-2
782	4.10771182E-2
407	4.35457806E-2
339	4.43312397E-2
100	4.58619213E-2
731	4.67047698E-2
160	4.78017098E-2
889	4.85229541E-2
870	4.98577235E-2
32	5.20649678E-2
619	5.22262918E-2
897	5.24691705E-2
517	5.31645348E-2
413	5.58569075E-2
235	5.70036626E-2
811	5.73116599E-2
614	5.88929619E-2
420	6.13682831E-2
747	6.17117827E-2
116	6.28556386E-2
274	6.41369668E-2
368	6.62687873E-2
884	6.68925338E-2
600	6.75871639E-2
954	6.874907E-2
111	6.88207343E-2
539	7.04604851E-2
658	7.12118488E-2
642	7.31607662E-2
110	7.48717213E-2
176	7.58848189E-2
218	7.63193204E-2
929	7.79541231E-2
864	7.8954221E-2
237	7.98864131E-2
780	8.25353733E-2
173	8.35328539E-2
493	8.67938635E-2
651	8.96152117E-2
883	8.980847E-2
604	9.08304729E-2
696	9.12583904E-2
778	9.15415244E-2
753	9.18635977E-2
269	9.30163371E-2
921	9.31531333E-2
757	9.49106642E-2
350	9.50291883E-2
437	9.57452025E-2
996	9.61557216E-2
12	9.81475357E-2
981	9.82251582E-2
275	9.93163178E-2
268	1.00135839E-1
569	1.01505757E-1
851	1.02420106E-1
969	1.03549297E-1
765	1.05383718E-1
3	1.07023545E-1
546	1.07157471E-1
576	1.07844431E-1
728	1.08693756E-1
674	1.09745692E-1
575	1.09837648E-1
571	1.09999115E-1
385	1.10132837E-1
451	1.11859372E-1
112	1.12972406E-1
184	1.15408798E-1
966	1.15858562E-1
835	1.1589846E-1
844	1.16624158E-1
695	1.16749007E-1
463	1.16965788E-1
340	1.17822433E-1
553	1.18654885E-1
377	1.18874949E-1
609	1.18949617E-1
538	1.22807772E-1
392	1.24041334E-1
74	1.24240165E-1
826	1.24531219E-1
825	1.25132015E-1
117	1.27214928E-1
798	1.29410184E-1
729	1.31719128E-1
791	1.34696807E-1
429	1.35692208E-1
625	1.3622968E-1
633	1.37355014E-1
933	1.39858319E-1
964	1.40161117E-1
959	1.41720797E-1
232	1.42579908E-1
101	1.43602065E-1
548	1.45319478E-1
719	1.45434252E-1
327	1.45802586E-1
227	1.47688358E-1
873	1.48320342E-1
313	1.49811346E-1
139	1.51796364E-1
10	1.52445256E-1
378	1.52921524E-1
893	1.53277277E-1
285	1.53509961E-1
409	1.54266241E-1
856	1.55370437E-1
129	1.55933892E-1
888	1.57209573E-1
727	1.58608627E-1
54	1.59528554E-1
924	1.59531978E-1
453	1.61768633E-1
957	1.62295938E-1
276	1.63733519E-1
610	1.64555923E-1
136	1.65485801E-1
106	1.65970561E-1
845	1.66422496E-1
355	1.67931261E-1
707	1.68389957E-1
20	1.68741998E-1
416	1.70432724E-1
93	1.70795152E-1
189	1.71216256E-1
386	1.7270597E-1
608	1.74670956E-1
965	1.74891519E-1
471	1.7499891E-1
807	1.75272761E-1
91	1.77789385E-1
294	1.77970052E-1
500	1.79163924E-1
865	1.7944246E-1
940	1.79837895E-1
628	1.79865761E-1
341	1.79902168E-1
107	1.80298064E-1
421	1.80371948E-1
42	1.80607818E-1
220	1.81943692E-1
690	1.82406508E-1
700	1.84221589E-1
831	1.86232051E-1
785	1.87475852E-1
254	1.88414174E-1
586	1.89799407E-1
5	1.90244311E-1
206	1.90638973E-1
131	1.90715873E-1
931	1.94248529E-1
365	1.95697927E-1
577	1.9680475E-1
224	1.9791649E-1
836	2.00680661E-1
578	2.01267825E-1
261	2.01603501E-1
239	2.0193378E-1
67	2.03201023E-1
519	2.03348678E-1
634	2.03372267E-1
923	2.03724117E-1
472	2.03874092E-1
418	2.04139927E-1
186	2.04834347E-1
689	2.04862256E-1
890	2.04901575E-1
686	2.05393804E-1
925	2.05526739E-1
366	2.08414001E-1
14	2.09761455E-1
876	2.11195878E-1
263	2.11286869E-1
911	2.12745033E-1
183	2.14353066E-1
775	2.14642441E-1
763	2.14688781E-1
457	2.1484849E-1
917	2.15159701E-1
773	2.17216096E-1
247	2.18660641E-1
109	2.18886199E-1
734	2.19214881E-1
824	2.20229208E-1
740	2.2169656E-1
79	2.22192001E-1
454	2.22896769E-1
367	2.23951238E-1
301	2.243793E-1
157	2.2455217E-1
891	2.2475271E-1
288	2.24761025E-1
217	2.25059268E-1
253	2.25177318E-1
144	2.26501702E-1
127	2.26525948E-1
83	2.27957529E-1
370	2.28559375E-1
161	2.28862595E-1
48	2.28883295E-1
168	2.294323E-1
