Name	chi2Pvalue
555	7.02441161E-4
542	1.40621038E-3
295	1.67679968E-3
619	2.19287346E-3
380	2.25798719E-3
40	2.39363521E-3
557	2.58732545E-3
913	2.8907844E-3
858	4.25290935E-3
224	4.94562979E-3
883	6.14439441E-3
94	6.5323198E-3
377	7.58038678E-3
212	8.64728179E-3
841	9.72870176E-3
797	1.01661023E-2
603	1.04334536E-2
992	1.10919702E-2
67	1.14111331E-2
829	1.37002561E-2
326	1.39071406E-2
130	1.66820134E-2
451	1.7100456E-2
617	1.77632315E-2
756	1.83010993E-2
60	1.85926215E-2
500	1.94079934E-2
641	1.95823648E-2
41	2.01210089E-2
428	2.21068841E-2
721	2.26379893E-2
250	2.29760394E-2
718	2.32459709E-2
743	2.33005633E-2
649	2.39609996E-2
273	2.4226442E-2
971	2.48693766E-2
344	2.4872789E-2
1001	2.59803725E-2
951	2.73819141E-2
998	2.92536256E-2
996	2.96523891E-2
142	3.03731183E-2
577	3.04549831E-2
738	3.17593403E-2
261	3.24221684E-2
580	3.7609333E-2
976	4.05655292E-2
76	4.10162756E-2
429	4.2035445E-2
193	4.78255459E-2
627	4.92956688E-2
844	4.94136545E-2
887	4.98919787E-2
937	5.11160873E-2
217	5.14549199E-2
741	5.2048717E-2
988	5.24640011E-2
338	5.35194548E-2
449	5.40972301E-2
524	5.69493411E-2
851	5.82939918E-2
663	5.9794824E-2
828	6.14878752E-2
499	6.22118449E-2
58	6.24817307E-2
892	6.27120484E-2
563	6.28912388E-2
206	6.31386963E-2
55	6.33371685E-2
794	6.42828048E-2
301	6.48157996E-2
328	6.55127346E-2
925	6.66747861E-2
38	6.67693237E-2
211	6.88065444E-2
736	7.11546915E-2
403	7.17092811E-2
861	7.21648911E-2
924	7.41182185E-2
433	7.70477059E-2
376	7.74328531E-2
150	7.8103526E-2
538	7.87533213E-2
562	8.01886407E-2
149	8.26656371E-2
114	8.33659459E-2
856	8.40992814E-2
755	8.56094224E-2
648	8.57743023E-2
879	8.62996828E-2
981	8.65740321E-2
911	8.95366292E-2
404	9.00761171E-2
846	9.04248712E-2
904	9.12799707E-2
1013	9.20908691E-2
886	9.23273238E-2
728	9.43946134E-2
388	9.49584925E-2
257	9.57198442E-2
1014	9.69303097E-2
934	9.75889014E-2
276	9.77221553E-2
842	9.8390354E-2
24	1.00097773E-1
525	1.00339816E-1
751	1.0157168E-1
