Name	chi2Pvalue
802	5.22181532E-6
103	1.05241215E-4
467	3.5756254E-4
314	4.15758135E-4
740	1.75542137E-3
917	2.26089199E-3
838	2.99763629E-3
429	3.2821528E-3
517	4.77798249E-3
651	4.98042859E-3
239	5.99013093E-3
235	6.80997192E-3
86	7.78727193E-3
358	1.12456712E-2
176	1.20914984E-2
186	1.3360807E-2
871	1.37291492E-2
730	1.42277676E-2
851	1.47193111E-2
832	1.71566994E-2
134	1.73304977E-2
20	1.79364513E-2
267	1.890307E-2
904	1.96342738E-2
327	2.05366935E-2
495	2.07317725E-2
910	2.07635963E-2
706	2.1737533E-2
772	2.39681274E-2
111	2.3979691E-2
161	2.42705897E-2
848	2.44709794E-2
149	2.50796435E-2
256	2.60128468E-2
927	2.65122225E-2
385	2.65271827E-2
68	2.72117822E-2
405	2.83064427E-2
1014	2.84886528E-2
919	2.95024579E-2
575	3.03336622E-2
744	3.08488173E-2
129	3.08552161E-2
658	3.16441369E-2
782	3.16532393E-2
298	3.17004431E-2
92	3.39203352E-2
814	3.78879512E-2
407	3.91953745E-2
1	4.06576317E-2
603	4.39948821E-2
579	4.53814356E-2
892	4.71122522E-2
184	4.74913066E-2
136	4.91144591E-2
479	5.15720207E-2
818	5.19782083E-2
712	5.29074068E-2
734	5.55963164E-2
122	5.6852625E-2
531	5.69487239E-2
275	5.73652245E-2
915	5.8816082E-2
600	5.92642754E-2
664	5.93490649E-2
448	5.93806648E-2
980	6.05689701E-2
406	6.19373413E-2
438	6.45645231E-2
487	6.53829857E-2
678	6.56765598E-2
828	6.59837692E-2
117	6.86617697E-2
132	6.94380036E-2
568	7.1798093E-2
10	7.25439415E-2
622	7.60853602E-2
399	7.64926985E-2
476	7.84643479E-2
969	7.95848011E-2
9	8.02724955E-2
791	8.06000455E-2
74	8.06555334E-2
215	8.25403817E-2
943	8.27620946E-2
947	8.41180766E-2
827	8.44794436E-2
528	8.50760506E-2
918	8.50854662E-2
89	8.51759923E-2
220	8.65598856E-2
87	8.8206967E-2
573	8.84351617E-2
864	9.35814997E-2
878	9.4176547E-2
937	9.54257964E-2
22	9.55179345E-2
769	9.57418432E-2
512	9.63483999E-2
219	9.68518519E-2
582	9.80255429E-2
494	9.94095594E-2
545	9.94788441E-2
164	1.00056719E-1
756	1.01415589E-1
773	1.02447495E-1
8	1.03693404E-1
