Name	chi2Pvalue
103	5.49188288E-5
927	7.29387186E-5
313	1.87881657E-3
239	2.1640448E-3
741	4.22153765E-3
924	7.35638071E-3
527	9.57591439E-3
802	1.17278216E-2
730	1.22500158E-2
773	1.33687069E-2
744	1.34710498E-2
438	1.38734365E-2
265	1.5334722E-2
917	1.68115324E-2
661	1.81290008E-2
540	1.83295042E-2
270	1.96848475E-2
698	1.99764915E-2
495	2.09547985E-2
795	2.12007494E-2
535	2.1723185E-2
466	2.32647778E-2
627	2.48565497E-2
792	2.54236622E-2
542	2.62291111E-2
465	2.65248399E-2
663	2.6637819E-2
38	2.78669163E-2
568	3.34077766E-2
827	3.49326689E-2
136	3.54059133E-2
143	3.54992874E-2
502	3.58688838E-2
732	3.72938674E-2
648	3.80344182E-2
922	3.82291208E-2
978	4.00352665E-2
492	4.03507468E-2
56	4.19171418E-2
829	4.19844128E-2
932	4.28986348E-2
217	4.29783956E-2
240	4.38770277E-2
433	4.71967441E-2
392	4.73943468E-2
286	4.84062406E-2
664	4.86925868E-2
589	5.02204744E-2
874	5.06074907E-2
214	5.08209473E-2
818	5.37289762E-2
733	5.38499932E-2
505	5.46994428E-2
828	5.47339256E-2
383	5.51854331E-2
760	5.72027239E-2
48	5.78200677E-2
220	5.83007193E-2
327	5.950082E-2
514	6.11466454E-2
227	6.25017846E-2
667	6.39248943E-2
470	6.52488052E-2
434	6.64778018E-2
888	6.68062386E-2
919	6.70801441E-2
275	6.74888896E-2
761	6.79760754E-2
86	6.82138726E-2
720	7.08125075E-2
832	7.10909599E-2
737	7.26606099E-2
931	7.30698409E-2
690	7.32588559E-2
576	7.48091903E-2
968	7.66406928E-2
200	7.72008638E-2
853	7.83388015E-2
300	7.93606998E-2
621	8.05307329E-2
36	8.1472228E-2
268	8.18349996E-2
709	8.19094577E-2
889	8.29559805E-2
85	8.31489321E-2
92	8.49040637E-2
8	8.67594813E-2
441	8.69743872E-2
910	8.70039908E-2
908	8.95069321E-2
228	9.14996969E-2
376	9.15455254E-2
562	9.32136911E-2
57	9.32348028E-2
671	9.36718451E-2
184	9.44483432E-2
219	9.54073901E-2
585	9.81063366E-2
633	9.89373998E-2
112	9.97852657E-2
900	1.00518456E-1
352	1.01466126E-1
422	1.02146922E-1
97	1.03400968E-1
565	1.04130002E-1
285	1.04552057E-1
362	1.05205646E-1
129	1.05896268E-1
448	1.06872983E-1
797	1.06887219E-1
640	1.08946321E-1
420	1.11987961E-1
307	1.13777374E-1
776	1.13907141E-1
629	1.20245199E-1
859	1.20360339E-1
906	1.20566408E-1
618	1.20808591E-1
839	1.21066296E-1
381	1.22791548E-1
880	1.23439881E-1
559	1.25132304E-1
455	1.25543411E-1
982	1.27881649E-1
163	1.27906266E-1
939	1.28449714E-1
500	1.28635489E-1
364	1.28662869E-1
1016	1.2899189E-1
543	1.30963635E-1
539	1.31662421E-1
274	1.31987602E-1
243	1.33298446E-1
206	1.33553869E-1
806	1.34704971E-1
529	1.3588925E-1
22	1.36500738E-1
688	1.37213187E-1
836	1.38685387E-1
783	1.39849111E-1
334	1.39999032E-1
1009	1.40462856E-1
896	1.41052186E-1
374	1.4225369E-1
936	1.43232489E-1
641	1.43978733E-1
546	1.44821845E-1
816	1.46656417E-1
665	1.46820457E-1
60	1.46836689E-1
711	1.47019241E-1
787	1.47196389E-1
791	1.4746829E-1
351	1.48320845E-1
425	1.48889164E-1
587	1.49604224E-1
400	1.50241979E-1
740	1.51572867E-1
151	1.51855656E-1
807	1.52726394E-1
915	1.54701058E-1
24	1.57019692E-1
516	1.58193182E-1
531	1.59474007E-1
583	1.60614498E-1
639	1.61749287E-1
841	1.64418484E-1
34	1.64504984E-1
355	1.64652519E-1
788	1.64883202E-1
678	1.66291441E-1
148	1.67718868E-1
494	1.67998593E-1
586	1.68875554E-1
869	1.69472429E-1
458	1.69522012E-1
953	1.70676049E-1
454	1.70750211E-1
365	1.70983213E-1
328	1.73022016E-1
716	1.73098175E-1
339	1.80334408E-1
999	1.80789789E-1
241	1.81218831E-1
164	1.81257603E-1
182	1.85944297E-1
755	1.87334051E-1
84	1.88143275E-1
834	1.89649185E-1
573	1.90695647E-1
262	1.91185899E-1
1	1.9178921E-1
304	1.92679211E-1
122	1.92744875E-1
757	1.94008737E-1
772	1.95640594E-1
866	1.95760811E-1
95	1.98808954E-1
782	1.98938421E-1
139	2.00004544E-1
294	2.03027395E-1
656	2.03463389E-1
74	2.0551476E-1
125	2.05639861E-1
823	2.06743842E-1
729	2.07487837E-1
693	2.08785434E-1
314	2.09029875E-1
204	2.10305063E-1
867	2.10337519E-1
17	2.11243583E-1
814	2.12065083E-1
510	2.1465506E-1
469	2.14880684E-1
702	2.14935094E-1
168	2.19806349E-1
457	2.205247E-1
267	2.21524664E-1
324	2.22185789E-1
843	2.23512654E-1
846	2.24000558E-1
958	2.24001729E-1
750	2.24070345E-1
504	2.25141986E-1
363	2.25724795E-1
107	2.26313313E-1
407	2.2814479E-1
622	2.30171407E-1
778	2.30588365E-1
887	2.31257913E-1
278	2.3192804E-1
53	2.32983312E-1
446	2.34355949E-1
76	2.34521772E-1
980	2.36556861E-1
512	2.36725489E-1
21	2.37624705E-1
309	2.38299956E-1
1006	2.38395153E-1
1011	2.38960966E-1
370	2.39206585E-1
115	2.40041548E-1
1010	2.4015117E-1
321	2.40669404E-1
613	2.40762129E-1
467	2.43198247E-1
194	2.45978847E-1
296	2.48458961E-1
534	2.50325553E-1
218	2.51465251E-1
781	2.5252254E-1
997	2.56774377E-1
959	2.59204862E-1
405	2.60556957E-1
844	2.62210693E-1
273	2.62380149E-1
20	2.62463333E-1
442	2.6261045E-1
1005	2.63731052E-1
835	2.66723974E-1
957	2.68148369E-1
899	2.70562747E-1
518	2.71271672E-1
769	2.72725476E-1
636	2.72825289E-1
138	2.73480729E-1
930	2.7524234E-1
745	2.75472364E-1
610	2.77220439E-1
734	2.79446591E-1
403	2.80981446E-1
113	2.81189856E-1
768	2.81622263E-1
995	2.81773303E-1
475	2.82019085E-1
157	2.82434578E-1
444	2.82562576E-1
384	2.82860609E-1
88	2.83810275E-1
552	2.83876493E-1
747	2.84963335E-1
964	2.85464327E-1
279	2.85546758E-1
658	2.85724038E-1
145	2.87921111E-1
825	2.8892909E-1
96	2.89040694E-1
98	2.8910238E-1
301	2.89414755E-1
162	2.89426801E-1
738	2.89539608E-1
969	2.89928476E-1
335	2.90809827E-1
487	2.91761146E-1
532	2.94424394E-1
72	2.94473692E-1
845	2.94638225E-1
89	2.94732835E-1
142	2.96497313E-1
159	2.96613092E-1
971	2.97259809E-1
934	2.97689447E-1
356	3.01291703E-1
509	3.01721275E-1
51	3.02090503E-1
233	3.03165259E-1
132	3.05106829E-1
579	3.05979506E-1
865	3.08541315E-1
61	3.11065334E-1
445	3.1140412E-1
864	3.12055361E-1
753	3.12208915E-1
758	3.14199426E-1
660	3.16057178E-1
401	3.16454466E-1
395	3.18149957E-1
878	3.18789901E-1
254	3.1957669E-1
815	3.2032752E-1
945	3.20415671E-1
179	3.21534534E-1
611	3.24311288E-1
756	3.25349174E-1
488	3.261941E-1
244	3.26346584E-1
752	3.265211E-1
289	3.28999597E-1
295	3.29760541E-1
854	3.30344245E-1
994	3.30347056E-1
944	3.32930162E-1
187	3.34447172E-1
593	3.35137469E-1
393	3.3826565E-1
912	3.39182907E-1
353	3.39326576E-1
9	3.42795386E-1
293	3.43471517E-1
236	3.4612753E-1
833	3.48843669E-1
746	3.49502794E-1
941	3.51060427E-1
453	3.53067864E-1
820	3.53288136E-1
489	3.53343668E-1
378	3.53395295E-1
600	3.53726207E-1
672	3.55020835E-1
551	3.5660312E-1
526	3.57841703E-1
149	3.57864694E-1
497	3.5853505E-1
130	3.59741837E-1
135	3.60210822E-1
657	3.60323517E-1
340	3.62152559E-1
963	3.63196762E-1
987	3.64613469E-1
580	3.65555885E-1
276	3.65633445E-1
116	3.66415926E-1
608	3.67922996E-1
412	3.68452506E-1
347	3.69674721E-1
961	3.69809142E-1
242	3.70814487E-1
426	3.73178701E-1
849	3.7426245E-1
354	3.75594951E-1
54	3.76261896E-1
871	3.76415823E-1
208	3.76440852E-1
581	3.76844664E-1
281	3.77194574E-1
451	3.78716129E-1
904	3.79454554E-1
460	3.79669596E-1
479	3.8056877E-1
443	3.81233096E-1
903	3.8132152E-1
748	3.81948606E-1
951	3.82572818E-1
717	3.83244081E-1
850	3.83465971E-1
736	3.83544238E-1
799	3.85203113E-1
780	3.86300818E-1
46	3.86685897E-1
1004	3.88079192E-1
977	3.90617261E-1
686	3.92851107E-1
423	3.93253777E-1
682	3.93775865E-1
892	3.9492189E-1
358	3.95311301E-1
654	3.96293668E-1
308	3.96588018E-1
429	4.00411581E-1
938	4.00867061E-1
320	4.02648604E-1
838	4.0491624E-1
556	4.05937863E-1
399	4.06240958E-1
653	4.06337375E-1
181	4.08084431E-1
713	4.0896638E-1
564	4.09424084E-1
69	4.09864173E-1
14	4.10067266E-1
697	4.109889E-1
652	4.11629802E-1
662	4.12989359E-1
250	4.1402397E-1
651	4.14348335E-1
178	4.14437201E-1
25	4.14468472E-1
575	4.14738905E-1
245	4.17251904E-1
264	4.18089544E-1
721	4.1851184E-1
695	4.18647341E-1
650	4.19753053E-1
890	4.19835335E-1
506	4.19895785E-1
790	4.23288513E-1
472	4.24156722E-1
298	4.24339935E-1
43	4.24368161E-1
404	4.25493152E-1
538	4.25939429E-1
996	4.26152658E-1
701	4.27304654E-1
897	4.27473689E-1
637	4.27753243E-1
993	4.28784363E-1
169	4.29296273E-1
646	4.29626868E-1
894	4.29731065E-1
541	4.30959689E-1
763	4.31981814E-1
226	4.32622599E-1
822	4.37438824E-1
598	4.37712837E-1
209	4.38255651E-1
513	4.38481599E-1
161	4.40208202E-1
205	4.4122455E-1
192	4.4333559E-1
461	4.43810951E-1
950	4.46128217E-1
166	4.47354118E-1
63	4.49052283E-1
357	4.49468328E-1
767	4.49822333E-1
727	4.54967789E-1
198	4.56035288E-1
937	4.56083106E-1
338	4.56238768E-1
754	4.57919538E-1
574	4.58940491E-1
180	4.59661167E-1
6	4.5982688E-1
719	4.62115834E-1
685	4.62508628E-1
704	4.63050449E-1
547	4.63498525E-1
954	4.6737319E-1
47	4.67478546E-1
154	4.68800264E-1
117	4.68999219E-1
591	4.72216168E-1
882	4.72659869E-1
4	4.73022654E-1
775	4.7369827E-1
348	4.73879663E-1
986	4.74394217E-1
26	4.7487024E-1
152	4.77707581E-1
517	4.78089911E-1
120	4.80404157E-1
943	4.80634859E-1
171	4.81161385E-1
595	4.81417206E-1
680	4.8197483E-1
260	4.82534561E-1
183	4.83278141E-1
694	4.83558269E-1
0	4.83673636E-1
234	4.84552782E-1
868	4.84553838E-1
