Name	chi2Pvalue
52	9.24214418E-4
480	1.28922166E-3
479	1.75500889E-3
265	2.31053604E-3
750	6.00003501E-3
161	7.69138776E-3
861	8.78003697E-3
598	8.90128143E-3
589	9.70425139E-3
573	9.96076781E-3
92	1.04042492E-2
609	1.34783236E-2
1	1.94174757E-2
104	2.12569316E-2
55	2.49537893E-2
728	2.54158965E-2
781	2.76668297E-2
538	2.99932989E-2
973	3.41959335E-2
115	3.42275671E-2
576	3.4740025E-2
324	3.51673703E-2
775	3.93608441E-2
476	3.9371464E-2
525	4.20681697E-2
624	4.25138632E-2
719	4.29759704E-2
326	4.66728281E-2
0	4.88580905E-2
188	4.98559336E-2
474	5.26802218E-2
332	5.63770795E-2
845	5.7386567E-2
892	5.82255083E-2
985	5.87132553E-2
702	6.14602588E-2
438	6.46950092E-2
119	6.60813309E-2
371	6.74676525E-2
1007	6.79991906E-2
798	6.83918669E-2
725	7.12849289E-2
982	7.13684167E-2
622	7.18678767E-2
993	7.31021459E-2
333	7.64627741E-2
768	7.71719039E-2
619	7.94824399E-2
296	8.09950131E-2
411	8.23585724E-2
563	8.35390843E-2
894	8.65947601E-2
858	8.67421347E-2
597	8.73382625E-2
959	8.88896327E-2
266	9.22271891E-2
89	9.24214418E-2
952	9.35482139E-2
234	9.5194085E-2
105	9.75046211E-2
792	9.92973562E-2
77	9.98574794E-2
13	1.00739372E-1
575	1.0261403E-1
248	1.05378533E-1
661	1.05980616E-1
509	1.12107779E-1
812	1.15064695E-1
650	1.17420928E-1
325	1.18299445E-1
148	1.18371604E-1
448	1.1926748E-1
1011	1.19820223E-1
634	1.21884682E-1
413	1.22196962E-1
762	1.22212398E-1
431	1.22450755E-1
949	1.24386657E-1
963	1.25503202E-1
601	1.26617375E-1
794	1.28003697E-1
615	1.28243485E-1
291	1.28267285E-1
743	1.32624769E-1
334	1.33466654E-1
102	1.37245841E-1
502	1.41404806E-1
273	1.41939028E-1
754	1.43253235E-1
134	1.45563771E-1
549	1.46487985E-1
239	1.46950092E-1
904	1.47401682E-1
992	1.48440557E-1
189	1.50201908E-1
396	1.51911349E-1
912	1.52277643E-1
805	1.52331898E-1
227	1.52957486E-1
514	1.54441554E-1
1001	1.55407005E-1
807	1.56192237E-1
61	1.56662911E-1
440	1.57116451E-1
557	1.57863388E-1
790	1.5896488E-1
909	1.60669209E-1
878	1.61275416E-1
629	1.63340243E-1
913	1.64048059E-1
555	1.64510166E-1
503	1.67532982E-1
981	1.69341111E-1
253	1.69577244E-1
169	1.70979667E-1
683	1.72365989E-1
764	1.72578285E-1
599	1.73752311E-1
221	1.74335372E-1
642	1.74676525E-1
989	1.76793869E-1
122	1.7810731E-1
144	1.78373383E-1
653	1.79297597E-1
612	1.7975152E-1
276	1.81146026E-1
340	1.81608133E-1
778	1.8207024E-1
902	1.82640646E-1
34	1.85767098E-1
570	1.87344372E-1
617	1.89550062E-1
995	1.89803444E-1
125	1.89898857E-1
645	1.91967459E-1
545	1.94547135E-1
293	1.95009242E-1
829	1.97246963E-1
647	1.97319778E-1
667	1.987061E-1
428	2.01016636E-1
368	2.06433969E-1
196	2.06701235E-1
409	2.07603384E-1
832	2.07956145E-1
386	2.08872458E-1
917	2.10170336E-1
5	2.11182994E-1
457	2.11645102E-1
849	2.15325329E-1
330	2.15341959E-1
976	2.16136656E-1
971	2.16258409E-1
638	2.17327346E-1
247	2.18112874E-1
755	2.19963031E-1
401	2.21217795E-1
562	2.21971242E-1
741	2.23254672E-1
157	2.23336094E-1
395	2.25046211E-1
841	2.25508318E-1
210	2.25970425E-1
627	2.27565732E-1
881	2.28025429E-1
648	2.29205176E-1
212	2.29667283E-1
643	2.30591497E-1
789	2.32333509E-1
866	2.34750462E-1
36	2.34771537E-1
706	2.36476592E-1
160	2.37523105E-1
534	2.38262365E-1
587	2.42315402E-1
174	2.43992606E-1
171	2.4420599E-1
739	2.5E-1
180	2.52805975E-1
605	2.53696858E-1
432	2.53935933E-1
211	2.54103526E-1
988	2.56353689E-1
101	2.56982348E-1
551	2.66764295E-1
299	2.6807769E-1
515	2.70332717E-1
469	2.7079435E-1
393	2.71051039E-1
447	2.71719039E-1
327	2.72256895E-1
141	2.72643253E-1
44	2.72890871E-1
596	2.73102018E-1
880	2.76287262E-1
883	2.79391036E-1
867	2.80961183E-1
419	2.8650647E-1
1021	2.86968577E-1
317	2.87419876E-1
62	2.90748218E-1
956	2.9252185E-1
481	2.95168994E-1
360	2.95619292E-1
870	2.96210721E-1
470	2.97227657E-1
712	2.9772355E-1
586	2.97991102E-1
699	2.9805915E-1
158	2.98521257E-1
242	2.99678241E-1
776	3.00006781E-1
753	3.00189826E-1
218	3.01296412E-1
689	3.05914972E-1
107	3.06890745E-1
170	3.0726959E-1
873	3.07414291E-1
961	3.07552841E-1
116	3.08398377E-1
520	3.08687616E-1
75	3.08804396E-1
681	3.09088911E-1
947	3.10886147E-1
919	3.11030959E-1
357	3.11922366E-1
288	3.12957992E-1
69	3.13453537E-1
155	3.16081331E-1
305	3.20702403E-1
960	3.23459272E-1
930	3.24861368E-1
896	3.2509512E-1
833	3.27123643E-1
201	3.28558226E-1
449	3.29944547E-1
846	3.32514351E-1
120	3.38820069E-1
698	3.39440751E-1
433	3.3969408E-1
830	3.40110906E-1
693	3.40477763E-1
298	3.41453841E-1
709	3.44731978E-1
152	3.45194085E-1
831	3.45656192E-1
76	3.47504621E-1
348	3.47966728E-1
718	3.48114787E-1
972	3.48231093E-1
817	3.48428835E-1
631	3.50277264E-1
692	3.50739372E-1
937	3.51663586E-1
958	3.52313363E-1
244	3.52512849E-1
979	3.53723823E-1
1012	3.54288839E-1
535	3.54870019E-1
600	3.55398178E-1
484	3.59057301E-1
250	3.59519408E-1
999	3.61969733E-1
192	3.62292052E-1
99	3.63146806E-1
780	3.64307702E-1
274	3.67082755E-1
591	3.67375231E-1
389	3.67674594E-1
20	3.68761553E-1
674	3.69221853E-1
270	3.70154641E-1
735	3.75522683E-1
996	3.76442325E-1
243	3.76598891E-1
957	3.79390018E-1
857	3.79852126E-1
773	3.81788817E-1
504	3.84935305E-1
51	3.85859519E-1
571	3.86393719E-1
613	3.87245841E-1
803	3.89867711E-1
178	3.90018484E-1
977	3.91539504E-1
1013	3.91866913E-1
112	3.99568653E-1
416	4.0064695E-1
859	4.04931962E-1
782	4.05268022E-1
356	4.06193271E-1
966	4.06277792E-1
37	4.06434057E-1
943	4.06450824E-1
945	4.08956784E-1
86	4.09426987E-1
806	4.1219963E-1
271	4.12837446E-1
774	4.13123845E-1
783	4.13320574E-1
938	4.21990519E-1
486	4.24575582E-1
980	4.2507479E-1
100	4.25749226E-1
49	4.25929928E-1
839	4.28470918E-1
529	4.2883549E-1
715	4.30060823E-1
316	4.30704559E-1
1000	4.3081611E-1
553	4.33918669E-1
885	4.3646734E-1
443	4.36958411E-1
204	4.38077634E-1
539	4.39766036E-1
561	4.39926063E-1
787	4.40392345E-1
310	4.44547135E-1
809	4.44559598E-1
475	4.46857671E-1
254	4.48132947E-1
190	4.487061E-1
716	4.49681431E-1
19	4.51254773E-1
772	4.52780928E-1
294	4.52865065E-1
269	4.53336792E-1
688	4.57486137E-1
272	4.57948244E-1
387	4.58410351E-1
994	4.59022902E-1
541	4.59796673E-1
978	4.60381544E-1
695	4.62569316E-1
223	4.63880893E-1
364	4.63955638E-1
708	4.64879852E-1
990	4.65330819E-1
198	4.66266174E-1
113	4.69909914E-1
740	4.70578039E-1
48	4.80834365E-1
166	4.82219109E-1
72	4.82790698E-1
577	4.8844732E-1
375	4.89095154E-1
191	4.93368986E-1
1003	4.93852458E-1
151	4.96361677E-1
43	4.96759259E-1
268	4.97829058E-1
770	4.98613678E-1
950	5.02108773E-1
662	5.04621072E-1
888	5.06007394E-1
460	5.06863702E-1
928	5.08047156E-1
614	5.10166359E-1
822	5.10815501E-1
451	5.11651396E-1
746	5.12476895E-1
910	5.13196392E-1
477	5.13401109E-1
595	5.13924207E-1
907	5.14889908E-1
544	5.16991892E-1
461	5.22577433E-1
331	5.23992848E-1
668	5.27264325E-1
953	5.27832782E-1
85	5.28340318E-1
200	5.29881089E-1
862	5.32809612E-1
767	5.34948252E-1
114	5.38369753E-1
813	5.38710111E-1
860	5.39181628E-1
583	5.42513863E-1
60	5.43150082E-1
424	5.43539994E-1
936	5.44362292E-1
521	5.45024582E-1
758	5.45853407E-1
633	5.4805915E-1
983	5.51489841E-1
580	5.54528651E-1
876	5.56377079E-1
456	5.58687616E-1
173	5.5961183E-1
901	5.59824419E-1
241	5.61571611E-1
625	5.63674869E-1
338	5.65883775E-1
942	5.66164495E-1
194	5.66869423E-1
623	5.67890188E-1
295	5.6792976E-1
281	5.68127408E-1
771	5.68584652E-1
483	5.7116451E-1
594	5.71409635E-1
398	5.73937153E-1
382	5.76651772E-1
343	5.77634011E-1
88	5.81080328E-1
391	5.83639672E-1
490	5.84565619E-1
73	5.86414048E-1
280	5.87338262E-1
578	5.88040707E-1
927	5.88724584E-1
301	5.89186691E-1
897	5.90215876E-1
737	5.9263852E-1
603	5.92728512E-1
811	5.94269871E-1
511	5.95656192E-1
108	6.01201479E-1
816	6.03049908E-1
344	6.03779282E-1
373	6.05822551E-1
840	6.06416695E-1
463	6.07746576E-1
686	6.07943249E-1
31	6.08595194E-1
611	6.10443623E-1
139	6.11332507E-1
206	6.12669219E-1
137	6.13678373E-1
820	6.15949769E-1
984	6.16913124E-1
220	6.17837338E-1
962	6.20577211E-1
138	6.23844732E-1
900	6.24141728E-1
245	6.24768946E-1
933	6.25231054E-1
208	6.26091491E-1
940	6.26600784E-1
435	6.27079482E-1
489	6.27538868E-1
777	6.28927911E-1
91	6.29047179E-1
487	6.3032971E-1
766	6.32506998E-1
405	6.34054865E-1
150	6.34479271E-1
827	6.37245841E-1
284	6.37454964E-1
814	6.37503612E-1
1017	6.39981617E-1
795	6.40414711E-1
744	6.40970644E-1
320	6.41866913E-1
185	6.43715342E-1
554	6.44064315E-1
723	6.45864522E-1
257	6.53393922E-1
58	6.54343808E-1
28	6.55100796E-1
10	6.57578559E-1
183	6.60185702E-1
965	6.6168247E-1
986	6.63298452E-1
1008	6.63585952E-1
289	6.64972274E-1
602	6.65434381E-1
926	6.67422495E-1
45	6.69131239E-1
665	6.69593346E-1
385	6.70147991E-1
222	6.70514985E-1
690	6.71168479E-1
700	6.71289876E-1
361	6.71324844E-1
501	6.71366287E-1
