Name	chi2Pvalue
598	4.26019047E-4
728	2.53807107E-3
480	2.81120927E-3
273	2.89890324E-3
479	2.91684431E-3
265	5.58375635E-3
973	9.13705584E-3
573	1.07796581E-2
52	1.11675127E-2
296	1.42806544E-2
624	1.57360406E-2
738	1.79037394E-2
161	1.80091017E-2
861	2.1319797E-2
587	2.52573717E-2
474	2.84263959E-2
645	3.01371424E-2
601	3.0964467E-2
371	3.19796954E-2
896	3.248211E-2
525	3.33998334E-2
781	3.53132048E-2
945	3.82519823E-2
576	3.93842045E-2
764	4.04239432E-2
1	4.31691214E-2
115	4.31910569E-2
248	4.32772347E-2
589	4.36548223E-2
396	4.57267659E-2
227	4.72081218E-2
92	4.74811056E-2
160	4.82233503E-2
609	5.10611078E-2
34	5.2284264E-2
152	5.38071066E-2
503	5.50182801E-2
189	5.69923069E-2
992	5.70313531E-2
77	5.76327699E-2
545	5.9390863E-2
798	6.44670051E-2
597	6.59898477E-2
725	6.64963856E-2
892	6.64974619E-2
105	6.70050761E-2
413	6.72733632E-2
750	6.90380265E-2
475	6.95431472E-2
104	7.66497462E-2
250	7.96954315E-2
719	8.07106599E-2
551	8.40006669E-2
326	8.47715736E-2
982	8.56144345E-2
244	8.91535797E-2
5	8.98477157E-2
949	9.02929978E-2
849	9.0998098E-2
919	9.39014804E-2
570	9.39086294E-2
775	9.43029018E-2
438	9.44162437E-2
549	9.49238579E-2
829	9.63902047E-2
650	9.77260824E-2
792	9.81472749E-2
902	1.0185953E-1
183	1.04399321E-1
776	1.07616344E-1
55	1.11167513E-1
839	1.12295269E-1
617	1.12786877E-1
674	1.13304706E-1
981	1.14962419E-1
174	1.17766497E-1
148	1.18988704E-1
484	1.19796954E-1
846	1.24323702E-1
509	1.24533364E-1
605	1.29441624E-1
878	1.29949239E-1
514	1.31366642E-1
247	1.31965046E-1
1001	1.33924938E-1
676	1.34517766E-1
119	1.35025381E-1
211	1.36899875E-1
293	1.37055838E-1
13	1.38071066E-1
61	1.38300321E-1
476	1.38437661E-1
847	1.39593909E-1
324	1.39735096E-1
813	1.40908956E-1
989	1.43303151E-1
144	1.45685279E-1
577	1.47715736E-1
212	1.48730964E-1
12	1.4882285E-1
643	1.49746193E-1
841	1.50253807E-1
912	1.51322066E-1
352	1.5177665E-1
1007	1.54831662E-1
411	1.55270991E-1
84	1.5786802E-1
1003	1.58079028E-1
961	1.62980617E-1
333	1.63213117E-1
234	1.6751269E-1
401	1.6929179E-1
768	1.69543147E-1
337	1.70050761E-1
101	1.70367313E-1
661	1.71549505E-1
960	1.71793223E-1
266	1.7432098E-1
470	1.74804181E-1
534	1.75881912E-1
395	1.79695431E-1
880	1.7976688E-1
305	1.8071066E-1
192	1.81218274E-1
188	1.87496284E-1
242	1.89847716E-1
125	1.90261283E-1
946	1.9693452E-1
649	1.97461929E-1
440	2.02030457E-1
894	2.04423261E-1
334	2.06091371E-1
622	2.06314569E-1
628	2.08263119E-1
852	2.08629442E-1
563	2.09539231E-1
653	2.10659898E-1
49	2.12760853E-1
138	2.14213198E-1
830	2.18274112E-1
762	2.20825885E-1
885	2.23350254E-1
102	2.24873096E-1
0	2.29579321E-1
504	2.30964467E-1
805	2.31468691E-1
368	2.37563452E-1
646	2.39715592E-1
332	2.44162437E-1
917	2.46528562E-1
149	2.47715736E-1
36	2.48124215E-1
412	2.49531952E-1
963	2.49937184E-1
586	2.50899947E-1
803	2.51746292E-1
151	2.52102548E-1
689	2.55329949E-1
122	2.55837563E-1
93	2.57647366E-1
627	2.58298344E-1
157	2.58552988E-1
858	2.60184979E-1
420	2.60406091E-1
134	2.6142132E-1
804	2.62561536E-1
977	2.63294715E-1
603	2.64100299E-1
718	2.64675706E-1
985	2.66773255E-1
253	2.69792647E-1
112	2.71849593E-1
196	2.72500925E-1
433	2.7623393E-1
741	2.76778548E-1
958	2.77746563E-1
218	2.79530159E-1
493	2.81725888E-1
557	2.81832791E-1
817	2.82233503E-1
139	2.84144497E-1
662	2.85279188E-1
499	2.88832487E-1
993	2.91611702E-1
575	2.93216475E-1
612	2.93431796E-1
155	2.96446701E-1
48	2.97356738E-1
526	3.00941576E-1
988	3.05594334E-1
812	3.06091371E-1
959	3.06504781E-1
325	3.07106599E-1
44	3.0784519E-1
62	3.13290709E-1
270	3.14591298E-1
824	3.16723539E-1
629	3.17139026E-1
591	3.17766497E-1
962	3.18374109E-1
642	3.18781726E-1
14	3.19240403E-1
210	3.19796954E-1
422	3.2284264E-1
21	3.24365482E-1
288	3.24759013E-1
667	3.26903553E-1
943	3.31024375E-1
677	3.33502538E-1
688	3.34517766E-1
634	3.3532025E-1
914	3.3857868E-1
1000	3.39856146E-1
338	3.4034634E-1
274	3.41116751E-1
1005	3.42492251E-1
709	3.42639594E-1
583	3.44670051E-1
1011	3.45968616E-1
180	3.48536783E-1
54	3.50016969E-1
83	3.50253807E-1
16	3.50761421E-1
221	3.51894703E-1
497	3.52791878E-1
873	3.53293288E-1
734	3.53672641E-1
897	3.53690006E-1
20	3.57360406E-1
393	3.5925637E-1
330	3.59390863E-1
1012	3.60004805E-1
938	3.60846321E-1
449	3.6751269E-1
257	3.69309417E-1
457	3.72081218E-1
808	3.722363E-1
443	3.72712707E-1
520	3.73096447E-1
271	3.74111675E-1
390	3.75511982E-1
170	3.76723806E-1
171	3.77828217E-1
468	3.79187817E-1
595	3.81141355E-1
979	3.8367171E-1
57	3.84263959E-1
744	3.86071908E-1
753	3.86538806E-1
430	3.88832487E-1
706	3.88999231E-1
770	3.9035533E-1
790	3.90862944E-1
901	3.91958413E-1
683	3.93401015E-1
562	3.93649057E-1
971	3.954353E-1
269	3.95800731E-1
763	3.95939086E-1
600	3.98124065E-1
294	3.98984772E-1
190	3.99492386E-1
968	4.01522843E-1
928	4.01891685E-1
904	4.01966789E-1
833	4.03113929E-1
301	4.03553299E-1
815	4.04831133E-1
695	4.06091371E-1
538	4.0642168E-1
743	4.07614213E-1
638	4.08525841E-1
832	4.08618484E-1
668	4.0964467E-1
145	4.10393195E-1
969	4.10770505E-1
845	4.10908316E-1
380	4.12690355E-1
987	4.14961534E-1
254	4.15217931E-1
553	4.15228426E-1
373	4.16751269E-1
900	4.16786407E-1
291	4.17174545E-1
735	4.17230329E-1
909	4.2130271E-1
75	4.21357369E-1
953	4.21486831E-1
272	4.21827411E-1
299	4.22130011E-1
619	4.22335025E-1
995	4.22762185E-1
748	4.23857868E-1
451	4.26620393E-1
362	4.26903553E-1
631	4.27918782E-1
692	4.28426396E-1
944	4.28783398E-1
632	4.29126879E-1
860	4.30561863E-1
361	4.32163815E-1
356	4.33161605E-1
11	4.33877731E-1
698	4.37035206E-1
966	4.38687763E-1
135	4.40233923E-1
469	4.42274418E-1
621	4.42639594E-1
463	4.42864398E-1
372	4.43654822E-1
360	4.44813728E-1
456	4.49238579E-1
173	4.50253807E-1
89	4.50761421E-1
123	4.5177665E-1
910	4.52231995E-1
495	4.55837563E-1
893	4.55896265E-1
208	4.58505854E-1
888	4.58883249E-1
448	4.59782971E-1
194	4.59974539E-1
215	4.6272158E-1
994	4.63066228E-1
767	4.65520938E-1
243	4.65561769E-1
554	4.65830733E-1
527	4.66497462E-1
898	4.67822938E-1
317	4.68519186E-1
120	4.71041565E-1
140	4.72423339E-1
428	4.73096447E-1
746	4.75126904E-1
859	4.7539974E-1
477	4.76142132E-1
377	4.79187817E-1
691	4.79653658E-1
335	4.81369523E-1
386	4.82233503E-1
426	4.86299299E-1
226	4.87817259E-1
87	4.88324873E-1
432	4.94037283E-1
416	4.94923858E-1
816	4.96446701E-1
807	4.97283655E-1
822	4.97742226E-1
998	4.98477157E-1
264	5E-1
489	5.01127788E-1
774	5.01522843E-1
535	5.01709161E-1
150	5.02538071E-1
957	5.03045685E-1
481	5.03682475E-1
823	5.07254717E-1
778	5.08121827E-1
191	5.09897464E-1
976	5.11418809E-1
58	5.14213198E-1
295	5.17766497E-1
891	5.1928934E-1
671	5.20812183E-1
730	5.2284264E-1
69	5.25139665E-1
615	5.25329509E-1
141	5.25888325E-1
651	5.2893401E-1
310	5.29949239E-1
740	5.31479343E-1
608	5.31842291E-1
229	5.32375013E-1
206	5.33174134E-1
972	5.36188135E-1
611	5.37563452E-1
558	5.39955606E-1
571	5.41000343E-1
903	5.43147208E-1
25	5.43654822E-1
679	5.43795159E-1
862	5.46700508E-1
978	5.47356329E-1
276	5.50253807E-1
657	5.50934619E-1
340	5.51269036E-1
613	5.5177665E-1
383	5.52169813E-1
567	5.53299492E-1
951	5.53320363E-1
934	5.5786802E-1
684	5.58053357E-1
739	5.59898477E-1
492	5.63344382E-1
593	5.63650012E-1
799	5.64780387E-1
883	5.68258168E-1
935	5.68810353E-1
72	5.74130879E-1
219	5.78017486E-1
280	5.8071066E-1
233	5.81218274E-1
990	5.84729963E-1
837	5.85533604E-1
327	5.8744503E-1
811	5.8979243E-1
870	5.89847716E-1
723	5.91266241E-1
541	5.95431472E-1
831	5.96954315E-1
952	5.98469883E-1
521	5.98587724E-1
329	5.98801266E-1
529	5.98984772E-1
51	5.99492386E-1
672	6.00507614E-1
246	6.05417111E-1
716	6.11167513E-1
260	6.12690355E-1
659	6.14321585E-1
375	6.15912656E-1
843	6.16231195E-1
539	6.16976026E-1
164	6.20304569E-1
195	6.21101293E-1
505	6.22766739E-1
548	6.23350254E-1
114	6.25047681E-1
531	6.2505452E-1
566	6.25698324E-1
158	6.27411168E-1
715	6.27560314E-1
783	6.28751868E-1
351	6.2893401E-1
121	6.30964467E-1
809	6.30969488E-1
1016	6.32613067E-1
757	6.32737518E-1
773	6.33245339E-1
281	6.33365504E-1
787	6.3506799E-1
363	6.35532995E-1
711	6.38071066E-1
927	6.40101523E-1
200	6.41521639E-1
399	6.44240571E-1
950	6.45059748E-1
542	6.45685279E-1
876	6.45794173E-1
814	6.46375736E-1
512	6.4743075E-1
228	6.50924338E-1
166	6.51266396E-1
66	6.5857122E-1
700	6.59217877E-1
316	6.59776315E-1
789	6.60020858E-1
500	6.61838625E-1
635	6.65482234E-1
780	6.65911099E-1
398	6.68020305E-1
766	6.683312E-1
442	6.69170419E-1
712	6.69679326E-1
381	6.69721518E-1
724	6.70050762E-1
382	6.71573604E-1
745	6.7314022E-1
279	6.75126904E-1
249	6.75634518E-1
239	6.78172589E-1
223	6.78347486E-1
599	6.79695432E-1
