Name	chi2Pvalue
479	2.05999207E-3
892	3.23475046E-3
573	4.32456146E-3
160	5.0831793E-3
227	5.54528651E-3
243	8.36010496E-3
699	9.70425139E-3
750	9.7891233E-3
525	1.00167214E-2
881	1.02208253E-2
61	1.0660777E-2
265	1.1090573E-2
189	1.15290221E-2
52	1.15526802E-2
798	1.52495379E-2
480	1.70089924E-2
963	1.79286249E-2
105	1.80221811E-2
624	2.12569316E-2
326	2.2181146E-2
849	2.42622761E-2
545	2.49537893E-2
248	2.75422473E-2
725	2.87716882E-2
576	2.93822334E-2
719	2.95748614E-2
247	3.0065518E-2
973	3.04990758E-2
598	3.26458521E-2
161	3.47026188E-2
92	3.52505419E-2
474	4.02033272E-2
104	4.75970425E-2
728	5.0831793E-2
152	5.22181146E-2
333	5.28204959E-2
589	5.36044362E-2
273	5.49730616E-2
55	5.59149723E-2
597	5.63770795E-2
438	5.82255083E-2
549	5.91497227E-2
514	6.03376204E-2
861	6.23844732E-2
563	6.30692067E-2
371	6.46950092E-2
609	7.14827712E-2
965	7.27732544E-2
77	7.47019874E-2
396	7.59006955E-2
244	7.70784056E-2
125	7.86582575E-2
617	8.81397753E-2
1	8.83032825E-2
115	8.83441258E-2
570	8.9589481E-2
764	9.01101123E-2
5	9.10351201E-2
794	9.19593346E-2
601	9.42698706E-2
475	9.5194085E-2
413	9.53348314E-2
93	9.79492029E-2
119	9.88909427E-2
296	1.00937752E-1
509	1.03515764E-1
503	1.04022854E-1
411	1.04761421E-1
151	1.06828219E-1
645	1.10453424E-1
34	1.1090573E-1
234	1.11829945E-1
551	1.1613066E-1
250	1.19685767E-1
996	1.1977656E-1
144	1.20147874E-1
781	1.20732795E-1
174	1.21072089E-1
846	1.21078556E-1
36	1.21859362E-1
266	1.22481896E-1
992	1.22530484E-1
962	1.22604121E-1
912	1.24436994E-1
878	1.27079482E-1
211	1.29852609E-1
324	1.29999575E-1
661	1.31575627E-1
674	1.32422658E-1
120	1.33021198E-1
813	1.35385946E-1
982	1.36878386E-1
989	1.39556714E-1
605	1.41866913E-1
476	1.42516884E-1
587	1.43165E-1
768	1.43715342E-1
484	1.44639556E-1
293	1.47874307E-1
212	1.51109057E-1
643	1.52033272E-1
993	1.52893141E-1
841	1.54343808E-1
586	1.6300144E-1
13	1.64048059E-1
960	1.65611043E-1
332	1.68207024E-1
961	1.6952699E-1
395	1.69593346E-1
792	1.72486712E-1
102	1.75138632E-1
829	1.75796168E-1
305	1.77911275E-1
352	1.7883549E-1
622	1.79082388E-1
902	1.79372895E-1
577	1.80221811E-1
89	1.80683919E-1
945	1.82459252E-1
192	1.83918669E-1
738	1.87213021E-1
762	1.87252187E-1
440	1.88077634E-1
676	1.88539741E-1
858	1.90263204E-1
847	1.9038817E-1
753	1.94504834E-1
299	1.95368442E-1
447	1.96857671E-1
431	1.99514788E-1
101	2.01040252E-1
615	2.01469116E-1
653	2.01478743E-1
1007	2.03266139E-1
147	2.04251386E-1
990	2.06696115E-1
134	2.1025878E-1
894	2.11558172E-1
689	2.12569316E-1
776	2.12934847E-1
218	2.13457595E-1
943	2.13619725E-1
291	2.17414216E-1
157	2.18637867E-1
830	2.19038817E-1
270	2.19313975E-1
538	2.22280402E-1
917	2.23054979E-1
135	2.25464407E-1
86	2.25970425E-1
812	2.26432532E-1
896	2.26549663E-1
325	2.27356747E-1
627	2.27733707E-1
286	2.29205176E-1
138	2.31053605E-1
882	2.34288355E-1
504	2.35674676E-1
49	2.39276114E-1
470	2.39621029E-1
981	2.41831952E-1
979	2.42223684E-1
612	2.47245542E-1
628	2.47717525E-1
845	2.48846425E-1
718	2.49167898E-1
443	2.49572974E-1
148	2.51711645E-1
642	2.51848429E-1
634	2.52105206E-1
904	2.52895683E-1
787	2.53226621E-1
649	2.53696858E-1
803	2.5434953E-1
393	2.57324996E-1
817	2.57393715E-1
885	2.6044801E-1
743	2.60628466E-1
221	2.61722511E-1
183	2.62074678E-1
334	2.63283186E-1
155	2.63401109E-1
775	2.65861497E-1
44	2.68253195E-1
288	2.68476638E-1
330	2.6987061E-1
338	2.73364028E-1
253	2.74158528E-1
832	2.74368864E-1
557	2.74643491E-1
667	2.74953789E-1
683	2.76802218E-1
457	2.77264325E-1
646	2.79704115E-1
210	2.80499076E-1
662	2.82347505E-1
706	2.82507996E-1
919	2.84597269E-1
149	2.85582255E-1
1001	2.85630972E-1
880	2.864233E-1
520	2.91127542E-1
1013	2.91589649E-1
562	2.92312573E-1
698	2.92821839E-1
873	2.95178647E-1
428	2.96210721E-1
196	2.97520796E-1
949	2.9755729E-1
650	2.99072003E-1
62	3.01086317E-1
1005	3.02980336E-1
171	3.0500536E-1
188	3.05430195E-1
988	3.0937641E-1
0	3.09711614E-1
122	3.10082747E-1
412	3.11992511E-1
839	3.13110948E-1
807	3.13770795E-1
709	3.18391867E-1
139	3.2102614E-1
824	3.24256559E-1
12	3.26603541E-1
274	3.26860841E-1
360	3.27451259E-1
804	3.31280148E-1
977	3.32226025E-1
48	3.33294962E-1
688	3.37338262E-1
741	3.38508033E-1
995	3.3879707E-1
534	3.38859784E-1
677	3.39271365E-1
778	3.4103512E-1
966	3.4138955E-1
638	3.42052029E-1
909	3.42177039E-1
257	3.44335201E-1
493	3.45194085E-1
959	3.46458765E-1
985	3.47726696E-1
276	3.47966728E-1
340	3.48428835E-1
914	3.48890943E-1
946	3.49660267E-1
790	3.51201479E-1
805	3.5153351E-1
294	3.52125693E-1
20	3.53512015E-1
386	3.54436229E-1
242	3.56295926E-1
583	3.57208872E-1
553	3.59057301E-1
1003	3.59265218E-1
1012	3.59883266E-1
201	3.62754159E-1
897	3.67320955E-1
978	3.72122588E-1
31	3.74768946E-1
833	3.74927047E-1
860	3.75682024E-1
448	3.77014438E-1
695	3.78465804E-1
368	3.80040388E-1
190	3.8077634E-1
600	3.83546888E-1
180	3.84321798E-1
75	3.84863159E-1
976	3.85365047E-1
401	3.8602496E-1
770	3.87245841E-1
469	3.90713274E-1
422	3.91404806E-1
21	3.92791128E-1
953	3.9400882E-1
952	3.94495449E-1
433	3.94625163E-1
851	3.96025878E-1
356	3.96499098E-1
390	3.98853856E-1
337	3.990425E-1
84	3.99066328E-1
272	3.99260628E-1
254	3.9929293E-1
734	3.99343809E-1
432	4.02439037E-1
631	4.07578558E-1
692	4.08040665E-1
595	4.09285642E-1
140	4.09572389E-1
191	4.11424751E-1
497	4.11737523E-1
763	4.14048059E-1
544	4.14569599E-1
301	4.14972274E-1
808	4.17059421E-1
258	4.17194108E-1
468	4.19131238E-1
999	4.19455203E-1
269	4.21398095E-1
774	4.22365989E-1
295	4.26062847E-1
317	4.26525398E-1
575	4.28114826E-1
777	4.2883549E-1
208	4.29260284E-1
91	4.30157262E-1
323	4.32532347E-1
150	4.33322191E-1
928	4.34485365E-1
1011	4.36961607E-1
958	4.37636807E-1
54	4.38347224E-1
430	4.40850277E-1
287	4.43236251E-1
603	4.43510226E-1
481	4.45400457E-1
57	4.45471349E-1
888	4.46857671E-1
957	4.487061E-1
1000	4.48733839E-1
449	4.49168207E-1
815	4.49561508E-1
746	4.50092421E-1
477	4.51016636E-1
910	4.52577149E-1
740	4.52757222E-1
456	4.54251386E-1
173	4.55175601E-1
748	4.55215165E-1
535	4.59933906E-1
591	4.61182994E-1
581	4.61567622E-1
206	4.63669934E-1
969	4.64813538E-1
69	4.66019418E-1
451	4.66190287E-1
416	4.67190388E-1
380	4.69500924E-1
971	4.73070741E-1
489	4.75669475E-1
994	4.76706596E-1
822	4.78580184E-1
767	4.81277294E-1
327	4.82010628E-1
167	4.82902033E-1
11	4.82931343E-1
608	4.83964856E-1
14	4.85314253E-1
51	4.88909427E-1
142	4.90295749E-1
362	4.94916821E-1
571	4.96309543E-1
987	4.96701062E-1
145	4.98588044E-1
1002	4.98613678E-1
893	4.98679276E-1
361	5.00380601E-1
387	5.00924214E-1
702	5.01386322E-1
913	5.02772643E-1
555	5.0323475E-1
141	5.04158965E-1
831	5.05545287E-1
112	5.08156212E-1
684	5.08934574E-1
72	5.11627907E-1
541	5.17097967E-1
862	5.17560074E-1
755	5.20332717E-1
58	5.21256932E-1
521	5.25092743E-1
271	5.25877448E-1
377	5.25878004E-1
951	5.29361027E-1
956	5.30692699E-1
495	5.3142329E-1
863	5.32347505E-1
735	5.32599433E-1
170	5.36833811E-1
527	5.37430684E-1
596	5.38355816E-1
739	5.40665434E-1
281	5.4077602E-1
382	5.42778888E-1
426	5.458023E-1
607	5.46210721E-1
516	5.48009069E-1
264	5.49445471E-1
280	5.52218115E-1
621	5.53142329E-1
435	5.53604436E-1
744	5.54117784E-1
529	5.54990758E-1
539	5.55313341E-1
972	5.59881732E-1
883	5.60369421E-1
300	5.60998152E-1
226	5.61460259E-1
25	5.61922366E-1
691	5.64024976E-1
809	5.64839717E-1
554	5.65176707E-1
499	5.65263944E-1
811	5.66081331E-1
723	5.66608217E-1
629	5.68675314E-1
310	5.71626617E-1
859	5.72196677E-1
891	5.73937153E-1
671	5.75323475E-1
968	5.75391439E-1
76	5.75785582E-1
898	5.76953266E-1
651	5.77247143E-1
593	5.81230241E-1
512	5.82753058E-1
483	5.84565619E-1
823	5.88026921E-1
730	5.88724584E-1
766	5.89200576E-1
613	5.91959335E-1
837	5.96389527E-1
578	5.96767875E-1
114	5.96783655E-1
716	5.97507465E-1
619	5.9935305E-1
37	6.0007881E-1
842	6.00472065E-1
420	6.00873342E-1
927	6.03049908E-1
843	6.03366212E-1
28	6.03454448E-1
900	6.03490349E-1
754	6.03974122E-1
492	6.04070816E-1
223	6.04429442E-1
558	6.05554194E-1
783	6.09318364E-1
220	6.10443623E-1
348	6.1090573E-1
944	6.12017227E-1
169	6.13216266E-1
700	6.17198336E-1
375	6.17469515E-1
260	6.1922366E-1
789	6.22816822E-1
814	6.23173436E-1
166	6.23478387E-1
602	6.24306839E-1
66	6.24355231E-1
901	6.24662613E-1
1009	6.24881258E-1
867	6.26617375E-1
117	6.2754159E-1
806	6.30314233E-1
935	6.31462039E-1
204	6.35859519E-1
879	6.37154996E-1
657	6.37529348E-1
398	6.37707948E-1
219	6.38938944E-1
625	6.39727835E-1
548	6.40942699E-1
745	6.41358125E-1
121	6.44177449E-1
372	6.46817827E-1
133	6.46950092E-1
780	6.47172233E-1
363	6.48336414E-1
712	6.48716281E-1
757	6.48722447E-1
937	6.48798521E-1
389	6.48879001E-1
246	6.49357278E-1
934	6.5071231E-1
599	6.53419593E-1
887	6.55268022E-1
773	6.55598891E-1
241	6.60138092E-1
164	6.60351202E-1
233	6.65434381E-1
686	6.65570796E-1
526	6.65710739E-1
907	6.66339842E-1
336	6.66358596E-1
640	6.68207024E-1
785	6.68669132E-1
632	6.68794781E-1
16	6.70979668E-1
419	6.7560074E-1
1021	6.76062847E-1
840	6.77713848E-1
542	6.7883549E-1
108	6.82532348E-1
724	6.85767098E-1
844	6.87475994E-1
543	6.89001849E-1
463	6.92318596E-1
229	6.92722128E-1
903	6.95536367E-1
249	6.95933457E-1
715	6.96801139E-1
866	6.96857671E-1
772	6.99877407E-1
782	7.01016636E-1
436	7.01940851E-1
540	7.02752759E-1
8	7.03428544E-1
442	7.05435991E-1
980	7.05652517E-1
381	7.0625699E-1
465	7.06561923E-1
425	7.08872459E-1
347	7.1025878E-1
335	7.11188586E-1
647	7.13955638E-1
679	7.17075034E-1
185	7.17652496E-1
799	7.19588056E-1
500	7.20183499E-1
1017	7.21115727E-1
73	7.21349353E-1
758	7.21644971E-1
10	7.22273568E-1
502	7.23659889E-1
158	7.25970425E-1
194	7.2625732E-1
217	7.26432533E-1
623	7.28080316E-1
810	7.3012939E-1
1023	7.32758365E-1
385	7.37415786E-1
722	7.39371534E-1
932	7.40241757E-1
277	7.40757856E-1
306	7.41219963E-1
616	7.420447E-1
366	7.42144178E-1
215	7.43550551E-1
1008	7.44916821E-1
531	7.45691578E-1
60	7.50637142E-1
820	7.51190828E-1
936	7.57393716E-1
43	7.61111111E-1
827	7.62939002E-1
930	7.64325324E-1
490	7.64787431E-1
329	7.65123935E-1
100	7.66230718E-1
519	7.68033129E-1
45	7.6987061E-1
665	7.70332717E-1
899	7.71719039E-1
289	7.73105361E-1
614	7.74029575E-1
461	7.7672566E-1
99	7.76832077E-1
868	7.77127609E-1
690	7.77976335E-1
1010	7.80196342E-1
116	7.80247402E-1
98	7.84195934E-1
107	7.8426713E-1
678	7.84509448E-1
713	7.85120148E-1
408	7.8650647E-1
370	7.87766349E-1
505	7.88041133E-1
926	7.8862802E-1
399	7.90352505E-1
88	7.93290345E-1
561	7.93438078E-1
1006	7.95188556E-1
195	7.9604774E-1
6	7.96210721E-1
452	7.97597043E-1
501	8.00472315E-1
618	8.02218115E-1
471	8.03142329E-1
983	8.03441315E-1
857	8.0637708E-1
200	8.07706957E-1
523	8.08225508E-1
1016	8.09248644E-1
275	8.10601634E-1
708	8.12384473E-1
797	8.13446629E-1
202	8.14232902E-1
533	8.14695009E-1
41	8.15794623E-1
580	8.16543438E-1
986	8.16554289E-1
905	8.18853974E-1
975	8.20187359E-1
364	8.2116451E-1
130	8.21307268E-1
1018	8.23012939E-1
85	8.23235824E-1
1020	8.23475046E-1
379	8.25060467E-1
383	8.25292934E-1
511	8.25785582E-1
771	8.26027875E-1
222	8.27781055E-1
801	8.32814811E-1
852	8.34103512E-1
237	8.36579104E-1
19	8.3773414E-1
515	8.38262477E-1
424	8.38721204E-1
941	8.39574665E-1
418	8.40307445E-1
405	8.40800935E-1
284	8.40889712E-1
268	8.42208815E-1
358	8.43345656E-1
991	8.43414411E-1
508	8.44269871E-1
487	8.46464824E-1
648	8.47042514E-1
566	8.47380588E-1
530	8.49815157E-1
659	8.51812147E-1
124	8.55135588E-1
178	8.55360444E-1
947	8.57524413E-1
703	8.58514256E-1
343	8.59057301E-1
886	8.59519409E-1
717	8.62754159E-1
409	8.63095284E-1
848	8.63678373E-1
136	8.64140481E-1
482	8.64602588E-1
537	8.66365596E-1
410	8.67375231E-1
942	8.67615675E-1
198	8.6922366E-1
964	8.70741632E-1
984	8.71072089E-1
594	8.71273685E-1
302	8.72711527E-1
940	8.73252482E-1
584	8.74768946E-1
513	8.75693161E-1
228	8.7654962E-1
737	8.88498456E-1
486	8.89436618E-1
239	8.91866913E-1
876	8.93253235E-1
328	8.93505888E-1
955	8.94438361E-1
473	9.0080702E-1
27	9.02124492E-1
252	9.02915337E-1
331	9.0532475E-1
344	9.08307479E-1
231	9.13585952E-1
137	9.15434381E-1
80	9.17744917E-1
938	9.19521206E-1
156	9.20868377E-1
245	9.21441774E-1
635	9.23524389E-1
391	9.25916571E-1
950	9.26754415E-1
890	9.26834802E-1
357	9.29759704E-1
633	9.30221811E-1
320	9.34842884E-1
82	9.3800993E-1
290	9.40850277E-1
384	9.41433596E-1
113	9.41818857E-1
3	9.41889324E-1
225	9.43160813E-1
81	9.43622921E-1
199	9.45933457E-1
298	9.46593346E-1
673	9.47452268E-1
459	9.47589529E-1
460	9.48162106E-1
97	9.51478744E-1
666	9.5654184E-1
681	9.5705046E-1
56	9.57486137E-1
997	9.58872458E-1
933	9.59796673E-1
536	9.60021046E-1
35	9.61808282E-1
693	9.64334199E-1
427	9.707142E-1
711	9.70887246E-1
895	9.74040547E-1
611	9.74584104E-1
670	9.75970425E-1
316	9.76133702E-1
351	9.7689464E-1
131	9.77354623E-1
795	9.77507609E-1
816	9.77818854E-1
825	9.78298547E-1
1022	9.79179069E-1
870	9.79667283E-1
322	9.84406518E-1
30	9.85430678E-1
668	9.86136784E-1
998	9.86399942E-1
1004	9.86866323E-1
954	9.88346927E-1
304	9.88602843E-1
407	9.89321517E-1
87	9.89371534E-1
970	9.90088471E-1
123	9.90757863E-1
359	9.92233451E-1
1019	9.92275973E-1
118	9.9247898E-1
47	9.95715704E-1
641	9.96548506E-1
373	9.96765264E-1
462	9.97872456E-1
