Name	chi2Pvalue
802	4.2462845E-4
479	1.25179051E-3
480	1.70377144E-3
92	4.7206949E-3
750	8.79578381E-3
781	9.51512232E-3
573	1.26397305E-2
104	1.27334465E-2
161	1.31091489E-2
273	1.50752307E-2
982	1.6334567E-2
219	1.69905178E-2
188	1.79774107E-2
12	2.02930337E-2
609	2.07786741E-2
949	2.37691002E-2
575	2.51675039E-2
598	3.0407548E-2
115	3.05862362E-2
438	3.09847199E-2
861	3.35314092E-2
338	3.38150144E-2
798	3.73514431E-2
1	3.77919321E-2
55	4.17347378E-2
719	4.20203735E-2
945	4.34640936E-2
324	4.49679334E-2
538	4.5114031E-2
134	4.66893039E-2
157	4.75382003E-2
892	5.22071307E-2
627	5.33288799E-2
597	5.34804754E-2
317	5.60271647E-2
873	5.73100671E-2
411	6.34736845E-2
474	6.4516129E-2
377	6.53650255E-2
981	6.83369406E-2
212	6.88277823E-2
966	6.89167855E-2
880	7.03730866E-2
634	7.31161997E-2
1007	7.43509991E-2
49	7.58026363E-2
432	7.89808917E-2
373	8.02207131E-2
661	8.12417235E-2
973	8.23429542E-2
896	8.28828268E-2
643	8.36162988E-2
509	8.46973102E-2
841	8.57385399E-2
589	8.6777882E-2
845	8.74676069E-2
768	9.16808149E-2
595	9.17392693E-2
211	9.48142887E-2
976	9.58192002E-2
725	9.77089248E-2
271	9.80475382E-2
495	9.84148061E-2
622	1.00732411E-1
676	1.05687606E-1
291	1.07927188E-1
266	1.0950686E-1
775	1.09694921E-1
601	1.10780985E-1
52	1.12254255E-1
912	1.12631621E-1
776	1.1309679E-1
545	1.15874363E-1
1001	1.16835611E-1
743	1.18845501E-1
894	1.19269887E-1
978	1.20410715E-1
787	1.23711126E-1
525	1.24236353E-1
843	1.2457904E-1
51	1.26910017E-1
148	1.27917195E-1
469	1.29456706E-1
69	1.30785563E-1
296	1.32306234E-1
617	1.32649385E-1
326	1.34214275E-1
766	1.35398981E-1
659	1.37945671E-1
562	1.38341903E-1
310	1.38370119E-1
489	1.39219015E-1
943	1.39829789E-1
218	1.42555403E-1
963	1.44063464E-1
566	1.44425955E-1
1016	1.47181074E-1
371	1.49568324E-1
624	1.49957817E-1
995	1.52043033E-1
386	1.53650255E-1
919	1.54692365E-1
762	1.5580433E-1
763	1.56196944E-1
14	1.60104269E-1
401	1.608088E-1
904	1.61376543E-1
805	1.64849181E-1
443	1.6501238E-1
1005	1.6525776E-1
959	1.65791952E-1
846	1.65878772E-1
448	1.6593413E-1
812	1.66152098E-1
576	1.67669046E-1
972	1.70194275E-1
180	1.70363925E-1
555	1.7147708E-1
332	1.72379769E-1
301	1.73530215E-1
1008	1.73599321E-1
913	1.74023769E-1
77	1.74988252E-1
971	1.79632863E-1
746	1.80814941E-1
917	1.81335436E-1
859	1.82284837E-1
114	1.83067158E-1
898	1.83647395E-1
840	1.88373505E-1
690	1.90152801E-1
989	1.90781438E-1
135	1.91850594E-1
293	1.93123939E-1
413	1.93924716E-1
192	1.94149796E-1
395	1.94397284E-1
801	1.94821732E-1
780	1.96914516E-1
570	1.99066214E-1
832	2.00399769E-1
48	2.01937573E-1
265	2.02494735E-1
10	2.04584041E-1
463	2.05104575E-1
152	2.0713073E-1
333	2.09438137E-1
54	2.13312443E-1
247	2.13757817E-1
254	2.13921902E-1
902	2.14463562E-1
653	2.14614142E-1
549	2.14770798E-1
35	2.15195246E-1
702	2.17544374E-1
772	2.17979927E-1
183	2.17989366E-1
234	2.1901528E-1
102	2.19864177E-1
909	2.19971447E-1
433	2.21016215E-1
979	2.22717131E-1
645	2.24611218E-1
0	2.26734647E-1
563	2.27651699E-1
829	2.29109608E-1
604	2.29723992E-1
223	2.30475382E-1
878	2.31372534E-1
571	2.3265094E-1
544	2.36596513E-1
897	2.36842105E-1
196	2.36850913E-1
926	2.38090445E-1
477	2.39388795E-1
985	2.40812482E-1
625	2.41737122E-1
648	2.42690478E-1
