Name	chi2Pvalue
802	4.2462845E-4
479	1.66889398E-3
892	2.12224109E-3
273	2.5845527E-3
92	3.26620424E-3
753	3.5885054E-3
183	5.87230117E-3
798	6.36672326E-3
480	8.30622565E-3
373	8.91341256E-3
49	9.19941541E-3
317	1.23089983E-2
525	1.40067371E-2
617	1.69421167E-2
750	1.793892E-2
438	1.82512733E-2
963	1.83536117E-2
896	1.9705772E-2
377	1.99490662E-2
598	2.04569494E-2
861	2.5466893E-2
566	2.70917201E-2
719	2.71646859E-2
573	2.82065967E-2
134	2.84380306E-2
725	2.8686235E-2
52	2.98440283E-2
265	3.13150007E-2
12	3.42500214E-2
982	3.43283008E-2
212	3.6271861E-2
643	3.69269949E-2
973	3.82003396E-2
432	3.94904459E-2
846	4.44167189E-2
474	4.4991511E-2
247	4.56701407E-2
661	4.65686573E-2
928	4.81275271E-2
917	4.81945145E-2
219	4.99923394E-2
562	5.61848911E-2
873	5.76371739E-2
981	5.80348388E-2
152	5.89983022E-2
189	5.97742793E-2
563	6.07012584E-2
841	6.19694397E-2
157	6.28183362E-2
48	6.59038514E-2
859	6.68365406E-2
601	6.74872666E-2
945	6.80822717E-2
140	6.89245184E-2
781	7.00009213E-2
114	7.02049172E-2
545	7.21561969E-2
104	7.30050934E-2
792	7.47028862E-2
401	8.44141025E-2
812	8.59676336E-2
324	8.87713451E-2
597	9.12563667E-2
338	9.1822381E-2
949	9.25297114E-2
1	1.01061571E-1
115	1.01104503E-1
989	1.0131403E-1
622	1.0143372E-1
845	1.02965891E-1
188	1.03350176E-1
77	1.03592031E-1
912	1.06067898E-1
469	1.07385399E-1
847	1.07809847E-1
475	1.09083192E-1
943	1.09139339E-1
840	1.09886091E-1
625	1.10662381E-1
509	1.1092892E-1
44	1.11474112E-1
549	1.12903226E-1
296	1.14224858E-1
301	1.14989042E-1
1007	1.15899913E-1
587	1.18375181E-1
595	1.18677326E-1
234	1.19694397E-1
218	1.21589129E-1
102	1.23089983E-1
743	1.27334465E-1
5	1.2860781E-1
1001	1.32432886E-1
333	1.32472595E-1
764	1.32765297E-1
645	1.38350076E-1
972	1.42425535E-1
768	1.44312394E-1
293	1.4516129E-1
326	1.45548372E-1
392	1.46010187E-1
776	1.4716342E-1
448	1.4784356E-1
55	1.51159228E-1
576	1.52534117E-1
804	1.53650255E-1
1005	1.54421458E-1
570	1.55772496E-1
801	1.56196944E-1
946	1.58690307E-1
161	1.5991425E-1
305	1.60441426E-1
898	1.62626716E-1
638	1.62944953E-1
192	1.63655266E-1
634	1.6399207E-1
909	1.69642302E-1
244	1.7096318E-1
196	1.71022075E-1
266	1.73275848E-1
966	1.74035153E-1
646	1.74946921E-1
878	1.75712731E-1
411	1.77306278E-1
