Name	chi2Pvalue
802	4.995005E-4
12	6.70031238E-4
805	2.99550674E-3
495	5.80007056E-3
595	6.4902646E-3
781	7.86766634E-3
509	8.59375896E-3
982	1.02847359E-2
219	1.52724085E-2
291	1.57852035E-2
573	1.5977219E-2
104	1.79730404E-2
338	1.80062044E-2
161	2.08669264E-2
919	2.14677983E-2
609	2.44105476E-2
273	3.17528584E-2
438	3.19520719E-2
157	3.39490764E-2
134	3.44483275E-2
566	3.53108389E-2
373	3.59460809E-2
211	3.69445831E-2
617	3.88026927E-2
978	3.97239554E-2
843	4.11700149E-2
775	4.12276725E-2
188	4.23035798E-2
898	4.25906755E-2
674	4.29355966E-2
763	4.54318522E-2
317	4.64303545E-2
880	4.81805921E-2
519	5.14228657E-2
1	5.34465534E-2
750	5.40128274E-2
792	5.44183724E-2
845	5.49176236E-2
92	5.55305574E-2
627	5.60734055E-2
10	5.69146281E-2
995	5.74183524E-2
1011	5.84827363E-2
780	5.87943727E-2
676	6.0908637E-2
352	6.14078882E-2
1001	6.2192413E-2
302	6.39638972E-2
212	6.44577653E-2
653	6.53424692E-2
798	6.59011483E-2
812	6.64003994E-2
912	6.92677646E-2
651	7.05964697E-2
432	7.59240759E-2
661	7.96404045E-2
894	8.10570548E-2
878	8.43734398E-2
893	8.64909654E-2
896	8.98652022E-2
55	9.02898295E-2
479	9.05861438E-2
448	9.28603846E-2
489	9.28607089E-2
611	9.53569646E-2
770	9.54045954E-2
833	9.91067997E-2
335	1.00578852E-1
795	1.02193369E-1
725	1.10833749E-1
985	1.11367501E-1
43	1.12443778E-1
300	1.12830754E-1
902	1.12949988E-1
114	1.13490554E-1
124	1.15327009E-1
643	1.16824763E-1
776	1.17012632E-1
545	1.20319521E-1
604	1.21378621E-1
904	1.23546095E-1
984	1.24237304E-1
899	1.32800799E-1
622	1.33779878E-1
575	1.34417709E-1
75	1.34932534E-1
91	1.35566869E-1
527	1.3557185E-1
741	1.36117348E-1
659	1.36794808E-1
310	1.37294059E-1
1023	1.3779331E-1
856	1.38791812E-1
555	1.40788817E-1
334	1.45284414E-1
135	1.47778333E-1
897	1.49276086E-1
829	1.49757318E-1
73	1.50773839E-1
737	1.50784903E-1
738	1.5231321E-1
972	1.52382071E-1
963	1.52819154E-1
192	1.54674157E-1
1016	1.56116068E-1
787	1.56442157E-1
49	1.58824682E-1
254	1.60185586E-1
913	1.61757364E-1
766	1.62755866E-1
501	1.63754368E-1
959	1.64017016E-1
