Name	chi2Pvalue
802	5.11508951E-4
12	7.84960689E-4
995	3.58056266E-3
917	4.67970201E-3
617	6.03995762E-3
373	6.64961637E-3
104	7.16112532E-3
219	1.33292884E-2
781	1.4828663E-2
114	1.57935935E-2
273	1.79284921E-2
595	1.89258312E-2
919	1.99488491E-2
945	2.01708036E-2
982	2.15023493E-2
750	2.196205E-2
805	2.19948849E-2
812	2.40409207E-2
55	2.44089364E-2
845	2.65984655E-2
438	2.71099744E-2
878	2.76214834E-2
1001	2.89586769E-2
912	2.99631066E-2
48	3.4226821E-2
909	3.45658909E-2
661	3.62040451E-2
902	3.67765935E-2
188	3.71229943E-2
566	3.89246804E-2
978	3.90360032E-2
798	4.09207161E-2
291	4.16305138E-2
211	4.29667519E-2
833	4.33329337E-2
317	4.39897698E-2
432	4.5035824E-2
829	4.50732334E-2
49	4.58427818E-2
775	4.59223656E-2
212	4.60848084E-2
509	4.70574627E-2
134	4.91048593E-2
573	5.43752117E-2
480	5.60668469E-2
622	5.71560859E-2
858	5.74801099E-2
643	5.93350384E-2
157	6.08695652E-2
1	6.34595701E-2
377	6.59846547E-2
426	6.75191816E-2
776	6.86197556E-2
469	6.95652174E-2
900	7.31457801E-2
218	8.0589661E-2
859	8.10592323E-2
338	8.34608557E-2
609	8.39457897E-2
898	8.94609703E-2
681	9.10485934E-2
801	9.20716113E-2
92	9.38424764E-2
183	9.71418335E-2
725	9.71867008E-2
519	9.82097187E-2
575	9.96400792E-2
545	9.97442455E-2
543	1.03324808E-1
175	1.04859335E-1
741	1.06974479E-1
981	1.09850214E-1
94	1.11508951E-1
203	1.1202046E-1
904	1.12924178E-1
625	1.12975758E-1
161	1.13549213E-1
487	1.14578005E-1
705	1.16112532E-1
75	1.16743472E-1
576	1.17633134E-1
843	1.18630529E-1
691	1.19817115E-1
790	1.22250639E-1
993	1.22653192E-1
972	1.25268898E-1
1011	1.26878087E-1
192	1.28388747E-1
474	1.2908933E-1
943	1.32432726E-1
794	1.34526854E-1
593	1.35038363E-1
475	1.4168798E-1
597	1.46314676E-1
102	1.46803069E-1
152	1.48337596E-1
1007	1.48621325E-1
52	1.51181646E-1
413	1.53964194E-1
984	1.5494548E-1
677	1.57033248E-1
841	1.57277127E-1
250	1.58567775E-1
266	1.61102876E-1
