Name	chi2Pvalue
802	4.995005E-4
12	1.52908214E-3
509	1.81625133E-3
617	2.28993969E-3
373	3.99400899E-3
438	6.98951573E-3
812	1.04842736E-2
317	1.09835247E-2
805	1.14827758E-2
775	1.47592469E-2
845	1.54767848E-2
134	2.09685472E-2
49	2.19383334E-2
211	2.19670494E-2
157	2.29655517E-2
798	2.4463305E-2
432	2.4975025E-2
338	2.57384761E-2
781	2.66730919E-2
982	2.77215337E-2
945	2.99101943E-2
878	2.99550674E-2
104	3.04543185E-2
909	3.1518293E-2
661	3.27717428E-2
978	3.30182186E-2
959	3.34687595E-2
912	3.38248689E-2
595	3.39490764E-2
114	3.6930772E-2
218	3.97954636E-2
750	4.14361512E-2
919	4.29355966E-2
212	4.59732379E-2
843	4.61486663E-2
248	4.74874474E-2
273	4.96426202E-2
1	5.19480519E-2
833	5.2553311E-2
741	5.32444901E-2
575	5.66486943E-2
776	5.75485907E-2
995	6.51404758E-2
183	6.89858584E-2
858	7.17118211E-2
643	7.2890664E-2
725	7.63854219E-2
795	7.91827875E-2
92	7.98693546E-2
1001	8.16282553E-2
573	8.43041058E-2
985	8.48317846E-2
219	8.53916021E-2
981	8.5531011E-2
904	8.63911512E-2
75	8.89555222E-2
291	8.90486963E-2
377	8.98652022E-2
188	9.18563024E-2
545	9.23614578E-2
495	9.26494277E-2
73	9.28607089E-2
161	9.31406858E-2
469	9.38592112E-2
43	9.44527736E-2
55	9.72695301E-2
900	9.94427188E-2
787	1.00325787E-1
480	1.01429504E-1
801	1.0234648E-1
792	1.07338992E-1
859	1.07702051E-1
566	1.08018011E-1
902	1.08201112E-1
102	1.12830754E-1
860	1.13318419E-1
448	1.14549083E-1
203	1.17324014E-1
94	1.18322516E-1
426	1.1982027E-1
479	1.22879011E-1
653	1.22893261E-1
302	1.26506878E-1
691	1.27155498E-1
972	1.31258965E-1
681	1.33799301E-1
674	1.36794808E-1
676	1.3779331E-1
192	1.38584252E-1
352	1.38791812E-1
503	1.39418781E-1
1023	1.40289566E-1
576	1.42018934E-1
966	1.43844423E-1
593	1.47778333E-1
847	1.48277584E-1
296	1.48543248E-1
475	1.48776835E-1
330	1.49276086E-1
984	1.50205046E-1
89	1.50773839E-1
543	1.53769346E-1
880	1.54512949E-1
651	1.54519132E-1
175	1.54767848E-1
957	1.55267099E-1
856	1.5576635E-1
254	1.55880324E-1
335	1.56215948E-1
1007	1.56599001E-1
622	1.58004818E-1
894	1.58555636E-1
539	1.61258113E-1
37	1.63519798E-1
474	1.63775922E-1
794	1.65252122E-1
1005	1.65346326E-1
487	1.66749875E-1
993	1.67362384E-1
194	1.6844158E-1
677	1.69745382E-1
861	1.71742386E-1
719	1.72740889E-1
963	1.7363814E-1
726	1.74023041E-1
459	1.75745832E-1
625	1.76582725E-1
1020	1.78232651E-1
627	1.79127699E-1
977	1.80562137E-1
732	1.80728907E-1
780	1.82184703E-1
705	1.82725911E-1
766	1.84223665E-1
152	1.85721418E-1
368	1.8671992E-1
10	1.87219171E-1
52	1.87640558E-1
350	1.87718422E-1
743	1.88217673E-1
738	1.89765549E-1
168	1.90044211E-1
