Name	chi2Pvalue
161	1.05680755E-4
750	4.42295344E-4
104	7.72417667E-4
103	1.26960274E-3
480	1.74963093E-3
273	2.26907246E-3
55	2.595285E-3
573	2.96493347E-3
188	3.09753693E-3
959	3.60324348E-3
912	3.64239311E-3
296	5.48232308E-3
775	5.57366752E-3
661	5.9132213E-3
93	6.08108157E-3
738	8.42859316E-3
651	1.04383155E-2
12	1.06466331E-2
963	1.16054301E-2
719	1.17643454E-2
744	1.22323751E-2
945	1.31966224E-2
612	1.38395009E-2
598	1.55729047E-2
181	1.98019802E-2
861	2.0008861E-2
896	2.0061987E-2
563	2.03663171E-2
645	2.07464966E-2
589	2.1729094E-2
338	2.28436051E-2
92	2.58585292E-2
938	2.64031441E-2
812	2.8622473E-2
802	2.95936019E-2
333	2.99411434E-2
638	3.04076615E-2
894	3.16353058E-2
946	3.23696482E-2
157	3.2914186E-2
235	3.39642618E-2
904	3.42117291E-2
324	3.49421292E-2
185	3.54732796E-2
712	3.60921651E-2
269	3.63018651E-2
317	3.63461299E-2
677	3.6522706E-2
562	3.65593196E-2
479	3.66226601E-2
52	3.77873114E-2
985	3.80769933E-2
815	3.85908559E-2
917	4.02450558E-2
973	4.02977214E-2
405	4.22796928E-2
576	4.54281804E-2
20	4.76264122E-2
781	4.84459524E-2
762	4.88451841E-2
622	4.88635674E-2
326	4.92568313E-2
953	4.94159436E-2
1	5.36860377E-2
768	5.40864653E-2
979	5.44899228E-2
385	5.56568077E-2
266	5.80056258E-2
1001	5.84557275E-2
910	5.86862181E-2
755	5.96308686E-2
221	6.00147346E-2
740	6.02166618E-2
257	6.13918903E-2
787	6.16097897E-2
237	6.17646182E-2
758	6.32736816E-2
36	6.39885209E-2
514	6.44189708E-2
291	6.50182942E-2
900	6.73010871E-2
433	6.85958724E-2
275	6.92393865E-2
112	6.99760926E-2
909	7.01058262E-2
386	7.2397486E-2
609	7.25394635E-2
189	7.27973732E-2
476	7.49094564E-2
603	7.49213525E-2
952	7.50614079E-2
474	7.80925686E-2
0	7.86472002E-2
151	7.93853957E-2
517	7.94364251E-2
51	8.06023045E-2
239	8.26622604E-2
782	8.34145996E-2
616	8.37500897E-2
411	8.60588689E-2
492	8.65836951E-2
698	8.68817082E-2
994	8.75949014E-2
859	9.03145186E-2
