Name	chi2Pvalue
802	7.9403093E-5
161	2.79931609E-4
12	3.74817911E-4
104	6.89607613E-4
917	7.99658899E-4
103	1.39135403E-3
750	2.54086578E-3
219	2.75983704E-3
479	3.19936848E-3
55	4.13553256E-3
651	7.93151147E-3
779	8.43335907E-3
945	8.91040527E-3
235	9.33874131E-3
978	9.49634978E-3
658	9.52931706E-3
661	9.85025896E-3
532	1.05549673E-2
763	1.0678028E-2
566	1.16336127E-2
622	1.20395918E-2
517	1.33699585E-2
959	1.43628719E-2
772	1.45437807E-2
180	1.47924813E-2
912	1.51514477E-2
273	1.56252836E-2
573	1.72810723E-2
92	1.81021155E-2
239	1.83336906E-2
900	1.83342221E-2
617	1.84400887E-2
881	1.91101517E-2
338	1.98971532E-2
812	2.14113613E-2
787	2.14508951E-2
576	2.192799E-2
538	2.20780602E-2
843	2.30086397E-2
562	2.79218629E-2
719	3.00567954E-2
49	3.04821111E-2
958	3.09374606E-2
122	3.11259874E-2
420	3.2396841E-2
411	3.25802599E-2
495	3.26817821E-2
1001	3.36985881E-2
188	3.39837785E-2
229	3.6234645E-2
527	3.7356545E-2
317	4.23825264E-2
845	4.28089717E-2
257	4.57644856E-2
335	4.63117564E-2
676	4.69293278E-2
448	4.73440211E-2
181	4.7376043E-2
674	4.90990186E-2
737	4.91851187E-2
993	4.96540955E-2
218	5.05763551E-2
705	5.22375836E-2
69	5.3593858E-2
904	5.45989662E-2
841	5.54782632E-2
858	5.58283665E-2
114	5.58485189E-2
738	5.58978505E-2
50	5.73200082E-2
249	5.76548012E-2
76	5.81149187E-2
597	5.83393741E-2
781	5.947557E-2
226	6.15056521E-2
96	6.20558548E-2
740	6.23217912E-2
913	6.34920438E-2
829	6.45577972E-2
296	6.46300665E-2
615	6.81098086E-2
310	7.06581083E-2
840	7.07175147E-2
389	7.08890583E-2
919	7.09823435E-2
860	7.14094661E-2
157	7.4149889E-2
970	7.51886938E-2
731	7.56498738E-2
509	7.85635296E-2
648	8.34273887E-2
518	8.4663244E-2
168	8.47582087E-2
356	8.54708654E-2
360	8.57726786E-2
396	8.58917715E-2
266	8.73420427E-2
20	8.74935917E-2
470	8.8367006E-2
854	8.97586306E-2
487	9.10411609E-2
754	9.2694335E-2
775	9.35923836E-2
847	9.40660936E-2
876	9.46051027E-2
233	9.58413753E-2
463	9.66274E-2
796	9.67196245E-2
555	9.74023784E-2
902	9.75041291E-2
293	9.84250653E-2
1013	1.014743E-1
837	1.02256415E-1
639	1.02703472E-1
326	1.04453E-1
762	1.05446854E-1
930	1.07896355E-1
320	1.08556134E-1
14	1.09054585E-1
179	1.09953784E-1
480	1.10476794E-1
878	1.11859528E-1
1007	1.12459939E-1
115	1.13242436E-1
801	1.13745295E-1
519	1.13928566E-1
952	1.14419566E-1
741	1.1582276E-1
243	1.21321783E-1
491	1.21701916E-1
739	1.22082652E-1
551	1.22449762E-1
609	1.24744945E-1
171	1.27637476E-1
208	1.28855763E-1
29	1.30836542E-1
194	1.32011094E-1
513	1.32058832E-1
111	1.3474275E-1
660	1.36853617E-1
746	1.37003482E-1
47	1.37154784E-1
247	1.37683088E-1
691	1.37771244E-1
892	1.37934711E-1
790	1.39358625E-1
857	1.39555695E-1
653	1.40515918E-1
727	1.41390617E-1
961	1.41815412E-1
598	1.4383591E-1
795	1.4514399E-1
1010	1.4584252E-1
276	1.47150274E-1
699	1.47391354E-1
435	1.47738433E-1
689	1.48062582E-1
433	1.48581772E-1
212	1.49794109E-1
183	1.50118211E-1
93	1.5108357E-1
467	1.51478238E-1
818	1.52353737E-1
385	1.5273659E-1
646	1.53235688E-1
683	1.53551345E-1
798	1.55633832E-1
112	1.56492614E-1
343	1.56559133E-1
894	1.61074438E-1
9	1.6112941E-1
755	1.61217881E-1
896	1.61814922E-1
214	1.6217329E-1
438	1.63494384E-1
604	1.63876155E-1
782	1.64701905E-1
251	1.65079142E-1
545	1.65524387E-1
664	1.67868752E-1
998	1.68298033E-1
176	1.69087455E-1
407	1.70114805E-1
732	1.72231532E-1
474	1.7225091E-1
1002	1.725972E-1
667	1.75752005E-1
534	1.76434173E-1
13	1.7785717E-1
40	1.80666282E-1
65	1.81027646E-1
346	1.82231394E-1
675	1.8295681E-1
946	1.83766946E-1
34	1.85600361E-1
56	1.86398967E-1
432	1.87408095E-1
469	1.87686198E-1
893	1.90065365E-1
936	1.90130982E-1
401	1.90215136E-1
51	1.9032823E-1
264	1.90569855E-1
533	1.92607337E-1
454	1.93568992E-1
373	1.94591776E-1
702	1.96288596E-1
353	1.97129726E-1
91	1.9944915E-1
59	1.9961013E-1
205	1.99657778E-1
611	2.00017798E-1
192	2.00096692E-1
844	2.00605383E-1
864	2.01934505E-1
839	2.02871718E-1
361	2.02880567E-1
352	2.05231708E-1
982	2.06191131E-1
921	2.07060945E-1
806	2.07385986E-1
794	2.10425537E-1
200	2.10686834E-1
541	2.10863001E-1
197	2.11038883E-1
431	2.13367832E-1
395	2.1417685E-1
877	2.14279985E-1
99	2.14283175E-1
624	2.14609124E-1
929	2.16058999E-1
784	2.16229058E-1
969	2.17895091E-1
134	2.17909655E-1
596	2.18516453E-1
429	2.20629146E-1
332	2.20769897E-1
903	2.21265871E-1
186	2.21962743E-1
927	2.2524191E-1
859	2.26047302E-1
1	2.26140827E-1
644	2.27225709E-1
831	2.27377592E-1
591	2.28068035E-1
677	2.29050855E-1
24	2.2973412E-1
368	2.30374495E-1
957	2.30865866E-1
151	2.31479508E-1
371	2.32947389E-1
427	2.33696106E-1
899	2.35259346E-1
213	2.36382143E-1
1020	2.36778359E-1
220	2.37013853E-1
193	2.37388812E-1
311	2.37623322E-1
477	2.40985647E-1
743	2.41399304E-1
565	2.42378296E-1
175	2.4593368E-1
165	2.47077081E-1
271	2.47216157E-1
786	2.51904193E-1
106	2.53369235E-1
63	2.54536584E-1
284	2.55777443E-1
592	2.57183767E-1
645	2.57872911E-1
85	2.58528171E-1
10	2.58596443E-1
553	2.5990868E-1
307	2.60369867E-1
758	2.60841267E-1
792	2.61889087E-1
1015	2.67152545E-1
638	2.67314349E-1
563	2.69405673E-1
393	2.70924641E-1
142	2.72134702E-1
206	2.72322279E-1
67	2.72657903E-1
159	2.74946555E-1
778	2.76868051E-1
634	2.77259136E-1
0	2.80232825E-1
652	2.80756449E-1
412	2.81841232E-1
856	2.83039929E-1
406	2.83926974E-1
178	2.84855637E-1
716	2.86012883E-1
64	2.86093953E-1
520	2.87782568E-1
776	2.88109441E-1
791	2.89292951E-1
807	2.89623168E-1
862	2.90900922E-1
557	2.92434439E-1
867	2.94590196E-1
851	2.95139923E-1
173	2.99587265E-1
512	3.03400994E-1
30	3.04793036E-1
124	3.05257188E-1
279	3.05958623E-1
944	3.06754632E-1
643	3.07731965E-1
455	3.08989262E-1
277	3.09365509E-1
211	3.09777363E-1
105	3.12809929E-1
1011	3.14154352E-1
546	3.15025947E-1
633	3.16195749E-1
272	3.16602168E-1
15	3.18325276E-1
751	3.19297034E-1
973	3.19562889E-1
204	3.2183842E-1
726	3.22585104E-1
100	3.26028397E-1
789	3.28584179E-1
305	3.29141529E-1
75	3.2916486E-1
331	3.29713967E-1
68	3.30584954E-1
319	3.31323634E-1
136	3.31330314E-1
312	3.34540764E-1
302	3.34694715E-1
760	3.35705923E-1
291	3.37250979E-1
496	3.38745317E-1
1019	3.4030321E-1
602	3.41039312E-1
150	3.41617312E-1
439	3.41904905E-1
423	3.41976415E-1
452	3.43921878E-1
848	3.44190291E-1
873	3.44377524E-1
345	3.45448017E-1
292	3.47043353E-1
72	3.49870539E-1
984	3.50183661E-1
578	3.50796566E-1
386	3.5141797E-1
6	3.54568322E-1
616	3.54625136E-1
403	3.5573447E-1
23	3.56610993E-1
327	3.56783322E-1
333	3.5689851E-1
268	3.57968287E-1
162	3.58137729E-1
254	3.58773732E-1
725	3.59978651E-1
350	3.60536673E-1
132	3.60570688E-1
42	3.60854936E-1
814	3.61756997E-1
618	3.62179266E-1
380	3.62241857E-1
963	3.62599039E-1
221	3.62655649E-1
636	3.63062185E-1
928	3.63255666E-1
102	3.64720308E-1
58	3.65186765E-1
766	3.65340125E-1
1012	3.66162134E-1
228	3.66184156E-1
110	3.6831811E-1
805	3.68711239E-1
190	3.71804482E-1
694	3.76656831E-1
884	3.7711951E-1
620	3.77856736E-1
613	3.78265343E-1
649	3.79258077E-1
822	3.79565797E-1
835	3.82300182E-1
834	3.83018002E-1
123	3.84680418E-1
811	3.84747063E-1
625	3.85377644E-1
777	3.87330146E-1
342	3.87422435E-1
143	3.88011022E-1
1016	3.88171322E-1
301	3.88438146E-1
113	3.89358913E-1
582	3.898202E-1
500	3.90723467E-1
260	3.91410726E-1
753	3.9405707E-1
434	3.94527732E-1
886	3.9528748E-1
866	3.9648976E-1
41	3.97779231E-1
579	3.98317271E-1
25	3.98566489E-1
693	4.00545132E-1
767	4.01530332E-1
154	4.02566641E-1
445	4.04826138E-1
744	4.06100084E-1
543	4.07140942E-1
659	4.08632673E-1
84	4.09077089E-1
324	4.1013394E-1
436	4.10606932E-1
203	4.10942928E-1
869	4.1211398E-1
890	4.13313423E-1
525	4.13739895E-1
830	4.14082275E-1
27	4.16208871E-1
464	4.16625979E-1
891	4.16908033E-1
888	4.17963201E-1
98	4.19290421E-1
1000	4.19712395E-1
230	4.20891507E-1
909	4.21922402E-1
700	4.23097609E-1
685	4.2311436E-1
405	4.2329983E-1
569	4.23722284E-1
950	4.23877638E-1
494	4.24108291E-1
408	4.2480516E-1
933	4.25484207E-1
61	4.25857802E-1
870	4.26446326E-1
281	4.27025785E-1
589	4.28451724E-1
734	4.2882529E-1
457	4.31429766E-1
692	4.31568493E-1
481	4.31770974E-1
314	4.3235115E-1
250	4.32830627E-1
227	4.34380309E-1
74	4.35413137E-1
1005	4.40457997E-1
440	4.41101898E-1
505	4.41874043E-1
670	4.45476E-1
861	4.46721204E-1
640	4.47067807E-1
526	4.47205595E-1
712	4.52478178E-1
392	4.53079523E-1
605	4.53468659E-1
974	4.54247496E-1
706	4.55289866E-1
971	4.55788988E-1
117	4.56571798E-1
245	4.56737337E-1
548	4.57914969E-1
872	4.5840426E-1
657	4.61325145E-1
981	4.62030247E-1
426	4.62034683E-1
770	4.63387815E-1
1006	4.67084235E-1
48	4.69826484E-1
672	4.71506763E-1
300	4.71513039E-1
108	4.72397087E-1
196	4.76861761E-1
372	4.78839876E-1
865	4.78916605E-1
783	4.80586089E-1
932	4.81335093E-1
949	4.85248668E-1
128	4.85894128E-1
951	4.86424341E-1
367	4.88421713E-1
269	4.88556935E-1
468	4.8862277E-1
985	4.90318997E-1
125	4.9068882E-1
813	4.91040419E-1
502	4.91732362E-1
663	4.92067878E-1
501	4.93100947E-1
329	4.94944978E-1
608	4.9512243E-1
898	4.96159699E-1
673	4.97728327E-1
606	4.98672088E-1
135	5.00318274E-1
126	5.01077879E-1
354	5.01758499E-1
816	5.02150124E-1
503	5.02906466E-1
482	5.03322346E-1
748	5.03480263E-1
156	5.06643403E-1
39	5.08246812E-1
274	5.08498956E-1
60	5.09835359E-1
999	5.10000816E-1
599	5.10491091E-1
294	5.1120212E-1
131	5.11253014E-1
846	5.13229083E-1
308	5.15084467E-1
73	5.17267779E-1
402	5.18069997E-1
757	5.18437817E-1
81	5.18748118E-1
627	5.19014147E-1
153	5.20575069E-1
803	5.21960256E-1
720	5.23483947E-1
344	5.23600445E-1
297	5.23644234E-1
988	5.26431985E-1
931	5.26894259E-1
960	5.27892513E-1
516	5.28422159E-1
52	5.29319245E-1
630	5.29563046E-1
799	5.29779157E-1
585	5.30132709E-1
849	5.31236547E-1
868	5.31656626E-1
