Name	chi2Pvalue
955	1.79369614E-3
860	2.82311362E-3
231	4.58739231E-3
29	5.89208155E-3
349	6.27209344E-3
220	6.97737749E-3
592	7.48130823E-3
558	7.65199063E-3
697	7.77520714E-3
484	9.21197542E-3
677	9.25470526E-3
446	1.17197788E-2
656	1.3487731E-2
98	1.3796843E-2
893	1.39283002E-2
303	1.47262316E-2
780	1.47625397E-2
517	1.50937214E-2
370	1.51605443E-2
847	1.55204312E-2
51	1.63911236E-2
59	1.725994E-2
480	1.77761741E-2
820	1.81675919E-2
119	2.06764121E-2
1012	2.10173826E-2
799	2.19384392E-2
424	2.20110195E-2
78	2.28600265E-2
79	2.65246011E-2
894	2.75511586E-2
176	2.75586907E-2
1002	2.80383984E-2
1000	2.85396186E-2
429	3.03057568E-2
772	3.11784225E-2
553	3.30268248E-2
394	3.40875603E-2
186	3.52597805E-2
785	3.53078106E-2
131	3.62913585E-2
267	3.66611433E-2
75	3.676488E-2
948	4.14302525E-2
371	4.14963978E-2
147	4.21422792E-2
883	4.34682188E-2
992	4.44058163E-2
596	4.4668477E-2
427	4.51891871E-2
702	4.57416602E-2
934	4.59831433E-2
459	4.64756145E-2
846	4.6877214E-2
813	4.69735471E-2
132	5.0285909E-2
569	5.15950292E-2
188	5.39626756E-2
405	5.40199157E-2
42	5.44671372E-2
803	5.5438033E-2
65	5.55085069E-2
765	5.57560845E-2
913	5.59566791E-2
228	5.87462305E-2
257	5.87936757E-2
501	5.90220898E-2
862	5.97348169E-2
578	6.03734866E-2
658	6.04746917E-2
747	6.0735531E-2
515	6.13978643E-2
196	6.15808076E-2
418	6.45838303E-2
82	6.54681194E-2
554	6.68269703E-2
611	6.86550955E-2
385	7.01815008E-2
806	7.1412671E-2
603	7.22832732E-2
473	7.32481863E-2
793	7.35241363E-2
800	7.36379578E-2
224	7.41495892E-2
782	7.56905179E-2
440	7.59268558E-2
733	7.60422254E-2
625	7.7637774E-2
646	7.81636109E-2
728	7.88244248E-2
538	8.02223722E-2
144	8.02235784E-2
735	8.0449643E-2
26	8.06852068E-2
467	8.16530104E-2
858	8.1787438E-2
519	8.24418496E-2
43	8.24660704E-2
111	8.37138163E-2
299	8.39518434E-2
55	8.47337367E-2
164	8.56145881E-2
918	8.6120186E-2
500	8.628394E-2
953	8.706206E-2
447	8.88273493E-2
743	8.94287304E-2
68	9.0980621E-2
606	9.12941859E-2
742	9.13285678E-2
838	9.15525842E-2
297	9.21306718E-2
904	9.24814172E-2
555	9.28530557E-2
584	9.31114685E-2
396	9.52387238E-2
150	9.52543678E-2
669	9.64340899E-2
962	9.65797044E-2
352	9.70922437E-2
994	9.78808934E-2
865	1.00241463E-1
532	1.00705908E-1
104	1.01477288E-1
864	1.01530947E-1
814	1.0309923E-1
684	1.05460086E-1
840	1.07746302E-1
305	1.07773447E-1
927	1.09120337E-1
976	1.10818931E-1
678	1.11052299E-1
613	1.1207323E-1
946	1.16288068E-1
381	1.16352866E-1
740	1.17663025E-1
255	1.1836856E-1
863	1.19720504E-1
774	1.20644129E-1
659	1.2197757E-1
795	1.22157007E-1
200	1.22281924E-1
383	1.2322382E-1
127	1.23314883E-1
66	1.23927023E-1
338	1.24160777E-1
512	1.25284278E-1
529	1.25524651E-1
113	1.27346628E-1
869	1.28042597E-1
339	1.28864398E-1
692	1.29021064E-1
575	1.29160946E-1
53	1.32782493E-1
714	1.33209597E-1
882	1.34806869E-1
660	1.35901024E-1
750	1.36963773E-1
518	1.41212917E-1
631	1.42872334E-1
472	1.4448433E-1
407	1.45352638E-1
511	1.46174344E-1
404	1.47711671E-1
897	1.48348784E-1
769	1.48490359E-1
870	1.49076968E-1
745	1.50338504E-1
667	1.52518657E-1
236	1.5315795E-1
657	1.53337872E-1
233	1.5389065E-1
37	1.55200886E-1
653	1.55437171E-1
573	1.57251727E-1
314	1.58148614E-1
685	1.58873927E-1
254	1.59935023E-1
783	1.6137365E-1
69	1.61721194E-1
264	1.619369E-1
324	1.62643027E-1
633	1.62887652E-1
943	1.64053136E-1
916	1.67539732E-1
522	1.68404295E-1
174	1.69171983E-1
118	1.70158425E-1
366	1.70450795E-1
478	1.70638052E-1
999	1.7574141E-1
502	1.77134912E-1
270	1.78027716E-1
670	1.798296E-1
829	1.79990613E-1
711	1.80022525E-1
141	1.8175989E-1
190	1.81921595E-1
836	1.83464364E-1
757	1.8358475E-1
444	1.8566614E-1
979	1.86151139E-1
223	1.87822388E-1
372	1.88392367E-1
591	1.88842197E-1
0	1.90308388E-1
564	1.90557085E-1
136	1.90844054E-1
871	1.92655636E-1
794	1.92692465E-1
640	1.94117242E-1
380	1.9571488E-1
489	1.96484519E-1
449	1.97127249E-1
182	1.97496726E-1
48	1.97568506E-1
845	1.98036386E-1
492	1.9932362E-1
316	1.9968506E-1
848	2.00799787E-1
358	2.00944277E-1
930	2.01805607E-1
718	2.0220245E-1
327	2.02209081E-1
367	2.04732465E-1
219	2.08716156E-1
536	2.08913332E-1
406	2.09679946E-1
117	2.11044227E-1
304	2.13646335E-1
368	2.14981682E-1
234	2.15666046E-1
281	2.15867397E-1
221	2.20724753E-1
229	2.2261092E-1
550	2.28386447E-1
451	2.29090169E-1
155	2.29498084E-1
544	2.2951404E-1
676	2.29585256E-1
687	2.29789643E-1
402	2.30118606E-1
993	2.30613013E-1
914	2.32926904E-1
92	2.33377732E-1
171	2.33683521E-1
426	2.33745681E-1
450	2.35463872E-1
263	2.38171411E-1
645	2.39593891E-1
507	2.40188227E-1
494	2.41561E-1
781	2.42695486E-1
901	2.43450209E-1
628	2.44654118E-1
574	2.44868128E-1
184	2.45377934E-1
435	2.46081643E-1
1003	2.46733469E-1
416	2.47011198E-1
408	2.47272826E-1
62	2.48552288E-1
910	2.48955543E-1
874	2.49790326E-1
824	2.51260558E-1
177	2.51744303E-1
238	2.52542075E-1
890	2.53341773E-1
126	2.53362215E-1
160	2.53589467E-1
1009	2.53683104E-1
784	2.53825327E-1
1001	2.54305176E-1
545	2.58009406E-1
463	2.59095157E-1
433	2.59637703E-1
577	2.60976669E-1
664	2.64220515E-1
825	2.72344501E-1
261	2.74783674E-1
400	2.76787431E-1
198	2.80682238E-1
730	2.82446532E-1
493	2.82526577E-1
456	2.82876413E-1
674	2.82910794E-1
120	2.83751012E-1
260	2.87778924E-1
209	2.88136531E-1
777	2.88259894E-1
932	2.90667409E-1
983	2.91041128E-1
738	2.91657007E-1
802	2.92137377E-1
768	2.92203354E-1
911	2.9286368E-1
746	2.95109041E-1
700	2.9590712E-1
1008	2.97987857E-1
748	2.99424497E-1
468	3.00697576E-1
169	3.01109891E-1
787	3.03861437E-1
310	3.06087798E-1
409	3.07532074E-1
277	3.08744308E-1
39	3.11661721E-1
600	3.13116023E-1
306	3.14056767E-1
54	3.14434037E-1
808	3.14593167E-1
632	3.1488085E-1
172	3.15226285E-1
1015	3.15839835E-1
751	3.16339537E-1
818	3.16830071E-1
109	3.17133784E-1
212	3.17207551E-1
614	3.18190961E-1
647	3.19499137E-1
514	3.20078451E-1
162	3.20941608E-1
5	3.22083371E-1
24	3.23078969E-1
425	3.23301813E-1
980	3.23721683E-1
7	3.25067348E-1
148	3.2649701E-1
341	3.26761086E-1
689	3.27121252E-1
597	3.28224472E-1
437	3.29931477E-1
977	3.30814142E-1
969	3.31201122E-1
455	3.32794784E-1
724	3.32882542E-1
737	3.35756238E-1
333	3.36266672E-1
97	3.39227906E-1
61	3.40231909E-1
207	3.40470697E-1
503	3.4070505E-1
289	3.41901216E-1
612	3.43238362E-1
624	3.45242284E-1
32	3.45528747E-1
398	3.46801857E-1
952	3.47075199E-1
67	3.4728232E-1
950	3.48850851E-1
610	3.49729552E-1
970	3.50365024E-1
462	3.50450011E-1
903	3.52236665E-1
706	3.53619739E-1
167	3.53783793E-1
481	3.54311053E-1
466	3.55986439E-1
178	3.56176343E-1
770	3.58682476E-1
609	3.58909563E-1
274	3.61865307E-1
439	3.62548404E-1
87	3.6471995E-1
726	3.65417212E-1
173	3.66612061E-1
422	3.67237494E-1
872	3.70701829E-1
681	3.71096432E-1
83	3.7284098E-1
165	3.73753026E-1
474	3.73936372E-1
672	3.75303287E-1
585	3.75442666E-1
505	3.81674276E-1
899	3.85002766E-1
237	3.86188591E-1
796	3.89342698E-1
703	3.89608065E-1
344	3.90299522E-1
273	3.90953118E-1
50	3.91411498E-1
145	3.92769665E-1
114	3.9430408E-1
8	3.94655775E-1
579	3.95900652E-1
76	3.97806819E-1
699	3.98339304E-1
580	3.98802577E-1
269	3.9958998E-1
36	4.00027587E-1
253	4.00779077E-1
420	4.01949444E-1
247	4.02796974E-1
791	4.03413192E-1
241	4.03739934E-1
990	4.04723829E-1
859	4.05639995E-1
731	4.06255015E-1
722	4.06582207E-1
204	4.06821867E-1
22	4.09365014E-1
34	4.10115477E-1
139	4.104773E-1
694	4.110945E-1
15	4.12955224E-1
561	4.13521671E-1
589	4.14659348E-1
963	4.15339536E-1
919	4.15401679E-1
245	4.1544368E-1
403	4.15544463E-1
319	4.16529894E-1
291	4.16767633E-1
842	4.17191945E-1
58	4.19442857E-1
556	4.1946944E-1
822	4.19861808E-1
867	4.22189507E-1
939	4.22349444E-1
835	4.23175599E-1
650	4.24198626E-1
