Name	chi2Pvalue
231	1.04054095E-3
78	1.25338596E-3
349	2.00700729E-3
220	3.29531012E-3
860	4.09639027E-3
904	4.22779332E-3
370	4.89569891E-3
656	5.49602796E-3
847	5.57196535E-3
522	5.5793382E-3
1000	6.34608066E-3
820	9.87686561E-3
174	1.01040731E-2
745	1.03119726E-2
558	1.04714258E-2
176	1.05460297E-2
948	1.14680314E-2
224	1.27783333E-2
750	1.52206709E-2
846	1.60966018E-2
684	1.70024056E-2
79	1.91456122E-2
697	2.03688472E-2
529	2.09679458E-2
446	2.11371456E-2
863	2.16786408E-2
184	2.17239172E-2
29	2.41030295E-2
555	2.47192925E-2
119	2.47738706E-2
955	2.57455544E-2
480	2.62990635E-2
51	2.65279165E-2
774	2.82363562E-2
677	2.82956937E-2
913	2.87931091E-2
575	2.95118746E-2
18	2.98393414E-2
150	3.0515822E-2
894	3.22022706E-2
424	3.42163067E-2
406	3.45785403E-2
608	3.70910875E-2
484	3.7476236E-2
838	3.86349101E-2
468	3.97121441E-2
171	4.03772303E-2
1012	4.24064312E-2
737	4.3663586E-2
198	4.41880067E-2
910	4.47898664E-2
429	4.49253024E-2
257	4.65058774E-2
398	4.65936592E-2
799	4.73756855E-2
976	4.80990358E-2
848	4.97741515E-2
147	5.15067416E-2
740	5.20222106E-2
743	5.27569006E-2
953	5.38431547E-2
591	5.43289909E-2
517	5.60124989E-2
785	5.60978211E-2
592	5.61564807E-2
794	5.67954258E-2
538	5.70889055E-2
294	5.93626212E-2
408	6.11486949E-2
578	6.29553681E-2
139	6.39873557E-2
770	6.50450535E-2
59	6.59971611E-2
82	6.61300882E-2
200	6.67396079E-2
405	6.7648331E-2
515	6.82744975E-2
193	6.83447574E-2
118	6.8619863E-2
502	6.86441494E-2
61	7.03439698E-2
65	7.07225246E-2
380	7.29317646E-2
297	7.30729842E-2
316	7.35679925E-2
267	7.47031207E-2
962	7.48807114E-2
236	7.53558903E-2
603	7.64944045E-2
730	7.99207968E-2
858	8.02780315E-2
74	8.11255191E-2
890	8.32808487E-2
299	8.33275014E-2
136	8.39347539E-2
705	8.41379985E-2
111	8.5798283E-2
577	8.58297035E-2
435	8.94191649E-2
239	8.9842746E-2
569	9.04029583E-2
440	9.11125668E-2
983	9.25884611E-2
664	9.34463428E-2
994	9.40460741E-2
700	9.42042977E-2
195	9.46989475E-2
22	9.6202608E-2
145	9.66751545E-2
493	9.7027968E-2
223	9.73000503E-2
467	9.88773165E-2
1003	9.93354928E-2
501	1.0009407E-1
871	1.01652386E-1
883	1.01890147E-1
876	1.02448548E-1
519	1.0333649E-1
836	1.03726875E-1
606	1.04499732E-1
42	1.04592123E-1
643	1.07055195E-1
635	1.08090449E-1
124	1.09562348E-1
290	1.10903928E-1
613	1.11275576E-1
186	1.14114008E-1
138	1.15460661E-1
636	1.16124316E-1
66	1.1617638E-1
75	1.17234824E-1
253	1.1732264E-1
505	1.18101287E-1
287	1.18503059E-1
506	1.18792428E-1
747	1.19883188E-1
701	1.20512546E-1
748	1.23759238E-1
15	1.26253205E-1
728	1.26582616E-1
273	1.26716856E-1
229	1.273684E-1
385	1.31641959E-1
653	1.32721747E-1
99	1.32892843E-1
645	1.33367097E-1
619	1.33607234E-1
69	1.34362866E-1
320	1.3466862E-1
893	1.35979868E-1
993	1.36232408E-1
113	1.38587345E-1
554	1.41637334E-1
731	1.41948103E-1
918	1.43741817E-1
324	1.4451112E-1
807	1.46072268E-1
53	1.47000683E-1
806	1.47034265E-1
882	1.4790233E-1
417	1.47980712E-1
131	1.49481779E-1
879	1.50753356E-1
291	1.5262526E-1
759	1.52793886E-1
672	1.54249436E-1
44	1.56051195E-1
633	1.56189858E-1
802	1.57206994E-1
360	1.57609459E-1
404	1.58081739E-1
121	1.58320272E-1
173	1.59760139E-1
71	1.60524458E-1
984	1.60876417E-1
865	1.62308089E-1
711	1.62588657E-1
336	1.62870563E-1
98	1.63445426E-1
706	1.64075362E-1
26	1.66932401E-1
303	1.67891615E-1
718	1.68196441E-1
418	1.69061852E-1
782	1.69387025E-1
23	1.6954434E-1
254	1.7008323E-1
999	1.70229799E-1
813	1.72477268E-1
702	1.72711691E-1
492	1.74708562E-1
844	1.75620185E-1
50	1.78633513E-1
352	1.78944951E-1
382	1.79402359E-1
68	1.80370315E-1
371	1.80390852E-1
394	1.80417066E-1
103	1.80886738E-1
456	1.81857389E-1
772	1.83044444E-1
992	1.85245867E-1
396	1.85694709E-1
907	1.86620212E-1
565	1.8715653E-1
795	1.90582384E-1
869	1.90963462E-1
611	1.92688217E-1
914	1.94279187E-1
314	1.95994296E-1
110	2.00385741E-1
929	2.00589025E-1
696	2.01608857E-1
928	2.0203886E-1
722	2.02605838E-1
551	2.02824578E-1
943	2.06520713E-1
403	2.07170745E-1
321	2.08373846E-1
472	2.12204887E-1
556	2.13595485E-1
476	2.13898848E-1
338	2.14205635E-1
640	2.1469533E-1
600	2.16533247E-1
87	2.17300917E-1
856	2.18195021E-1
55	2.19745009E-1
584	2.20053234E-1
580	2.21137481E-1
791	2.21257628E-1
777	2.21498646E-1
714	2.21788097E-1
358	2.22730311E-1
328	2.22904897E-1
9	2.22905805E-1
344	2.23476186E-1
125	2.23686838E-1
372	2.24016115E-1
733	2.24542993E-1
793	2.24972952E-1
1006	2.26996013E-1
391	2.27463572E-1
169	2.29353499E-1
1002	2.30140374E-1
933	2.31522826E-1
170	2.32768601E-1
247	2.32902351E-1
76	2.36326564E-1
628	2.37563415E-1
251	2.38533555E-1
41	2.43046349E-1
107	2.43067585E-1
104	2.43821621E-1
36	2.44462727E-1
178	2.45299855E-1
248	2.45815617E-1
828	2.46883852E-1
329	2.46900105E-1
128	2.47738366E-1
977	2.48248615E-1
1011	2.48524872E-1
43	2.48613454E-1
129	2.49153817E-1
426	2.52090683E-1
300	2.5318491E-1
366	2.53299789E-1
425	2.55137226E-1
212	2.55159006E-1
457	2.56802772E-1
680	2.57933989E-1
221	2.58893161E-1
497	2.59230313E-1
769	2.60723463E-1
384	2.6153268E-1
378	2.6260149E-1
319	2.62961498E-1
536	2.64741006E-1
237	2.66056831E-1
199	2.67033383E-1
209	2.67876434E-1
381	2.6887331E-1
233	2.69848601E-1
668	2.7093873E-1
934	2.71435425E-1
1015	2.76404516E-1
644	2.79235124E-1
182	2.7936781E-1
305	2.79402665E-1
864	2.79596423E-1
289	2.79764216E-1
375	2.8001345E-1
814	2.80791703E-1
525	2.82263562E-1
433	2.83081957E-1
77	2.83294992E-1
7	2.83484147E-1
709	2.84100037E-1
152	2.84500478E-1
196	2.85342619E-1
32	2.86624658E-1
757	2.8679109E-1
832	2.86839623E-1
1001	2.88832313E-1
946	2.88981764E-1
161	2.89199551E-1
39	2.90268765E-1
444	2.91886743E-1
306	2.92798501E-1
535	2.93454079E-1
166	2.94266343E-1
897	2.95425615E-1
447	2.96230245E-1
764	2.99315375E-1
489	2.99680132E-1
393	3.00431149E-1
270	3.01515193E-1
407	3.03242548E-1
245	3.03322308E-1
564	3.04123444E-1
402	3.04196041E-1
164	3.05563243E-1
808	3.05953244E-1
658	3.07069365E-1
692	3.07581745E-1
960	3.08755325E-1
462	3.08776118E-1
500	3.09487931E-1
683	3.09818962E-1
687	3.10270689E-1
400	3.10673292E-1
902	3.16729212E-1
3	3.18293368E-1
729	3.18526009E-1
803	3.19807198E-1
201	3.19883723E-1
850	3.20003359E-1
660	3.20114747E-1
190	3.20532456E-1
610	3.23713339E-1
924	3.24163954E-1
938	3.24542623E-1
252	3.25859483E-1
226	3.26206835E-1
307	3.2695433E-1
682	3.28200344E-1
552	3.28218627E-1
28	3.2862202E-1
930	3.29605456E-1
213	3.32641496E-1
800	3.33011854E-1
177	3.33188625E-1
746	3.33235675E-1
670	3.33536694E-1
135	3.34755296E-1
925	3.35317369E-1
951	3.35832118E-1
908	3.36416033E-1
259	3.38119564E-1
626	3.39224078E-1
361	3.40651467E-1
101	3.41007525E-1
812	3.43445418E-1
189	3.43740087E-1
310	3.45668476E-1
735	3.4610707E-1
144	3.48166344E-1
659	3.49017232E-1
0	3.49054229E-1
669	3.49905052E-1
674	3.51759477E-1
512	3.53829026E-1
825	3.54021284E-1
553	3.56361513E-1
870	3.58416273E-1
495	3.59867001E-1
362	3.62047875E-1
979	3.62291893E-1
141	3.63105293E-1
585	3.63484457E-1
570	3.64014656E-1
952	3.64996094E-1
932	3.65537069E-1
471	3.66387478E-1
657	3.664226E-1
327	3.6695897E-1
146	3.68191199E-1
19	3.68332338E-1
108	3.68370654E-1
269	3.72274755E-1
618	3.73512553E-1
646	3.7448398E-1
459	3.7540437E-1
742	3.78113955E-1
348	3.79287414E-1
780	3.80687068E-1
427	3.81703086E-1
6	3.82785595E-1
449	3.82883188E-1
981	3.83669033E-1
514	3.84589894E-1
222	3.85978756E-1
181	3.86511114E-1
771	3.87236135E-1
652	3.88589356E-1
95	3.88733547E-1
596	3.89753701E-1
899	3.9014162E-1
478	3.91277198E-1
234	3.92515765E-1
473	3.94869619E-1
63	3.95466619E-1
280	3.95469291E-1
8	3.95652173E-1
192	3.96894794E-1
356	3.99236162E-1
123	3.99297424E-1
509	4.00936112E-1
67	4.02069484E-1
594	4.02718947E-1
62	4.03466498E-1
997	4.04636078E-1
