Name	chi2Pvalue
740	1.3551598E-3
677	1.42448073E-3
592	2.76063492E-3
596	3.43960584E-3
625	3.71136297E-3
772	4.6381553E-3
446	5.75571001E-3
117	6.98867285E-3
783	8.15809093E-3
558	9.5258791E-3
98	9.76708932E-3
955	9.95322688E-3
1012	1.06320694E-2
440	1.43644333E-2
29	1.54613704E-2
424	1.65712272E-2
765	1.70634402E-2
860	1.81058191E-2
264	1.86381089E-2
970	1.87502194E-2
667	1.89226684E-2
366	1.90069682E-2
500	1.97394585E-2
447	2.07507247E-2
847	2.14791642E-2
734	2.20662741E-2
780	2.2298262E-2
858	2.28731614E-2
132	2.55558032E-2
799	2.63861726E-2
782	2.70624527E-2
75	2.75872519E-2
394	2.91850368E-2
532	2.94162804E-2
470	3.16750241E-2
864	3.22370718E-2
182	3.79303909E-2
59	3.83011971E-2
912	3.86729518E-2
697	3.87807881E-2
467	3.93457313E-2
803	4.30719201E-2
427	4.35885515E-2
298	4.36399386E-2
371	4.4316727E-2
327	4.45055805E-2
685	4.51141608E-2
385	4.55364778E-2
92	4.96050508E-2
242	5.02145135E-2
874	5.14262942E-2
743	5.14890686E-2
463	5.23723362E-2
472	5.28859431E-2
423	5.35763601E-2
571	5.36881688E-2
232	5.60656338E-2
702	5.62092096E-2
381	5.69371029E-2
800	5.79115732E-2
169	5.84017653E-2
55	5.92795028E-2
305	6.26729193E-2
114	6.27080476E-2
609	6.34700037E-2
352	6.41503648E-2
43	6.41581487E-2
37	6.74000713E-2
517	6.8371675E-2
257	6.90636768E-2
199	7.045993E-2
147	7.12317803E-2
501	7.20760186E-2
901	7.2424866E-2
515	7.25810834E-2
396	7.37189536E-2
896	7.41404117E-2
775	7.53787319E-2
992	7.61754594E-2
718	7.7371147E-2
180	7.97361347E-2
669	8.01806056E-2
48	8.09523733E-2
883	8.13115278E-2
524	8.21026479E-2
728	8.24741998E-2
837	8.33254549E-2
188	8.50269669E-2
277	8.65007786E-2
368	8.67680062E-2
186	8.75405013E-2
409	8.77896955E-2
612	8.78162794E-2
829	8.78677609E-2
670	8.81312234E-2
433	8.85368848E-2
437	9.01226379E-2
646	9.33264403E-2
407	9.55297637E-2
261	9.6165973E-2
1	9.88350128E-2
695	9.93188916E-2
185	9.9444493E-2
870	1.02817998E-1
457	1.03194612E-1
522	1.03491759E-1
79	1.04051328E-1
339	1.0476448E-1
641	1.05283557E-1
196	1.05998791E-1
497	1.06277056E-1
793	1.06798319E-1
220	1.07028912E-1
840	1.07767192E-1
653	1.0784354E-1
187	1.10733674E-1
1002	1.11283842E-1
219	1.12755887E-1
605	1.15514701E-1
459	1.16088869E-1
1014	1.1647335E-1
650	1.18036501E-1
418	1.18189456E-1
578	1.18589913E-1
550	1.19227835E-1
241	1.19901765E-1
302	1.19904313E-1
934	1.20290822E-1
157	1.20524749E-1
647	1.21379358E-1
42	1.23681313E-1
235	1.24683229E-1
341	1.25374028E-1
553	1.26182654E-1
671	1.27181363E-1
573	1.28264836E-1
263	1.31190577E-1
215	1.32860659E-1
514	1.33127727E-1
633	1.33365884E-1
303	1.35007521E-1
544	1.36137437E-1
820	1.36576246E-1
473	1.37236946E-1
979	1.37710723E-1
747	1.37745381E-1
597	1.39068065E-1
155	1.39564518E-1
594	1.41735335E-1
988	1.42631433E-1
953	1.42681435E-1
324	1.42798738E-1
307	1.43679452E-1
796	1.43769491E-1
903	1.43871724E-1
26	1.45454744E-1
104	1.47473074E-1
631	1.48686283E-1
172	1.49429805E-1
260	1.5057511E-1
395	1.51937123E-1
492	1.52705562E-1
586	1.54769182E-1
714	1.55757711E-1
255	1.56831138E-1
429	1.56853947E-1
189	1.57538032E-1
678	1.58600088E-1
233	1.59368816E-1
654	1.5996542E-1
161	1.6163511E-1
710	1.61709585E-1
1023	1.62346993E-1
27	1.67461614E-1
666	1.7026858E-1
258	1.70812919E-1
58	1.73371571E-1
964	1.73873858E-1
1020	1.74993431E-1
39	1.75815925E-1
426	1.76040057E-1
792	1.77587798E-1
893	1.81859962E-1
693	1.82597133E-1
160	1.82967733E-1
754	1.91660488E-1
150	1.91958335E-1
416	1.9234217E-1
82	1.97005794E-1
20	1.97161572E-1
744	1.98708847E-1
767	1.99956601E-1
131	2.01919237E-1
1001	2.02025707E-1
494	2.0443991E-1
613	2.05056892E-1
892	2.05534949E-1
374	2.05843407E-1
694	2.06033479E-1
306	2.07689359E-1
231	2.09041224E-1
5	2.0913535E-1
855	2.09333062E-1
991	2.09562864E-1
952	2.11278764E-1
911	2.11479666E-1
240	2.11870354E-1
158	2.12103962E-1
857	2.13523512E-1
806	2.13789033E-1
213	2.13933442E-1
746	2.14017474E-1
113	2.14379617E-1
173	2.15934265E-1
278	2.17490372E-1
445	2.17614543E-1
521	2.18067246E-1
519	2.19028394E-1
771	2.2077308E-1
738	2.22378055E-1
340	2.22625715E-1
531	2.22794196E-1
552	2.23047092E-1
971	2.24441294E-1
657	2.26796789E-1
478	2.26890882E-1
850	2.27620827E-1
732	2.28034789E-1
603	2.29847328E-1
724	2.30662473E-1
503	2.31898786E-1
234	2.32308554E-1
545	2.32575068E-1
795	2.33905649E-1
962	2.34976895E-1
431	2.35395399E-1
78	2.35745707E-1
1000	2.36639669E-1
614	2.36999054E-1
611	2.38413942E-1
205	2.38958181E-1
65	2.3976115E-1
692	2.40251808E-1
175	2.42190076E-1
615	2.43356788E-1
554	2.43557905E-1
