Name	chi2Pvalue
231	1.16331937E-3
220	3.95024948E-3
176	4.01827271E-3
484	5.70812464E-3
446	6.01635681E-3
847	7.49812543E-3
65	9.3271218E-3
119	1.1575742E-2
505	1.18089063E-2
1000	1.23476624E-2
349	1.31203481E-2
59	1.40909719E-2
860	1.48161676E-2
858	1.52860756E-2
904	1.72071904E-2
656	1.72725829E-2
1002	1.74917771E-2
408	1.9274808E-2
747	2.12744328E-2
728	2.2807818E-2
53	2.343797E-2
147	2.36984556E-2
993	2.55184299E-2
774	2.57606564E-2
480	2.6375845E-2
785	2.67391824E-2
529	2.70558302E-2
111	2.77284642E-2
370	2.77851614E-2
174	2.88401462E-2
983	2.90134629E-2
150	3.17046955E-2
78	3.23913357E-2
591	3.6007221E-2
730	3.6238959E-2
934	3.91336652E-2
418	3.95100622E-2
316	4.12437248E-2
677	4.22934038E-2
640	4.28427241E-2
267	4.46070985E-2
522	4.50601728E-2
136	4.60615715E-2
440	4.69734282E-2
613	4.85188838E-2
447	4.87698987E-2
502	4.90763257E-2
592	4.97791338E-2
169	5.05578989E-2
684	5.14217923E-2
424	5.14469169E-2
303	5.45648894E-2
358	5.4569767E-2
871	5.47436597E-2
733	5.50449565E-2
955	5.52659762E-2
626	5.77188622E-2
558	5.81611497E-2
848	5.84276028E-2
803	5.92640262E-2
199	6.04041323E-2
697	6.07010504E-2
139	6.14455413E-2
517	6.26279844E-2
352	6.28538022E-2
405	6.28859745E-2
113	6.35990848E-2
492	6.43422202E-2
820	6.60920648E-2
608	6.78731132E-2
846	6.8712538E-2
79	6.89578825E-2
42	6.93029795E-2
1012	6.94601733E-2
467	7.0171325E-2
456	7.05288001E-2
745	7.094621E-2
468	7.09496273E-2
68	7.22512369E-2
118	7.49699339E-2
943	7.51058009E-2
297	7.6837313E-2
976	7.76539679E-2
883	7.76954741E-2
706	7.80473963E-2
793	7.85078379E-2
200	7.95955301E-2
979	8.02750469E-2
61	8.04561749E-2
43	8.12380202E-2
29	8.12481674E-2
806	8.13561015E-2
836	8.25128123E-2
992	8.29520221E-2
51	8.34203716E-2
575	8.36363348E-2
173	8.38473212E-2
578	8.41909209E-2
770	8.48901491E-2
257	8.50898235E-2
178	8.51834414E-2
553	8.551292E-2
953	8.5759273E-2
746	8.72198009E-2
32	8.79850892E-2
157	8.80720377E-2
596	9.27482286E-2
198	9.30206768E-2
962	9.38723569E-2
865	9.47604599E-2
396	9.49148174E-2
108	9.49678952E-2
799	9.51087698E-2
845	9.54692362E-2
338	9.5972726E-2
209	9.6099544E-2
636	9.65833214E-2
55	9.67894864E-2
743	9.73840152E-2
429	9.78736631E-2
863	9.91278502E-2
269	9.96006715E-2
224	1.0280821E-1
518	1.04167165E-1
765	1.04497215E-1
327	1.05471539E-1
834	1.07552167E-1
75	1.08014915E-1
141	1.09033622E-1
290	1.10641854E-1
66	1.11845088E-1
519	1.11944116E-1
15	1.13119242E-1
658	1.13563114E-1
606	1.13702519E-1
515	1.13941113E-1
894	1.14665057E-1
664	1.15302879E-1
135	1.16390246E-1
233	1.17308349E-1
459	1.18120812E-1
948	1.18202053E-1
913	1.18606932E-1
406	1.19846365E-1
329	1.20074701E-1
164	1.204487E-1
98	1.2047201E-1
700	1.20748911E-1
371	1.21739886E-1
918	1.23609837E-1
633	1.24725096E-1
659	1.24974836E-1
893	1.26836593E-1
977	1.26958125E-1
270	1.34600583E-1
477	1.34866148E-1
152	1.36121829E-1
750	1.39333056E-1
1015	1.40548267E-1
177	1.41266523E-1
722	1.43464451E-1
223	1.43615222E-1
501	1.44392529E-1
221	1.45929943E-1
711	1.46458641E-1
838	1.4781432E-1
702	1.48037001E-1
165	1.49556351E-1
652	1.49711927E-1
