Name	chi2Pvalue
392	7.21813313E-4
953	1.94365696E-3
235	2.58133848E-3
59	3.70054051E-3
728	4.09304282E-3
243	4.5673961E-3
9	4.69565316E-3
584	6.78142054E-3
926	7.07164085E-3
719	7.15824588E-3
105	7.96753722E-3
760	8.77554629E-3
77	1.22993956E-2
624	1.28218219E-2
862	1.29922998E-2
807	1.3119765E-2
145	1.39952764E-2
258	1.76136913E-2
602	1.85132674E-2
815	2.0035297E-2
405	2.14885277E-2
260	2.37622649E-2
983	2.42493692E-2
170	2.53464209E-2
40	2.59414231E-2
646	2.72946005E-2
633	3.105052E-2
618	3.18716545E-2
273	3.49386366E-2
878	3.52443731E-2
480	3.61269656E-2
664	3.64021937E-2
714	4.06200926E-2
627	4.09844641E-2
1012	4.18090931E-2
433	4.19703907E-2
7	4.42280946E-2
879	4.42608003E-2
609	4.51691697E-2
623	4.70858437E-2
872	4.73000256E-2
626	4.8648273E-2
949	4.99500359E-2
637	5.07508343E-2
309	5.11459043E-2
56	5.21143517E-2
958	5.314524E-2
669	5.56336494E-2
748	5.89973835E-2
311	6.07341124E-2
381	6.10000601E-2
233	6.16381014E-2
187	6.20992791E-2
869	6.29081352E-2
882	6.43897804E-2
640	6.4837772E-2
860	6.5993588E-2
465	6.68777862E-2
520	6.77113878E-2
70	6.81241638E-2
885	6.86805008E-2
524	7.01595048E-2
910	7.14073241E-2
614	7.36337256E-2
137	7.5569209E-2
740	8.16540202E-2
97	8.41187162E-2
707	8.4911205E-2
224	8.50422134E-2
28	8.68307819E-2
838	9.01147402E-2
62	9.02429605E-2
276	9.12309678E-2
362	9.12433621E-2
286	9.16715835E-2
758	9.18316125E-2
408	9.18865559E-2
159	9.25012162E-2
711	9.29394577E-2
301	9.41586747E-2
49	9.56272898E-2
180	9.63910794E-2
993	9.71480712E-2
204	9.71766039E-2
763	1.00553418E-1
313	1.01655874E-1
533	1.01745555E-1
793	1.02834484E-1
649	1.02939797E-1
52	1.04459169E-1
523	1.0582631E-1
660	1.06109512E-1
893	1.06254443E-1
174	1.06636933E-1
845	1.07027355E-1
735	1.0795326E-1
704	1.08666472E-1
924	1.09464897E-1
234	1.10918264E-1
196	1.11226596E-1
144	1.11376119E-1
985	1.11566549E-1
322	1.12099278E-1
988	1.12289521E-1
607	1.13542024E-1
818	1.13631677E-1
454	1.15180801E-1
800	1.15711083E-1
916	1.16395354E-1
727	1.16880922E-1
940	1.16920873E-1
897	1.17313379E-1
191	1.17918711E-1
765	1.18754183E-1
231	1.19749389E-1
980	1.20589167E-1
615	1.21377981E-1
678	1.23819E-1
448	1.24552257E-1
239	1.2472746E-1
