Name	chi2Pvalue
105	7.24669155E-8
760	2.26161711E-5
260	7.20264228E-5
938	3.67524444E-4
743	5.88872799E-4
971	2.09719624E-3
160	3.21252853E-3
461	3.49735677E-3
253	5.29864054E-3
823	5.72172005E-3
925	6.09377055E-3
501	6.17586731E-3
551	7.56624838E-3
157	8.95496858E-3
149	8.98545703E-3
672	1.01505188E-2
819	1.18125697E-2
829	1.33546274E-2
319	1.35456178E-2
368	1.38128972E-2
262	1.46511809E-2
85	1.61190257E-2
238	1.89510657E-2
799	2.07790387E-2
48	2.28125279E-2
142	2.4762023E-2
686	2.50016793E-2
903	2.58105064E-2
284	2.64612958E-2
448	2.66847783E-2
900	2.82322826E-2
415	2.84375403E-2
618	2.94775564E-2
477	3.05317738E-2
584	3.10836918E-2
865	3.17423244E-2
107	3.22550447E-2
623	3.23231144E-2
212	3.34745745E-2
738	3.58168204E-2
539	3.62441679E-2
567	3.696179E-2
5	3.79539425E-2
691	4.0369139E-2
106	4.12334077E-2
754	4.49668572E-2
78	4.60727162E-2
818	4.79096031E-2
143	4.97437433E-2
616	5.0368756E-2
140	5.37350001E-2
643	5.45708024E-2
572	5.46173801E-2
571	5.55903639E-2
961	5.65116786E-2
226	5.69139654E-2
657	5.72195672E-2
689	5.94097782E-2
839	6.03007579E-2
604	6.40634633E-2
79	6.55005377E-2
740	7.00207594E-2
795	7.06243717E-2
675	7.06905954E-2
780	7.1454073E-2
562	7.19387794E-2
505	7.2041E-2
849	7.31124681E-2
254	7.37241212E-2
520	7.43916002E-2
926	7.47859243E-2
766	7.50729553E-2
914	7.50892688E-2
301	7.54464061E-2
156	7.60106869E-2
73	7.63114924E-2
183	7.66767726E-2
154	7.67081E-2
264	7.83548691E-2
437	8.0000628E-2
996	8.17417553E-2
990	8.34093605E-2
553	8.41959167E-2
472	8.42999171E-2
706	8.53352122E-2
330	8.59492012E-2
1010	8.74404447E-2
203	8.78059127E-2
978	8.9963484E-2
977	9.04284871E-2
586	9.17952173E-2
422	9.22054134E-2
696	9.22787277E-2
954	9.2369586E-2
594	9.35795175E-2
205	9.40696205E-2
381	9.53977978E-2
300	9.60092727E-2
805	9.60252622E-2
953	9.76357438E-2
64	9.79315314E-2
199	9.88450736E-2
26	9.92841947E-2
951	1.00129467E-1
450	1.00700496E-1
728	1.01615891E-1
673	1.03915196E-1
465	1.06911897E-1
804	1.09288733E-1
987	1.09756361E-1
339	1.11764379E-1
786	1.13518008E-1
449	1.14080214E-1
653	1.1488301E-1
763	1.17213532E-1
144	1.19567742E-1
84	1.21464421E-1
237	1.22703433E-1
687	1.23569783E-1
1	1.24203102E-1
600	1.26156057E-1
432	1.26615824E-1
148	1.27229642E-1
924	1.27881757E-1
778	1.29540515E-1
463	1.30755283E-1
1012	1.31791394E-1
331	1.34107225E-1
239	1.34410619E-1
122	1.35327982E-1
101	1.36085957E-1
200	1.36939533E-1
841	1.37032319E-1
131	1.37200095E-1
258	1.37265527E-1
555	1.3781697E-1
753	1.38786113E-1
286	1.39076264E-1
710	1.39182708E-1
1002	1.39985461E-1
211	1.41805359E-1
173	1.42052389E-1
981	1.42881076E-1
995	1.43558854E-1
187	1.44410713E-1
793	1.45183917E-1
858	1.4687722E-1
833	1.48401625E-1
957	1.48532749E-1
109	1.509942E-1
504	1.52186043E-1
221	1.53700849E-1
789	1.56137392E-1
316	1.56195034E-1
628	1.56368706E-1
777	1.5663591E-1
290	1.57494403E-1
815	1.58487931E-1
120	1.59656573E-1
196	1.60240851E-1
392	1.61346073E-1
370	1.62295188E-1
694	1.63124938E-1
436	1.64194679E-1
188	1.64204711E-1
969	1.64870448E-1
890	1.65931513E-1
1023	1.66147121E-1
912	1.66633095E-1
881	1.67031648E-1
731	1.67079335E-1
389	1.67913904E-1
318	1.70555622E-1
